Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (14049621),Nikola Jokic,14049621,CPT,17100,MEM@DEN 12/28/2019 05:00PM ET,DEN,44.34
PG/SG,Jamal Murray (14049622),Jamal Murray,14049622,CPT,13500,MEM@DEN 12/28/2019 05:00PM ET,DEN,32.73
PF/C,Jaren Jackson Jr. (14049623),Jaren Jackson Jr.,14049623,CPT,13200,MEM@DEN 12/28/2019 05:00PM ET,MEM,30.03
PG,Ja Morant (14049624),Ja Morant,14049624,CPT,12900,MEM@DEN 12/28/2019 05:00PM ET,MEM,33.52
PG/SF,Will Barton (14049625),Will Barton,14049625,CPT,12300,MEM@DEN 12/28/2019 05:00PM ET,DEN,31.74
C,Jonas Valanciunas (14049626),Jonas Valanciunas,14049626,CPT,11700,MEM@DEN 12/28/2019 05:00PM ET,MEM,31.81
C,Nikola Jokic (14049588),Nikola Jokic,14049588,UTIL,11400,MEM@DEN 12/28/2019 05:00PM ET,DEN,44.34
SG,Gary Harris (14049627),Gary Harris,14049627,CPT,10500,MEM@DEN 12/28/2019 05:00PM ET,DEN,21.72
SG/SF,Dillon Brooks (14049628),Dillon Brooks,14049628,CPT,9600,MEM@DEN 12/28/2019 05:00PM ET,MEM,24.72
SF/PF,Jae Crowder (14049629),Jae Crowder,14049629,CPT,9300,MEM@DEN 12/28/2019 05:00PM ET,MEM,25.35
PG/SG,Jamal Murray (14049589),Jamal Murray,14049589,UTIL,9000,MEM@DEN 12/28/2019 05:00PM ET,DEN,32.73
PF/C,Brandon Clarke (14049630),Brandon Clarke,14049630,CPT,9000,MEM@DEN 12/28/2019 05:00PM ET,MEM,23.98
PF/C,Jaren Jackson Jr. (14049590),Jaren Jackson Jr.,14049590,UTIL,8800,MEM@DEN 12/28/2019 05:00PM ET,MEM,30.03
PG,Ja Morant (14049591),Ja Morant,14049591,UTIL,8600,MEM@DEN 12/28/2019 05:00PM ET,MEM,33.52
PF/C,Paul Millsap (14049631),Paul Millsap,14049631,CPT,8400,MEM@DEN 12/28/2019 05:00PM ET,DEN,24.85
PG/SF,Will Barton (14049592),Will Barton,14049592,UTIL,8200,MEM@DEN 12/28/2019 05:00PM ET,DEN,31.74
PG/SG,De'Anthony Melton (14049632),De'Anthony Melton,14049632,CPT,8100,MEM@DEN 12/28/2019 05:00PM ET,MEM,18.81
C,Jonas Valanciunas (14049593),Jonas Valanciunas,14049593,UTIL,7800,MEM@DEN 12/28/2019 05:00PM ET,MEM,31.81
PF/C,Mason Plumlee (14049633),Mason Plumlee,14049633,CPT,7200,MEM@DEN 12/28/2019 05:00PM ET,DEN,19.24
SG,Gary Harris (14049594),Gary Harris,14049594,UTIL,7000,MEM@DEN 12/28/2019 05:00PM ET,DEN,21.72
PF/C,Jerami Grant (14049634),Jerami Grant,14049634,CPT,6600,MEM@DEN 12/28/2019 05:00PM ET,DEN,17.68
SG/SF,Dillon Brooks (14049595),Dillon Brooks,14049595,UTIL,6400,MEM@DEN 12/28/2019 05:00PM ET,MEM,24.72
SF/PF,Jae Crowder (14049596),Jae Crowder,14049596,UTIL,6200,MEM@DEN 12/28/2019 05:00PM ET,MEM,25.35
PF/C,Brandon Clarke (14049597),Brandon Clarke,14049597,UTIL,6000,MEM@DEN 12/28/2019 05:00PM ET,MEM,23.98
PF/C,Paul Millsap (14049598),Paul Millsap,14049598,UTIL,5600,MEM@DEN 12/28/2019 05:00PM ET,DEN,24.85
PG/SG,De'Anthony Melton (14049599),De'Anthony Melton,14049599,UTIL,5400,MEM@DEN 12/28/2019 05:00PM ET,MEM,18.81
PG/SG,Tyus Jones (14049635),Tyus Jones,14049635,CPT,5400,MEM@DEN 12/28/2019 05:00PM ET,MEM,17.30
