Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,D'Angelo Russell (13931994),D'Angelo Russell,13931994,CPT,15600,MEM@GS 12/09/2019 10:30PM ET,GS,38.19
C,Jonas Valanciunas (13931995),Jonas Valanciunas,13931995,CPT,14100,MEM@GS 12/09/2019 10:30PM ET,MEM,31.95
PG,Ja Morant (13931996),Ja Morant,13931996,CPT,12900,MEM@GS 12/09/2019 10:30PM ET,MEM,34.68
PF,Jaren Jackson Jr. (13931997),Jaren Jackson Jr.,13931997,CPT,12000,MEM@GS 12/09/2019 10:30PM ET,MEM,27.76
PF,Eric Paschall (13931998),Eric Paschall,13931998,CPT,11400,MEM@GS 12/09/2019 10:30PM ET,GS,27.60
PF,Draymond Green (13931999),Draymond Green,13931999,CPT,10800,MEM@GS 12/09/2019 10:30PM ET,GS,28.4
SG,Alec Burks (13932000),Alec Burks,13932000,CPT,10500,MEM@GS 12/09/2019 10:30PM ET,GS,27.21
PG,D'Angelo Russell (13931961),D'Angelo Russell,13931961,UTIL,10400,MEM@GS 12/09/2019 10:30PM ET,GS,38.19
SF,Jae Crowder (13932001),Jae Crowder,13932001,CPT,10200,MEM@GS 12/09/2019 10:30PM ET,MEM,25.48
SG,De'Anthony Melton (13932002),De'Anthony Melton,13932002,CPT,9900,MEM@GS 12/09/2019 10:30PM ET,MEM,15.68
C,Jonas Valanciunas (13931962),Jonas Valanciunas,13931962,UTIL,9400,MEM@GS 12/09/2019 10:30PM ET,MEM,31.95
SG,Glenn Robinson III (13932003),Glenn Robinson III,13932003,CPT,9000,MEM@GS 12/09/2019 10:30PM ET,GS,22.80
PG,Ja Morant (13931963),Ja Morant,13931963,UTIL,8600,MEM@GS 12/09/2019 10:30PM ET,MEM,34.68
PG,Tyus Jones (13932004),Tyus Jones,13932004,CPT,8400,MEM@GS 12/09/2019 10:30PM ET,MEM,16.5
PG,Ky Bowman (13932005),Ky Bowman,13932005,CPT,8100,MEM@GS 12/09/2019 10:30PM ET,GS,18.66
PF,Jaren Jackson Jr. (13931964),Jaren Jackson Jr.,13931964,UTIL,8000,MEM@GS 12/09/2019 10:30PM ET,MEM,27.76
C,Willie Cauley-Stein (13932006),Willie Cauley-Stein,13932006,CPT,7800,MEM@GS 12/09/2019 10:30PM ET,GS,22.14
PF,Eric Paschall (13931965),Eric Paschall,13931965,UTIL,7600,MEM@GS 12/09/2019 10:30PM ET,GS,27.60
SG,Dillon Brooks (13932007),Dillon Brooks,13932007,CPT,7500,MEM@GS 12/09/2019 10:30PM ET,MEM,23.42
PF,Draymond Green (13931966),Draymond Green,13931966,UTIL,7200,MEM@GS 12/09/2019 10:30PM ET,GS,28.4
PF,Brandon Clarke (13932008),Brandon Clarke,13932008,CPT,7200,MEM@GS 12/09/2019 10:30PM ET,MEM,23.83
SG,Alec Burks (13931967),Alec Burks,13931967,UTIL,7000,MEM@GS 12/09/2019 10:30PM ET,GS,27.21
SG,Grayson Allen (13932009),Grayson Allen,13932009,CPT,6900,MEM@GS 12/09/2019 10:30PM ET,MEM,14.5
SF,Jae Crowder (13931968),Jae Crowder,13931968,UTIL,6800,MEM@GS 12/09/2019 10:30PM ET,MEM,25.48
SG,De'Anthony Melton (13931969),De'Anthony Melton,13931969,UTIL,6600,MEM@GS 12/09/2019 10:30PM ET,MEM,15.68
SF,Solomon Hill (13932010),Solomon Hill,13932010,CPT,6300,MEM@GS 12/09/2019 10:30PM ET,MEM,15.42
SG,Glenn Robinson III (13931970),Glenn Robinson III,13931970,UTIL,6000,MEM@GS 12/09/2019 10:30PM ET,GS,22.80
PF,Marquese Chriss (13932011),Marquese Chriss,13932011,CPT,5700,MEM@GS 12/09/2019 10:30PM ET,GS,18.68
PG,Tyus Jones (13931971),Tyus Jones,13931971,UTIL,5600,MEM@GS 12/09/2019 10:30PM ET,MEM,16.5
PG,Ky Bowman (13931972),Ky Bowman,13931972,UTIL,5400,MEM@GS 12/09/2019 10:30PM ET,GS,18.66
C,Willie Cauley-Stein (13931973),Willie Cauley-Stein,13931973,UTIL,5200,MEM@GS 12/09/2019 10:30PM ET,GS,22.14
PF,Omari Spellman (13932012),Omari Spellman,13932012,CPT,5100,MEM@GS 12/09/2019 10:30PM ET,GS,18.85
SG,Dillon Brooks (13931974),Dillon Brooks,13931974,UTIL,5000,MEM@GS 12/09/2019 10:30PM ET,MEM,23.42
PF,Brandon Clarke (13931975),Brandon Clarke,13931975,UTIL,4800,MEM@GS 12/09/2019 10:30PM ET,MEM,23.83
SG,Grayson Allen (13931976),Grayson Allen,13931976,UTIL,4600,MEM@GS 12/09/2019 10:30PM ET,MEM,14.5
SF,Solomon Hill (13931977),Solomon Hill,13931977,UTIL,4200,MEM@GS 12/09/2019 10:30PM ET,MEM,15.42
SG,Damion Lee (13932013),Damion Lee,13932013,CPT,4200,MEM@GS 12/09/2019 10:30PM ET,GS,19.16
PF,Marquese Chriss (13931978),Marquese Chriss,13931978,UTIL,3800,MEM@GS 12/09/2019 10:30PM ET,GS,18.68
PF,Omari Spellman (13931979),Omari Spellman,13931979,UTIL,3400,MEM@GS 12/09/2019 10:30PM ET,GS,18.85
SG,Marko Guduric (13932014),Marko Guduric,13932014,CPT,3300,MEM@GS 12/09/2019 10:30PM ET,MEM,11.16
PF,Kevon Looney (13932015),Kevon Looney,13932015,CPT,3000,MEM@GS 12/09/2019 10:30PM ET,GS,9.81
SG,Damion Lee (13931980),Damion Lee,13931980,UTIL,2800,MEM@GS 12/09/2019 10:30PM ET,GS,19.16
SG,Jordan Poole (13932016),Jordan Poole,13932016,CPT,2700,MEM@GS 12/09/2019 10:30PM ET,GS,15.44
PF,Bruno Caboclo (13932017),Bruno Caboclo,13932017,CPT,2400,MEM@GS 12/09/2019 10:30PM ET,MEM,10.32
SG,Marko Guduric (13931981),Marko Guduric,13931981,UTIL,2200,MEM@GS 12/09/2019 10:30PM ET,MEM,11.16
PF,Yuta Watanabe (13932018),Yuta Watanabe,13932018,CPT,2100,MEM@GS 12/09/2019 10:30PM ET,MEM,4
PF,Kevon Looney (13931982),Kevon Looney,13931982,UTIL,2000,MEM@GS 12/09/2019 10:30PM ET,GS,9.81
SG,Jordan Poole (13931983),Jordan Poole,13931983,UTIL,1800,MEM@GS 12/09/2019 10:30PM ET,GS,15.44
SF,Kyle Anderson (13932019),Kyle Anderson,13932019,CPT,1800,MEM@GS 12/09/2019 10:30PM ET,MEM,18.60
PF,Bruno Caboclo (13931984),Bruno Caboclo,13931984,UTIL,1600,MEM@GS 12/09/2019 10:30PM ET,MEM,10.32
SG,John Konchar (13932020),John Konchar,13932020,CPT,1500,MEM@GS 12/09/2019 10:30PM ET,MEM,0
PG,Stephen Curry (13932021),Stephen Curry,13932021,CPT,1500,MEM@GS 12/09/2019 10:30PM ET,GS,39.38
SF,Andre Iguodala (13932022),Andre Iguodala,13932022,CPT,1500,MEM@GS 12/09/2019 10:30PM ET,MEM,0
SG,Klay Thompson (13932023),Klay Thompson,13932023,CPT,1500,MEM@GS 12/09/2019 10:30PM ET,GS,0
SG,Jacob Evans III (13932024),Jacob Evans III,13932024,CPT,1500,MEM@GS 12/09/2019 10:30PM ET,GS,9.58
SF,Josh Jackson (13932025),Josh Jackson,13932025,CPT,1500,MEM@GS 12/09/2019 10:30PM ET,MEM,0
PF,Alen Smailagic (13932026),Alen Smailagic,13932026,CPT,1500,MEM@GS 12/09/2019 10:30PM ET,GS,0
PF,Yuta Watanabe (13931985),Yuta Watanabe,13931985,UTIL,1400,MEM@GS 12/09/2019 10:30PM ET,MEM,4
