Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Jonas Valanciunas (13925144),Jonas Valanciunas,13925144,CPT,14700,MEM@UTA 12/07/2019 10:00PM ET,MEM,32.53
SG,Donovan Mitchell (13925145),Donovan Mitchell,13925145,CPT,14100,MEM@UTA 12/07/2019 10:00PM ET,UTA,39.52
C,Rudy Gobert (13925146),Rudy Gobert,13925146,CPT,13800,MEM@UTA 12/07/2019 10:00PM ET,UTA,38.18
PG,Ja Morant (13925147),Ja Morant,13925147,CPT,13500,MEM@UTA 12/07/2019 10:00PM ET,MEM,34.68
SF,Bojan Bogdanovic (13925148),Bojan Bogdanovic,13925148,CPT,12300,MEM@UTA 12/07/2019 10:00PM ET,UTA,31.70
PF,Jaren Jackson Jr. (13925149),Jaren Jackson Jr.,13925149,CPT,11700,MEM@UTA 12/07/2019 10:00PM ET,MEM,27.28
PG,Mike Conley (13925150),Mike Conley,13925150,CPT,11100,MEM@UTA 12/07/2019 10:00PM ET,UTA,26.82
SF,Jae Crowder (13925151),Jae Crowder,13925151,CPT,10800,MEM@UTA 12/07/2019 10:00PM ET,MEM,25.43
SG,De'Anthony Melton (13925152),De'Anthony Melton,13925152,CPT,10200,MEM@UTA 12/07/2019 10:00PM ET,MEM,15.42
SG,Dillon Brooks (13925153),Dillon Brooks,13925153,CPT,9900,MEM@UTA 12/07/2019 10:00PM ET,MEM,23.81
C,Jonas Valanciunas (13925110),Jonas Valanciunas,13925110,UTIL,9800,MEM@UTA 12/07/2019 10:00PM ET,MEM,32.53
SG,Donovan Mitchell (13925111),Donovan Mitchell,13925111,UTIL,9400,MEM@UTA 12/07/2019 10:00PM ET,UTA,39.52
C,Rudy Gobert (13925112),Rudy Gobert,13925112,UTIL,9200,MEM@UTA 12/07/2019 10:00PM ET,UTA,38.18
PG,Ja Morant (13925113),Ja Morant,13925113,UTIL,9000,MEM@UTA 12/07/2019 10:00PM ET,MEM,34.68
PF,Brandon Clarke (13925154),Brandon Clarke,13925154,CPT,9000,MEM@UTA 12/07/2019 10:00PM ET,MEM,23.83
PG,Tyus Jones (13925155),Tyus Jones,13925155,CPT,8700,MEM@UTA 12/07/2019 10:00PM ET,MEM,16.06
SF,Bojan Bogdanovic (13925114),Bojan Bogdanovic,13925114,UTIL,8200,MEM@UTA 12/07/2019 10:00PM ET,UTA,31.70
PF,Jaren Jackson Jr. (13925115),Jaren Jackson Jr.,13925115,UTIL,7800,MEM@UTA 12/07/2019 10:00PM ET,MEM,27.28
SF,Joe Ingles (13925156),Joe Ingles,13925156,CPT,7800,MEM@UTA 12/07/2019 10:00PM ET,UTA,19.43
SF,Solomon Hill (13925157),Solomon Hill,13925157,CPT,7500,MEM@UTA 12/07/2019 10:00PM ET,MEM,15.32
PG,Mike Conley (13925116),Mike Conley,13925116,UTIL,7400,MEM@UTA 12/07/2019 10:00PM ET,UTA,26.82
SF,Jae Crowder (13925117),Jae Crowder,13925117,UTIL,7200,MEM@UTA 12/07/2019 10:00PM ET,MEM,25.43
SG,Grayson Allen (13925158),Grayson Allen,13925158,CPT,7200,MEM@UTA 12/07/2019 10:00PM ET,MEM,14.09
PG,Emmanuel Mudiay (13925159),Emmanuel Mudiay,13925159,CPT,6900,MEM@UTA 12/07/2019 10:00PM ET,UTA,13.93
SG,De'Anthony Melton (13925118),De'Anthony Melton,13925118,UTIL,6800,MEM@UTA 12/07/2019 10:00PM ET,MEM,15.42
SG,Dillon Brooks (13925119),Dillon Brooks,13925119,UTIL,6600,MEM@UTA 12/07/2019 10:00PM ET,MEM,23.81
SF,Royce O'Neale (13925160),Royce O'Neale,13925160,CPT,6600,MEM@UTA 12/07/2019 10:00PM ET,UTA,17.64
SF,Jeff Green (13925161),Jeff Green,13925161,CPT,6300,MEM@UTA 12/07/2019 10:00PM ET,UTA,14.41
PF,Brandon Clarke (13925120),Brandon Clarke,13925120,UTIL,6000,MEM@UTA 12/07/2019 10:00PM ET,MEM,23.83
PG,Tyus Jones (13925121),Tyus Jones,13925121,UTIL,5800,MEM@UTA 12/07/2019 10:00PM ET,MEM,16.06
SF,Joe Ingles (13925122),Joe Ingles,13925122,UTIL,5200,MEM@UTA 12/07/2019 10:00PM ET,UTA,19.43
SF,Solomon Hill (13925123),Solomon Hill,13925123,UTIL,5000,MEM@UTA 12/07/2019 10:00PM ET,MEM,15.32
SG,Grayson Allen (13925124),Grayson Allen,13925124,UTIL,4800,MEM@UTA 12/07/2019 10:00PM ET,MEM,14.09
PG,Emmanuel Mudiay (13925125),Emmanuel Mudiay,13925125,UTIL,4600,MEM@UTA 12/07/2019 10:00PM ET,UTA,13.93
SF,Royce O'Neale (13925126),Royce O'Neale,13925126,UTIL,4400,MEM@UTA 12/07/2019 10:00PM ET,UTA,17.64
SF,Jeff Green (13925127),Jeff Green,13925127,UTIL,4200,MEM@UTA 12/07/2019 10:00PM ET,UTA,14.41
PF,Bruno Caboclo (13925162),Bruno Caboclo,13925162,CPT,4200,MEM@UTA 12/07/2019 10:00PM ET,MEM,10.44
C,Tony Bradley (13925163),Tony Bradley,13925163,CPT,3000,MEM@UTA 12/07/2019 10:00PM ET,UTA,10.06
PF,Bruno Caboclo (13925128),Bruno Caboclo,13925128,UTIL,2800,MEM@UTA 12/07/2019 10:00PM ET,MEM,10.44
PF,Ed Davis (13925164),Ed Davis,13925164,CPT,2100,MEM@UTA 12/07/2019 10:00PM ET,UTA,9.78
C,Tony Bradley (13925129),Tony Bradley,13925129,UTIL,2000,MEM@UTA 12/07/2019 10:00PM ET,UTA,10.06
SF,Georges Niang (13925165),Georges Niang,13925165,CPT,1800,MEM@UTA 12/07/2019 10:00PM ET,UTA,7.20
SF,Kyle Anderson (13925166),Kyle Anderson,13925166,CPT,1800,MEM@UTA 12/07/2019 10:00PM ET,MEM,18.60
PG,Dante Exum (13925169),Dante Exum,13925169,CPT,1800,MEM@UTA 12/07/2019 10:00PM ET,UTA,4.64
PG,Nigel Williams-Goss (13925167),Nigel Williams-Goss,13925167,CPT,1500,MEM@UTA 12/07/2019 10:00PM ET,UTA,1.5
PF,Jarrell Brantley (13925168),Jarrell Brantley,13925168,CPT,1500,MEM@UTA 12/07/2019 10:00PM ET,UTA,5
SG,Marko Guduric (13925170),Marko Guduric,13925170,CPT,1500,MEM@UTA 12/07/2019 10:00PM ET,MEM,10.77
PF,Juwan Morgan (13925171),Juwan Morgan,13925171,CPT,1500,MEM@UTA 12/07/2019 10:00PM ET,UTA,1.25
SG,John Konchar (13925172),John Konchar,13925172,CPT,1500,MEM@UTA 12/07/2019 10:00PM ET,MEM,0
PF,Yuta Watanabe (13925173),Yuta Watanabe,13925173,CPT,1500,MEM@UTA 12/07/2019 10:00PM ET,MEM,2.62
SG,Miye Oni (13925174),Miye Oni,13925174,CPT,1500,MEM@UTA 12/07/2019 10:00PM ET,UTA,-0.25
PG,Justin Wright-Foreman (13925175),Justin Wright-Foreman,13925175,CPT,1500,MEM@UTA 12/07/2019 10:00PM ET,UTA,0
SF,Andre Iguodala (13925176),Andre Iguodala,13925176,CPT,1500,MEM@UTA 12/07/2019 10:00PM ET,MEM,0
SF,Josh Jackson (13925177),Josh Jackson,13925177,CPT,1500,MEM@UTA 12/07/2019 10:00PM ET,MEM,0
PF,Ed Davis (13925130),Ed Davis,13925130,UTIL,1400,MEM@UTA 12/07/2019 10:00PM ET,UTA,9.78
SF,Georges Niang (13925131),Georges Niang,13925131,UTIL,1200,MEM@UTA 12/07/2019 10:00PM ET,UTA,7.20
SF,Kyle Anderson (13925132),Kyle Anderson,13925132,UTIL,1200,MEM@UTA 12/07/2019 10:00PM ET,MEM,18.60
PG,Dante Exum (13925135),Dante Exum,13925135,UTIL,1200,MEM@UTA 12/07/2019 10:00PM ET,UTA,4.64
PG,Nigel Williams-Goss (13925133),Nigel Williams-Goss,13925133,UTIL,1000,MEM@UTA 12/07/2019 10:00PM ET,UTA,1.5
PF,Jarrell Brantley (13925134),Jarrell Brantley,13925134,UTIL,1000,MEM@UTA 12/07/2019 10:00PM ET,UTA,5
