Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Kyrie Irving (14110717),Kyrie Irving,14110717,CPT,17400,MIA@BKN 01/10/2020 07:30PM ET,BKN,50.07
C,Bam Adebayo (14110718),Bam Adebayo,14110718,CPT,15300,MIA@BKN 01/10/2020 07:30PM ET,MIA,40.27
SG/SF,Jimmy Butler (14110719),Jimmy Butler,14110719,CPT,15000,MIA@BKN 01/10/2020 07:30PM ET,MIA,43.48
PG/SG,Spencer Dinwiddie (14110720),Spencer Dinwiddie,14110720,CPT,13800,MIA@BKN 01/10/2020 07:30PM ET,BKN,37.52
PG/SF,Caris LeVert (14110721),Caris LeVert,14110721,CPT,12600,MIA@BKN 01/10/2020 07:30PM ET,BKN,28.34
PG,Kyrie Irving (14110684),Kyrie Irving,14110684,UTIL,11600,MIA@BKN 01/10/2020 07:30PM ET,BKN,50.07
PG,Goran Dragic (14110722),Goran Dragic,14110722,CPT,11400,MIA@BKN 01/10/2020 07:30PM ET,MIA,29
C,Jarrett Allen (14110723),Jarrett Allen,14110723,CPT,10500,MIA@BKN 01/10/2020 07:30PM ET,BKN,29.85
C,Bam Adebayo (14110685),Bam Adebayo,14110685,UTIL,10200,MIA@BKN 01/10/2020 07:30PM ET,MIA,40.27
SF/PF,Taurean Prince (14110724),Taurean Prince,14110724,CPT,10200,MIA@BKN 01/10/2020 07:30PM ET,BKN,27
SG/SF,Jimmy Butler (14110686),Jimmy Butler,14110686,UTIL,10000,MIA@BKN 01/10/2020 07:30PM ET,MIA,43.48
SF/PF,Derrick Jones Jr. (14110725),Derrick Jones Jr.,14110725,CPT,9900,MIA@BKN 01/10/2020 07:30PM ET,MIA,19.02
SG/SF,Joe Harris (14110726),Joe Harris,14110726,CPT,9600,MIA@BKN 01/10/2020 07:30PM ET,BKN,25.46
PG/SG,Spencer Dinwiddie (14110687),Spencer Dinwiddie,14110687,UTIL,9200,MIA@BKN 01/10/2020 07:30PM ET,BKN,37.52
C,DeAndre Jordan (14110727),DeAndre Jordan,14110727,CPT,8700,MIA@BKN 01/10/2020 07:30PM ET,BKN,25.86
PG/SF,Caris LeVert (14110688),Caris LeVert,14110688,UTIL,8400,MIA@BKN 01/10/2020 07:30PM ET,BKN,28.34
PG/SG,Kendrick Nunn (14110728),Kendrick Nunn,14110728,CPT,8100,MIA@BKN 01/10/2020 07:30PM ET,MIA,26.64
PG/SF,Justise Winslow (14110729),Justise Winslow,14110729,CPT,7800,MIA@BKN 01/10/2020 07:30PM ET,MIA,27.25
PG,Goran Dragic (14110689),Goran Dragic,14110689,UTIL,7600,MIA@BKN 01/10/2020 07:30PM ET,MIA,29
SG,Tyler Herro (14110730),Tyler Herro,14110730,CPT,7200,MIA@BKN 01/10/2020 07:30PM ET,MIA,23.70
C,Jarrett Allen (14110690),Jarrett Allen,14110690,UTIL,7000,MIA@BKN 01/10/2020 07:30PM ET,BKN,29.85
