Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Jayson Tatum (13904341),Jayson Tatum,13904341,CPT,15600,MIA@BOS 12/04/2019 07:30PM ET,BOS,38.51
PG,Kemba Walker (13904342),Kemba Walker,13904342,CPT,15000,MIA@BOS 12/04/2019 07:30PM ET,BOS,38.31
SF,Jimmy Butler (13904343),Jimmy Butler,13904343,CPT,14700,MIA@BOS 12/04/2019 07:30PM ET,MIA,42.33
C,Bam Adebayo (13904344),Bam Adebayo,13904344,CPT,14100,MIA@BOS 12/04/2019 07:30PM ET,MIA,38.04
SF,Jaylen Brown (13904345),Jaylen Brown,13904345,CPT,13800,MIA@BOS 12/04/2019 07:30PM ET,BOS,34.66
PG,Marcus Smart (13904346),Marcus Smart,13904346,CPT,12600,MIA@BOS 12/04/2019 07:30PM ET,BOS,27.38
PG,Goran Dragic (13904347),Goran Dragic,13904347,CPT,12000,MIA@BOS 12/04/2019 07:30PM ET,MIA,29.03
PF,Justise Winslow (13904348),Justise Winslow,13904348,CPT,11700,MIA@BOS 12/04/2019 07:30PM ET,MIA,29.83
PG,Kendrick Nunn (13904349),Kendrick Nunn,13904349,CPT,10800,MIA@BOS 12/04/2019 07:30PM ET,MIA,26.72
SF,Jayson Tatum (13904308),Jayson Tatum,13904308,UTIL,10400,MIA@BOS 12/04/2019 07:30PM ET,BOS,38.51
PG,Kemba Walker (13904309),Kemba Walker,13904309,UTIL,10000,MIA@BOS 12/04/2019 07:30PM ET,BOS,38.31
SF,Jimmy Butler (13904310),Jimmy Butler,13904310,UTIL,9800,MIA@BOS 12/04/2019 07:30PM ET,MIA,42.33
C,Enes Kanter (13904350),Enes Kanter,13904350,CPT,9600,MIA@BOS 12/04/2019 07:30PM ET,BOS,19.71
C,Bam Adebayo (13904311),Bam Adebayo,13904311,UTIL,9400,MIA@BOS 12/04/2019 07:30PM ET,MIA,38.04
SF,Jaylen Brown (13904312),Jaylen Brown,13904312,UTIL,9200,MIA@BOS 12/04/2019 07:30PM ET,BOS,34.66
PG,Marcus Smart (13904313),Marcus Smart,13904313,UTIL,8400,MIA@BOS 12/04/2019 07:30PM ET,BOS,27.38
SF,Duncan Robinson (13904351),Duncan Robinson,13904351,CPT,8400,MIA@BOS 12/04/2019 07:30PM ET,MIA,19.06
PG,Goran Dragic (13904314),Goran Dragic,13904314,UTIL,8000,MIA@BOS 12/04/2019 07:30PM ET,MIA,29.03
PF,Justise Winslow (13904315),Justise Winslow,13904315,UTIL,7800,MIA@BOS 12/04/2019 07:30PM ET,MIA,29.83
SG,Tyler Herro (13904352),Tyler Herro,13904352,CPT,7800,MIA@BOS 12/04/2019 07:30PM ET,MIA,23.59
PG,Kendrick Nunn (13904316),Kendrick Nunn,13904316,UTIL,7200,MIA@BOS 12/04/2019 07:30PM ET,MIA,26.72
C,Kelly Olynyk (13904353),Kelly Olynyk,13904353,CPT,7200,MIA@BOS 12/04/2019 07:30PM ET,MIA,20.9
PG,Brad Wanamaker (13904354),Brad Wanamaker,13904354,CPT,7200,MIA@BOS 12/04/2019 07:30PM ET,BOS,16.16
C,Daniel Theis (13904355),Daniel Theis,13904355,CPT,6900,MIA@BOS 12/04/2019 07:30PM ET,BOS,20.61
SG,Dion Waiters (13904356),Dion Waiters,13904356,CPT,6600,MIA@BOS 12/04/2019 07:30PM ET,MIA,0
C,Enes Kanter (13904317),Enes Kanter,13904317,UTIL,6400,MIA@BOS 12/04/2019 07:30PM ET,BOS,19.71
SF,Duncan Robinson (13904318),Duncan Robinson,13904318,UTIL,5600,MIA@BOS 12/04/2019 07:30PM ET,MIA,19.06
C,Robert Williams (13904357),Robert Williams,13904357,CPT,5400,MIA@BOS 12/04/2019 07:30PM ET,BOS,15.24
SG,Tyler Herro (13904319),Tyler Herro,13904319,UTIL,5200,MIA@BOS 12/04/2019 07:30PM ET,MIA,23.59
C,Kelly Olynyk (13904320),Kelly Olynyk,13904320,UTIL,4800,MIA@BOS 12/04/2019 07:30PM ET,MIA,20.9
PG,Brad Wanamaker (13904321),Brad Wanamaker,13904321,UTIL,4800,MIA@BOS 12/04/2019 07:30PM ET,BOS,16.16
C,Meyers Leonard (13904358),Meyers Leonard,13904358,CPT,4800,MIA@BOS 12/04/2019 07:30PM ET,MIA,14.82
C,Daniel Theis (13904322),Daniel Theis,13904322,UTIL,4600,MIA@BOS 12/04/2019 07:30PM ET,BOS,20.61
SG,Dion Waiters (13904323),Dion Waiters,13904323,UTIL,4400,MIA@BOS 12/04/2019 07:30PM ET,MIA,0
SG,Javonte Green (13904359),Javonte Green,13904359,CPT,4200,MIA@BOS 12/04/2019 07:30PM ET,BOS,5.54
C,Robert Williams (13904324),Robert Williams,13904324,UTIL,3600,MIA@BOS 12/04/2019 07:30PM ET,BOS,15.24
PF,Semi Ojeleye (13904360),Semi Ojeleye,13904360,CPT,3600,MIA@BOS 12/04/2019 07:30PM ET,BOS,5.96
PF,Chris Silva (13904361),Chris Silva,13904361,CPT,3300,MIA@BOS 12/04/2019 07:30PM ET,MIA,11.90
C,Meyers Leonard (13904325),Meyers Leonard,13904325,UTIL,3200,MIA@BOS 12/04/2019 07:30PM ET,MIA,14.82
PF,Udonis Haslem (13904362),Udonis Haslem,13904362,CPT,3000,MIA@BOS 12/04/2019 07:30PM ET,MIA,4.38
SG,Javonte Green (13904326),Javonte Green,13904326,UTIL,2800,MIA@BOS 12/04/2019 07:30PM ET,BOS,5.54
SF,James Johnson (13904363),James Johnson,13904363,CPT,2700,MIA@BOS 12/04/2019 07:30PM ET,MIA,8.12
PF,Semi Ojeleye (13904327),Semi Ojeleye,13904327,UTIL,2400,MIA@BOS 12/04/2019 07:30PM ET,BOS,5.96
SF,Derrick Jones Jr. (13904364),Derrick Jones Jr.,13904364,CPT,2400,MIA@BOS 12/04/2019 07:30PM ET,MIA,10.04
PF,Chris Silva (13904328),Chris Silva,13904328,UTIL,2200,MIA@BOS 12/04/2019 07:30PM ET,MIA,11.90
PG,Tremont Waters (13904365),Tremont Waters,13904365,CPT,2100,MIA@BOS 12/04/2019 07:30PM ET,BOS,19.5
PF,Udonis Haslem (13904329),Udonis Haslem,13904329,UTIL,2000,MIA@BOS 12/04/2019 07:30PM ET,MIA,4.38
SF,James Johnson (13904330),James Johnson,13904330,UTIL,1800,MIA@BOS 12/04/2019 07:30PM ET,MIA,8.12
PF,Grant Williams (13904366),Grant Williams,13904366,CPT,1800,MIA@BOS 12/04/2019 07:30PM ET,BOS,8.08
SF,Derrick Jones Jr. (13904331),Derrick Jones Jr.,13904331,UTIL,1600,MIA@BOS 12/04/2019 07:30PM ET,MIA,10.04
PG,Carsen Edwards (13904367),Carsen Edwards,13904367,CPT,1500,MIA@BOS 12/04/2019 07:30PM ET,BOS,8.94
PG,Daryl Macon (13904368),Daryl Macon,13904368,CPT,1500,MIA@BOS 12/04/2019 07:30PM ET,MIA,1.33
C,Vincent Poirier (13904369),Vincent Poirier,13904369,CPT,1500,MIA@BOS 12/04/2019 07:30PM ET,BOS,4.33
SF,Gordon Hayward (13904370),Gordon Hayward,13904370,CPT,1500,MIA@BOS 12/04/2019 07:30PM ET,BOS,36.22
C,Tacko Fall (13904371),Tacko Fall,13904371,CPT,1500,MIA@BOS 12/04/2019 07:30PM ET,BOS,7.25
SG,Romeo Langford (13904372),Romeo Langford,13904372,CPT,1500,MIA@BOS 12/04/2019 07:30PM ET,BOS,0
SF,KZ Okpala (13904373),KZ Okpala,13904373,CPT,1500,MIA@BOS 12/04/2019 07:30PM ET,MIA,0.38
PG,Tremont Waters (13904332),Tremont Waters,13904332,UTIL,1400,MIA@BOS 12/04/2019 07:30PM ET,BOS,19.5
PF,Grant Williams (13904333),Grant Williams,13904333,UTIL,1200,MIA@BOS 12/04/2019 07:30PM ET,BOS,8.08
PG,Carsen Edwards (13904334),Carsen Edwards,13904334,UTIL,1000,MIA@BOS 12/04/2019 07:30PM ET,BOS,8.94
PG,Daryl Macon (13904335),Daryl Macon,13904335,UTIL,1000,MIA@BOS 12/04/2019 07:30PM ET,MIA,1.33
C,Vincent Poirier (13904336),Vincent Poirier,13904336,UTIL,1000,MIA@BOS 12/04/2019 07:30PM ET,BOS,4.33
SF,Gordon Hayward (13904337),Gordon Hayward,13904337,UTIL,1000,MIA@BOS 12/04/2019 07:30PM ET,BOS,36.22
C,Tacko Fall (13904338),Tacko Fall,13904338,UTIL,1000,MIA@BOS 12/04/2019 07:30PM ET,BOS,7.25
SG,Romeo Langford (13904339),Romeo Langford,13904339,UTIL,1000,MIA@BOS 12/04/2019 07:30PM ET,BOS,0
SF,KZ Okpala (13904340),KZ Okpala,13904340,UTIL,1000,MIA@BOS 12/04/2019 07:30PM ET,MIA,0.38
