Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (13967940),Luka Doncic,13967940,CPT,21300,MIA@DAL 12/14/2019 08:30PM ET,DAL,60.75
SG/SF,Jimmy Butler (13967941),Jimmy Butler,13967941,CPT,17100,MIA@DAL 12/14/2019 08:30PM ET,MIA,44.94
C,Bam Adebayo (13967942),Bam Adebayo,13967942,CPT,15000,MIA@DAL 12/14/2019 08:30PM ET,MIA,39.52
PG/SF,Luka Doncic (13967907),Luka Doncic,13967907,UTIL,14200,MIA@DAL 12/14/2019 08:30PM ET,DAL,60.75
PF/C,Kristaps Porzingis (13967943),Kristaps Porzingis,13967943,CPT,13500,MIA@DAL 12/14/2019 08:30PM ET,DAL,35.18
PG/SG,Kendrick Nunn (13967944),Kendrick Nunn,13967944,CPT,12600,MIA@DAL 12/14/2019 08:30PM ET,MIA,27.58
SG/SF,Jimmy Butler (13967908),Jimmy Butler,13967908,UTIL,11400,MIA@DAL 12/14/2019 08:30PM ET,MIA,44.94
SG/SF,Duncan Robinson (13967945),Duncan Robinson,13967945,CPT,11400,MIA@DAL 12/14/2019 08:30PM ET,MIA,20.22
PG/SF,Justise Winslow (13967946),Justise Winslow,13967946,CPT,11100,MIA@DAL 12/14/2019 08:30PM ET,MIA,29.22
PG,Goran Dragic (13967947),Goran Dragic,13967947,CPT,10800,MIA@DAL 12/14/2019 08:30PM ET,MIA,29.03
C,Bam Adebayo (13967909),Bam Adebayo,13967909,UTIL,10000,MIA@DAL 12/14/2019 08:30PM ET,MIA,39.52
PG/SG,Seth Curry (13967948),Seth Curry,13967948,CPT,9600,MIA@DAL 12/14/2019 08:30PM ET,DAL,16.49
PF/C,Kristaps Porzingis (13967910),Kristaps Porzingis,13967910,UTIL,9000,MIA@DAL 12/14/2019 08:30PM ET,DAL,35.18
PG/SG,Kendrick Nunn (13967911),Kendrick Nunn,13967911,UTIL,8400,MIA@DAL 12/14/2019 08:30PM ET,MIA,27.58
SG/SF,Tim Hardaway Jr. (13967949),Tim Hardaway Jr.,13967949,CPT,8400,MIA@DAL 12/14/2019 08:30PM ET,DAL,20.38
SG,Tyler Herro (13967950),Tyler Herro,13967950,CPT,7800,MIA@DAL 12/14/2019 08:30PM ET,MIA,23.06
SG/SF,Duncan Robinson (13967912),Duncan Robinson,13967912,UTIL,7600,MIA@DAL 12/14/2019 08:30PM ET,MIA,20.22
C,Dwight Powell (13967951),Dwight Powell,13967951,CPT,7500,MIA@DAL 12/14/2019 08:30PM ET,DAL,18.38
PG/SF,Justise Winslow (13967913),Justise Winslow,13967913,UTIL,7400,MIA@DAL 12/14/2019 08:30PM ET,MIA,29.22
PG,Goran Dragic (13967914),Goran Dragic,13967914,UTIL,7200,MIA@DAL 12/14/2019 08:30PM ET,MIA,29.03
PG/SG,Delon Wright (13967952),Delon Wright,13967952,CPT,7200,MIA@DAL 12/14/2019 08:30PM ET,DAL,19.67
SF/PF,Dorian Finney-Smith (13967953),Dorian Finney-Smith,13967953,CPT,6900,MIA@DAL 12/14/2019 08:30PM ET,DAL,18.74
SF/PF,Derrick Jones Jr. (13967954),Derrick Jones Jr.,13967954,CPT,6600,MIA@DAL 12/14/2019 08:30PM ET,MIA,13.66
PG/SG,Seth Curry (13967915),Seth Curry,13967915,UTIL,6400,MIA@DAL 12/14/2019 08:30PM ET,DAL,16.49
PF/C,Kelly Olynyk (13967955),Kelly Olynyk,13967955,CPT,6300,MIA@DAL 12/14/2019 08:30PM ET,MIA,19.85
SG/SF,Tim Hardaway Jr. (13967916),Tim Hardaway Jr.,13967916,UTIL,5600,MIA@DAL 12/14/2019 08:30PM ET,DAL,20.38
SG,Tyler Herro (13967917),Tyler Herro,13967917,UTIL,5200,MIA@DAL 12/14/2019 08:30PM ET,MIA,23.06
SG/SF,Dion Waiters (13967956),Dion Waiters,13967956,CPT,5100,MIA@DAL 12/14/2019 08:30PM ET,MIA,0
C,Dwight Powell (13967918),Dwight Powell,13967918,UTIL,5000,MIA@DAL 12/14/2019 08:30PM ET,DAL,18.38
PG/SG,Delon Wright (13967919),Delon Wright,13967919,UTIL,4800,MIA@DAL 12/14/2019 08:30PM ET,DAL,19.67
PF/C,Maxi Kleber (13967957),Maxi Kleber,13967957,CPT,4800,MIA@DAL 12/14/2019 08:30PM ET,DAL,18.42
SF/PF,Dorian Finney-Smith (13967920),Dorian Finney-Smith,13967920,UTIL,4600,MIA@DAL 12/14/2019 08:30PM ET,DAL,18.74
SF/PF,Derrick Jones Jr. (13967921),Derrick Jones Jr.,13967921,UTIL,4400,MIA@DAL 12/14/2019 08:30PM ET,MIA,13.66
PF/C,Kelly Olynyk (13967922),Kelly Olynyk,13967922,UTIL,4200,MIA@DAL 12/14/2019 08:30PM ET,MIA,19.85
C,Boban Marjanovic (13967958),Boban Marjanovic,13967958,CPT,3600,MIA@DAL 12/14/2019 08:30PM ET,DAL,16.12
SG/SF,Dion Waiters (13967923),Dion Waiters,13967923,UTIL,3400,MIA@DAL 12/14/2019 08:30PM ET,MIA,0
PF/C,Meyers Leonard (13967959),Meyers Leonard,13967959,CPT,3300,MIA@DAL 12/14/2019 08:30PM ET,MIA,13.68
PF/C,Maxi Kleber (13967924),Maxi Kleber,13967924,UTIL,3200,MIA@DAL 12/14/2019 08:30PM ET,DAL,18.42
SF/PF,Justin Jackson (13967960),Justin Jackson,13967960,CPT,3000,MIA@DAL 12/14/2019 08:30PM ET,DAL,10.99
PG/SG,Jalen Brunson (13967961),Jalen Brunson,13967961,CPT,2700,MIA@DAL 12/14/2019 08:30PM ET,DAL,15.05
C,Boban Marjanovic (13967925),Boban Marjanovic,13967925,UTIL,2400,MIA@DAL 12/14/2019 08:30PM ET,DAL,16.12
PF/C,Meyers Leonard (13967926),Meyers Leonard,13967926,UTIL,2200,MIA@DAL 12/14/2019 08:30PM ET,MIA,13.68
PG/SG,J.J. Barea (13967962),J.J. Barea,13967962,CPT,2100,MIA@DAL 12/14/2019 08:30PM ET,DAL,16.42
SF/PF,Justin Jackson (13967927),Justin Jackson,13967927,UTIL,2000,MIA@DAL 12/14/2019 08:30PM ET,DAL,10.99
PG/SG,Jalen Brunson (13967928),Jalen Brunson,13967928,UTIL,1800,MIA@DAL 12/14/2019 08:30PM ET,DAL,15.05
SG/SF,Courtney Lee (13967963),Courtney Lee,13967963,CPT,1800,MIA@DAL 12/14/2019 08:30PM ET,DAL,6.89
PF,Udonis Haslem (13967964),Udonis Haslem,13967964,CPT,1800,MIA@DAL 12/14/2019 08:30PM ET,MIA,4.38
C,Chris Silva (13967965),Chris Silva,13967965,CPT,1800,MIA@DAL 12/14/2019 08:30PM ET,MIA,10.46
SG/SF,Ryan Broekhoff (13967966),Ryan Broekhoff,13967966,CPT,1500,MIA@DAL 12/14/2019 08:30PM ET,DAL,5.4
SF/PF,James Johnson (13967967),James Johnson,13967967,CPT,1500,MIA@DAL 12/14/2019 08:30PM ET,MIA,8.12
PG/SG,Daryl Macon (13967968),Daryl Macon,13967968,CPT,1500,MIA@DAL 12/14/2019 08:30PM ET,MIA,1
SF/PF,KZ Okpala (13967969),KZ Okpala,13967969,CPT,1500,MIA@DAL 12/14/2019 08:30PM ET,MIA,0.25
SF/PF,Isaiah Roby (13967970),Isaiah Roby,13967970,CPT,1500,MIA@DAL 12/14/2019 08:30PM ET,DAL,0
SG,Josh Reaves (13967971),Josh Reaves,13967971,CPT,1500,MIA@DAL 12/14/2019 08:30PM ET,DAL,0
