Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Domantas Sabonis (14100332),Domantas Sabonis,14100332,CPT,15900,MIA@IND 01/08/2020 07:00PM ET,IND,43.45
C,Bam Adebayo (14100333),Bam Adebayo,14100333,CPT,15600,MIA@IND 01/08/2020 07:00PM ET,MIA,40.35
SG/SF,Jimmy Butler (14100334),Jimmy Butler,14100334,CPT,15300,MIA@IND 01/08/2020 07:00PM ET,MIA,43.75
PG/SG,Malcolm Brogdon (14100335),Malcolm Brogdon,14100335,CPT,14100,MIA@IND 01/08/2020 07:00PM ET,IND,36.06
PG/SG,Victor Oladipo (14100336),Victor Oladipo,14100336,CPT,13800,MIA@IND 01/08/2020 07:00PM ET,IND,0
SF/PF,T.J. Warren (14100337),T.J. Warren,14100337,CPT,13200,MIA@IND 01/08/2020 07:00PM ET,IND,27.95
PG,Goran Dragic (14100338),Goran Dragic,14100338,CPT,12600,MIA@IND 01/08/2020 07:00PM ET,MIA,29.20
SG/SF,Jeremy Lamb (14100339),Jeremy Lamb,14100339,CPT,12000,MIA@IND 01/08/2020 07:00PM ET,IND,27.88
C,Myles Turner (14100340),Myles Turner,14100340,CPT,11100,MIA@IND 01/08/2020 07:00PM ET,IND,27.08
PF/C,Domantas Sabonis (14100299),Domantas Sabonis,14100299,UTIL,10600,MIA@IND 01/08/2020 07:00PM ET,IND,43.45
PG/SG,Aaron Holiday (14100341),Aaron Holiday,14100341,CPT,10500,MIA@IND 01/08/2020 07:00PM ET,IND,21.33
C,Bam Adebayo (14100300),Bam Adebayo,14100300,UTIL,10400,MIA@IND 01/08/2020 07:00PM ET,MIA,40.35
SG/SF,Jimmy Butler (14100301),Jimmy Butler,14100301,UTIL,10200,MIA@IND 01/08/2020 07:00PM ET,MIA,43.75
PG/SF,Justise Winslow (14100342),Justise Winslow,14100342,CPT,10200,MIA@IND 01/08/2020 07:00PM ET,MIA,29.22
PG/SG,Malcolm Brogdon (14100302),Malcolm Brogdon,14100302,UTIL,9400,MIA@IND 01/08/2020 07:00PM ET,IND,36.06
PG/SG,Victor Oladipo (14100303),Victor Oladipo,14100303,UTIL,9200,MIA@IND 01/08/2020 07:00PM ET,IND,0
SF/PF,Derrick Jones Jr. (14100343),Derrick Jones Jr.,14100343,CPT,9000,MIA@IND 01/08/2020 07:00PM ET,MIA,18.28
SF/PF,T.J. Warren (14100304),T.J. Warren,14100304,UTIL,8800,MIA@IND 01/08/2020 07:00PM ET,IND,27.95
PG,Goran Dragic (14100305),Goran Dragic,14100305,UTIL,8400,MIA@IND 01/08/2020 07:00PM ET,MIA,29.20
PG/SG,Kendrick Nunn (14100344),Kendrick Nunn,14100344,CPT,8400,MIA@IND 01/08/2020 07:00PM ET,MIA,26.83
SG/SF,Jeremy Lamb (14100306),Jeremy Lamb,14100306,UTIL,8000,MIA@IND 01/08/2020 07:00PM ET,IND,27.88
PG,T.J. McConnell (14100345),T.J. McConnell,14100345,CPT,7500,MIA@IND 01/08/2020 07:00PM ET,IND,19.25
C,Myles Turner (14100307),Myles Turner,14100307,UTIL,7400,MIA@IND 01/08/2020 07:00PM ET,IND,27.08
PG/SG,Aaron Holiday (14100308),Aaron Holiday,14100308,UTIL,7000,MIA@IND 01/08/2020 07:00PM ET,IND,21.33
PG/SF,Justise Winslow (14100309),Justise Winslow,14100309,UTIL,6800,MIA@IND 01/08/2020 07:00PM ET,MIA,29.22
SG,Tyler Herro (14100346),Tyler Herro,14100346,CPT,6300,MIA@IND 01/08/2020 07:00PM ET,MIA,23.46
SF/PF,Derrick Jones Jr. (14100310),Derrick Jones Jr.,14100310,UTIL,6000,MIA@IND 01/08/2020 07:00PM ET,MIA,18.28
SG/SF,Duncan Robinson (14100347),Duncan Robinson,14100347,CPT,6000,MIA@IND 01/08/2020 07:00PM ET,MIA,20.17
PF/C,Meyers Leonard (14100348),Meyers Leonard,14100348,CPT,5700,MIA@IND 01/08/2020 07:00PM ET,MIA,15.02
PG/SG,Kendrick Nunn (14100311),Kendrick Nunn,14100311,UTIL,5600,MIA@IND 01/08/2020 07:00PM ET,MIA,26.83
SG/SF,Justin Holiday (14100349),Justin Holiday,14100349,CPT,5400,MIA@IND 01/08/2020 07:00PM ET,IND,17.83
SF/PF,James Johnson (14100350),James Johnson,14100350,CPT,5100,MIA@IND 01/08/2020 07:00PM ET,MIA,10.82
