Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Jimmy Butler (14122089),Jimmy Butler,14122089,CPT,15300,MIA@NY 01/12/2020 03:30PM ET,MIA,43.64
C,Bam Adebayo (14122090),Bam Adebayo,14122090,CPT,14400,MIA@NY 01/12/2020 03:30PM ET,MIA,40.41
PF/C,Julius Randle (14122091),Julius Randle,14122091,CPT,13500,MIA@NY 01/12/2020 03:30PM ET,NY,36.38
PG,Elfrid Payton (14122092),Elfrid Payton,14122092,CPT,12600,MIA@NY 01/12/2020 03:30PM ET,NY,25.45
SF/PF,Marcus Morris Sr. (14122093),Marcus Morris Sr.,14122093,CPT,11700,MIA@NY 01/12/2020 03:30PM ET,NY,31.51
PF/C,Bobby Portis (14122094),Bobby Portis,14122094,CPT,10800,MIA@NY 01/12/2020 03:30PM ET,NY,21.19
PG/SG,RJ Barrett (14122095),RJ Barrett,14122095,CPT,10500,MIA@NY 01/12/2020 03:30PM ET,NY,26.41
SG/SF,Jimmy Butler (14122056),Jimmy Butler,14122056,UTIL,10200,MIA@NY 01/12/2020 03:30PM ET,MIA,43.64
PG,Goran Dragic (14122096),Goran Dragic,14122096,CPT,10200,MIA@NY 01/12/2020 03:30PM ET,MIA,28.93
C,Bam Adebayo (14122057),Bam Adebayo,14122057,UTIL,9600,MIA@NY 01/12/2020 03:30PM ET,MIA,40.41
C,Mitchell Robinson (14122097),Mitchell Robinson,14122097,CPT,9600,MIA@NY 01/12/2020 03:30PM ET,NY,24.44
SF/PF,Derrick Jones Jr. (14122098),Derrick Jones Jr.,14122098,CPT,9300,MIA@NY 01/12/2020 03:30PM ET,MIA,19.06
PF/C,Julius Randle (14122058),Julius Randle,14122058,UTIL,9000,MIA@NY 01/12/2020 03:30PM ET,NY,36.38
PG,Elfrid Payton (14122059),Elfrid Payton,14122059,UTIL,8400,MIA@NY 01/12/2020 03:30PM ET,NY,25.45
PG/SG,Kendrick Nunn (14122099),Kendrick Nunn,14122099,CPT,8400,MIA@NY 01/12/2020 03:30PM ET,MIA,26.35
SF/PF,Marcus Morris Sr. (14122060),Marcus Morris Sr.,14122060,UTIL,7800,MIA@NY 01/12/2020 03:30PM ET,NY,31.51
PG/SF,Justise Winslow (14122100),Justise Winslow,14122100,CPT,7500,MIA@NY 01/12/2020 03:30PM ET,MIA,27.25
PF/C,Bobby Portis (14122061),Bobby Portis,14122061,UTIL,7200,MIA@NY 01/12/2020 03:30PM ET,NY,21.19
SG,Tyler Herro (14122101),Tyler Herro,14122101,CPT,7200,MIA@NY 01/12/2020 03:30PM ET,MIA,23.70
PG/SG,RJ Barrett (14122062),RJ Barrett,14122062,UTIL,7000,MIA@NY 01/12/2020 03:30PM ET,NY,26.41
SG/SF,Reggie Bullock (14122102),Reggie Bullock,14122102,CPT,6900,MIA@NY 01/12/2020 03:30PM ET,NY,17.92
PG,Goran Dragic (14122063),Goran Dragic,14122063,UTIL,6800,MIA@NY 01/12/2020 03:30PM ET,MIA,28.93
C,Mitchell Robinson (14122064),Mitchell Robinson,14122064,UTIL,6400,MIA@NY 01/12/2020 03:30PM ET,NY,24.44
PF/C,Meyers Leonard (14122103),Meyers Leonard,14122103,CPT,6300,MIA@NY 01/12/2020 03:30PM ET,MIA,15.19
SF/PF,Derrick Jones Jr. (14122065),Derrick Jones Jr.,14122065,UTIL,6200,MIA@NY 01/12/2020 03:30PM ET,MIA,19.06
PF/C,Taj Gibson (14122104),Taj Gibson,14122104,CPT,6000,MIA@NY 01/12/2020 03:30PM ET,NY,13.33
PG/SG,Kendrick Nunn (14122066),Kendrick Nunn,14122066,UTIL,5600,MIA@NY 01/12/2020 03:30PM ET,MIA,26.35
SG/SF,Duncan Robinson (14122105),Duncan Robinson,14122105,CPT,5400,MIA@NY 01/12/2020 03:30PM ET,MIA,20.18
PG/SF,Justise Winslow (14122067),Justise Winslow,14122067,UTIL,5000,MIA@NY 01/12/2020 03:30PM ET,MIA,27.25
SG,Tyler Herro (14122068),Tyler Herro,14122068,UTIL,4800,MIA@NY 01/12/2020 03:30PM ET,MIA,23.70
SF/PF,Kevin Knox II (14122106),Kevin Knox II,14122106,CPT,4800,MIA@NY 01/12/2020 03:30PM ET,NY,14.86
SG/SF,Reggie Bullock (14122069),Reggie Bullock,14122069,UTIL,4600,MIA@NY 01/12/2020 03:30PM ET,NY,17.92
PF/C,Meyers Leonard (14122070),Meyers Leonard,14122070,UTIL,4200,MIA@NY 01/12/2020 03:30PM ET,MIA,15.19
PG/SG,Frank Ntilikina (14122107),Frank Ntilikina,14122107,CPT,4200,MIA@NY 01/12/2020 03:30PM ET,NY,16.26
PF/C,Taj Gibson (14122071),Taj Gibson,14122071,UTIL,4000,MIA@NY 01/12/2020 03:30PM ET,NY,13.33
SG/SF,Wayne Ellington (14122108),Wayne Ellington,14122108,CPT,3900,MIA@NY 01/12/2020 03:30PM ET,NY,8.89
SG/SF,Duncan Robinson (14122072),Duncan Robinson,14122072,UTIL,3600,MIA@NY 01/12/2020 03:30PM ET,MIA,20.18
SF/PF,James Johnson (14122109),James Johnson,14122109,CPT,3600,MIA@NY 01/12/2020 03:30PM ET,MIA,11.12
SG/SF,Damyean Dotson (14122110),Damyean Dotson,14122110,CPT,3300,MIA@NY 01/12/2020 03:30PM ET,NY,11.76
SF/PF,Kevin Knox II (14122073),Kevin Knox II,14122073,UTIL,3200,MIA@NY 01/12/2020 03:30PM ET,NY,14.86
PG/SG,Kadeem Allen (14122111),Kadeem Allen,14122111,CPT,3000,MIA@NY 01/12/2020 03:30PM ET,NY,7.54
PG/SG,Frank Ntilikina (14122074),Frank Ntilikina,14122074,UTIL,2800,MIA@NY 01/12/2020 03:30PM ET,NY,16.26
PF/C,Kelly Olynyk (14122112),Kelly Olynyk,14122112,CPT,2700,MIA@NY 01/12/2020 03:30PM ET,MIA,17.35
SG/SF,Wayne Ellington (14122075),Wayne Ellington,14122075,UTIL,2600,MIA@NY 01/12/2020 03:30PM ET,NY,8.89
SF/PF,James Johnson (14122076),James Johnson,14122076,UTIL,2400,MIA@NY 01/12/2020 03:30PM ET,MIA,11.12
SF/PF,Ignas Brazdeikis (14122113),Ignas Brazdeikis,14122113,CPT,2400,MIA@NY 01/12/2020 03:30PM ET,NY,3.42
SG/SF,Damyean Dotson (14122077),Damyean Dotson,14122077,UTIL,2200,MIA@NY 01/12/2020 03:30PM ET,NY,11.76
PG,Dennis Smith Jr. (14122114),Dennis Smith Jr.,14122114,CPT,2100,MIA@NY 01/12/2020 03:30PM ET,NY,13.07
PG/SG,Kadeem Allen (14122078),Kadeem Allen,14122078,UTIL,2000,MIA@NY 01/12/2020 03:30PM ET,NY,7.54
PF/C,Kelly Olynyk (14122079),Kelly Olynyk,14122079,UTIL,1800,MIA@NY 01/12/2020 03:30PM ET,MIA,17.35
PG/SG,Allonzo Trier (14122115),Allonzo Trier,14122115,CPT,1800,MIA@NY 01/12/2020 03:30PM ET,NY,10.44
SF/PF,Ignas Brazdeikis (14122080),Ignas Brazdeikis,14122080,UTIL,1600,MIA@NY 01/12/2020 03:30PM ET,NY,3.42
C,Chris Silva (14122116),Chris Silva,14122116,CPT,1500,MIA@NY 01/12/2020 03:30PM ET,MIA,8.95
SF/PF,KZ Okpala (14122117),KZ Okpala,14122117,CPT,1500,MIA@NY 01/12/2020 03:30PM ET,MIA,0.25
PF/C,Ivan Rabb (14122118),Ivan Rabb,14122118,CPT,1500,MIA@NY 01/12/2020 03:30PM ET,NY,0
