Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Bam Adebayo (14146324),Bam Adebayo,14146324,CPT,15300,MIA@OKC 01/17/2020 08:00PM ET,MIA,40.23
SG/SF,Jimmy Butler (14146325),Jimmy Butler,14146325,CPT,14400,MIA@OKC 01/17/2020 08:00PM ET,MIA,43.31
PG/SG,Shai Gilgeous-Alexander (14146326),Shai Gilgeous-Alexander,14146326,CPT,13800,MIA@OKC 01/17/2020 08:00PM ET,OKC,34.71
PG,Chris Paul (14146327),Chris Paul,14146327,CPT,12900,MIA@OKC 01/17/2020 08:00PM ET,OKC,36.01
C,Steven Adams (14146328),Steven Adams,14146328,CPT,12300,MIA@OKC 01/17/2020 08:00PM ET,OKC,31.86
SF/PF,Danilo Gallinari (14146329),Danilo Gallinari,14146329,CPT,12000,MIA@OKC 01/17/2020 08:00PM ET,OKC,31.53
PG/SG,Kendrick Nunn (14146330),Kendrick Nunn,14146330,CPT,11700,MIA@OKC 01/17/2020 08:00PM ET,MIA,26.96
PG/SG,Dennis Schroder (14146331),Dennis Schroder,14146331,CPT,11400,MIA@OKC 01/17/2020 08:00PM ET,OKC,29.86
C,Bam Adebayo (14146291),Bam Adebayo,14146291,UTIL,10200,MIA@OKC 01/17/2020 08:00PM ET,MIA,40.23
PG,Goran Dragic (14146332),Goran Dragic,14146332,CPT,10200,MIA@OKC 01/17/2020 08:00PM ET,MIA,28.29
SG/SF,Jimmy Butler (14146292),Jimmy Butler,14146292,UTIL,9600,MIA@OKC 01/17/2020 08:00PM ET,MIA,43.31
C,Nerlens Noel (14146333),Nerlens Noel,14146333,CPT,9600,MIA@OKC 01/17/2020 08:00PM ET,OKC,20.68
PG/SG,Shai Gilgeous-Alexander (14146293),Shai Gilgeous-Alexander,14146293,UTIL,9200,MIA@OKC 01/17/2020 08:00PM ET,OKC,34.71
PF/C,Mike Muscala (14146334),Mike Muscala,14146334,CPT,9000,MIA@OKC 01/17/2020 08:00PM ET,OKC,9.70
