Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Bam Adebayo (14156778),Bam Adebayo,14156778,CPT,16500,MIA@SA 01/19/2020 03:00PM ET,MIA,40.20
SG/SF,DeMar DeRozan (14156779),DeMar DeRozan,14156779,CPT,15600,MIA@SA 01/19/2020 03:00PM ET,SA,38.79
SG/SF,Jimmy Butler (14156780),Jimmy Butler,14156780,CPT,14700,MIA@SA 01/19/2020 03:00PM ET,MIA,43.33
PF/C,LaMarcus Aldridge (14156781),LaMarcus Aldridge,14156781,CPT,13800,MIA@SA 01/19/2020 03:00PM ET,SA,36.85
PG/SG,Kendrick Nunn (14156782),Kendrick Nunn,14156782,CPT,12600,MIA@SA 01/19/2020 03:00PM ET,MIA,27.05
PG,Dejounte Murray (14156783),Dejounte Murray,14156783,CPT,11400,MIA@SA 01/19/2020 03:00PM ET,SA,27.17
C,Bam Adebayo (14156744),Bam Adebayo,14156744,UTIL,11000,MIA@SA 01/19/2020 03:00PM ET,MIA,40.20
PG,Goran Dragic (14156784),Goran Dragic,14156784,CPT,10500,MIA@SA 01/19/2020 03:00PM ET,MIA,28.04
SG/SF,DeMar DeRozan (14156745),DeMar DeRozan,14156745,UTIL,10400,MIA@SA 01/19/2020 03:00PM ET,SA,38.79
SG/SF,Jimmy Butler (14156746),Jimmy Butler,14156746,UTIL,9800,MIA@SA 01/19/2020 03:00PM ET,MIA,43.33
SG/SF,Duncan Robinson (14156785),Duncan Robinson,14156785,CPT,9600,MIA@SA 01/19/2020 03:00PM ET,MIA,20.40
PF/C,LaMarcus Aldridge (14156747),LaMarcus Aldridge,14156747,UTIL,9200,MIA@SA 01/19/2020 03:00PM ET,SA,36.85
PF/C,Trey Lyles (14156786),Trey Lyles,14156786,CPT,8700,MIA@SA 01/19/2020 03:00PM ET,SA,15.16
PG/SG,Kendrick Nunn (14156748),Kendrick Nunn,14156748,UTIL,8400,MIA@SA 01/19/2020 03:00PM ET,MIA,27.05
SG,Tyler Herro (14156787),Tyler Herro,14156787,CPT,8100,MIA@SA 01/19/2020 03:00PM ET,MIA,23.68
PG,Dejounte Murray (14156749),Dejounte Murray,14156749,UTIL,7600,MIA@SA 01/19/2020 03:00PM ET,SA,27.17
PG/SF,Justise Winslow (14156788),Justise Winslow,14156788,CPT,7500,MIA@SA 01/19/2020 03:00PM ET,MIA,27.25
SF/PF,Rudy Gay (14156789),Rudy Gay,14156789,CPT,7200,MIA@SA 01/19/2020 03:00PM ET,SA,22.91
PG,Goran Dragic (14156750),Goran Dragic,14156750,UTIL,7000,MIA@SA 01/19/2020 03:00PM ET,MIA,28.04
PG/SG,Derrick White (14156790),Derrick White,14156790,CPT,6900,MIA@SA 01/19/2020 03:00PM ET,SA,20.16
SF/PF,Derrick Jones Jr. (14156791),Derrick Jones Jr.,14156791,CPT,6600,MIA@SA 01/19/2020 03:00PM ET,MIA,19.05
SG/SF,Duncan Robinson (14156751),Duncan Robinson,14156751,UTIL,6400,MIA@SA 01/19/2020 03:00PM ET,MIA,20.40
C,Jakob Poeltl (14156792),Jakob Poeltl,14156792,CPT,6300,MIA@SA 01/19/2020 03:00PM ET,SA,18.57
PF,Meyers Leonard (14156793),Meyers Leonard,14156793,CPT,6000,MIA@SA 01/19/2020 03:00PM ET,MIA,15.39
PF/C,Trey Lyles (14156752),Trey Lyles,14156752,UTIL,5800,MIA@SA 01/19/2020 03:00PM ET,SA,15.16
SG,Tyler Herro (14156753),Tyler Herro,14156753,UTIL,5400,MIA@SA 01/19/2020 03:00PM ET,MIA,23.68
C,Kelly Olynyk (14156794),Kelly Olynyk,14156794,CPT,5400,MIA@SA 01/19/2020 03:00PM ET,MIA,17.25
PG/SF,Justise Winslow (14156754),Justise Winslow,14156754,UTIL,5000,MIA@SA 01/19/2020 03:00PM ET,MIA,27.25
SF/PF,Rudy Gay (14156755),Rudy Gay,14156755,UTIL,4800,MIA@SA 01/19/2020 03:00PM ET,SA,22.91
PG/SG,Patty Mills (14156795),Patty Mills,14156795,CPT,4800,MIA@SA 01/19/2020 03:00PM ET,SA,19.28
PG/SG,Derrick White (14156756),Derrick White,14156756,UTIL,4600,MIA@SA 01/19/2020 03:00PM ET,SA,20.16
PG/SG,Bryn Forbes (14156796),Bryn Forbes,14156796,CPT,4500,MIA@SA 01/19/2020 03:00PM ET,SA,18.66
SF/PF,Derrick Jones Jr. (14156757),Derrick Jones Jr.,14156757,UTIL,4400,MIA@SA 01/19/2020 03:00PM ET,MIA,19.05
C,Jakob Poeltl (14156758),Jakob Poeltl,14156758,UTIL,4200,MIA@SA 01/19/2020 03:00PM ET,SA,18.57
SF,Marco Belinelli (14156797),Marco Belinelli,14156797,CPT,4200,MIA@SA 01/19/2020 03:00PM ET,SA,9.88
PF,Meyers Leonard (14156759),Meyers Leonard,14156759,UTIL,4000,MIA@SA 01/19/2020 03:00PM ET,MIA,15.39
C,Kelly Olynyk (14156760),Kelly Olynyk,14156760,UTIL,3600,MIA@SA 01/19/2020 03:00PM ET,MIA,17.25
PF/C,James Johnson (14156798),James Johnson,14156798,CPT,3600,MIA@SA 01/19/2020 03:00PM ET,MIA,11.98
PG/SG,Patty Mills (14156761),Patty Mills,14156761,UTIL,3200,MIA@SA 01/19/2020 03:00PM ET,SA,19.28
PG/SG,Bryn Forbes (14156762),Bryn Forbes,14156762,UTIL,3000,MIA@SA 01/19/2020 03:00PM ET,SA,18.66
SG/SF,Lonnie Walker IV (14156799),Lonnie Walker IV,14156799,CPT,3000,MIA@SA 01/19/2020 03:00PM ET,SA,10.16
SF,Marco Belinelli (14156763),Marco Belinelli,14156763,UTIL,2800,MIA@SA 01/19/2020 03:00PM ET,SA,9.88
SG/SF,Keldon Johnson (14156800),Keldon Johnson,14156800,CPT,2700,MIA@SA 01/19/2020 03:00PM ET,SA,2.25
PF/C,James Johnson (14156764),James Johnson,14156764,UTIL,2400,MIA@SA 01/19/2020 03:00PM ET,MIA,11.98
PF/C,Chimezie Metu (14156801),Chimezie Metu,14156801,CPT,2400,MIA@SA 01/19/2020 03:00PM ET,SA,5.75
PF,DeMarre Carroll (14156802),DeMarre Carroll,14156802,CPT,2100,MIA@SA 01/19/2020 03:00PM ET,SA,6.18
SG/SF,Lonnie Walker IV (14156765),Lonnie Walker IV,14156765,UTIL,2000,MIA@SA 01/19/2020 03:00PM ET,SA,10.16
