Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (14037652),Giannis Antetokounmpo,14037652,CPT,19200,MIL@ATL 12/27/2019 07:30PM ET,MIL,60.85
PG,Trae Young (14037653),Trae Young,14037653,CPT,17400,MIL@ATL 12/27/2019 07:30PM ET,ATL,49.87
PF/C,John Collins (14037654),John Collins,14037654,CPT,14400,MIL@ATL 12/27/2019 07:30PM ET,ATL,39.08
SF/PF,Giannis Antetokounmpo (14037619),Giannis Antetokounmpo,14037619,UTIL,12800,MIL@ATL 12/27/2019 07:30PM ET,MIL,60.85
SG/SF,Khris Middleton (14037655),Khris Middleton,14037655,CPT,12600,MIL@ATL 12/27/2019 07:30PM ET,MIL,33.22
PG,Eric Bledsoe (14037656),Eric Bledsoe,14037656,CPT,11700,MIL@ATL 12/27/2019 07:30PM ET,MIL,31.72
PG,Trae Young (14037620),Trae Young,14037620,UTIL,11600,MIL@ATL 12/27/2019 07:30PM ET,ATL,49.87
PG/SG,Kevin Huerter (14037657),Kevin Huerter,14037657,CPT,10500,MIL@ATL 12/27/2019 07:30PM ET,ATL,21.75
C,Brook Lopez (14037658),Brook Lopez,14037658,CPT,10200,MIL@ATL 12/27/2019 07:30PM ET,MIL,25.22
PG/SF,Donte DiVincenzo (14037659),Donte DiVincenzo,14037659,CPT,9900,MIL@ATL 12/27/2019 07:30PM ET,MIL,20.82
PF/C,John Collins (14037621),John Collins,14037621,UTIL,9600,MIL@ATL 12/27/2019 07:30PM ET,ATL,39.08
SF/PF,De'Andre Hunter (14037660),De'Andre Hunter,14037660,CPT,8700,MIL@ATL 12/27/2019 07:30PM ET,ATL,22.78
SG/SF,Khris Middleton (14037622),Khris Middleton,14037622,UTIL,8400,MIL@ATL 12/27/2019 07:30PM ET,MIL,33.22
SF/PF,Jabari Parker (14037661),Jabari Parker,14037661,CPT,8100,MIL@ATL 12/27/2019 07:30PM ET,ATL,28.88
PG,Eric Bledsoe (14037623),Eric Bledsoe,14037623,UTIL,7800,MIL@ATL 12/27/2019 07:30PM ET,MIL,31.72
PG/SG,George Hill (14037662),George Hill,14037662,CPT,7500,MIL@ATL 12/27/2019 07:30PM ET,MIL,21.15
C,Alex Len (14037663),Alex Len,14037663,CPT,7200,MIL@ATL 12/27/2019 07:30PM ET,ATL,18.91
PG/SG,Kevin Huerter (14037624),Kevin Huerter,14037624,UTIL,7000,MIL@ATL 12/27/2019 07:30PM ET,ATL,21.75
C,Brook Lopez (14037625),Brook Lopez,14037625,UTIL,6800,MIL@ATL 12/27/2019 07:30PM ET,MIL,25.22
PG/SF,Donte DiVincenzo (14037626),Donte DiVincenzo,14037626,UTIL,6600,MIL@ATL 12/27/2019 07:30PM ET,MIL,20.82
SG/SF,Cam Reddish (14037664),Cam Reddish,14037664,CPT,6600,MIL@ATL 12/27/2019 07:30PM ET,ATL,17.78
SF/PF,De'Andre Hunter (14037627),De'Andre Hunter,14037627,UTIL,5800,MIL@ATL 12/27/2019 07:30PM ET,ATL,22.78
SF/PF,Jabari Parker (14037628),Jabari Parker,14037628,UTIL,5400,MIL@ATL 12/27/2019 07:30PM ET,ATL,28.88
SG/SF,Wesley Matthews (14037665),Wesley Matthews,14037665,CPT,5400,MIL@ATL 12/27/2019 07:30PM ET,MIL,15.38
PG/SG,George Hill (14037629),George Hill,14037629,UTIL,5000,MIL@ATL 12/27/2019 07:30PM ET,MIL,21.15
C,Alex Len (14037630),Alex Len,14037630,UTIL,4800,MIL@ATL 12/27/2019 07:30PM ET,ATL,18.91
SG/SF,Cam Reddish (14037631),Cam Reddish,14037631,UTIL,4400,MIL@ATL 12/27/2019 07:30PM ET,ATL,17.78
PF/C,Ersan Ilyasova (14037666),Ersan Ilyasova,14037666,CPT,4200,MIL@ATL 12/27/2019 07:30PM ET,MIL,16.53
SG/SF,Wesley Matthews (14037632),Wesley Matthews,14037632,UTIL,3600,MIL@ATL 12/27/2019 07:30PM ET,MIL,15.38
SF/PF,Vince Carter (14037667),Vince Carter,14037667,CPT,3600,MIL@ATL 12/27/2019 07:30PM ET,ATL,11.14
SG/SF,Allen Crabbe (14037668),Allen Crabbe,14037668,CPT,3300,MIL@ATL 12/27/2019 07:30PM ET,ATL,11.01
C,Robin Lopez (14037669),Robin Lopez,14037669,CPT,3000,MIL@ATL 12/27/2019 07:30PM ET,MIL,10.67
