Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Giannis Antetokounmpo (14177548),Giannis Antetokounmpo,14177548,CPT,21000,MIL@CHA 01/24/2020 03:00PM ET,MIL,59.44
SF,Khris Middleton (14177549),Khris Middleton,14177549,CPT,15600,MIL@CHA 01/24/2020 03:00PM ET,MIL,34.91
PG,Devonte' Graham (14177550),Devonte' Graham,14177550,CPT,15300,MIL@CHA 01/24/2020 03:00PM ET,CHA,37.73
PG/SG,Terry Rozier (14177551),Terry Rozier,14177551,CPT,14700,MIL@CHA 01/24/2020 03:00PM ET,CHA,32.66
PF,Giannis Antetokounmpo (14177514),Giannis Antetokounmpo,14177514,UTIL,14000,MIL@CHA 01/24/2020 03:00PM ET,MIL,59.44
PG,Eric Bledsoe (14177552),Eric Bledsoe,14177552,CPT,13200,MIL@CHA 01/24/2020 03:00PM ET,MIL,30.39
PF/C,PJ Washington (14177553),PJ Washington,14177553,CPT,12000,MIL@CHA 01/24/2020 03:00PM ET,CHA,26.19
SF/PF,Miles Bridges (14177554),Miles Bridges,14177554,CPT,10800,MIL@CHA 01/24/2020 03:00PM ET,CHA,24.33
SF,Khris Middleton (14177515),Khris Middleton,14177515,UTIL,10400,MIL@CHA 01/24/2020 03:00PM ET,MIL,34.91
PG,Devonte' Graham (14177516),Devonte' Graham,14177516,UTIL,10200,MIL@CHA 01/24/2020 03:00PM ET,CHA,37.73
PG/SG,Terry Rozier (14177517),Terry Rozier,14177517,UTIL,9800,MIL@CHA 01/24/2020 03:00PM ET,CHA,32.66
C,Brook Lopez (14177555),Brook Lopez,14177555,CPT,9600,MIL@CHA 01/24/2020 03:00PM ET,MIL,25.30
PG,Eric Bledsoe (14177518),Eric Bledsoe,14177518,UTIL,8800,MIL@CHA 01/24/2020 03:00PM ET,MIL,30.39
PG/SG,Donte DiVincenzo (14177556),Donte DiVincenzo,14177556,CPT,8700,MIL@CHA 01/24/2020 03:00PM ET,MIL,21.63
PF/C,PJ Washington (14177519),PJ Washington,14177519,UTIL,8000,MIL@CHA 01/24/2020 03:00PM ET,CHA,26.19
C,Cody Zeller (14177557),Cody Zeller,14177557,CPT,7500,MIL@CHA 01/24/2020 03:00PM ET,CHA,23.79
SF/PF,Miles Bridges (14177520),Miles Bridges,14177520,UTIL,7200,MIL@CHA 01/24/2020 03:00PM ET,CHA,24.33
C,Brook Lopez (14177521),Brook Lopez,14177521,UTIL,6400,MIL@CHA 01/24/2020 03:00PM ET,MIL,25.30
C,Bismack Biyombo (14177558),Bismack Biyombo,14177558,CPT,6300,MIL@CHA 01/24/2020 03:00PM ET,CHA,18.21
SF,Nicolas Batum (14177559),Nicolas Batum,14177559,CPT,6000,MIL@CHA 01/24/2020 03:00PM ET,CHA,15.61
