Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (14100466),Giannis Antetokounmpo,14100466,CPT,19800,MIL@GS 01/08/2020 10:00PM ET,MIL,60.07
PG,Stephen Curry (14100467),Stephen Curry,14100467,CPT,14400,MIL@GS 01/08/2020 10:00PM ET,GS,39.38
PG/SG,D'Angelo Russell (14100468),D'Angelo Russell,14100468,CPT,14100,MIL@GS 01/08/2020 10:00PM ET,GS,39.14
SG/SF,Khris Middleton (14100469),Khris Middleton,14100469,CPT,13500,MIL@GS 01/08/2020 10:00PM ET,MIL,33.77
SF/PF,Giannis Antetokounmpo (14100433),Giannis Antetokounmpo,14100433,UTIL,13200,MIL@GS 01/08/2020 10:00PM ET,MIL,60.07
PG,Eric Bledsoe (14100470),Eric Bledsoe,14100470,CPT,12300,MIL@GS 01/08/2020 10:00PM ET,MIL,31.13
PG/SF,Draymond Green (14100471),Draymond Green,14100471,CPT,11700,MIL@GS 01/08/2020 10:00PM ET,GS,29.43
PG/SG,Alec Burks (14100472),Alec Burks,14100472,CPT,10800,MIL@GS 01/08/2020 10:00PM ET,GS,29.04
SG/SF,Damion Lee (14100473),Damion Lee,14100473,CPT,10500,MIL@GS 01/08/2020 10:00PM ET,GS,24.28
C,Brook Lopez (14100474),Brook Lopez,14100474,CPT,10200,MIL@GS 01/08/2020 10:00PM ET,MIL,25.57
PG,Stephen Curry (14100434),Stephen Curry,14100434,UTIL,9600,MIL@GS 01/08/2020 10:00PM ET,GS,39.38
PG/SG,D'Angelo Russell (14100435),D'Angelo Russell,14100435,UTIL,9400,MIL@GS 01/08/2020 10:00PM ET,GS,39.14
C,Willie Cauley-Stein (14100475),Willie Cauley-Stein,14100475,CPT,9300,MIL@GS 01/08/2020 10:00PM ET,GS,22.78
SG/SF,Khris Middleton (14100436),Khris Middleton,14100436,UTIL,9000,MIL@GS 01/08/2020 10:00PM ET,MIL,33.77
SG/SF,Glenn Robinson III (14100476),Glenn Robinson III,14100476,CPT,8400,MIL@GS 01/08/2020 10:00PM ET,GS,22.73
PG,Eric Bledsoe (14100437),Eric Bledsoe,14100437,UTIL,8200,MIL@GS 01/08/2020 10:00PM ET,MIL,31.13
PG/SF,Draymond Green (14100438),Draymond Green,14100438,UTIL,7800,MIL@GS 01/08/2020 10:00PM ET,GS,29.43
PF,Marquese Chriss (14100477),Marquese Chriss,14100477,CPT,7500,MIL@GS 01/08/2020 10:00PM ET,GS,19.46
PG/SG,Alec Burks (14100439),Alec Burks,14100439,UTIL,7200,MIL@GS 01/08/2020 10:00PM ET,GS,29.04
SG/SF,Damion Lee (14100440),Damion Lee,14100440,UTIL,7000,MIL@GS 01/08/2020 10:00PM ET,GS,24.28
PG/SF,Donte DiVincenzo (14100478),Donte DiVincenzo,14100478,CPT,6900,MIL@GS 01/08/2020 10:00PM ET,MIL,20.89
C,Brook Lopez (14100441),Brook Lopez,14100441,UTIL,6800,MIL@GS 01/08/2020 10:00PM ET,MIL,25.57
PF/C,Omari Spellman (14100479),Omari Spellman,14100479,CPT,6600,MIL@GS 01/08/2020 10:00PM ET,GS,17.04
PG/SG,George Hill (14100480),George Hill,14100480,CPT,6300,MIL@GS 01/08/2020 10:00PM ET,MIL,20.78
C,Willie Cauley-Stein (14100442),Willie Cauley-Stein,14100442,UTIL,6200,MIL@GS 01/08/2020 10:00PM ET,GS,22.78
SF/PF,Eric Paschall (14100481),Eric Paschall,14100481,CPT,6000,MIL@GS 01/08/2020 10:00PM ET,GS,23.31
