Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (14013383),Giannis Antetokounmpo,14013383,CPT,21300,MIL@NY 12/21/2019 07:30PM ET,MIL,61.22
PF/C,Julius Randle (14013384),Julius Randle,14013384,CPT,14400,MIL@NY 12/21/2019 07:30PM ET,NY,34.32
SF/PF,Giannis Antetokounmpo (14013349),Giannis Antetokounmpo,14013349,UTIL,14200,MIL@NY 12/21/2019 07:30PM ET,MIL,61.22
SG/SF,Khris Middleton (14013385),Khris Middleton,14013385,CPT,13800,MIL@NY 12/21/2019 07:30PM ET,MIL,32.14
C,Mitchell Robinson (14013386),Mitchell Robinson,14013386,CPT,13200,MIL@NY 12/21/2019 07:30PM ET,NY,24.72
PG,Eric Bledsoe (14013387),Eric Bledsoe,14013387,CPT,12600,MIL@NY 12/21/2019 07:30PM ET,MIL,31.72
SF/PF,Marcus Morris Sr. (14013388),Marcus Morris Sr.,14013388,CPT,12300,MIL@NY 12/21/2019 07:30PM ET,NY,31.24
PG/SG,RJ Barrett (14013389),RJ Barrett,14013389,CPT,11400,MIL@NY 12/21/2019 07:30PM ET,NY,27.21
PG/SF,Donte DiVincenzo (14013390),Donte DiVincenzo,14013390,CPT,11100,MIL@NY 12/21/2019 07:30PM ET,MIL,20.64
PF/C,Bobby Portis (14013391),Bobby Portis,14013391,CPT,9900,MIL@NY 12/21/2019 07:30PM ET,NY,21.12
PF/C,Julius Randle (14013350),Julius Randle,14013350,UTIL,9600,MIL@NY 12/21/2019 07:30PM ET,NY,34.32
SG/SF,Khris Middleton (14013351),Khris Middleton,14013351,UTIL,9200,MIL@NY 12/21/2019 07:30PM ET,MIL,32.14
C,Mitchell Robinson (14013352),Mitchell Robinson,14013352,UTIL,8800,MIL@NY 12/21/2019 07:30PM ET,NY,24.72
PG,Elfrid Payton (14013392),Elfrid Payton,14013392,CPT,8700,MIL@NY 12/21/2019 07:30PM ET,NY,22.60
PG,Eric Bledsoe (14013353),Eric Bledsoe,14013353,UTIL,8400,MIL@NY 12/21/2019 07:30PM ET,MIL,31.72
SF/PF,Marcus Morris Sr. (14013354),Marcus Morris Sr.,14013354,UTIL,8200,MIL@NY 12/21/2019 07:30PM ET,NY,31.24
C,Brook Lopez (14013393),Brook Lopez,14013393,CPT,8100,MIL@NY 12/21/2019 07:30PM ET,MIL,24.44
PG/SG,George Hill (14013394),George Hill,14013394,CPT,7800,MIL@NY 12/21/2019 07:30PM ET,MIL,20.66
PG/SG,RJ Barrett (14013355),RJ Barrett,14013355,UTIL,7600,MIL@NY 12/21/2019 07:30PM ET,NY,27.21
PG/SF,Donte DiVincenzo (14013356),Donte DiVincenzo,14013356,UTIL,7400,MIL@NY 12/21/2019 07:30PM ET,MIL,20.64
SG/SF,Sterling Brown (14013395),Sterling Brown,14013395,CPT,6900,MIL@NY 12/21/2019 07:30PM ET,MIL,14.48
PF/C,Bobby Portis (14013357),Bobby Portis,14013357,UTIL,6600,MIL@NY 12/21/2019 07:30PM ET,NY,21.12
SF/PF,Kevin Knox (14013396),Kevin Knox,14013396,CPT,6600,MIL@NY 12/21/2019 07:30PM ET,NY,15.46
PG,Elfrid Payton (14013358),Elfrid Payton,14013358,UTIL,5800,MIL@NY 12/21/2019 07:30PM ET,NY,22.60
C,Brook Lopez (14013359),Brook Lopez,14013359,UTIL,5400,MIL@NY 12/21/2019 07:30PM ET,MIL,24.44
SG/SF,Wesley Matthews (14013397),Wesley Matthews,14013397,CPT,5400,MIL@NY 12/21/2019 07:30PM ET,MIL,15.05
PG/SG,George Hill (14013360),George Hill,14013360,UTIL,5200,MIL@NY 12/21/2019 07:30PM ET,MIL,20.66
SG/SF,Sterling Brown (14013361),Sterling Brown,14013361,UTIL,4600,MIL@NY 12/21/2019 07:30PM ET,MIL,14.48
PG,Dennis Smith Jr. (14013398),Dennis Smith Jr.,14013398,CPT,4500,MIL@NY 12/21/2019 07:30PM ET,NY,13.68
