Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (14027292),Giannis Antetokounmpo,14027292,CPT,19800,MIL@PHI 12/25/2019 02:30PM ET,MIL,61.21
C,Joel Embiid (14027293),Joel Embiid,14027293,CPT,16800,MIL@PHI 12/25/2019 02:30PM ET,PHI,48.29
PG/SF,Ben Simmons (14027294),Ben Simmons,14027294,CPT,14400,MIL@PHI 12/25/2019 02:30PM ET,PHI,40.45
SF/PF,Giannis Antetokounmpo (14027258),Giannis Antetokounmpo,14027258,UTIL,13200,MIL@PHI 12/25/2019 02:30PM ET,MIL,61.21
SF/PF,Tobias Harris (14027295),Tobias Harris,14027295,CPT,13200,MIL@PHI 12/25/2019 02:30PM ET,PHI,36.01
SG/SF,Khris Middleton (14027296),Khris Middleton,14027296,CPT,12300,MIL@PHI 12/25/2019 02:30PM ET,MIL,32.48
SG/SF,Josh Richardson (14027297),Josh Richardson,14027297,CPT,11700,MIL@PHI 12/25/2019 02:30PM ET,PHI,26.75
PF/C,Al Horford (14027298),Al Horford,14027298,CPT,11400,MIL@PHI 12/25/2019 02:30PM ET,PHI,31.65
C,Joel Embiid (14027259),Joel Embiid,14027259,UTIL,11200,MIL@PHI 12/25/2019 02:30PM ET,PHI,48.29
PG,Eric Bledsoe (14027299),Eric Bledsoe,14027299,CPT,10800,MIL@PHI 12/25/2019 02:30PM ET,MIL,31.72
PG/SF,Donte DiVincenzo (14027300),Donte DiVincenzo,14027300,CPT,9900,MIL@PHI 12/25/2019 02:30PM ET,MIL,20.94
PG/SF,Ben Simmons (14027260),Ben Simmons,14027260,UTIL,9600,MIL@PHI 12/25/2019 02:30PM ET,PHI,40.45
C,Brook Lopez (14027301),Brook Lopez,14027301,CPT,9000,MIL@PHI 12/25/2019 02:30PM ET,MIL,25.32
SF/PF,Tobias Harris (14027261),Tobias Harris,14027261,UTIL,8800,MIL@PHI 12/25/2019 02:30PM ET,PHI,36.01
SG/SF,Khris Middleton (14027262),Khris Middleton,14027262,UTIL,8200,MIL@PHI 12/25/2019 02:30PM ET,MIL,32.48
SG/SF,Josh Richardson (14027263),Josh Richardson,14027263,UTIL,7800,MIL@PHI 12/25/2019 02:30PM ET,PHI,26.75
PG/SG,George Hill (14027302),George Hill,14027302,CPT,7800,MIL@PHI 12/25/2019 02:30PM ET,MIL,21.11
PF/C,Al Horford (14027264),Al Horford,14027264,UTIL,7600,MIL@PHI 12/25/2019 02:30PM ET,PHI,31.65
PG,Eric Bledsoe (14027265),Eric Bledsoe,14027265,UTIL,7200,MIL@PHI 12/25/2019 02:30PM ET,MIL,31.72
SG/SF,Wesley Matthews (14027303),Wesley Matthews,14027303,CPT,6900,MIL@PHI 12/25/2019 02:30PM ET,MIL,15.52
PG/SF,Donte DiVincenzo (14027266),Donte DiVincenzo,14027266,UTIL,6600,MIL@PHI 12/25/2019 02:30PM ET,MIL,20.94
PG/SG,Trey Burke (14027304),Trey Burke,14027304,CPT,6300,MIL@PHI 12/25/2019 02:30PM ET,PHI,14.35
C,Brook Lopez (14027267),Brook Lopez,14027267,UTIL,6000,MIL@PHI 12/25/2019 02:30PM ET,MIL,25.32
SG/SF,Furkan Korkmaz (14027305),Furkan Korkmaz,14027305,CPT,5700,MIL@PHI 12/25/2019 02:30PM ET,PHI,13.86
PG/SG,George Hill (14027268),George Hill,14027268,UTIL,5200,MIL@PHI 12/25/2019 02:30PM ET,MIL,21.11
C,Robin Lopez (14027306),Robin Lopez,14027306,CPT,5100,MIL@PHI 12/25/2019 02:30PM ET,MIL,10.95
PF/C,Ersan Ilyasova (14027307),Ersan Ilyasova,14027307,CPT,4800,MIL@PHI 12/25/2019 02:30PM ET,MIL,16.65
SG/SF,Wesley Matthews (14027269),Wesley Matthews,14027269,UTIL,4600,MIL@PHI 12/25/2019 02:30PM ET,MIL,15.52
PG/SG,Shake Milton (14027308),Shake Milton,14027308,CPT,4500,MIL@PHI 12/25/2019 02:30PM ET,PHI,5.55
PG/SG,Trey Burke (14027270),Trey Burke,14027270,UTIL,4200,MIL@PHI 12/25/2019 02:30PM ET,PHI,14.35
SG/SF,Furkan Korkmaz (14027271),Furkan Korkmaz,14027271,UTIL,3800,MIL@PHI 12/25/2019 02:30PM ET,PHI,13.86
SG/SF,Kyle Korver (14027309),Kyle Korver,14027309,CPT,3600,MIL@PHI 12/25/2019 02:30PM ET,MIL,11.49
C,Robin Lopez (14027272),Robin Lopez,14027272,UTIL,3400,MIL@PHI 12/25/2019 02:30PM ET,MIL,10.95
SG/SF,Pat Connaughton (14027310),Pat Connaughton,14027310,CPT,3300,MIL@PHI 12/25/2019 02:30PM ET,MIL,13.93
PF/C,Ersan Ilyasova (14027273),Ersan Ilyasova,14027273,UTIL,3200,MIL@PHI 12/25/2019 02:30PM ET,MIL,16.65
PG/SG,Shake Milton (14027274),Shake Milton,14027274,UTIL,3000,MIL@PHI 12/25/2019 02:30PM ET,PHI,5.55
SG/SF,Sterling Brown (14027311),Sterling Brown,14027311,CPT,3000,MIL@PHI 12/25/2019 02:30PM ET,MIL,14.23
SF/PF,James Ennis III (14027312),James Ennis III,14027312,CPT,2700,MIL@PHI 12/25/2019 02:30PM ET,PHI,14.44
SG/SF,Kyle Korver (14027275),Kyle Korver,14027275,UTIL,2400,MIL@PHI 12/25/2019 02:30PM ET,MIL,11.49
SG/SF,Pat Connaughton (14027276),Pat Connaughton,14027276,UTIL,2200,MIL@PHI 12/25/2019 02:30PM ET,MIL,13.93
