Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (14118878),Giannis Antetokounmpo,14118878,CPT,19500,MIL@POR 01/11/2020 10:00PM ET,MIL,59.26
PG,Damian Lillard (14118879),Damian Lillard,14118879,CPT,15900,MIL@POR 01/11/2020 10:00PM ET,POR,46.80
C,Hassan Whiteside (14118880),Hassan Whiteside,14118880,CPT,15000,MIL@POR 01/11/2020 10:00PM ET,POR,42.02
SG/SF,Khris Middleton (14118881),Khris Middleton,14118881,CPT,13800,MIL@POR 01/11/2020 10:00PM ET,MIL,34.55
SF/PF,Giannis Antetokounmpo (14118845),Giannis Antetokounmpo,14118845,UTIL,13000,MIL@POR 01/11/2020 10:00PM ET,MIL,59.26
PG/SG,CJ McCollum (14118882),CJ McCollum,14118882,CPT,12600,MIL@POR 01/11/2020 10:00PM ET,POR,35.96
PG,Eric Bledsoe (14118883),Eric Bledsoe,14118883,CPT,11700,MIL@POR 01/11/2020 10:00PM ET,MIL,31.41
C,Jusuf Nurkic (14118884),Jusuf Nurkic,14118884,CPT,10800,MIL@POR 01/11/2020 10:00PM ET,POR,0
PG,Damian Lillard (14118846),Damian Lillard,14118846,UTIL,10600,MIL@POR 01/11/2020 10:00PM ET,POR,46.80
SF/PF,Carmelo Anthony (14118885),Carmelo Anthony,14118885,CPT,10500,MIL@POR 01/11/2020 10:00PM ET,POR,28.57
C,Brook Lopez (14118886),Brook Lopez,14118886,CPT,10200,MIL@POR 01/11/2020 10:00PM ET,MIL,25.33
C,Hassan Whiteside (14118847),Hassan Whiteside,14118847,UTIL,10000,MIL@POR 01/11/2020 10:00PM ET,POR,42.02
SG/SF,Khris Middleton (14118848),Khris Middleton,14118848,UTIL,9200,MIL@POR 01/11/2020 10:00PM ET,MIL,34.55
PG/SG,Donte DiVincenzo (14118887),Donte DiVincenzo,14118887,CPT,9000,MIL@POR 01/11/2020 10:00PM ET,MIL,21.26
PG/SG,CJ McCollum (14118849),CJ McCollum,14118849,UTIL,8400,MIL@POR 01/11/2020 10:00PM ET,POR,35.96
PG/SG,George Hill (14118888),George Hill,14118888,CPT,8100,MIL@POR 01/11/2020 10:00PM ET,MIL,20.97
PG,Eric Bledsoe (14118850),Eric Bledsoe,14118850,UTIL,7800,MIL@POR 01/11/2020 10:00PM ET,MIL,31.41
PF/C,Ersan Ilyasova (14118889),Ersan Ilyasova,14118889,CPT,7500,MIL@POR 01/11/2020 10:00PM ET,MIL,18.06
C,Jusuf Nurkic (14118851),Jusuf Nurkic,14118851,UTIL,7200,MIL@POR 01/11/2020 10:00PM ET,POR,0
SF/PF,Carmelo Anthony (14118852),Carmelo Anthony,14118852,UTIL,7000,MIL@POR 01/11/2020 10:00PM ET,POR,28.57
C,Brook Lopez (14118853),Brook Lopez,14118853,UTIL,6800,MIL@POR 01/11/2020 10:00PM ET,MIL,25.33
SG/SF,Kent Bazemore (14118890),Kent Bazemore,14118890,CPT,6600,MIL@POR 01/11/2020 10:00PM ET,POR,17.94
PG/SG,Donte DiVincenzo (14118854),Donte DiVincenzo,14118854,UTIL,6000,MIL@POR 01/11/2020 10:00PM ET,MIL,21.26
PG/SG,Anfernee Simons (14118891),Anfernee Simons,14118891,CPT,6000,MIL@POR 01/11/2020 10:00PM ET,POR,15.96
PG/SG,George Hill (14118855),George Hill,14118855,UTIL,5400,MIL@POR 01/11/2020 10:00PM ET,MIL,20.97
SG/SF,Wesley Matthews (14118892),Wesley Matthews,14118892,CPT,5400,MIL@POR 01/11/2020 10:00PM ET,MIL,14.57
PF/C,Ersan Ilyasova (14118856),Ersan Ilyasova,14118856,UTIL,5000,MIL@POR 01/11/2020 10:00PM ET,MIL,18.06
SG/SF,Pat Connaughton (14118893),Pat Connaughton,14118893,CPT,4800,MIL@POR 01/11/2020 10:00PM ET,MIL,14.91
SG/SF,Kent Bazemore (14118857),Kent Bazemore,14118857,UTIL,4400,MIL@POR 01/11/2020 10:00PM ET,POR,17.94
PG/SG,Anfernee Simons (14118858),Anfernee Simons,14118858,UTIL,4000,MIL@POR 01/11/2020 10:00PM ET,POR,15.96
PF/C,Zach Collins (14118894),Zach Collins,14118894,CPT,3900,MIL@POR 01/11/2020 10:00PM ET,POR,17.83
SG/SF,Wesley Matthews (14118859),Wesley Matthews,14118859,UTIL,3600,MIL@POR 01/11/2020 10:00PM ET,MIL,14.57
SG/SF,Pat Connaughton (14118860),Pat Connaughton,14118860,UTIL,3200,MIL@POR 01/11/2020 10:00PM ET,MIL,14.91
SG,Gary Trent Jr. (14118895),Gary Trent Jr.,14118895,CPT,3000,MIL@POR 01/11/2020 10:00PM ET,POR,7.93
SF/PF,Jaylen Hoard (14118896),Jaylen Hoard,14118896,CPT,2700,MIL@POR 01/11/2020 10:00PM ET,POR,4.75
PF/C,Zach Collins (14118861),Zach Collins,14118861,UTIL,2600,MIL@POR 01/11/2020 10:00PM ET,POR,17.83
SF/PF,Mario Hezonja (14118897),Mario Hezonja,14118897,CPT,2400,MIL@POR 01/11/2020 10:00PM ET,POR,12.34
SF/PF,Nassir Little (14118898),Nassir Little,14118898,CPT,2100,MIL@POR 01/11/2020 10:00PM ET,POR,8.84
SG,Gary Trent Jr. (14118862),Gary Trent Jr.,14118862,UTIL,2000,MIL@POR 01/11/2020 10:00PM ET,POR,7.93
SF/PF,Jaylen Hoard (14118863),Jaylen Hoard,14118863,UTIL,1800,MIL@POR 01/11/2020 10:00PM ET,POR,4.75
SG/SF,Kyle Korver (14118899),Kyle Korver,14118899,CPT,1800,MIL@POR 01/11/2020 10:00PM ET,MIL,11.91
SF/PF,Mario Hezonja (14118864),Mario Hezonja,14118864,UTIL,1600,MIL@POR 01/11/2020 10:00PM ET,POR,12.34
PF/C,Anthony Tolliver (14118900),Anthony Tolliver,14118900,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,POR,9.37
PF/C,Dragan Bender (14118901),Dragan Bender,14118901,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,MIL,8.83
C,Robin Lopez (14118902),Robin Lopez,14118902,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,MIL,11.69
SG/SF,Rodney Hood (14118903),Rodney Hood,14118903,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,POR,19.90
PG/SG,Frank Mason III (14118904),Frank Mason III,14118904,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,MIL,4.25
C,Moses Brown (14118905),Moses Brown,14118905,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,POR,3.92
PF/C,Skal Labissiere (14118906),Skal Labissiere,14118906,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,POR,15.97
PF/C,D.J. Wilson (14118907),D.J. Wilson,14118907,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,MIL,7.22
SF/PF,Thanasis Antetokounmpo (14118908),Thanasis Antetokounmpo,14118908,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,MIL,3.71
SG/SF,Sterling Brown (14118909),Sterling Brown,14118909,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,MIL,13.59
SG/SF,Cameron Reynolds (14118910),Cameron Reynolds,14118910,CPT,1500,MIL@POR 01/11/2020 10:00PM ET,MIL,0
SF/PF,Nassir Little (14118865),Nassir Little,14118865,UTIL,1400,MIL@POR 01/11/2020 10:00PM ET,POR,8.84
SG/SF,Kyle Korver (14118866),Kyle Korver,14118866,UTIL,1200,MIL@POR 01/11/2020 10:00PM ET,MIL,11.91
PF/C,Anthony Tolliver (14118867),Anthony Tolliver,14118867,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,POR,9.37
PF/C,Dragan Bender (14118868),Dragan Bender,14118868,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,MIL,8.83
C,Robin Lopez (14118869),Robin Lopez,14118869,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,MIL,11.69
SG/SF,Rodney Hood (14118870),Rodney Hood,14118870,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,POR,19.90
PG/SG,Frank Mason III (14118871),Frank Mason III,14118871,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,MIL,4.25
C,Moses Brown (14118872),Moses Brown,14118872,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,POR,3.92
PF/C,Skal Labissiere (14118873),Skal Labissiere,14118873,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,POR,15.97
PF/C,D.J. Wilson (14118874),D.J. Wilson,14118874,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,MIL,7.22
SF/PF,Thanasis Antetokounmpo (14118875),Thanasis Antetokounmpo,14118875,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,MIL,3.71
SG/SF,Sterling Brown (14118876),Sterling Brown,14118876,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,MIL,13.59
SG/SF,Cameron Reynolds (14118877),Cameron Reynolds,14118877,UTIL,1000,MIL@POR 01/11/2020 10:00PM ET,MIL,0
