Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (13904142),Luka Doncic,13904142,CPT,20400,MIN@DAL 12/04/2019 08:30PM ET,DAL,62.32
C,Karl-Anthony Towns (13904143),Karl-Anthony Towns,13904143,CPT,19200,MIN@DAL 12/04/2019 08:30PM ET,MIN,54.24
SF,Andrew Wiggins (13904144),Andrew Wiggins,13904144,CPT,14400,MIN@DAL 12/04/2019 08:30PM ET,MIN,40.80
PG,Luka Doncic (13904108),Luka Doncic,13904108,UTIL,13600,MIN@DAL 12/04/2019 08:30PM ET,DAL,62.32
PF,Kristaps Porzingis (13904145),Kristaps Porzingis,13904145,CPT,13200,MIN@DAL 12/04/2019 08:30PM ET,DAL,36.45
C,Karl-Anthony Towns (13904109),Karl-Anthony Towns,13904109,UTIL,12800,MIN@DAL 12/04/2019 08:30PM ET,MIN,54.24
PG,Jeff Teague (13904146),Jeff Teague,13904146,CPT,12000,MIN@DAL 12/04/2019 08:30PM ET,MIN,29.12
SG,Tim Hardaway Jr. (13904147),Tim Hardaway Jr.,13904147,CPT,10800,MIN@DAL 12/04/2019 08:30PM ET,DAL,20.3
SF,Robert Covington (13904148),Robert Covington,13904148,CPT,10200,MIN@DAL 12/04/2019 08:30PM ET,MIN,25.64
SF,Andrew Wiggins (13904110),Andrew Wiggins,13904110,UTIL,9600,MIN@DAL 12/04/2019 08:30PM ET,MIN,40.80
SF,Jarrett Culver (13904149),Jarrett Culver,13904149,CPT,9000,MIN@DAL 12/04/2019 08:30PM ET,MIN,19.21
PF,Kristaps Porzingis (13904111),Kristaps Porzingis,13904111,UTIL,8800,MIN@DAL 12/04/2019 08:30PM ET,DAL,36.45
PG,Delon Wright (13904150),Delon Wright,13904150,CPT,8100,MIN@DAL 12/04/2019 08:30PM ET,DAL,20.95
PG,Jeff Teague (13904112),Jeff Teague,13904112,UTIL,8000,MIN@DAL 12/04/2019 08:30PM ET,MIN,29.12
SF,Keita Bates-Diop (13904151),Keita Bates-Diop,13904151,CPT,7800,MIN@DAL 12/04/2019 08:30PM ET,MIN,15.81
SG,Tim Hardaway Jr. (13904113),Tim Hardaway Jr.,13904113,UTIL,7200,MIN@DAL 12/04/2019 08:30PM ET,DAL,20.3
PF,Dwight Powell (13904152),Dwight Powell,13904152,CPT,6900,MIN@DAL 12/04/2019 08:30PM ET,DAL,16.71
SF,Robert Covington (13904114),Robert Covington,13904114,UTIL,6800,MIN@DAL 12/04/2019 08:30PM ET,MIN,25.64
SF,Dorian Finney-Smith (13904153),Dorian Finney-Smith,13904153,CPT,6300,MIN@DAL 12/04/2019 08:30PM ET,DAL,18.36
SF,Jarrett Culver (13904115),Jarrett Culver,13904115,UTIL,6000,MIN@DAL 12/04/2019 08:30PM ET,MIN,19.21
SG,Josh Okogie (13904154),Josh Okogie,13904154,CPT,6000,MIN@DAL 12/04/2019 08:30PM ET,MIN,20.56
SF,Jake Layman (13904155),Jake Layman,13904155,CPT,5700,MIN@DAL 12/04/2019 08:30PM ET,MIN,18.52
PG,Delon Wright (13904116),Delon Wright,13904116,UTIL,5400,MIN@DAL 12/04/2019 08:30PM ET,DAL,20.95
C,Maxi Kleber (13904156),Maxi Kleber,13904156,CPT,5400,MIN@DAL 12/04/2019 08:30PM ET,DAL,19.34
SF,Keita Bates-Diop (13904117),Keita Bates-Diop,13904117,UTIL,5200,MIN@DAL 12/04/2019 08:30PM ET,MIN,15.81
PF,Gorgui Dieng (13904157),Gorgui Dieng,13904157,CPT,5100,MIN@DAL 12/04/2019 08:30PM ET,MIN,16.57
SF,Justin Jackson (13904158),Justin Jackson,13904158,CPT,4800,MIN@DAL 12/04/2019 08:30PM ET,DAL,11.16
PF,Dwight Powell (13904118),Dwight Powell,13904118,UTIL,4600,MIN@DAL 12/04/2019 08:30PM ET,DAL,16.71
SF,Dorian Finney-Smith (13904119),Dorian Finney-Smith,13904119,UTIL,4200,MIN@DAL 12/04/2019 08:30PM ET,DAL,18.36
SG,Josh Okogie (13904120),Josh Okogie,13904120,UTIL,4000,MIN@DAL 12/04/2019 08:30PM ET,MIN,20.56
SF,Jake Layman (13904121),Jake Layman,13904121,UTIL,3800,MIN@DAL 12/04/2019 08:30PM ET,MIN,18.52
C,Maxi Kleber (13904122),Maxi Kleber,13904122,UTIL,3600,MIN@DAL 12/04/2019 08:30PM ET,DAL,19.34
SF,Treveon Graham (13904159),Treveon Graham,13904159,CPT,3600,MIN@DAL 12/04/2019 08:30PM ET,MIN,14.5
PF,Gorgui Dieng (13904123),Gorgui Dieng,13904123,UTIL,3400,MIN@DAL 12/04/2019 08:30PM ET,MIN,16.57
PG,Shabazz Napier (13904160),Shabazz Napier,13904160,CPT,3300,MIN@DAL 12/04/2019 08:30PM ET,MIN,19.29
SF,Justin Jackson (13904124),Justin Jackson,13904124,UTIL,3200,MIN@DAL 12/04/2019 08:30PM ET,DAL,11.16
PG,Seth Curry (13904161),Seth Curry,13904161,CPT,3000,MIN@DAL 12/04/2019 08:30PM ET,DAL,14.47
PG,J.J. Barea (13904162),J.J. Barea,13904162,CPT,2700,MIN@DAL 12/04/2019 08:30PM ET,DAL,19.25
SF,Treveon Graham (13904125),Treveon Graham,13904125,UTIL,2400,MIN@DAL 12/04/2019 08:30PM ET,MIN,14.5
C,Boban Marjanovic (13904163),Boban Marjanovic,13904163,CPT,2400,MIN@DAL 12/04/2019 08:30PM ET,DAL,13.19
PG,Shabazz Napier (13904126),Shabazz Napier,13904126,UTIL,2200,MIN@DAL 12/04/2019 08:30PM ET,MIN,19.29
PG,Jalen Brunson (13904164),Jalen Brunson,13904164,CPT,2100,MIN@DAL 12/04/2019 08:30PM ET,DAL,14.85
PG,Seth Curry (13904127),Seth Curry,13904127,UTIL,2000,MIN@DAL 12/04/2019 08:30PM ET,DAL,14.47
PG,J.J. Barea (13904128),J.J. Barea,13904128,UTIL,1800,MIN@DAL 12/04/2019 08:30PM ET,DAL,19.25
PG,Jordan McLaughlin (13904165),Jordan McLaughlin,13904165,CPT,1800,MIN@DAL 12/04/2019 08:30PM ET,MIN,8.06
C,Boban Marjanovic (13904129),Boban Marjanovic,13904129,UTIL,1600,MIN@DAL 12/04/2019 08:30PM ET,DAL,13.19
SG,Courtney Lee (13904166),Courtney Lee,13904166,CPT,1500,MIN@DAL 12/04/2019 08:30PM ET,DAL,7.4
PG,Jaylen Nowell (13904167),Jaylen Nowell,13904167,CPT,1500,MIN@DAL 12/04/2019 08:30PM ET,MIN,4.12
SF,Ryan Broekhoff (13904168),Ryan Broekhoff,13904168,CPT,1500,MIN@DAL 12/04/2019 08:30PM ET,DAL,6.56
SF,Kelan Martin (13904169),Kelan Martin,13904169,CPT,1500,MIN@DAL 12/04/2019 08:30PM ET,MIN,9.28
PF,Noah Vonleh (13904170),Noah Vonleh,13904170,CPT,1500,MIN@DAL 12/04/2019 08:30PM ET,MIN,10.84
PF,Jordan Bell (13904171),Jordan Bell,13904171,CPT,1500,MIN@DAL 12/04/2019 08:30PM ET,MIN,8.67
PF,Isaiah Roby (13904172),Isaiah Roby,13904172,CPT,1500,MIN@DAL 12/04/2019 08:30PM ET,DAL,0
SG,Josh Reaves (13904173),Josh Reaves,13904173,CPT,1500,MIN@DAL 12/04/2019 08:30PM ET,DAL,0
SG,Antonius Cleveland (13904174),Antonius Cleveland,13904174,CPT,1500,MIN@DAL 12/04/2019 08:30PM ET,DAL,0
C,Naz Reid (13904175),Naz Reid,13904175,CPT,1500,MIN@DAL 12/04/2019 08:30PM ET,MIN,0
PG,Jalen Brunson (13904130),Jalen Brunson,13904130,UTIL,1400,MIN@DAL 12/04/2019 08:30PM ET,DAL,14.85
PG,Jordan McLaughlin (13904131),Jordan McLaughlin,13904131,UTIL,1200,MIN@DAL 12/04/2019 08:30PM ET,MIN,8.06
SG,Courtney Lee (13904132),Courtney Lee,13904132,UTIL,1000,MIN@DAL 12/04/2019 08:30PM ET,DAL,7.4
PG,Jaylen Nowell (13904133),Jaylen Nowell,13904133,UTIL,1000,MIN@DAL 12/04/2019 08:30PM ET,MIN,4.12
SF,Ryan Broekhoff (13904134),Ryan Broekhoff,13904134,UTIL,1000,MIN@DAL 12/04/2019 08:30PM ET,DAL,6.56
SF,Kelan Martin (13904135),Kelan Martin,13904135,UTIL,1000,MIN@DAL 12/04/2019 08:30PM ET,MIN,9.28
