Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Karl-Anthony Towns (14338159),Karl-Anthony Towns,14338159,CPT,17700,MIN@DEN 02/23/2020 06:00PM ET,MIN,51.92
C,Nikola Jokic (14338160),Nikola Jokic,14338160,CPT,16800,MIN@DEN 02/23/2020 06:00PM ET,DEN,48.20
PG,D'Angelo Russell (14338161),D'Angelo Russell,14338161,CPT,15600,MIN@DEN 02/23/2020 06:00PM ET,MIN,40.72
PG,Jamal Murray (14338162),Jamal Murray,14338162,CPT,13500,MIN@DEN 02/23/2020 06:00PM ET,DEN,33.92
SG,Malik Beasley (14338163),Malik Beasley,14338163,CPT,12300,MIN@DEN 02/23/2020 06:00PM ET,MIN,16.18
C,Karl-Anthony Towns (14338126),Karl-Anthony Towns,14338126,UTIL,11800,MIN@DEN 02/23/2020 06:00PM ET,MIN,51.92
C,Nikola Jokic (14338127),Nikola Jokic,14338127,UTIL,11200,MIN@DEN 02/23/2020 06:00PM ET,DEN,48.20
PF/C,Naz Reid (14338164),Naz Reid,14338164,CPT,11100,MIN@DEN 02/23/2020 06:00PM ET,MIN,15.09
PG,D'Angelo Russell (14338128),D'Angelo Russell,14338128,UTIL,10400,MIN@DEN 02/23/2020 06:00PM ET,MIN,40.72
SG/SF,Will Barton (14338165),Will Barton,14338165,CPT,10200,MIN@DEN 02/23/2020 06:00PM ET,DEN,32.52
SF/PF,Juancho Hernangomez (14338166),Juancho Hernangomez,14338166,CPT,9300,MIN@DEN 02/23/2020 06:00PM ET,MIN,10.26
PG,Jamal Murray (14338129),Jamal Murray,14338129,UTIL,9000,MIN@DEN 02/23/2020 06:00PM ET,DEN,33.92
PF/C,James Johnson (14338167),James Johnson,14338167,CPT,8700,MIN@DEN 02/23/2020 06:00PM ET,MIN,15.78
SG,Malik Beasley (14338130),Malik Beasley,14338130,UTIL,8200,MIN@DEN 02/23/2020 06:00PM ET,MIN,16.18
PG,Monte Morris (14338168),Monte Morris,14338168,CPT,8100,MIN@DEN 02/23/2020 06:00PM ET,DEN,17.95
PF/C,Paul Millsap (14338169),Paul Millsap,14338169,CPT,7500,MIN@DEN 02/23/2020 06:00PM ET,DEN,24.81
PF/C,Naz Reid (14338131),Naz Reid,14338131,UTIL,7400,MIN@DEN 02/23/2020 06:00PM ET,MIN,15.09
PG,Jordan McLaughlin (14338170),Jordan McLaughlin,14338170,CPT,7200,MIN@DEN 02/23/2020 06:00PM ET,MIN,17.35
SG/SF,Josh Okogie (14338171),Josh Okogie,14338171,CPT,6900,MIN@DEN 02/23/2020 06:00PM ET,MIN,19.12
SG/SF,Will Barton (14338132),Will Barton,14338132,UTIL,6800,MIN@DEN 02/23/2020 06:00PM ET,DEN,32.52
SG,Gary Harris (14338172),Gary Harris,14338172,CPT,6600,MIN@DEN 02/23/2020 06:00PM ET,DEN,20.11
SF/PF,Michael Porter Jr. (14338173),Michael Porter Jr.,14338173,CPT,6300,MIN@DEN 02/23/2020 06:00PM ET,DEN,16.39
SF/PF,Juancho Hernangomez (14338133),Juancho Hernangomez,14338133,UTIL,6200,MIN@DEN 02/23/2020 06:00PM ET,MIN,10.26
PF,Jerami Grant (14338174),Jerami Grant,14338174,CPT,6000,MIN@DEN 02/23/2020 06:00PM ET,DEN,20.68
PF/C,James Johnson (14338134),James Johnson,14338134,UTIL,5800,MIN@DEN 02/23/2020 06:00PM ET,MIN,15.78
SG/SF,Jordan McRae (14338175),Jordan McRae,14338175,CPT,5700,MIN@DEN 02/23/2020 06:00PM ET,DEN,23.17
PG,Monte Morris (14338135),Monte Morris,14338135,UTIL,5400,MIN@DEN 02/23/2020 06:00PM ET,DEN,17.95
PF/C,Paul Millsap (14338136),Paul Millsap,14338136,UTIL,5000,MIN@DEN 02/23/2020 06:00PM ET,DEN,24.81
PG,Jordan McLaughlin (14338137),Jordan McLaughlin,14338137,UTIL,4800,MIN@DEN 02/23/2020 06:00PM ET,MIN,17.35
SG/SF,Torrey Craig (14338176),Torrey Craig,14338176,CPT,4800,MIN@DEN 02/23/2020 06:00PM ET,DEN,12.28
SG/SF,Josh Okogie (14338138),Josh Okogie,14338138,UTIL,4600,MIN@DEN 02/23/2020 06:00PM ET,MIN,19.12
C,Mason Plumlee (14338177),Mason Plumlee,14338177,CPT,4500,MIN@DEN 02/23/2020 06:00PM ET,DEN,19.36
SG,Gary Harris (14338139),Gary Harris,14338139,UTIL,4400,MIN@DEN 02/23/2020 06:00PM ET,DEN,20.11
SF/PF,Michael Porter Jr. (14338140),Michael Porter Jr.,14338140,UTIL,4200,MIN@DEN 02/23/2020 06:00PM ET,DEN,16.39
PF,Jake Layman (14338178),Jake Layman,14338178,CPT,4200,MIN@DEN 02/23/2020 06:00PM ET,MIN,18.52
PF,Jerami Grant (14338141),Jerami Grant,14338141,UTIL,4000,MIN@DEN 02/23/2020 06:00PM ET,DEN,20.68
SG/SF,Jordan McRae (14338142),Jordan McRae,14338142,UTIL,3800,MIN@DEN 02/23/2020 06:00PM ET,DEN,23.17
SG/SF,Torrey Craig (14338143),Torrey Craig,14338143,UTIL,3200,MIN@DEN 02/23/2020 06:00PM ET,DEN,12.28
C,Mason Plumlee (14338144),Mason Plumlee,14338144,UTIL,3000,MIN@DEN 02/23/2020 06:00PM ET,DEN,19.36
PG/SF,Jarrett Culver (14338179),Jarrett Culver,14338179,CPT,3000,MIN@DEN 02/23/2020 06:00PM ET,MIN,18.95
PF,Jake Layman (14338145),Jake Layman,14338145,UTIL,2800,MIN@DEN 02/23/2020 06:00PM ET,MIN,18.52
PF,Kelan Martin (14338180),Kelan Martin,14338180,CPT,2700,MIN@DEN 02/23/2020 06:00PM ET,MIN,12.08
PG/SG,Jaylen Nowell (14338181),Jaylen Nowell,14338181,CPT,2400,MIN@DEN 02/23/2020 06:00PM ET,MIN,7.75
SF,Vlatko Cancar (14338182),Vlatko Cancar,14338182,CPT,2100,MIN@DEN 02/23/2020 06:00PM ET,DEN,2.96
PG/SF,Jarrett Culver (14338146),Jarrett Culver,14338146,UTIL,2000,MIN@DEN 02/23/2020 06:00PM ET,MIN,18.95
PF,Kelan Martin (14338147),Kelan Martin,14338147,UTIL,1800,MIN@DEN 02/23/2020 06:00PM ET,MIN,12.08
PF/C,Noah Vonleh (14338183),Noah Vonleh,14338183,CPT,1800,MIN@DEN 02/23/2020 06:00PM ET,DEN,11.27
PG/SG,Jaylen Nowell (14338148),Jaylen Nowell,14338148,UTIL,1600,MIN@DEN 02/23/2020 06:00PM ET,MIN,7.75
PG/SG,Evan Turner (14338184),Evan Turner,14338184,CPT,1500,MIN@DEN 02/23/2020 06:00PM ET,MIN,9.87
PG,PJ Dozier (14338185),PJ Dozier,14338185,CPT,1500,MIN@DEN 02/23/2020 06:00PM ET,DEN,12.03
SF/PF,Keita Bates-Diop (14338186),Keita Bates-Diop,14338186,CPT,1500,MIN@DEN 02/23/2020 06:00PM ET,DEN,13.53
PF/C,Omari Spellman (14338187),Omari Spellman,14338187,CPT,1500,MIN@DEN 02/23/2020 06:00PM ET,MIN,16.85
PF,Jarred Vanderbilt (14338188),Jarred Vanderbilt,14338188,CPT,1500,MIN@DEN 02/23/2020 06:00PM ET,MIN,2.80
PG/SG,Jacob Evans III (14338189),Jacob Evans III,14338189,CPT,1500,MIN@DEN 02/23/2020 06:00PM ET,MIN,9.49
SG/SF,Allen Crabbe (14338190),Allen Crabbe,14338190,CPT,1500,MIN@DEN 02/23/2020 06:00PM ET,MIN,9.87
C,Bol Bol (14338191),Bol Bol,14338191,CPT,1500,MIN@DEN 02/23/2020 06:00PM ET,DEN,0
SF,Vlatko Cancar (14338149),Vlatko Cancar,14338149,UTIL,1400,MIN@DEN 02/23/2020 06:00PM ET,DEN,2.96
PF/C,Noah Vonleh (14338150),Noah Vonleh,14338150,UTIL,1200,MIN@DEN 02/23/2020 06:00PM ET,DEN,11.27
PG/SG,Evan Turner (14338151),Evan Turner,14338151,UTIL,1000,MIN@DEN 02/23/2020 06:00PM ET,MIN,9.87
PG,PJ Dozier (14338152),PJ Dozier,14338152,UTIL,1000,MIN@DEN 02/23/2020 06:00PM ET,DEN,12.03
SF/PF,Keita Bates-Diop (14338153),Keita Bates-Diop,14338153,UTIL,1000,MIN@DEN 02/23/2020 06:00PM ET,DEN,13.53
PF/C,Omari Spellman (14338154),Omari Spellman,14338154,UTIL,1000,MIN@DEN 02/23/2020 06:00PM ET,MIN,16.85
PF,Jarred Vanderbilt (14338155),Jarred Vanderbilt,14338155,UTIL,1000,MIN@DEN 02/23/2020 06:00PM ET,MIN,2.80
PG/SG,Jacob Evans III (14338156),Jacob Evans III,14338156,UTIL,1000,MIN@DEN 02/23/2020 06:00PM ET,MIN,9.49
SG/SF,Allen Crabbe (14338157),Allen Crabbe,14338157,UTIL,1000,MIN@DEN 02/23/2020 06:00PM ET,MIN,9.87
C,Bol Bol (14338158),Bol Bol,14338158,UTIL,1000,MIN@DEN 02/23/2020 06:00PM ET,DEN,0
