Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Karl-Anthony Towns (14023333),Karl-Anthony Towns,14023333,CPT,18000,MIN@GS 12/23/2019 10:30PM ET,MIN,53.74
SG/SF,Andrew Wiggins (14023335),Andrew Wiggins,14023335,CPT,15600,MIN@GS 12/23/2019 10:30PM ET,MIN,40.14
PG,Stephen Curry (14023334),Stephen Curry,14023334,CPT,15300,MIN@GS 12/23/2019 10:30PM ET,GS,39.38
PG/SG,D'Angelo Russell (14023336),D'Angelo Russell,14023336,CPT,14400,MIN@GS 12/23/2019 10:30PM ET,GS,38
PG/SF,Draymond Green (14023337),Draymond Green,14023337,CPT,12900,MIN@GS 12/23/2019 10:30PM ET,GS,29.2
C,Karl-Anthony Towns (14023300),Karl-Anthony Towns,14023300,UTIL,12000,MIN@GS 12/23/2019 10:30PM ET,MIN,53.74
PG,Jeff Teague (14023338),Jeff Teague,14023338,CPT,12000,MIN@GS 12/23/2019 10:30PM ET,MIN,29.91
PG/SG,Alec Burks (14023339),Alec Burks,14023339,CPT,11400,MIN@GS 12/23/2019 10:30PM ET,GS,28.64
SG/SF,Andrew Wiggins (14023302),Andrew Wiggins,14023302,UTIL,10400,MIN@GS 12/23/2019 10:30PM ET,MIN,40.14
PG,Stephen Curry (14023301),Stephen Curry,14023301,UTIL,10200,MIN@GS 12/23/2019 10:30PM ET,GS,39.38
SF/PF,Robert Covington (14023340),Robert Covington,14023340,CPT,10200,MIN@GS 12/23/2019 10:30PM ET,MIN,25.34
PG/SG,D'Angelo Russell (14023303),D'Angelo Russell,14023303,UTIL,9600,MIN@GS 12/23/2019 10:30PM ET,GS,38
C,Willie Cauley-Stein (14023341),Willie Cauley-Stein,14023341,CPT,9000,MIN@GS 12/23/2019 10:30PM ET,GS,22.95
PG/SF,Draymond Green (14023304),Draymond Green,14023304,UTIL,8600,MIN@GS 12/23/2019 10:30PM ET,GS,29.2
C,Gorgui Dieng (14023342),Gorgui Dieng,14023342,CPT,8400,MIN@GS 12/23/2019 10:30PM ET,MIN,16.28
PG,Jeff Teague (14023305),Jeff Teague,14023305,UTIL,8000,MIN@GS 12/23/2019 10:30PM ET,MIN,29.91
PG/SG,Alec Burks (14023306),Alec Burks,14023306,UTIL,7600,MIN@GS 12/23/2019 10:30PM ET,GS,28.64
SF/PF,Jake Layman (14023343),Jake Layman,14023343,CPT,7500,MIN@GS 12/23/2019 10:30PM ET,MIN,18.52
SG/SF,Damion Lee (14023344),Damion Lee,14023344,CPT,7200,MIN@GS 12/23/2019 10:30PM ET,GS,20.27
SF/PF,Eric Paschall (14023345),Eric Paschall,14023345,CPT,6900,MIN@GS 12/23/2019 10:30PM ET,GS,25.10
SF/PF,Robert Covington (14023307),Robert Covington,14023307,UTIL,6800,MIN@GS 12/23/2019 10:30PM ET,MIN,25.34
SG/SF,Glenn Robinson III (14023346),Glenn Robinson III,14023346,CPT,6600,MIN@GS 12/23/2019 10:30PM ET,GS,22.38
PF/C,Marquese Chriss (14023347),Marquese Chriss,14023347,CPT,6300,MIN@GS 12/23/2019 10:30PM ET,GS,19.60
C,Willie Cauley-Stein (14023308),Willie Cauley-Stein,14023308,UTIL,6000,MIN@GS 12/23/2019 10:30PM ET,GS,22.95
SG/SF,Josh Okogie (14023348),Josh Okogie,14023348,CPT,6000,MIN@GS 12/23/2019 10:30PM ET,MIN,18.83
C,Gorgui Dieng (14023309),Gorgui Dieng,14023309,UTIL,5600,MIN@GS 12/23/2019 10:30PM ET,MIN,16.28
SF/PF,Jake Layman (14023310),Jake Layman,14023310,UTIL,5000,MIN@GS 12/23/2019 10:30PM ET,MIN,18.52
SG/SF,Damion Lee (14023311),Damion Lee,14023311,UTIL,4800,MIN@GS 12/23/2019 10:30PM ET,GS,20.27
PG/SG,Shabazz Napier (14023349),Shabazz Napier,14023349,CPT,4800,MIN@GS 12/23/2019 10:30PM ET,MIN,17.62
SF/PF,Eric Paschall (14023312),Eric Paschall,14023312,UTIL,4600,MIN@GS 12/23/2019 10:30PM ET,GS,25.10
SG/SF,Glenn Robinson III (14023313),Glenn Robinson III,14023313,UTIL,4400,MIN@GS 12/23/2019 10:30PM ET,GS,22.38
PF/C,Marquese Chriss (14023314),Marquese Chriss,14023314,UTIL,4200,MIN@GS 12/23/2019 10:30PM ET,GS,19.60
SG/SF,Josh Okogie (14023315),Josh Okogie,14023315,UTIL,4000,MIN@GS 12/23/2019 10:30PM ET,MIN,18.83
SF/PF,Treveon Graham (14023350),Treveon Graham,14023350,CPT,3600,MIN@GS 12/23/2019 10:30PM ET,MIN,12.07
PF/C,Omari Spellman (14023351),Omari Spellman,14023351,CPT,3300,MIN@GS 12/23/2019 10:30PM ET,GS,17.08
PG/SG,Shabazz Napier (14023316),Shabazz Napier,14023316,UTIL,3200,MIN@GS 12/23/2019 10:30PM ET,MIN,17.62
PG/SG,Jarrett Culver (14023352),Jarrett Culver,14023352,CPT,3000,MIN@GS 12/23/2019 10:30PM ET,MIN,17.89
SG/SF,Jordan Poole (14023353),Jordan Poole,14023353,CPT,2700,MIN@GS 12/23/2019 10:30PM ET,GS,14.34
SF/PF,Treveon Graham (14023317),Treveon Graham,14023317,UTIL,2400,MIN@GS 12/23/2019 10:30PM ET,MIN,12.07
PF/C,Jordan Bell (14023354),Jordan Bell,14023354,CPT,2400,MIN@GS 12/23/2019 10:30PM ET,MIN,10.16
PF/C,Omari Spellman (14023318),Omari Spellman,14023318,UTIL,2200,MIN@GS 12/23/2019 10:30PM ET,GS,17.08
PG,Jordan McLaughlin (14023355),Jordan McLaughlin,14023355,CPT,2100,MIN@GS 12/23/2019 10:30PM ET,MIN,8.06
PG/SG,Jarrett Culver (14023319),Jarrett Culver,14023319,UTIL,2000,MIN@GS 12/23/2019 10:30PM ET,MIN,17.89
SG/SF,Jordan Poole (14023320),Jordan Poole,14023320,UTIL,1800,MIN@GS 12/23/2019 10:30PM ET,GS,14.34
PF/C,Kevon Looney (14023356),Kevon Looney,14023356,CPT,1800,MIN@GS 12/23/2019 10:30PM ET,GS,7.67
PF/C,Jordan Bell (14023321),Jordan Bell,14023321,UTIL,1600,MIN@GS 12/23/2019 10:30PM ET,MIN,10.16
SF/PF,Keita Bates-Diop (14023357),Keita Bates-Diop,14023357,CPT,1500,MIN@GS 12/23/2019 10:30PM ET,MIN,12.89
PG,Ky Bowman (14023358),Ky Bowman,14023358,CPT,1500,MIN@GS 12/23/2019 10:30PM ET,GS,17.93
SF,Kelan Martin (14023359),Kelan Martin,14023359,CPT,1500,MIN@GS 12/23/2019 10:30PM ET,MIN,8.5
PG/SF,Jacob Evans III (14023360),Jacob Evans III,14023360,CPT,1500,MIN@GS 12/23/2019 10:30PM ET,GS,8.78
PF/C,Noah Vonleh (14023361),Noah Vonleh,14023361,CPT,1500,MIN@GS 12/23/2019 10:30PM ET,MIN,10.57
PF/C,Naz Reid (14023362),Naz Reid,14023362,CPT,1500,MIN@GS 12/23/2019 10:30PM ET,MIN,2.38
PG/SG,Jaylen Nowell (14023363),Jaylen Nowell,14023363,CPT,1500,MIN@GS 12/23/2019 10:30PM ET,MIN,4.56
SG/SF,Klay Thompson (14023364),Klay Thompson,14023364,CPT,1500,MIN@GS 12/23/2019 10:30PM ET,GS,0
PF/C,Alen Smailagic (14023365),Alen Smailagic,14023365,CPT,1500,MIN@GS 12/23/2019 10:30PM ET,GS,0
PG,Jordan McLaughlin (14023322),Jordan McLaughlin,14023322,UTIL,1400,MIN@GS 12/23/2019 10:30PM ET,MIN,8.06
PF/C,Kevon Looney (14023323),Kevon Looney,14023323,UTIL,1200,MIN@GS 12/23/2019 10:30PM ET,GS,7.67
SF/PF,Keita Bates-Diop (14023324),Keita Bates-Diop,14023324,UTIL,1000,MIN@GS 12/23/2019 10:30PM ET,MIN,12.89
PG,Ky Bowman (14023325),Ky Bowman,14023325,UTIL,1000,MIN@GS 12/23/2019 10:30PM ET,GS,17.93
SF,Kelan Martin (14023326),Kelan Martin,14023326,UTIL,1000,MIN@GS 12/23/2019 10:30PM ET,MIN,8.5
PG/SF,Jacob Evans III (14023327),Jacob Evans III,14023327,UTIL,1000,MIN@GS 12/23/2019 10:30PM ET,GS,8.78
PF/C,Noah Vonleh (14023328),Noah Vonleh,14023328,UTIL,1000,MIN@GS 12/23/2019 10:30PM ET,MIN,10.57
PF/C,Naz Reid (14023329),Naz Reid,14023329,UTIL,1000,MIN@GS 12/23/2019 10:30PM ET,MIN,2.38
PG/SG,Jaylen Nowell (14023330),Jaylen Nowell,14023330,UTIL,1000,MIN@GS 12/23/2019 10:30PM ET,MIN,4.56
SG/SF,Klay Thompson (14023331),Klay Thompson,14023331,UTIL,1000,MIN@GS 12/23/2019 10:30PM ET,GS,0
PF/C,Alen Smailagic (14023332),Alen Smailagic,14023332,UTIL,1000,MIN@GS 12/23/2019 10:30PM ET,GS,0
