Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14118676),James Harden,14118676,CPT,22500,MIN@HOU 01/11/2020 05:00PM ET,HOU,62.83
C,Karl-Anthony Towns (14118677),Karl-Anthony Towns,14118677,CPT,20100,MIN@HOU 01/11/2020 05:00PM ET,MIN,53.74
PG/SG,James Harden (14118643),James Harden,14118643,UTIL,15000,MIN@HOU 01/11/2020 05:00PM ET,HOU,62.83
PG,Russell Westbrook (14118678),Russell Westbrook,14118678,CPT,15000,MIN@HOU 01/11/2020 05:00PM ET,HOU,47.82
C,Clint Capela (14118679),Clint Capela,14118679,CPT,13800,MIN@HOU 01/11/2020 05:00PM ET,HOU,40.22
C,Karl-Anthony Towns (14118644),Karl-Anthony Towns,14118644,UTIL,13400,MIN@HOU 01/11/2020 05:00PM ET,MIN,53.74
SG/SF,Andrew Wiggins (14118680),Andrew Wiggins,14118680,CPT,12900,MIN@HOU 01/11/2020 05:00PM ET,MIN,39.16
C,Gorgui Dieng (14118681),Gorgui Dieng,14118681,CPT,12000,MIN@HOU 01/11/2020 05:00PM ET,MIN,21.14
SF/PF,Robert Covington (14118682),Robert Covington,14118682,CPT,10800,MIN@HOU 01/11/2020 05:00PM ET,MIN,26.90
PG,Russell Westbrook (14118645),Russell Westbrook,14118645,UTIL,10000,MIN@HOU 01/11/2020 05:00PM ET,HOU,47.82
PG/SG,Shabazz Napier (14118683),Shabazz Napier,14118683,CPT,9900,MIN@HOU 01/11/2020 05:00PM ET,MIN,21.31
PG,Jeff Teague (14118684),Jeff Teague,14118684,CPT,9600,MIN@HOU 01/11/2020 05:00PM ET,MIN,28.40
PG/SG,Jarrett Culver (14118685),Jarrett Culver,14118685,CPT,9300,MIN@HOU 01/11/2020 05:00PM ET,MIN,19.54
C,Clint Capela (14118646),Clint Capela,14118646,UTIL,9200,MIN@HOU 01/11/2020 05:00PM ET,HOU,40.22
SG/SF,Andrew Wiggins (14118647),Andrew Wiggins,14118647,UTIL,8600,MIN@HOU 01/11/2020 05:00PM ET,MIN,39.16
SG/SF,Eric Gordon (14118686),Eric Gordon,14118686,CPT,8100,MIN@HOU 01/11/2020 05:00PM ET,HOU,18.15
C,Gorgui Dieng (14118648),Gorgui Dieng,14118648,UTIL,8000,MIN@HOU 01/11/2020 05:00PM ET,MIN,21.14
SF/PF,Danuel House Jr. (14118687),Danuel House Jr.,14118687,CPT,7500,MIN@HOU 01/11/2020 05:00PM ET,HOU,20.86
SF/PF,Robert Covington (14118649),Robert Covington,14118649,UTIL,7200,MIN@HOU 01/11/2020 05:00PM ET,MIN,26.90
PF/C,P.J. Tucker (14118688),P.J. Tucker,14118688,CPT,6900,MIN@HOU 01/11/2020 05:00PM ET,HOU,23.61
PG/SG,Shabazz Napier (14118650),Shabazz Napier,14118650,UTIL,6600,MIN@HOU 01/11/2020 05:00PM ET,MIN,21.31
PG,Jeff Teague (14118651),Jeff Teague,14118651,UTIL,6400,MIN@HOU 01/11/2020 05:00PM ET,MIN,28.40
