Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,LeBron James (13927451),LeBron James,13927451,CPT,18300,MIN@LAL 12/08/2019 09:30PM ET,LAL,55.08
C,Karl-Anthony Towns (13927452),Karl-Anthony Towns,13927452,CPT,17700,MIN@LAL 12/08/2019 09:30PM ET,MIN,54.37
PF,Anthony Davis (13927453),Anthony Davis,13927453,CPT,15900,MIN@LAL 12/08/2019 09:30PM ET,LAL,51.06
SF,Andrew Wiggins (13927454),Andrew Wiggins,13927454,CPT,14100,MIN@LAL 12/08/2019 09:30PM ET,MIN,40.74
PG,Jeff Teague (13927455),Jeff Teague,13927455,CPT,12600,MIN@LAL 12/08/2019 09:30PM ET,MIN,29.72
SF,LeBron James (13927417),LeBron James,13927417,UTIL,12200,MIN@LAL 12/08/2019 09:30PM ET,LAL,55.08
C,Karl-Anthony Towns (13927418),Karl-Anthony Towns,13927418,UTIL,11800,MIN@LAL 12/08/2019 09:30PM ET,MIN,54.37
SF,Robert Covington (13927456),Robert Covington,13927456,CPT,11400,MIN@LAL 12/08/2019 09:30PM ET,MIN,26.19
PG,Rajon Rondo (13927457),Rajon Rondo,13927457,CPT,10800,MIN@LAL 12/08/2019 09:30PM ET,LAL,24.12
PF,Anthony Davis (13927419),Anthony Davis,13927419,UTIL,10600,MIN@LAL 12/08/2019 09:30PM ET,LAL,51.06
SF,Andrew Wiggins (13927420),Andrew Wiggins,13927420,UTIL,9400,MIN@LAL 12/08/2019 09:30PM ET,MIN,40.74
PG,Jeff Teague (13927421),Jeff Teague,13927421,UTIL,8400,MIN@LAL 12/08/2019 09:30PM ET,MIN,29.72
SF,Jarrett Culver (13927458),Jarrett Culver,13927458,CPT,8400,MIN@LAL 12/08/2019 09:30PM ET,MIN,19.77
SF,Kyle Kuzma (13927459),Kyle Kuzma,13927459,CPT,7800,MIN@LAL 12/08/2019 09:30PM ET,LAL,18.33
SF,Robert Covington (13927422),Robert Covington,13927422,UTIL,7600,MIN@LAL 12/08/2019 09:30PM ET,MIN,26.19
PG,Rajon Rondo (13927423),Rajon Rondo,13927423,UTIL,7200,MIN@LAL 12/08/2019 09:30PM ET,LAL,24.12
C,Dwight Howard (13927460),Dwight Howard,13927460,CPT,7200,MIN@LAL 12/08/2019 09:30PM ET,LAL,20.16
C,JaVale McGee (13927461),JaVale McGee,13927461,CPT,6900,MIN@LAL 12/08/2019 09:30PM ET,LAL,19.29
SG,Josh Okogie (13927462),Josh Okogie,13927462,CPT,6600,MIN@LAL 12/08/2019 09:30PM ET,MIN,20.16
SG,Danny Green (13927463),Danny Green,13927463,CPT,6300,MIN@LAL 12/08/2019 09:30PM ET,LAL,18.35
SF,Jake Layman (13927464),Jake Layman,13927464,CPT,6000,MIN@LAL 12/08/2019 09:30PM ET,MIN,18.52
SG,Avery Bradley (13927465),Avery Bradley,13927465,CPT,5700,MIN@LAL 12/08/2019 09:30PM ET,LAL,18.35
