Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Karl-Anthony Towns (14094700),Karl-Anthony Towns,14094700,CPT,19200,MIN@MEM 01/07/2020 08:00PM ET,MIN,53.74
C,Jonas Valanciunas (14094701),Jonas Valanciunas,14094701,CPT,15000,MIN@MEM 01/07/2020 08:00PM ET,MEM,32.68
PF/C,Jaren Jackson Jr. (14094702),Jaren Jackson Jr.,14094702,CPT,14400,MIN@MEM 01/07/2020 08:00PM ET,MEM,30.70
SG/SF,Andrew Wiggins (14094703),Andrew Wiggins,14094703,CPT,13200,MIN@MEM 01/07/2020 08:00PM ET,MIN,39.69
C,Gorgui Dieng (14094704),Gorgui Dieng,14094704,CPT,12900,MIN@MEM 01/07/2020 08:00PM ET,MIN,20.80
C,Karl-Anthony Towns (14094666),Karl-Anthony Towns,14094666,UTIL,12800,MIN@MEM 01/07/2020 08:00PM ET,MIN,53.74
PG,Ja Morant (14094705),Ja Morant,14094705,CPT,12600,MIN@MEM 01/07/2020 08:00PM ET,MEM,32.98
PG/SG,Shabazz Napier (14094706),Shabazz Napier,14094706,CPT,12000,MIN@MEM 01/07/2020 08:00PM ET,MIN,21.67
SF/PF,Robert Covington (14094707),Robert Covington,14094707,CPT,11100,MIN@MEM 01/07/2020 08:00PM ET,MIN,26.75
C,Jonas Valanciunas (14094667),Jonas Valanciunas,14094667,UTIL,10000,MIN@MEM 01/07/2020 08:00PM ET,MEM,32.68
PG/SG,Jarrett Culver (14094708),Jarrett Culver,14094708,CPT,9900,MIN@MEM 01/07/2020 08:00PM ET,MIN,18.98
PF/C,Jaren Jackson Jr. (14094668),Jaren Jackson Jr.,14094668,UTIL,9600,MIN@MEM 01/07/2020 08:00PM ET,MEM,30.70
SF/PF,Jae Crowder (14094709),Jae Crowder,14094709,CPT,9600,MIN@MEM 01/07/2020 08:00PM ET,MEM,25.93
SG/SF,Dillon Brooks (14094710),Dillon Brooks,14094710,CPT,9000,MIN@MEM 01/07/2020 08:00PM ET,MEM,24.63
SG/SF,Andrew Wiggins (14094669),Andrew Wiggins,14094669,UTIL,8800,MIN@MEM 01/07/2020 08:00PM ET,MIN,39.69
C,Gorgui Dieng (14094670),Gorgui Dieng,14094670,UTIL,8600,MIN@MEM 01/07/2020 08:00PM ET,MIN,20.80
PG,Ja Morant (14094671),Ja Morant,14094671,UTIL,8400,MIN@MEM 01/07/2020 08:00PM ET,MEM,32.98
PF/C,Brandon Clarke (14094711),Brandon Clarke,14094711,CPT,8400,MIN@MEM 01/07/2020 08:00PM ET,MEM,23.97
PG/SG,Shabazz Napier (14094672),Shabazz Napier,14094672,UTIL,8000,MIN@MEM 01/07/2020 08:00PM ET,MIN,21.67
PG,Jeff Teague (14094712),Jeff Teague,14094712,CPT,7800,MIN@MEM 01/07/2020 08:00PM ET,MIN,28.40
SF/PF,Robert Covington (14094673),Robert Covington,14094673,UTIL,7400,MIN@MEM 01/07/2020 08:00PM ET,MIN,26.75
PG/SG,Jarrett Culver (14094674),Jarrett Culver,14094674,UTIL,6600,MIN@MEM 01/07/2020 08:00PM ET,MIN,18.98
PF/C,Naz Reid (14094713),Naz Reid,14094713,CPT,6600,MIN@MEM 01/07/2020 08:00PM ET,MIN,15.21
SF/PF,Jae Crowder (14094675),Jae Crowder,14094675,UTIL,6400,MIN@MEM 01/07/2020 08:00PM ET,MEM,25.93
SG/SF,Dillon Brooks (14094676),Dillon Brooks,14094676,UTIL,6000,MIN@MEM 01/07/2020 08:00PM ET,MEM,24.63
PG/SG,De'Anthony Melton (14094714),De'Anthony Melton,14094714,CPT,6000,MIN@MEM 01/07/2020 08:00PM ET,MEM,19.46
SG,Kelan Martin (14094715),Kelan Martin,14094715,CPT,5700,MIN@MEM 01/07/2020 08:00PM ET,MIN,12.42
PF/C,Brandon Clarke (14094677),Brandon Clarke,14094677,UTIL,5600,MIN@MEM 01/07/2020 08:00PM ET,MEM,23.97
SG/SF,Josh Okogie (14094716),Josh Okogie,14094716,CPT,5400,MIN@MEM 01/07/2020 08:00PM ET,MIN,17.78
PG,Jeff Teague (14094678),Jeff Teague,14094678,UTIL,5200,MIN@MEM 01/07/2020 08:00PM ET,MIN,28.40
SF/PF,Jake Layman (14094717),Jake Layman,14094717,CPT,4800,MIN@MEM 01/07/2020 08:00PM ET,MIN,18.52
PF/C,Naz Reid (14094679),Naz Reid,14094679,UTIL,4400,MIN@MEM 01/07/2020 08:00PM ET,MIN,15.21
PG/SG,Tyus Jones (14094718),Tyus Jones,14094718,CPT,4200,MIN@MEM 01/07/2020 08:00PM ET,MEM,17.52
PG/SG,De'Anthony Melton (14094680),De'Anthony Melton,14094680,UTIL,4000,MIN@MEM 01/07/2020 08:00PM ET,MEM,19.46
SF/PF,Keita Bates-Diop (14094719),Keita Bates-Diop,14094719,CPT,3900,MIN@MEM 01/07/2020 08:00PM ET,MIN,13.26
SG,Kelan Martin (14094681),Kelan Martin,14094681,UTIL,3800,MIN@MEM 01/07/2020 08:00PM ET,MIN,12.42
SG/SF,Josh Okogie (14094682),Josh Okogie,14094682,UTIL,3600,MIN@MEM 01/07/2020 08:00PM ET,MIN,17.78
SF/PF,Jake Layman (14094683),Jake Layman,14094683,UTIL,3200,MIN@MEM 01/07/2020 08:00PM ET,MIN,18.52
PG/SG,Tyus Jones (14094684),Tyus Jones,14094684,UTIL,2800,MIN@MEM 01/07/2020 08:00PM ET,MEM,17.52
SF/PF,Solomon Hill (14094720),Solomon Hill,14094720,CPT,2700,MIN@MEM 01/07/2020 08:00PM ET,MEM,14.71
SF/PF,Keita Bates-Diop (14094685),Keita Bates-Diop,14094685,UTIL,2600,MIN@MEM 01/07/2020 08:00PM ET,MIN,13.26
SF/PF,Solomon Hill (14094686),Solomon Hill,14094686,UTIL,1800,MIN@MEM 01/07/2020 08:00PM ET,MEM,14.71
SF/PF,Kyle Anderson (14094721),Kyle Anderson,14094721,CPT,1800,MIN@MEM 01/07/2020 08:00PM ET,MEM,15.56
PF/C,Noah Vonleh (14094722),Noah Vonleh,14094722,CPT,1800,MIN@MEM 01/07/2020 08:00PM ET,MIN,11.66
SF/PF,Treveon Graham (14094724),Treveon Graham,14094724,CPT,1800,MIN@MEM 01/07/2020 08:00PM ET,MIN,12.09
PG,Jordan McLaughlin (14094723),Jordan McLaughlin,14094723,CPT,1500,MIN@MEM 01/07/2020 08:00PM ET,MIN,12.67
PG/SG,Grayson Allen (14094725),Grayson Allen,14094725,CPT,1500,MIN@MEM 01/07/2020 08:00PM ET,MEM,13.81
SF/PF,Yuta Watanabe (14094726),Yuta Watanabe,14094726,CPT,1500,MIN@MEM 01/07/2020 08:00PM ET,MEM,3.81
PG/SG,Jaylen Nowell (14094727),Jaylen Nowell,14094727,CPT,1500,MIN@MEM 01/07/2020 08:00PM ET,MIN,6.82
SG/SF,Marko Guduric (14094728),Marko Guduric,14094728,CPT,1500,MIN@MEM 01/07/2020 08:00PM ET,MEM,10.18
