Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Karl-Anthony Towns (14014158),Karl-Anthony Towns,14014158,CPT,20700,MIN@POR 12/21/2019 10:00PM ET,MIN,53.74
PG,Damian Lillard (14014159),Damian Lillard,14014159,CPT,17400,MIN@POR 12/21/2019 10:00PM ET,POR,46.79
C,Hassan Whiteside (14014160),Hassan Whiteside,14014160,CPT,16500,MIN@POR 12/21/2019 10:00PM ET,POR,40.04
C,Jusuf Nurkic (14014161),Jusuf Nurkic,14014161,CPT,16200,MIN@POR 12/21/2019 10:00PM ET,POR,0
SG/SF,Andrew Wiggins (14014162),Andrew Wiggins,14014162,CPT,15600,MIN@POR 12/21/2019 10:00PM ET,MIN,39.82
PG/SG,CJ McCollum (14014163),CJ McCollum,14014163,CPT,15000,MIN@POR 12/21/2019 10:00PM ET,POR,37.01
C,Karl-Anthony Towns (14014125),Karl-Anthony Towns,14014125,UTIL,13800,MIN@POR 12/21/2019 10:00PM ET,MIN,53.74
SF/PF,Carmelo Anthony (14014164),Carmelo Anthony,14014164,CPT,13800,MIN@POR 12/21/2019 10:00PM ET,POR,29.68
PG,Jeff Teague (14014165),Jeff Teague,14014165,CPT,12600,MIN@POR 12/21/2019 10:00PM ET,MIN,29.49
SF/PF,Robert Covington (14014166),Robert Covington,14014166,CPT,12000,MIN@POR 12/21/2019 10:00PM ET,MIN,25.85
PG,Damian Lillard (14014126),Damian Lillard,14014126,UTIL,11600,MIN@POR 12/21/2019 10:00PM ET,POR,46.79
C,Gorgui Dieng (14014167),Gorgui Dieng,14014167,CPT,11100,MIN@POR 12/21/2019 10:00PM ET,MIN,15.21
C,Hassan Whiteside (14014127),Hassan Whiteside,14014127,UTIL,11000,MIN@POR 12/21/2019 10:00PM ET,POR,40.04
C,Jusuf Nurkic (14014128),Jusuf Nurkic,14014128,UTIL,10800,MIN@POR 12/21/2019 10:00PM ET,POR,0
SG/SF,Andrew Wiggins (14014129),Andrew Wiggins,14014129,UTIL,10400,MIN@POR 12/21/2019 10:00PM ET,MIN,39.82
PG/SG,CJ McCollum (14014130),CJ McCollum,14014130,UTIL,10000,MIN@POR 12/21/2019 10:00PM ET,POR,37.01
SF/PF,Jake Layman (14014168),Jake Layman,14014168,CPT,9900,MIN@POR 12/21/2019 10:00PM ET,MIN,18.52
SF/PF,Carmelo Anthony (14014131),Carmelo Anthony,14014131,UTIL,9200,MIN@POR 12/21/2019 10:00PM ET,POR,29.68
SG/SF,Kent Bazemore (14014169),Kent Bazemore,14014169,CPT,8700,MIN@POR 12/21/2019 10:00PM ET,POR,18.42
PG,Jeff Teague (14014132),Jeff Teague,14014132,UTIL,8400,MIN@POR 12/21/2019 10:00PM ET,MIN,29.49
PF/C,Zach Collins (14014170),Zach Collins,14014170,CPT,8100,MIN@POR 12/21/2019 10:00PM ET,POR,17.83
SF/PF,Robert Covington (14014133),Robert Covington,14014133,UTIL,8000,MIN@POR 12/21/2019 10:00PM ET,MIN,25.85
SG/SF,Josh Okogie (14014171),Josh Okogie,14014171,CPT,7500,MIN@POR 12/21/2019 10:00PM ET,MIN,19.23
C,Gorgui Dieng (14014134),Gorgui Dieng,14014134,UTIL,7400,MIN@POR 12/21/2019 10:00PM ET,MIN,15.21
SF/PF,Jake Layman (14014135),Jake Layman,14014135,UTIL,6600,MIN@POR 12/21/2019 10:00PM ET,MIN,18.52
PG/SG,Anfernee Simons (14014172),Anfernee Simons,14014172,CPT,6300,MIN@POR 12/21/2019 10:00PM ET,POR,15.63
PG/SG,Shabazz Napier (14014173),Shabazz Napier,14014173,CPT,6000,MIN@POR 12/21/2019 10:00PM ET,MIN,16.43
SG/SF,Kent Bazemore (14014136),Kent Bazemore,14014136,UTIL,5800,MIN@POR 12/21/2019 10:00PM ET,POR,18.42
PF/C,Zach Collins (14014137),Zach Collins,14014137,UTIL,5400,MIN@POR 12/21/2019 10:00PM ET,POR,17.83
PG/SG,Jarrett Culver (14014174),Jarrett Culver,14014174,CPT,5100,MIN@POR 12/21/2019 10:00PM ET,MIN,18.39
SG/SF,Josh Okogie (14014138),Josh Okogie,14014138,UTIL,5000,MIN@POR 12/21/2019 10:00PM ET,MIN,19.23
SF/PF,Treveon Graham (14014175),Treveon Graham,14014175,CPT,4500,MIN@POR 12/21/2019 10:00PM ET,MIN,12.07
PG/SG,Anfernee Simons (14014139),Anfernee Simons,14014139,UTIL,4200,MIN@POR 12/21/2019 10:00PM ET,POR,15.63
PG/SG,Shabazz Napier (14014140),Shabazz Napier,14014140,UTIL,4000,MIN@POR 12/21/2019 10:00PM ET,MIN,16.43
PF/C,Jordan Bell (14014176),Jordan Bell,14014176,CPT,3900,MIN@POR 12/21/2019 10:00PM ET,MIN,10.16
PF/C,Noah Vonleh (14014177),Noah Vonleh,14014177,CPT,3600,MIN@POR 12/21/2019 10:00PM ET,MIN,10.72
PG/SG,Jarrett Culver (14014141),Jarrett Culver,14014141,UTIL,3400,MIN@POR 12/21/2019 10:00PM ET,MIN,18.39
SF/PF,Treveon Graham (14014142),Treveon Graham,14014142,UTIL,3000,MIN@POR 12/21/2019 10:00PM ET,MIN,12.07
PF/C,Jordan Bell (14014143),Jordan Bell,14014143,UTIL,2600,MIN@POR 12/21/2019 10:00PM ET,MIN,10.16
PF/C,Noah Vonleh (14014144),Noah Vonleh,14014144,UTIL,2400,MIN@POR 12/21/2019 10:00PM ET,MIN,10.72
SF/PF,Nassir Little (14014178),Nassir Little,14014178,CPT,2400,MIN@POR 12/21/2019 10:00PM ET,POR,11.61
PG,Jordan McLaughlin (14014179),Jordan McLaughlin,14014179,CPT,2100,MIN@POR 12/21/2019 10:00PM ET,MIN,8.06
PF/C,Skal Labissiere (14014180),Skal Labissiere,14014180,CPT,1800,MIN@POR 12/21/2019 10:00PM ET,POR,15.73
SF/PF,Keita Bates-Diop (14014181),Keita Bates-Diop,14014181,CPT,1800,MIN@POR 12/21/2019 10:00PM ET,MIN,13.03
SF/PF,Nassir Little (14014145),Nassir Little,14014145,UTIL,1600,MIN@POR 12/21/2019 10:00PM ET,POR,11.61
C,Moses Brown (14014182),Moses Brown,14014182,CPT,1500,MIN@POR 12/21/2019 10:00PM ET,POR,5.19
PG/SG,Jaylen Nowell (14014183),Jaylen Nowell,14014183,CPT,1500,MIN@POR 12/21/2019 10:00PM ET,MIN,4.75
PF/C,Anthony Tolliver (14014184),Anthony Tolliver,14014184,CPT,1500,MIN@POR 12/21/2019 10:00PM ET,POR,9.42
SG,Gary Trent Jr. (14014185),Gary Trent Jr.,14014185,CPT,1500,MIN@POR 12/21/2019 10:00PM ET,POR,6.80
SF/PF,Jaylen Hoard (14014186),Jaylen Hoard,14014186,CPT,1500,MIN@POR 12/21/2019 10:00PM ET,POR,4.15
SG/SF,Rodney Hood (14014187),Rodney Hood,14014187,CPT,1500,MIN@POR 12/21/2019 10:00PM ET,POR,19.90
SF/PF,Mario Hezonja (14014188),Mario Hezonja,14014188,CPT,1500,MIN@POR 12/21/2019 10:00PM ET,POR,11.94
SF,Kelan Martin (14014189),Kelan Martin,14014189,CPT,1500,MIN@POR 12/21/2019 10:00PM ET,MIN,8.5
PF/C,Naz Reid (14014190),Naz Reid,14014190,CPT,1500,MIN@POR 12/21/2019 10:00PM ET,MIN,2.38
PG,Jordan McLaughlin (14014146),Jordan McLaughlin,14014146,UTIL,1400,MIN@POR 12/21/2019 10:00PM ET,MIN,8.06
PF/C,Skal Labissiere (14014147),Skal Labissiere,14014147,UTIL,1200,MIN@POR 12/21/2019 10:00PM ET,POR,15.73
SF/PF,Keita Bates-Diop (14014148),Keita Bates-Diop,14014148,UTIL,1200,MIN@POR 12/21/2019 10:00PM ET,MIN,13.03
C,Moses Brown (14014149),Moses Brown,14014149,UTIL,1000,MIN@POR 12/21/2019 10:00PM ET,POR,5.19
PG/SG,Jaylen Nowell (14014150),Jaylen Nowell,14014150,UTIL,1000,MIN@POR 12/21/2019 10:00PM ET,MIN,4.75
PF/C,Anthony Tolliver (14014151),Anthony Tolliver,14014151,UTIL,1000,MIN@POR 12/21/2019 10:00PM ET,POR,9.42
SG,Gary Trent Jr. (14014152),Gary Trent Jr.,14014152,UTIL,1000,MIN@POR 12/21/2019 10:00PM ET,POR,6.80
SF/PF,Jaylen Hoard (14014153),Jaylen Hoard,14014153,UTIL,1000,MIN@POR 12/21/2019 10:00PM ET,POR,4.15
SG/SF,Rodney Hood (14014154),Rodney Hood,14014154,UTIL,1000,MIN@POR 12/21/2019 10:00PM ET,POR,19.90
SF/PF,Mario Hezonja (14014155),Mario Hezonja,14014155,UTIL,1000,MIN@POR 12/21/2019 10:00PM ET,POR,11.94
SF,Kelan Martin (14014156),Kelan Martin,14014156,UTIL,1000,MIN@POR 12/21/2019 10:00PM ET,MIN,8.5
PF/C,Naz Reid (14014157),Naz Reid,14014157,UTIL,1000,MIN@POR 12/21/2019 10:00PM ET,MIN,2.38
