Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Kawhi Leonard (14207192),Kawhi Leonard,14207192,SF/F/UTIL,10800,SAC@LAC 01/30/2020 10:30PM ET,LAC,49.87
C,Nikola Jokic (14207195),Nikola Jokic,14207195,C/UTIL,10100,UTA@DEN 01/30/2020 10:30PM ET,DEN,46.11
PG,Trae Young (14207197),Trae Young,14207197,PG/G/UTIL,9900,PHI@ATL 01/30/2020 07:30PM ET,ATL,50.99
SG/SF,Bradley Beal (14207200),Bradley Beal,14207200,SG/SF/F/G/UTIL,9400,CHA@WAS 01/30/2020 07:00PM ET,WAS,45.99
C,Joel Embiid (14207205),Joel Embiid,14207205,C/UTIL,9300,PHI@ATL 01/30/2020 07:30PM ET,PHI,47.98
PG/SF,Ben Simmons (14207207),Ben Simmons,14207207,PG/SF/F/G/UTIL,8900,PHI@ATL 01/30/2020 07:30PM ET,PHI,43.65
PF/C,Pascal Siakam (14207212),Pascal Siakam,14207212,PF/C/F/UTIL,8400,TOR@CLE 01/30/2020 07:00PM ET,TOR,42.58
SG/SF,Paul George (14207216),Paul George,14207216,SG/SF/F/G/UTIL,8200,SAC@LAC 01/30/2020 10:30PM ET,LAC,40.64
C,Rudy Gobert (14207221),Rudy Gobert,14207221,C/UTIL,8100,UTA@DEN 01/30/2020 10:30PM ET,UTA,41.95
PG/SG,D'Angelo Russell (14207223),D'Angelo Russell,14207223,PG/SG/G/UTIL,8000,GS@BOS 01/30/2020 08:00PM ET,GS,40.69
PG,Kemba Walker (14207227),Kemba Walker,14207227,PG/G/UTIL,7900,GS@BOS 01/30/2020 08:00PM ET,BOS,38.74
PF/C,John Collins (14207230),John Collins,14207230,PF/C/F/UTIL,7800,PHI@ATL 01/30/2020 07:30PM ET,ATL,38.82
PG,Devonte' Graham (14207238),Devonte' Graham,14207238,PG/G/UTIL,7700,CHA@WAS 01/30/2020 07:00PM ET,CHA,37.29
PG/SG,Fred VanVleet (14207234),Fred VanVleet,14207234,PG/SG/G/UTIL,7700,TOR@CLE 01/30/2020 07:00PM ET,TOR,38.06
PG,De'Aaron Fox (14207241),De'Aaron Fox,14207241,PG/G/UTIL,7600,SAC@LAC 01/30/2020 10:30PM ET,SAC,38.40
SF/PF,Jayson Tatum (14207244),Jayson Tatum,14207244,SF/PF/F/UTIL,7600,GS@BOS 01/30/2020 08:00PM ET,BOS,39.19
SF/PF,Gordon Hayward (14207251),Gordon Hayward,14207251,SF/PF/F/UTIL,7500,GS@BOS 01/30/2020 08:00PM ET,BOS,33.11
PG,Kyle Lowry (14207248),Kyle Lowry,14207248,PG/G/UTIL,7500,TOR@CLE 01/30/2020 07:00PM ET,TOR,40.33
SG/SF,Jaylen Brown (14207255),Jaylen Brown,14207255,SG/SF/F/G/UTIL,7400,GS@BOS 01/30/2020 08:00PM ET,BOS,34.86
PG/SG,Terry Rozier (14207260),Terry Rozier,14207260,PG/SG/G/UTIL,7300,CHA@WAS 01/30/2020 07:00PM ET,CHA,32.88
PG,Stephen Curry (14207264),Stephen Curry,14207264,PG/G/UTIL,7300,GS@BOS 01/30/2020 08:00PM ET,GS,39.38
PG/SG,Donovan Mitchell (14207267),Donovan Mitchell,14207267,PG/SG/G/UTIL,7200,UTA@DEN 01/30/2020 10:30PM ET,UTA,39.51
PF,Kevin Love (14207271),Kevin Love,14207271,PF/F/UTIL,7200,TOR@CLE 01/30/2020 07:00PM ET,CLE,36.35
C,Serge Ibaka (14207274),Serge Ibaka,14207274,C/UTIL,7100,TOR@CLE 01/30/2020 07:00PM ET,TOR,30.08
SF/PF,Tobias Harris (14207276),Tobias Harris,14207276,SF/PF/F/UTIL,7000,PHI@ATL 01/30/2020 07:30PM ET,PHI,35.29
C,Montrezl Harrell (14207280),Montrezl Harrell,14207280,C/UTIL,6900,SAC@LAC 01/30/2020 10:30PM ET,LAC,33.88
PG/SG,Collin Sexton (14207282),Collin Sexton,14207282,PG/SG/G/UTIL,6900,TOR@CLE 01/30/2020 07:00PM ET,CLE,29.06
SG/SF,Buddy Hield (14207286),Buddy Hield,14207286,SG/SF/F/G/UTIL,6800,SAC@LAC 01/30/2020 10:30PM ET,SAC,34.35
PG/SG,Lou Williams (14207291),Lou Williams,14207291,PG/SG/G/UTIL,6800,SAC@LAC 01/30/2020 10:30PM ET,LAC,33.69
PF/C,Al Horford (14207295),Al Horford,14207295,PF/C/F/UTIL,6700,PHI@ATL 01/30/2020 07:30PM ET,PHI,31.02
PF/C,Marvin Bagley III (14207299),Marvin Bagley III,14207299,PF/C/F/UTIL,6600,SAC@LAC 01/30/2020 10:30PM ET,SAC,27.29
PF,Nemanja Bjelica (14207303),Nemanja Bjelica,14207303,PF/F/UTIL,6500,SAC@LAC 01/30/2020 10:30PM ET,SAC,27.94
PF/C,Jerami Grant (14207306),Jerami Grant,14207306,PF/C/F/UTIL,6400,UTA@DEN 01/30/2020 10:30PM ET,DEN,20.13
SG/SF,Norman Powell (14207310),Norman Powell,14207310,SG/SF/F/G/UTIL,6300,TOR@CLE 01/30/2020 07:00PM ET,TOR,26.08
PF,Davis Bertans (14207315),Davis Bertans,14207315,PF/F/UTIL,6200,CHA@WAS 01/30/2020 07:00PM ET,WAS,27.73
PG/SG,Marcus Smart (14207318),Marcus Smart,14207318,PG/SG/G/UTIL,6200,GS@BOS 01/30/2020 08:00PM ET,BOS,28.26
C,Daniel Theis (14207322),Daniel Theis,14207322,C/UTIL,6100,GS@BOS 01/30/2020 08:00PM ET,BOS,22.51
PG/SF,Will Barton (14207324),Will Barton,14207324,PG/SF/F/G/UTIL,6000,UTA@DEN 01/30/2020 10:30PM ET,DEN,32.16
SF/PF,Bojan Bogdanovic (14207329),Bojan Bogdanovic,14207329,SF/PF/F/UTIL,6000,UTA@DEN 01/30/2020 10:30PM ET,UTA,31.03
PG,Jamal Murray (14207333),Jamal Murray,14207333,PG/G/UTIL,6000,UTA@DEN 01/30/2020 10:30PM ET,DEN,32.58
PG/SF,Draymond Green (14207336),Draymond Green,14207336,PG/SF/F/G/UTIL,5900,GS@BOS 01/30/2020 08:00PM ET,GS,29.4
C,Richaun Holmes (14207341),Richaun Holmes,14207341,C/UTIL,5800,SAC@LAC 01/30/2020 10:30PM ET,SAC,30.01
SF/PF,Michael Porter Jr. (14207343),Michael Porter Jr.,14207343,SF/PF/F/UTIL,5700,UTA@DEN 01/30/2020 10:30PM ET,DEN,15.58
SF/PF,Troy Brown Jr. (14207356),Troy Brown Jr.,14207356,SF/PF/F/UTIL,5600,CHA@WAS 01/30/2020 07:00PM ET,WAS,23.98
PF/C,Larry Nance Jr. (14207347),Larry Nance Jr.,14207347,PF/C/F/UTIL,5600,TOR@CLE 01/30/2020 07:00PM ET,CLE,23.5
SG/SF,Josh Richardson (14207351),Josh Richardson,14207351,SG/SF/F/G/UTIL,5600,PHI@ATL 01/30/2020 07:30PM ET,PHI,27.09
PF/C,Rui Hachimura (14207363),Rui Hachimura,14207363,PF/C/F/UTIL,5500,CHA@WAS 01/30/2020 07:00PM ET,WAS,25.17
PG,Darius Garland (14207360),Darius Garland,14207360,PG/G/UTIL,5500,TOR@CLE 01/30/2020 07:00PM ET,CLE,20.96
PF/C,PJ Washington (14207369),PJ Washington,14207369,PF/C/F/UTIL,5400,CHA@WAS 01/30/2020 07:00PM ET,CHA,25.66
C,Tristan Thompson (14207367),Tristan Thompson,14207367,C/UTIL,5400,TOR@CLE 01/30/2020 07:00PM ET,CLE,31.24
PG,Monte Morris (14207373),Monte Morris,14207373,PG/G/UTIL,5300,UTA@DEN 01/30/2020 10:30PM ET,DEN,17.22
SG,Kevin Huerter (14207376),Kevin Huerter,14207376,SG/G/UTIL,5300,PHI@ATL 01/30/2020 07:30PM ET,ATL,24.82
PF/C,Thomas Bryant (14207383),Thomas Bryant,14207383,PF/C/F/UTIL,5200,CHA@WAS 01/30/2020 07:00PM ET,WAS,27.38
PG/SG,Alec Burks (14207379),Alec Burks,14207379,PG/SG/G/UTIL,5200,GS@BOS 01/30/2020 08:00PM ET,GS,29.42
C,Moritz Wagner (14207387),Moritz Wagner,14207387,C/UTIL,5100,CHA@WAS 01/30/2020 07:00PM ET,WAS,23.49
SG/SF,Landry Shamet (14207391),Landry Shamet,14207391,SG/SF/F/G/UTIL,5000,SAC@LAC 01/30/2020 10:30PM ET,LAC,17.26
C,Cody Zeller (14207400),Cody Zeller,14207400,C/UTIL,5000,CHA@WAS 01/30/2020 07:00PM ET,CHA,23.74
C,Marc Gasol (14207389),Marc Gasol,14207389,C/UTIL,5000,TOR@CLE 01/30/2020 07:00PM ET,TOR,24.75
SF/PF,OG Anunoby (14207396),OG Anunoby,14207396,SF/PF/F/UTIL,5000,TOR@CLE 01/30/2020 07:00PM ET,TOR,23.77
PG,Patrick Beverley (14207407),Patrick Beverley,14207407,PG/G/UTIL,4900,SAC@LAC 01/30/2020 10:30PM ET,LAC,25.83
SG/SF,Joe Ingles (14207402),Joe Ingles,14207402,SG/SF/F/G/UTIL,4900,UTA@DEN 01/30/2020 10:30PM ET,UTA,25.53
SG/SF,Bogdan Bogdanovic (14207410),Bogdan Bogdanovic,14207410,SG/SF/F/G/UTIL,4800,SAC@LAC 01/30/2020 10:30PM ET,SAC,26.27
SF/PF,Harrison Barnes (14207418),Harrison Barnes,14207418,SF/PF/F/UTIL,4800,SAC@LAC 01/30/2020 10:30PM ET,SAC,25.62
SF,Glenn Robinson III (14207415),Glenn Robinson III,14207415,SF/F/UTIL,4800,GS@BOS 01/30/2020 08:00PM ET,GS,23.57
PG/SG,Malik Monk (14207426),Malik Monk,14207426,PG/SG/G/UTIL,4700,CHA@WAS 01/30/2020 07:00PM ET,CHA,16.53
SF/PF,Miles Bridges (14207430),Miles Bridges,14207430,SF/PF/F/UTIL,4700,CHA@WAS 01/30/2020 07:00PM ET,CHA,23.90
SF/PF,De'Andre Hunter (14207422),De'Andre Hunter,14207422,SF/PF/F/UTIL,4700,PHI@ATL 01/30/2020 07:30PM ET,ATL,21.54
PG,Ish Smith (14207434),Ish Smith,14207434,PG/G/UTIL,4600,CHA@WAS 01/30/2020 07:00PM ET,WAS,23.77
PG/SG,Jordan McRae (14207437),Jordan McRae,14207437,PG/SG/G/UTIL,4600,CHA@WAS 01/30/2020 07:00PM ET,WAS,23.86
SG,Damion Lee (14207445),Damion Lee,14207445,SG/G/UTIL,4600,GS@BOS 01/30/2020 08:00PM ET,GS,23.72
SF/PF,Cedi Osman (14207441),Cedi Osman,14207441,SF/PF/F/UTIL,4600,TOR@CLE 01/30/2020 07:00PM ET,CLE,21.22
C,Ian Mahinmi (14207448),Ian Mahinmi,14207448,C/UTIL,4500,CHA@WAS 01/30/2020 07:00PM ET,WAS,21.80
C,Guillermo Hernangomez (14207459),Guillermo Hernangomez,14207459,C/UTIL,4500,CHA@WAS 01/30/2020 07:00PM ET,CHA,9.96
PF/C,Marquese Chriss (14207455),Marquese Chriss,14207455,PF/C/F/UTIL,4500,GS@BOS 01/30/2020 08:00PM ET,GS,19.59
SG/SF,Cam Reddish (14207450),Cam Reddish,14207450,SG/SF/F/G/UTIL,4500,PHI@ATL 01/30/2020 07:30PM ET,ATL,19.25
C,Enes Kanter (14207466),Enes Kanter,14207466,C/UTIL,4400,GS@BOS 01/30/2020 08:00PM ET,BOS,23.72
SF/PF,Eric Paschall (14207468),Eric Paschall,14207468,SF/PF/F/UTIL,4400,GS@BOS 01/30/2020 08:00PM ET,GS,23.46
SG/SF,Matisse Thybulle (14207461),Matisse Thybulle,14207461,SG/SF/F/G/UTIL,4400,PHI@ATL 01/30/2020 07:30PM ET,PHI,13.65
PF/C,Paul Millsap (14207472),Paul Millsap,14207472,PF/C/F/UTIL,4300,UTA@DEN 01/30/2020 10:30PM ET,DEN,24.34
C,Chris Boucher (14207476),Chris Boucher,14207476,C/UTIL,4300,TOR@CLE 01/30/2020 07:00PM ET,TOR,15.01
PG,Mike Conley (14207482),Mike Conley,14207482,PG/G/UTIL,4200,UTA@DEN 01/30/2020 10:30PM ET,UTA,23.87
PG/SG,Shake Milton (14207478),Shake Milton,14207478,PG/SG/G/UTIL,4200,PHI@ATL 01/30/2020 07:30PM ET,PHI,9.25
PF/C,Kyle O'Quinn (14207485),Kyle O'Quinn,14207485,PF/C/F/UTIL,4200,PHI@ATL 01/30/2020 07:30PM ET,PHI,11.94
SG/SF,Kent Bazemore (14207505),Kent Bazemore,14207505,SG/SF/F/G/UTIL,4100,SAC@LAC 01/30/2020 10:30PM ET,SAC,18.16
PG,Isaiah Thomas (14207489),Isaiah Thomas,14207489,PG/G/UTIL,4100,CHA@WAS 01/30/2020 07:00PM ET,WAS,20.75
PF/C,Mason Plumlee (14207494),Mason Plumlee,14207494,PF/C/F/UTIL,4100,UTA@DEN 01/30/2020 10:30PM ET,DEN,19.55
PG/SG,Jordan Clarkson (14207498),Jordan Clarkson,14207498,PG/SG/G/UTIL,4100,UTA@DEN 01/30/2020 10:30PM ET,UTA,22.68
SF,Royce O'Neale (14207502),Royce O'Neale,14207502,SF/F/UTIL,4100,UTA@DEN 01/30/2020 10:30PM ET,UTA,19.27
C,Bruno Fernando (14207492),Bruno Fernando,14207492,C/UTIL,4100,PHI@ATL 01/30/2020 07:30PM ET,ATL,10.77
