Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Brandon Ingram (14118743),Brandon Ingram,14118743,CPT,15300,NO@BOS 01/11/2020 07:00PM ET,NO,43.84
SF/PF,Jayson Tatum (14118744),Jayson Tatum,14118744,CPT,14700,NO@BOS 01/11/2020 07:00PM ET,BOS,38.22
PG/SG,Jrue Holiday (14118745),Jrue Holiday,14118745,CPT,14400,NO@BOS 01/11/2020 07:00PM ET,NO,39.90
PG,Kemba Walker (14118746),Kemba Walker,14118746,CPT,14100,NO@BOS 01/11/2020 07:00PM ET,BOS,38.13
SG/SF,Jaylen Brown (14118747),Jaylen Brown,14118747,CPT,12900,NO@BOS 01/11/2020 07:00PM ET,BOS,35.12
PG,Lonzo Ball (14118748),Lonzo Ball,14118748,CPT,12600,NO@BOS 01/11/2020 07:00PM ET,NO,30.37
SF/PF,Gordon Hayward (14118749),Gordon Hayward,14118749,CPT,12300,NO@BOS 01/11/2020 07:00PM ET,BOS,32.36
PF/C,Zion Williamson (14118750),Zion Williamson,14118750,CPT,11700,NO@BOS 01/11/2020 07:00PM ET,NO,0
PF/C,Derrick Favors (14118751),Derrick Favors,14118751,CPT,11400,NO@BOS 01/11/2020 07:00PM ET,NO,27.39
SG/SF,JJ Redick (14118752),JJ Redick,14118752,CPT,10500,NO@BOS 01/11/2020 07:00PM ET,NO,24.37
SF/PF,Brandon Ingram (14118709),Brandon Ingram,14118709,UTIL,10200,NO@BOS 01/11/2020 07:00PM ET,NO,43.84
C,Enes Kanter (14118753),Enes Kanter,14118753,CPT,10200,NO@BOS 01/11/2020 07:00PM ET,BOS,23.17
SF/PF,Jayson Tatum (14118710),Jayson Tatum,14118710,UTIL,9800,NO@BOS 01/11/2020 07:00PM ET,BOS,38.22
PG/SG,Jrue Holiday (14118711),Jrue Holiday,14118711,UTIL,9600,NO@BOS 01/11/2020 07:00PM ET,NO,39.90
PG,Kemba Walker (14118712),Kemba Walker,14118712,UTIL,9400,NO@BOS 01/11/2020 07:00PM ET,BOS,38.13
PG/SG,Marcus Smart (14118754),Marcus Smart,14118754,CPT,9300,NO@BOS 01/11/2020 07:00PM ET,BOS,27
SG/SF,Jaylen Brown (14118713),Jaylen Brown,14118713,UTIL,8600,NO@BOS 01/11/2020 07:00PM ET,BOS,35.12
PG,Lonzo Ball (14118714),Lonzo Ball,14118714,UTIL,8400,NO@BOS 01/11/2020 07:00PM ET,NO,30.37
SF/PF,Gordon Hayward (14118715),Gordon Hayward,14118715,UTIL,8200,NO@BOS 01/11/2020 07:00PM ET,BOS,32.36
SG/SF,Josh Hart (14118755),Josh Hart,14118755,CPT,8100,NO@BOS 01/11/2020 07:00PM ET,NO,23.74
PF/C,Zion Williamson (14118716),Zion Williamson,14118716,UTIL,7800,NO@BOS 01/11/2020 07:00PM ET,NO,0
PF/C,Daniel Theis (14118756),Daniel Theis,14118756,CPT,7800,NO@BOS 01/11/2020 07:00PM ET,BOS,20.92
