Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (13925076),Luka Doncic,13925076,CPT,20700,NO@DAL 12/07/2019 02:00PM ET,DAL,61.16
SF,Brandon Ingram (13925077),Brandon Ingram,13925077,CPT,15600,NO@DAL 12/07/2019 02:00PM ET,NO,43.88
PG,Jrue Holiday (13925078),Jrue Holiday,13925078,CPT,14400,NO@DAL 12/07/2019 02:00PM ET,NO,41.1
PG,Luka Doncic (13925042),Luka Doncic,13925042,UTIL,13800,NO@DAL 12/07/2019 02:00PM ET,DAL,61.16
PF,Kristaps Porzingis (13925079),Kristaps Porzingis,13925079,CPT,13200,NO@DAL 12/07/2019 02:00PM ET,DAL,36.1
PG,Lonzo Ball (13925080),Lonzo Ball,13925080,CPT,12000,NO@DAL 12/07/2019 02:00PM ET,NO,29.23
SG,JJ Redick (13925081),JJ Redick,13925081,CPT,10800,NO@DAL 12/07/2019 02:00PM ET,NO,25.10
PF,Derrick Favors (13925082),Derrick Favors,13925082,CPT,10500,NO@DAL 12/07/2019 02:00PM ET,NO,24.25
SF,Brandon Ingram (13925043),Brandon Ingram,13925043,UTIL,10400,NO@DAL 12/07/2019 02:00PM ET,NO,43.88
PG,Jrue Holiday (13925044),Jrue Holiday,13925044,UTIL,9600,NO@DAL 12/07/2019 02:00PM ET,NO,41.1
SG,Tim Hardaway Jr. (13925083),Tim Hardaway Jr.,13925083,CPT,9600,NO@DAL 12/07/2019 02:00PM ET,DAL,19.87
PF,Kristaps Porzingis (13925045),Kristaps Porzingis,13925045,UTIL,8800,NO@DAL 12/07/2019 02:00PM ET,DAL,36.1
PF,Dwight Powell (13925084),Dwight Powell,13925084,CPT,8400,NO@DAL 12/07/2019 02:00PM ET,DAL,18.18
PG,Delon Wright (13925085),Delon Wright,13925085,CPT,8100,NO@DAL 12/07/2019 02:00PM ET,DAL,20.61
PG,Lonzo Ball (13925046),Lonzo Ball,13925046,UTIL,8000,NO@DAL 12/07/2019 02:00PM ET,NO,29.23
SG,Josh Hart (13925086),Josh Hart,13925086,CPT,7800,NO@DAL 12/07/2019 02:00PM ET,NO,25.65
C,Jaxson Hayes (13925087),Jaxson Hayes,13925087,CPT,7500,NO@DAL 12/07/2019 02:00PM ET,NO,18.95
SG,JJ Redick (13925047),JJ Redick,13925047,UTIL,7200,NO@DAL 12/07/2019 02:00PM ET,NO,25.10
PF,Derrick Favors (13925048),Derrick Favors,13925048,UTIL,7000,NO@DAL 12/07/2019 02:00PM ET,NO,24.25
SF,Dorian Finney-Smith (13925088),Dorian Finney-Smith,13925088,CPT,6900,NO@DAL 12/07/2019 02:00PM ET,DAL,18.29
C,Maxi Kleber (13925089),Maxi Kleber,13925089,CPT,6600,NO@DAL 12/07/2019 02:00PM ET,DAL,19.54
