Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (14027093),Nikola Jokic,14027093,CPT,18300,NO@DEN 12/25/2019 10:30PM ET,DEN,44.30
SF/PF,Brandon Ingram (14027094),Brandon Ingram,14027094,CPT,15000,NO@DEN 12/25/2019 10:30PM ET,NO,42.87
PG/SG,Jrue Holiday (14027095),Jrue Holiday,14027095,CPT,14100,NO@DEN 12/25/2019 10:30PM ET,NO,40.11
PG/SG,Jamal Murray (14027096),Jamal Murray,14027096,CPT,13800,NO@DEN 12/25/2019 10:30PM ET,DEN,33.22
PG/SF,Will Barton (14027097),Will Barton,14027097,CPT,12900,NO@DEN 12/25/2019 10:30PM ET,DEN,32.03
C,Nikola Jokic (14027060),Nikola Jokic,14027060,UTIL,12200,NO@DEN 12/25/2019 10:30PM ET,DEN,44.30
PF/C,Zion Williamson (14027098),Zion Williamson,14027098,CPT,12000,NO@DEN 12/25/2019 10:30PM ET,NO,0
PF/C,Derrick Favors (14027099),Derrick Favors,14027099,CPT,11400,NO@DEN 12/25/2019 10:30PM ET,NO,24.52
SG,Gary Harris (14027100),Gary Harris,14027100,CPT,10500,NO@DEN 12/25/2019 10:30PM ET,DEN,21.46
SF/PF,Brandon Ingram (14027061),Brandon Ingram,14027061,UTIL,10000,NO@DEN 12/25/2019 10:30PM ET,NO,42.87
SG/SF,Josh Hart (14027101),Josh Hart,14027101,CPT,9600,NO@DEN 12/25/2019 10:30PM ET,NO,23.94
PG/SG,Jrue Holiday (14027062),Jrue Holiday,14027062,UTIL,9400,NO@DEN 12/25/2019 10:30PM ET,NO,40.11
PG/SG,Jamal Murray (14027063),Jamal Murray,14027063,UTIL,9200,NO@DEN 12/25/2019 10:30PM ET,DEN,33.22
PG/SF,Will Barton (14027064),Will Barton,14027064,UTIL,8600,NO@DEN 12/25/2019 10:30PM ET,DEN,32.03
PF/C,Paul Millsap (14027102),Paul Millsap,14027102,CPT,8400,NO@DEN 12/25/2019 10:30PM ET,DEN,25.32
PG,Lonzo Ball (14027103),Lonzo Ball,14027103,CPT,8100,NO@DEN 12/25/2019 10:30PM ET,NO,26.85
PF/C,Zion Williamson (14027065),Zion Williamson,14027065,UTIL,8000,NO@DEN 12/25/2019 10:30PM ET,NO,0
SG/SF,JJ Redick (14027104),JJ Redick,14027104,CPT,7800,NO@DEN 12/25/2019 10:30PM ET,NO,24.79
PF/C,Derrick Favors (14027066),Derrick Favors,14027066,UTIL,7600,NO@DEN 12/25/2019 10:30PM ET,NO,24.52
PF/C,Mason Plumlee (14027105),Mason Plumlee,14027105,CPT,7500,NO@DEN 12/25/2019 10:30PM ET,DEN,19.5
SG,Gary Harris (14027067),Gary Harris,14027067,UTIL,7000,NO@DEN 12/25/2019 10:30PM ET,DEN,21.46
C,Jaxson Hayes (14027106),Jaxson Hayes,14027106,CPT,6600,NO@DEN 12/25/2019 10:30PM ET,NO,19.54
SG/SF,Josh Hart (14027068),Josh Hart,14027068,UTIL,6400,NO@DEN 12/25/2019 10:30PM ET,NO,23.94
PF/C,Jerami Grant (14027107),Jerami Grant,14027107,CPT,6300,NO@DEN 12/25/2019 10:30PM ET,DEN,17.53
PF/C,Paul Millsap (14027069),Paul Millsap,14027069,UTIL,5600,NO@DEN 12/25/2019 10:30PM ET,DEN,25.32
PG,Lonzo Ball (14027070),Lonzo Ball,14027070,UTIL,5400,NO@DEN 12/25/2019 10:30PM ET,NO,26.85
SG/SF,JJ Redick (14027071),JJ Redick,14027071,UTIL,5200,NO@DEN 12/25/2019 10:30PM ET,NO,24.79
C,Jahlil Okafor (14027108),Jahlil Okafor,14027108,CPT,5100,NO@DEN 12/25/2019 10:30PM ET,NO,18.44
PF/C,Mason Plumlee (14027072),Mason Plumlee,14027072,UTIL,5000,NO@DEN 12/25/2019 10:30PM ET,DEN,19.5
C,Jaxson Hayes (14027073),Jaxson Hayes,14027073,UTIL,4400,NO@DEN 12/25/2019 10:30PM ET,NO,19.54
PF/C,Jerami Grant (14027074),Jerami Grant,14027074,UTIL,4200,NO@DEN 12/25/2019 10:30PM ET,DEN,17.53
PG,Monte Morris (14027109),Monte Morris,14027109,CPT,4200,NO@DEN 12/25/2019 10:30PM ET,DEN,15.66
C,Jahlil Okafor (14027075),Jahlil Okafor,14027075,UTIL,3400,NO@DEN 12/25/2019 10:30PM ET,NO,18.44
PG/SG,Malik Beasley (14027110),Malik Beasley,14027110,CPT,3300,NO@DEN 12/25/2019 10:30PM ET,DEN,11.27
PG,Monte Morris (14027076),Monte Morris,14027076,UTIL,2800,NO@DEN 12/25/2019 10:30PM ET,DEN,15.66
SG/SF,E'Twaun Moore (14027111),E'Twaun Moore,14027111,CPT,2700,NO@DEN 12/25/2019 10:30PM ET,NO,16.78
PG/SG,Malik Beasley (14027077),Malik Beasley,14027077,UTIL,2200,NO@DEN 12/25/2019 10:30PM ET,DEN,11.27
SF/PF,Kenrich Williams (14027112),Kenrich Williams,14027112,CPT,2100,NO@DEN 12/25/2019 10:30PM ET,NO,17.26
SG/SF,E'Twaun Moore (14027078),E'Twaun Moore,14027078,UTIL,1800,NO@DEN 12/25/2019 10:30PM ET,NO,16.78
SF/PF,Michael Porter Jr. (14027113),Michael Porter Jr.,14027113,CPT,1800,NO@DEN 12/25/2019 10:30PM ET,DEN,8.85
SF,Vlatko Cancar (14027114),Vlatko Cancar,14027114,CPT,1800,NO@DEN 12/25/2019 10:30PM ET,DEN,2.38
PF/C,Nicolo Melli (14027115),Nicolo Melli,14027115,CPT,1800,NO@DEN 12/25/2019 10:30PM ET,NO,11.29
SF/PF,Juancho Hernangomez (14027116),Juancho Hernangomez,14027116,CPT,1500,NO@DEN 12/25/2019 10:30PM ET,DEN,8.57
SG/SF,Torrey Craig (14027117),Torrey Craig,14027117,CPT,1500,NO@DEN 12/25/2019 10:30PM ET,DEN,8.43
PG/SG,Frank Jackson (14027118),Frank Jackson,14027118,CPT,1500,NO@DEN 12/25/2019 10:30PM ET,NO,10.15
SF/PF,Jarred Vanderbilt (14027119),Jarred Vanderbilt,14027119,CPT,1500,NO@DEN 12/25/2019 10:30PM ET,DEN,1.17
PG,Josh Gray (14027120),Josh Gray,14027120,CPT,1500,NO@DEN 12/25/2019 10:30PM ET,NO,2.5
PG/SG,Nickeil Alexander-Walker (14027121),Nickeil Alexander-Walker,14027121,CPT,1500,NO@DEN 12/25/2019 10:30PM ET,NO,11.86
SF/PF,Zylan Cheatham (14027122),Zylan Cheatham,14027122,CPT,1500,NO@DEN 12/25/2019 10:30PM ET,NO,3.38
SG/SF,PJ Dozier (14027123),PJ Dozier,14027123,CPT,1500,NO@DEN 12/25/2019 10:30PM ET,DEN,0
SF/PF,Darius Miller (14027124),Darius Miller,14027124,CPT,1500,NO@DEN 12/25/2019 10:30PM ET,NO,0
C,Bol Bol (14027125),Bol Bol,14027125,CPT,1500,NO@DEN 12/25/2019 10:30PM ET,DEN,0
SF/PF,Kenrich Williams (14027079),Kenrich Williams,14027079,UTIL,1400,NO@DEN 12/25/2019 10:30PM ET,NO,17.26
SF/PF,Michael Porter Jr. (14027080),Michael Porter Jr.,14027080,UTIL,1200,NO@DEN 12/25/2019 10:30PM ET,DEN,8.85
SF,Vlatko Cancar (14027081),Vlatko Cancar,14027081,UTIL,1200,NO@DEN 12/25/2019 10:30PM ET,DEN,2.38
PF/C,Nicolo Melli (14027082),Nicolo Melli,14027082,UTIL,1200,NO@DEN 12/25/2019 10:30PM ET,NO,11.29
SF/PF,Juancho Hernangomez (14027083),Juancho Hernangomez,14027083,UTIL,1000,NO@DEN 12/25/2019 10:30PM ET,DEN,8.57
SG/SF,Torrey Craig (14027084),Torrey Craig,14027084,UTIL,1000,NO@DEN 12/25/2019 10:30PM ET,DEN,8.43
PG/SG,Frank Jackson (14027085),Frank Jackson,14027085,UTIL,1000,NO@DEN 12/25/2019 10:30PM ET,NO,10.15
SF/PF,Jarred Vanderbilt (14027086),Jarred Vanderbilt,14027086,UTIL,1000,NO@DEN 12/25/2019 10:30PM ET,DEN,1.17
PG,Josh Gray (14027087),Josh Gray,14027087,UTIL,1000,NO@DEN 12/25/2019 10:30PM ET,NO,2.5
