Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Brandon Ingram (14005973),Brandon Ingram,14005973,CPT,15600,NO@GS 12/20/2019 10:30PM ET,NO,42.96
PG/SG,Jrue Holiday (14005974),Jrue Holiday,14005974,CPT,15300,NO@GS 12/20/2019 10:30PM ET,NO,40.12
PG,Stephen Curry (14005975),Stephen Curry,14005975,CPT,14700,NO@GS 12/20/2019 10:30PM ET,GS,39.38
PG/SG,D'Angelo Russell (14005976),D'Angelo Russell,14005976,CPT,14400,NO@GS 12/20/2019 10:30PM ET,GS,37.69
PG/SF,Draymond Green (14005977),Draymond Green,14005977,CPT,12000,NO@GS 12/20/2019 10:30PM ET,GS,29.18
PF/C,Zion Williamson (14005978),Zion Williamson,14005978,CPT,11400,NO@GS 12/20/2019 10:30PM ET,NO,0
SG/SF,Josh Hart (14005979),Josh Hart,14005979,CPT,10500,NO@GS 12/20/2019 10:30PM ET,NO,24.89
SF/PF,Brandon Ingram (14005940),Brandon Ingram,14005940,UTIL,10400,NO@GS 12/20/2019 10:30PM ET,NO,42.96
PG/SG,Jrue Holiday (14005941),Jrue Holiday,14005941,UTIL,10200,NO@GS 12/20/2019 10:30PM ET,NO,40.12
PG/SG,Alec Burks (14005980),Alec Burks,14005980,CPT,10200,NO@GS 12/20/2019 10:30PM ET,GS,28.20
PG,Stephen Curry (14005942),Stephen Curry,14005942,UTIL,9800,NO@GS 12/20/2019 10:30PM ET,GS,39.38
PG/SG,D'Angelo Russell (14005943),D'Angelo Russell,14005943,UTIL,9600,NO@GS 12/20/2019 10:30PM ET,GS,37.69
SG/SF,JJ Redick (14005981),JJ Redick,14005981,CPT,9600,NO@GS 12/20/2019 10:30PM ET,NO,25.02
PG,Lonzo Ball (14005982),Lonzo Ball,14005982,CPT,9300,NO@GS 12/20/2019 10:30PM ET,NO,26.67
SF/PF,Eric Paschall (14005983),Eric Paschall,14005983,CPT,9000,NO@GS 12/20/2019 10:30PM ET,GS,25.85
PF/C,Derrick Favors (14005984),Derrick Favors,14005984,CPT,8700,NO@GS 12/20/2019 10:30PM ET,NO,23.15
C,Willie Cauley-Stein (14005985),Willie Cauley-Stein,14005985,CPT,8400,NO@GS 12/20/2019 10:30PM ET,GS,22.86
C,Jaxson Hayes (14005986),Jaxson Hayes,14005986,CPT,8100,NO@GS 12/20/2019 10:30PM ET,NO,19.60
PG/SF,Draymond Green (14005944),Draymond Green,14005944,UTIL,8000,NO@GS 12/20/2019 10:30PM ET,GS,29.18
SG/SF,Glenn Robinson III (14005987),Glenn Robinson III,14005987,CPT,7800,NO@GS 12/20/2019 10:30PM ET,GS,22.59
PF/C,Zion Williamson (14005945),Zion Williamson,14005945,UTIL,7600,NO@GS 12/20/2019 10:30PM ET,NO,0
PF/C,Marquese Chriss (14005988),Marquese Chriss,14005988,CPT,7500,NO@GS 12/20/2019 10:30PM ET,GS,19.83
SG/SF,Josh Hart (14005946),Josh Hart,14005946,UTIL,7000,NO@GS 12/20/2019 10:30PM ET,NO,24.89
SG/SF,Damion Lee (14005989),Damion Lee,14005989,CPT,6900,NO@GS 12/20/2019 10:30PM ET,GS,19.47
PG/SG,Alec Burks (14005947),Alec Burks,14005947,UTIL,6800,NO@GS 12/20/2019 10:30PM ET,GS,28.20
SG/SF,JJ Redick (14005948),JJ Redick,14005948,UTIL,6400,NO@GS 12/20/2019 10:30PM ET,NO,25.02
C,Jahlil Okafor (14005990),Jahlil Okafor,14005990,CPT,6300,NO@GS 12/20/2019 10:30PM ET,NO,18.44
PG,Lonzo Ball (14005949),Lonzo Ball,14005949,UTIL,6200,NO@GS 12/20/2019 10:30PM ET,NO,26.67
