Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (14075722),LeBron James,14075722,CPT,20100,NO@LAL 01/03/2020 10:30PM ET,LAL,56.06
PF/C,Anthony Davis (14075723),Anthony Davis,14075723,CPT,18300,NO@LAL 01/03/2020 10:30PM ET,LAL,51.65
SF/PF,Brandon Ingram (14075724),Brandon Ingram,14075724,CPT,14700,NO@LAL 01/03/2020 10:30PM ET,NO,43.32
PG/SG,Jrue Holiday (14075725),Jrue Holiday,14075725,CPT,13500,NO@LAL 01/03/2020 10:30PM ET,NO,40.36
PG/SF,LeBron James (14075688),LeBron James,14075688,UTIL,13400,NO@LAL 01/03/2020 10:30PM ET,LAL,56.06
PF/C,Zion Williamson (14075726),Zion Williamson,14075726,CPT,12900,NO@LAL 01/03/2020 10:30PM ET,NO,0
PF/C,Anthony Davis (14075689),Anthony Davis,14075689,UTIL,12200,NO@LAL 01/03/2020 10:30PM ET,LAL,51.65
PF/C,Derrick Favors (14075727),Derrick Favors,14075727,CPT,12000,NO@LAL 01/03/2020 10:30PM ET,NO,26.85
PG,Lonzo Ball (14075728),Lonzo Ball,14075728,CPT,11400,NO@LAL 01/03/2020 10:30PM ET,NO,28.14
SF/PF,Kyle Kuzma (14075729),Kyle Kuzma,14075729,CPT,10500,NO@LAL 01/03/2020 10:30PM ET,LAL,19.49
SF/PF,Brandon Ingram (14075690),Brandon Ingram,14075690,UTIL,9800,NO@LAL 01/03/2020 10:30PM ET,NO,43.32
PG/SG,Avery Bradley (14075730),Avery Bradley,14075730,CPT,9600,NO@LAL 01/03/2020 10:30PM ET,LAL,15.01
PG/SG,Jrue Holiday (14075691),Jrue Holiday,14075691,UTIL,9000,NO@LAL 01/03/2020 10:30PM ET,NO,40.36
PF/C,Zion Williamson (14075692),Zion Williamson,14075692,UTIL,8600,NO@LAL 01/03/2020 10:30PM ET,NO,0
PG,Rajon Rondo (14075731),Rajon Rondo,14075731,CPT,8100,NO@LAL 01/03/2020 10:30PM ET,LAL,21.56
PF/C,Derrick Favors (14075693),Derrick Favors,14075693,UTIL,8000,NO@LAL 01/03/2020 10:30PM ET,NO,26.85
PG,Lonzo Ball (14075694),Lonzo Ball,14075694,UTIL,7600,NO@LAL 01/03/2020 10:30PM ET,NO,28.14
