Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,De'Aaron Fox (14082023),De'Aaron Fox,14082023,CPT,15300,NO@SAC 01/04/2020 10:00PM ET,SAC,35.53
SF/PF,Brandon Ingram (14082024),Brandon Ingram,14082024,CPT,15000,NO@SAC 01/04/2020 10:00PM ET,NO,43.01
PG/SG,Jrue Holiday (14082025),Jrue Holiday,14082025,CPT,14100,NO@SAC 01/04/2020 10:00PM ET,NO,39.96
PF/C,Derrick Favors (14082026),Derrick Favors,14082026,CPT,13500,NO@SAC 01/04/2020 10:00PM ET,NO,27.80
SG/SF,Buddy Hield (14082027),Buddy Hield,14082027,CPT,12900,NO@SAC 01/04/2020 10:00PM ET,SAC,34.28
PG,Lonzo Ball (14082029),Lonzo Ball,14082029,CPT,12300,NO@SAC 01/04/2020 10:00PM ET,NO,28.49
PF/C,Marvin Bagley III (14082030),Marvin Bagley III,14082030,CPT,12000,NO@SAC 01/04/2020 10:00PM ET,SAC,25.72
PF/C,Zion Williamson (14082031),Zion Williamson,14082031,CPT,11400,NO@SAC 01/04/2020 10:00PM ET,NO,0
PF/C,Richaun Holmes (14082028),Richaun Holmes,14082028,CPT,11100,NO@SAC 01/04/2020 10:00PM ET,SAC,30.21
SG/SF,Bogdan Bogdanovic (14082032),Bogdan Bogdanovic,14082032,CPT,10500,NO@SAC 01/04/2020 10:00PM ET,SAC,26.64
PG,De'Aaron Fox (14081989),De'Aaron Fox,14081989,UTIL,10200,NO@SAC 01/04/2020 10:00PM ET,SAC,35.53
SF/PF,Brandon Ingram (14081990),Brandon Ingram,14081990,UTIL,10000,NO@SAC 01/04/2020 10:00PM ET,NO,43.01
PF,Nemanja Bjelica (14082033),Nemanja Bjelica,14082033,CPT,9900,NO@SAC 01/04/2020 10:00PM ET,SAC,26.17
PG/SG,Jrue Holiday (14081991),Jrue Holiday,14081991,UTIL,9400,NO@SAC 01/04/2020 10:00PM ET,NO,39.96
SF/PF,Harrison Barnes (14082034),Harrison Barnes,14082034,CPT,9300,NO@SAC 01/04/2020 10:00PM ET,SAC,26.64
PF/C,Derrick Favors (14081992),Derrick Favors,14081992,UTIL,9000,NO@SAC 01/04/2020 10:00PM ET,NO,27.80
SG/SF,Buddy Hield (14081993),Buddy Hield,14081993,UTIL,8600,NO@SAC 01/04/2020 10:00PM ET,SAC,34.28
PG,Lonzo Ball (14081995),Lonzo Ball,14081995,UTIL,8200,NO@SAC 01/04/2020 10:00PM ET,NO,28.49
SG/SF,Josh Hart (14082035),Josh Hart,14082035,CPT,8100,NO@SAC 01/04/2020 10:00PM ET,NO,23.35
PF/C,Marvin Bagley III (14081996),Marvin Bagley III,14081996,UTIL,8000,NO@SAC 01/04/2020 10:00PM ET,SAC,25.72
PF/C,Zion Williamson (14081997),Zion Williamson,14081997,UTIL,7600,NO@SAC 01/04/2020 10:00PM ET,NO,0
PF/C,Richaun Holmes (14081994),Richaun Holmes,14081994,UTIL,7400,NO@SAC 01/04/2020 10:00PM ET,SAC,30.21
SG/SF,E'Twaun Moore (14082036),E'Twaun Moore,14082036,CPT,7200,NO@SAC 01/04/2020 10:00PM ET,NO,18.30
SG/SF,Bogdan Bogdanovic (14081998),Bogdan Bogdanovic,14081998,UTIL,7000,NO@SAC 01/04/2020 10:00PM ET,SAC,26.64
PF,Nemanja Bjelica (14081999),Nemanja Bjelica,14081999,UTIL,6600,NO@SAC 01/04/2020 10:00PM ET,SAC,26.17
SG/SF,JJ Redick (14082037),JJ Redick,14082037,CPT,6300,NO@SAC 01/04/2020 10:00PM ET,NO,23.83
SF/PF,Harrison Barnes (14082000),Harrison Barnes,14082000,UTIL,6200,NO@SAC 01/04/2020 10:00PM ET,SAC,26.64
SG/SF,Josh Hart (14082001),Josh Hart,14082001,UTIL,5400,NO@SAC 01/04/2020 10:00PM ET,NO,23.35
SF/PF,Trevor Ariza (14082038),Trevor Ariza,14082038,CPT,5400,NO@SAC 01/04/2020 10:00PM ET,SAC,15.66
SG/SF,E'Twaun Moore (14082002),E'Twaun Moore,14082002,UTIL,4800,NO@SAC 01/04/2020 10:00PM ET,NO,18.30
PG/SG,Cory Joseph (14082039),Cory Joseph,14082039,CPT,4500,NO@SAC 01/04/2020 10:00PM ET,SAC,17.44
SG/SF,JJ Redick (14082003),JJ Redick,14082003,UTIL,4200,NO@SAC 01/04/2020 10:00PM ET,NO,23.83
PF/C,Harry Giles (14082040),Harry Giles,14082040,CPT,4200,NO@SAC 01/04/2020 10:00PM ET,SAC,9.7
SF/PF,Trevor Ariza (14082004),Trevor Ariza,14082004,UTIL,3600,NO@SAC 01/04/2020 10:00PM ET,SAC,15.66
PG/SG,Cory Joseph (14082005),Cory Joseph,14082005,UTIL,3000,NO@SAC 01/04/2020 10:00PM ET,SAC,17.44
PG/SG,Yogi Ferrell (14082041),Yogi Ferrell,14082041,CPT,3000,NO@SAC 01/04/2020 10:00PM ET,SAC,10.32
PF/C,Harry Giles (14082006),Harry Giles,14082006,UTIL,2800,NO@SAC 01/04/2020 10:00PM ET,SAC,9.7
PG/SG,Yogi Ferrell (14082007),Yogi Ferrell,14082007,UTIL,2000,NO@SAC 01/04/2020 10:00PM ET,SAC,10.32
C,Jaxson Hayes (14082042),Jaxson Hayes,14082042,CPT,1800,NO@SAC 01/04/2020 10:00PM ET,NO,18.40
C,Jahlil Okafor (14082043),Jahlil Okafor,14082043,CPT,1800,NO@SAC 01/04/2020 10:00PM ET,NO,17.14
PG/SG,Nickeil Alexander-Walker (14082044),Nickeil Alexander-Walker,14082044,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,NO,11.68
PF/C,Nicolo Melli (14082045),Nicolo Melli,14082045,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,NO,11.07
SG/SF,DaQuan Jeffries (14082046),DaQuan Jeffries,14082046,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,SAC,2.38
C,Dewayne Dedmon (14082047),Dewayne Dedmon,14082047,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,SAC,11.46
SF/PF,Kenrich Williams (14082048),Kenrich Williams,14082048,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,NO,15.72
PF/C,Caleb Swanigan (14082049),Caleb Swanigan,14082049,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,SAC,2.65
PG,Josh Gray (14082050),Josh Gray,14082050,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,NO,2.5
SG/SF,Justin James (14082051),Justin James,14082051,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,SAC,8.38
SF/PF,Zylan Cheatham (14082052),Zylan Cheatham,14082052,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,NO,3.38
SF/PF,Wenyen Gabriel (14082053),Wenyen Gabriel,14082053,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,SAC,4.17
PG/SG,Frank Jackson (14082054),Frank Jackson,14082054,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,NO,9.27
PG/SG,Kyle Guy (14082055),Kyle Guy,14082055,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,SAC,0
SF/PF,Darius Miller (14082056),Darius Miller,14082056,CPT,1500,NO@SAC 01/04/2020 10:00PM ET,NO,0
C,Jaxson Hayes (14082008),Jaxson Hayes,14082008,UTIL,1200,NO@SAC 01/04/2020 10:00PM ET,NO,18.40
C,Jahlil Okafor (14082009),Jahlil Okafor,14082009,UTIL,1200,NO@SAC 01/04/2020 10:00PM ET,NO,17.14
PG/SG,Nickeil Alexander-Walker (14082010),Nickeil Alexander-Walker,14082010,UTIL,1000,NO@SAC 01/04/2020 10:00PM ET,NO,11.68
