Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (13947291),Giannis Antetokounmpo,13947291,CPT,20400,NO@MIL 12/11/2019 09:30PM ET,MIL,61.36
SF/PF,Brandon Ingram (13947292),Brandon Ingram,13947292,CPT,14700,NO@MIL 12/11/2019 09:30PM ET,NO,42.84
PG/SG,Jrue Holiday (13947293),Jrue Holiday,13947293,CPT,14400,NO@MIL 12/11/2019 09:30PM ET,NO,40.12
PF/C,Zion Williamson (13947294),Zion Williamson,13947294,CPT,14100,NO@MIL 12/11/2019 09:30PM ET,NO,0
SF/PF,Giannis Antetokounmpo (13947257),Giannis Antetokounmpo,13947257,UTIL,13600,NO@MIL 12/11/2019 09:30PM ET,MIL,61.36
SG/SF,Khris Middleton (13947295),Khris Middleton,13947295,CPT,13200,NO@MIL 12/11/2019 09:30PM ET,MIL,31.91
PG,Eric Bledsoe (13947296),Eric Bledsoe,13947296,CPT,12300,NO@MIL 12/11/2019 09:30PM ET,MIL,31.42
PG,Lonzo Ball (13947297),Lonzo Ball,13947297,CPT,11100,NO@MIL 12/11/2019 09:30PM ET,NO,27.5
C,Brook Lopez (13947298),Brook Lopez,13947298,CPT,9900,NO@MIL 12/11/2019 09:30PM ET,MIL,24.75
SF/PF,Brandon Ingram (13947258),Brandon Ingram,13947258,UTIL,9800,NO@MIL 12/11/2019 09:30PM ET,NO,42.84
PG/SG,Jrue Holiday (13947259),Jrue Holiday,13947259,UTIL,9600,NO@MIL 12/11/2019 09:30PM ET,NO,40.12
PF/C,Zion Williamson (13947260),Zion Williamson,13947260,UTIL,9400,NO@MIL 12/11/2019 09:30PM ET,NO,0
PF/C,Derrick Favors (13947299),Derrick Favors,13947299,CPT,9000,NO@MIL 12/11/2019 09:30PM ET,NO,24.25
SG/SF,Khris Middleton (13947261),Khris Middleton,13947261,UTIL,8800,NO@MIL 12/11/2019 09:30PM ET,MIL,31.91
SG/SF,JJ Redick (13947300),JJ Redick,13947300,CPT,8700,NO@MIL 12/11/2019 09:30PM ET,NO,24.26
PG,Eric Bledsoe (13947262),Eric Bledsoe,13947262,UTIL,8200,NO@MIL 12/11/2019 09:30PM ET,MIL,31.42
SG/SF,Josh Hart (13947301),Josh Hart,13947301,CPT,7500,NO@MIL 12/11/2019 09:30PM ET,NO,24.68
PG,Lonzo Ball (13947263),Lonzo Ball,13947263,UTIL,7400,NO@MIL 12/11/2019 09:30PM ET,NO,27.5
C,Jaxson Hayes (13947302),Jaxson Hayes,13947302,CPT,7200,NO@MIL 12/11/2019 09:30PM ET,NO,19.27
PG/SF,Donte DiVincenzo (13947303),Donte DiVincenzo,13947303,CPT,6900,NO@MIL 12/11/2019 09:30PM ET,MIL,19.83
C,Brook Lopez (13947264),Brook Lopez,13947264,UTIL,6600,NO@MIL 12/11/2019 09:30PM ET,MIL,24.75
C,Jahlil Okafor (13947304),Jahlil Okafor,13947304,CPT,6600,NO@MIL 12/11/2019 09:30PM ET,NO,19.1
SF/PF,Kenrich Williams (13947305),Kenrich Williams,13947305,CPT,6300,NO@MIL 12/11/2019 09:30PM ET,NO,18.58
PF/C,Derrick Favors (13947265),Derrick Favors,13947265,UTIL,6000,NO@MIL 12/11/2019 09:30PM ET,NO,24.25
SG/SF,Pat Connaughton (13947306),Pat Connaughton,13947306,CPT,6000,NO@MIL 12/11/2019 09:30PM ET,MIL,15.44
SG/SF,JJ Redick (13947266),JJ Redick,13947266,UTIL,5800,NO@MIL 12/11/2019 09:30PM ET,NO,24.26
PG/SG,George Hill (13947307),George Hill,13947307,CPT,5400,NO@MIL 12/11/2019 09:30PM ET,MIL,19.86
SG/SF,Wesley Matthews (13947308),Wesley Matthews,13947308,CPT,5100,NO@MIL 12/11/2019 09:30PM ET,MIL,15.01
SG/SF,Josh Hart (13947267),Josh Hart,13947267,UTIL,5000,NO@MIL 12/11/2019 09:30PM ET,NO,24.68
C,Jaxson Hayes (13947268),Jaxson Hayes,13947268,UTIL,4800,NO@MIL 12/11/2019 09:30PM ET,NO,19.27
PF/C,Ersan Ilyasova (13947309),Ersan Ilyasova,13947309,CPT,4800,NO@MIL 12/11/2019 09:30PM ET,MIL,15.93
PG/SF,Donte DiVincenzo (13947269),Donte DiVincenzo,13947269,UTIL,4600,NO@MIL 12/11/2019 09:30PM ET,MIL,19.83
C,Robin Lopez (13947310),Robin Lopez,13947310,CPT,4500,NO@MIL 12/11/2019 09:30PM ET,MIL,10.79
C,Jahlil Okafor (13947270),Jahlil Okafor,13947270,UTIL,4400,NO@MIL 12/11/2019 09:30PM ET,NO,19.1
SF/PF,Kenrich Williams (13947271),Kenrich Williams,13947271,UTIL,4200,NO@MIL 12/11/2019 09:30PM ET,NO,18.58
SG/SF,Pat Connaughton (13947272),Pat Connaughton,13947272,UTIL,4000,NO@MIL 12/11/2019 09:30PM ET,MIL,15.44
PG/SG,George Hill (13947273),George Hill,13947273,UTIL,3600,NO@MIL 12/11/2019 09:30PM ET,MIL,19.86
SG/SF,Wesley Matthews (13947274),Wesley Matthews,13947274,UTIL,3400,NO@MIL 12/11/2019 09:30PM ET,MIL,15.01
SG/SF,Sterling Brown (13947311),Sterling Brown,13947311,CPT,3300,NO@MIL 12/11/2019 09:30PM ET,MIL,15.22
PF/C,Ersan Ilyasova (13947275),Ersan Ilyasova,13947275,UTIL,3200,NO@MIL 12/11/2019 09:30PM ET,MIL,15.93
C,Robin Lopez (13947276),Robin Lopez,13947276,UTIL,3000,NO@MIL 12/11/2019 09:30PM ET,MIL,10.79
PF/C,D.J. Wilson (13947312),D.J. Wilson,13947312,CPT,3000,NO@MIL 12/11/2019 09:30PM ET,MIL,9.61
SF/PF,Thanasis Antetokounmpo (13947313),Thanasis Antetokounmpo,13947313,CPT,2400,NO@MIL 12/11/2019 09:30PM ET,MIL,5.69
SG/SF,Sterling Brown (13947277),Sterling Brown,13947277,UTIL,2200,NO@MIL 12/11/2019 09:30PM ET,MIL,15.22
PF/C,D.J. Wilson (13947278),D.J. Wilson,13947278,UTIL,2000,NO@MIL 12/11/2019 09:30PM ET,MIL,9.61
PG/SG,Frank Jackson (13947314),Frank Jackson,13947314,CPT,1800,NO@MIL 12/11/2019 09:30PM ET,NO,11.43
PF/C,Dragan Bender (13947315),Dragan Bender,13947315,CPT,1800,NO@MIL 12/11/2019 09:30PM ET,MIL,8.83
PG/SG,Frank Mason III (13947316),Frank Mason III,13947316,CPT,1800,NO@MIL 12/11/2019 09:30PM ET,MIL,3.75
SF/PF,Thanasis Antetokounmpo (13947279),Thanasis Antetokounmpo,13947279,UTIL,1600,NO@MIL 12/11/2019 09:30PM ET,MIL,5.69
PF/C,Nicolo Melli (13947317),Nicolo Melli,13947317,CPT,1500,NO@MIL 12/11/2019 09:30PM ET,NO,12.33
SG/SF,E'Twaun Moore (13947318),E'Twaun Moore,13947318,CPT,1500,NO@MIL 12/11/2019 09:30PM ET,NO,17.14
PG/SG,Nickeil Alexander-Walker (13947319),Nickeil Alexander-Walker,13947319,CPT,1500,NO@MIL 12/11/2019 09:30PM ET,NO,13.01
SG/SF,Kyle Korver (13947320),Kyle Korver,13947320,CPT,1500,NO@MIL 12/11/2019 09:30PM ET,MIL,9.92
PG,Josh Gray (13947321),Josh Gray,13947321,CPT,1500,NO@MIL 12/11/2019 09:30PM ET,NO,2.5
SF/PF,Zylan Cheatham (13947322),Zylan Cheatham,13947322,CPT,1500,NO@MIL 12/11/2019 09:30PM ET,NO,3.38
SF/PF,Darius Miller (13947323),Darius Miller,13947323,CPT,1500,NO@MIL 12/11/2019 09:30PM ET,NO,0
SG/SF,Cameron Reynolds (13947324),Cameron Reynolds,13947324,CPT,1500,NO@MIL 12/11/2019 09:30PM ET,MIL,0
PG/SG,Frank Jackson (13947280),Frank Jackson,13947280,UTIL,1200,NO@MIL 12/11/2019 09:30PM ET,NO,11.43
PF/C,Dragan Bender (13947281),Dragan Bender,13947281,UTIL,1200,NO@MIL 12/11/2019 09:30PM ET,MIL,8.83
PG/SG,Frank Mason III (13947282),Frank Mason III,13947282,UTIL,1200,NO@MIL 12/11/2019 09:30PM ET,MIL,3.75
PF/C,Nicolo Melli (13947283),Nicolo Melli,13947283,UTIL,1000,NO@MIL 12/11/2019 09:30PM ET,NO,12.33
SG/SF,E'Twaun Moore (13947284),E'Twaun Moore,13947284,UTIL,1000,NO@MIL 12/11/2019 09:30PM ET,NO,17.14
