Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (14094564),LeBron James,14094564,CPT,21000,NY@LAL 01/07/2020 10:30PM ET,LAL,56.07
PF/C,Anthony Davis (14094565),Anthony Davis,14094565,CPT,20100,NY@LAL 01/07/2020 10:30PM ET,LAL,52.67
PF/C,Julius Randle (14094566),Julius Randle,14094566,CPT,14400,NY@LAL 01/07/2020 10:30PM ET,NY,36.42
PG/SF,LeBron James (14094530),LeBron James,14094530,UTIL,14000,NY@LAL 01/07/2020 10:30PM ET,LAL,56.07
PF/C,Anthony Davis (14094531),Anthony Davis,14094531,UTIL,13400,NY@LAL 01/07/2020 10:30PM ET,LAL,52.67
SF/PF,Marcus Morris Sr. (14094567),Marcus Morris Sr.,14094567,CPT,12900,NY@LAL 01/07/2020 10:30PM ET,NY,31.51
PG,Elfrid Payton (14094568),Elfrid Payton,14094568,CPT,12300,NY@LAL 01/07/2020 10:30PM ET,NY,24.71
PG/SG,RJ Barrett (14094569),RJ Barrett,14094569,CPT,11400,NY@LAL 01/07/2020 10:30PM ET,NY,26.68
C,Mitchell Robinson (14094570),Mitchell Robinson,14094570,CPT,10800,NY@LAL 01/07/2020 10:30PM ET,NY,25.02
PF/C,Julius Randle (14094532),Julius Randle,14094532,UTIL,9600,NY@LAL 01/07/2020 10:30PM ET,NY,36.42
SF/PF,Kyle Kuzma (14094571),Kyle Kuzma,14094571,CPT,9600,NY@LAL 01/07/2020 10:30PM ET,LAL,19.06
SF/PF,Marcus Morris Sr. (14094533),Marcus Morris Sr.,14094533,UTIL,8600,NY@LAL 01/07/2020 10:30PM ET,NY,31.51
PG,Elfrid Payton (14094534),Elfrid Payton,14094534,UTIL,8200,NY@LAL 01/07/2020 10:30PM ET,NY,24.71
C,Dwight Howard (14094572),Dwight Howard,14094572,CPT,8100,NY@LAL 01/07/2020 10:30PM ET,LAL,19.52
SG/SF,Danny Green (14094573),Danny Green,14094573,CPT,7800,NY@LAL 01/07/2020 10:30PM ET,LAL,18.97
PG/SG,RJ Barrett (14094535),RJ Barrett,14094535,UTIL,7600,NY@LAL 01/07/2020 10:30PM ET,NY,26.68
PG/SG,Kadeem Allen (14094574),Kadeem Allen,14094574,CPT,7500,NY@LAL 01/07/2020 10:30PM ET,NY,12.25
C,Mitchell Robinson (14094536),Mitchell Robinson,14094536,UTIL,7200,NY@LAL 01/07/2020 10:30PM ET,NY,25.02
C,JaVale McGee (14094575),JaVale McGee,14094575,CPT,6900,NY@LAL 01/07/2020 10:30PM ET,LAL,19.14
PF/C,Bobby Portis (14094576),Bobby Portis,14094576,CPT,6600,NY@LAL 01/07/2020 10:30PM ET,NY,20.93
SF/PF,Kyle Kuzma (14094537),Kyle Kuzma,14094537,UTIL,6400,NY@LAL 01/07/2020 10:30PM ET,LAL,19.06
