Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Pascal Siakam (13857075),Pascal Siakam,13857075,CPT,16500,NY@TOR 11/27/2019 07:30PM ET,TOR,45.72
PG,Fred VanVleet (13857076),Fred VanVleet,13857076,CPT,15000,NY@TOR 11/27/2019 07:30PM ET,TOR,38.84
PG,Kyle Lowry (13857077),Kyle Lowry,13857077,CPT,13200,NY@TOR 11/27/2019 07:30PM ET,TOR,39.94
PF,Marcus Morris (13857078),Marcus Morris,13857078,CPT,12900,NY@TOR 11/27/2019 07:30PM ET,NY,33.13
PF,Julius Randle (13857079),Julius Randle,13857079,CPT,12600,NY@TOR 11/27/2019 07:30PM ET,NY,34.59
SF,RJ Barrett (13857080),RJ Barrett,13857080,CPT,11400,NY@TOR 11/27/2019 07:30PM ET,NY,30.38
PF,Rondae Hollis-Jefferson (13857081),Rondae Hollis-Jefferson,13857081,CPT,11100,NY@TOR 11/27/2019 07:30PM ET,TOR,22.64
PF,Pascal Siakam (13857041),Pascal Siakam,13857041,UTIL,11000,NY@TOR 11/27/2019 07:30PM ET,TOR,45.72
C,Marc Gasol (13857082),Marc Gasol,13857082,CPT,10500,NY@TOR 11/27/2019 07:30PM ET,TOR,22.42
SF,Norman Powell (13857083),Norman Powell,13857083,CPT,10200,NY@TOR 11/27/2019 07:30PM ET,TOR,21.31
PG,Fred VanVleet (13857042),Fred VanVleet,13857042,UTIL,10000,NY@TOR 11/27/2019 07:30PM ET,TOR,38.84
PF,Serge Ibaka (13857084),Serge Ibaka,13857084,CPT,9600,NY@TOR 11/27/2019 07:30PM ET,TOR,26.25
PG,Kyle Lowry (13857043),Kyle Lowry,13857043,UTIL,8800,NY@TOR 11/27/2019 07:30PM ET,TOR,39.94
SF,OG Anunoby (13857085),OG Anunoby,13857085,CPT,8700,NY@TOR 11/27/2019 07:30PM ET,TOR,24.78
PF,Marcus Morris (13857044),Marcus Morris,13857044,UTIL,8600,NY@TOR 11/27/2019 07:30PM ET,NY,33.13
PF,Julius Randle (13857045),Julius Randle,13857045,UTIL,8400,NY@TOR 11/27/2019 07:30PM ET,NY,34.59
C,Mitchell Robinson (13857086),Mitchell Robinson,13857086,CPT,8400,NY@TOR 11/27/2019 07:30PM ET,NY,23.17
PG,Elfrid Payton (13857087),Elfrid Payton,13857087,CPT,8100,NY@TOR 11/27/2019 07:30PM ET,NY,22.12
PG,Frank Ntilikina (13857088),Frank Ntilikina,13857088,CPT,7800,NY@TOR 11/27/2019 07:30PM ET,NY,19.14
SF,RJ Barrett (13857046),RJ Barrett,13857046,UTIL,7600,NY@TOR 11/27/2019 07:30PM ET,NY,30.38
PG,Terence Davis (13857089),Terence Davis,13857089,CPT,7500,NY@TOR 11/27/2019 07:30PM ET,TOR,14.27
PF,Rondae Hollis-Jefferson (13857047),Rondae Hollis-Jefferson,13857047,UTIL,7400,NY@TOR 11/27/2019 07:30PM ET,TOR,22.64
PF,Chris Boucher (13857090),Chris Boucher,13857090,CPT,7200,NY@TOR 11/27/2019 07:30PM ET,TOR,14.75
C,Marc Gasol (13857048),Marc Gasol,13857048,UTIL,7000,NY@TOR 11/27/2019 07:30PM ET,TOR,22.42
PF,Taj Gibson (13857091),Taj Gibson,13857091,CPT,6900,NY@TOR 11/27/2019 07:30PM ET,NY,14.2
SF,Norman Powell (13857049),Norman Powell,13857049,UTIL,6800,NY@TOR 11/27/2019 07:30PM ET,TOR,21.31
PF,Bobby Portis (13857092),Bobby Portis,13857092,CPT,6600,NY@TOR 11/27/2019 07:30PM ET,NY,21.37
PF,Serge Ibaka (13857050),Serge Ibaka,13857050,UTIL,6400,NY@TOR 11/27/2019 07:30PM ET,TOR,26.25
SF,Wayne Ellington (13857093),Wayne Ellington,13857093,CPT,6300,NY@TOR 11/27/2019 07:30PM ET,NY,9.44
PG,Dennis Smith Jr. (13857094),Dennis Smith Jr.,13857094,CPT,6000,NY@TOR 11/27/2019 07:30PM ET,NY,11.55
SF,OG Anunoby (13857051),OG Anunoby,13857051,UTIL,5800,NY@TOR 11/27/2019 07:30PM ET,TOR,24.78
C,Mitchell Robinson (13857052),Mitchell Robinson,13857052,UTIL,5600,NY@TOR 11/27/2019 07:30PM ET,NY,23.17
PG,Elfrid Payton (13857053),Elfrid Payton,13857053,UTIL,5400,NY@TOR 11/27/2019 07:30PM ET,NY,22.12
PG,Frank Ntilikina (13857054),Frank Ntilikina,13857054,UTIL,5200,NY@TOR 11/27/2019 07:30PM ET,NY,19.14
PG,Terence Davis (13857055),Terence Davis,13857055,UTIL,5000,NY@TOR 11/27/2019 07:30PM ET,TOR,14.27
PF,Chris Boucher (13857056),Chris Boucher,13857056,UTIL,4800,NY@TOR 11/27/2019 07:30PM ET,TOR,14.75
SF,Kevin Knox (13857095),Kevin Knox,13857095,CPT,4800,NY@TOR 11/27/2019 07:30PM ET,NY,16.15
PF,Taj Gibson (13857057),Taj Gibson,13857057,UTIL,4600,NY@TOR 11/27/2019 07:30PM ET,NY,14.2
PF,Bobby Portis (13857058),Bobby Portis,13857058,UTIL,4400,NY@TOR 11/27/2019 07:30PM ET,NY,21.37
SF,Wayne Ellington (13857059),Wayne Ellington,13857059,UTIL,4200,NY@TOR 11/27/2019 07:30PM ET,NY,9.44
PG,Dennis Smith Jr. (13857060),Dennis Smith Jr.,13857060,UTIL,4000,NY@TOR 11/27/2019 07:30PM ET,NY,11.55
