Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Stephen Curry (13947123),Stephen Curry,13947123,CPT,17400,NY@GS 12/11/2019 10:30PM ET,GS,39.38
PG/SG,D'Angelo Russell (13947124),D'Angelo Russell,13947124,CPT,16800,NY@GS 12/11/2019 10:30PM ET,GS,37.92
PF/C,Julius Randle (13947125),Julius Randle,13947125,CPT,14100,NY@GS 12/11/2019 10:30PM ET,NY,33.59
SF/PF,Marcus Morris (13947126),Marcus Morris,13947126,CPT,12900,NY@GS 12/11/2019 10:30PM ET,NY,30.58
PG/SG,Alec Burks (13947127),Alec Burks,13947127,CPT,12600,NY@GS 12/11/2019 10:30PM ET,GS,27.85
PG/SF,Draymond Green (13947128),Draymond Green,13947128,CPT,12300,NY@GS 12/11/2019 10:30PM ET,GS,28.73
C,Mitchell Robinson (13947129),Mitchell Robinson,13947129,CPT,12000,NY@GS 12/11/2019 10:30PM ET,NY,23.45
PG/SG,RJ Barrett (13947130),RJ Barrett,13947130,CPT,11700,NY@GS 12/11/2019 10:30PM ET,NY,28.10
PG,Stephen Curry (13947090),Stephen Curry,13947090,UTIL,11600,NY@GS 12/11/2019 10:30PM ET,GS,39.38
SF/PF,Eric Paschall (13947131),Eric Paschall,13947131,CPT,11400,NY@GS 12/11/2019 10:30PM ET,GS,26.80
PG/SG,D'Angelo Russell (13947091),D'Angelo Russell,13947091,UTIL,11200,NY@GS 12/11/2019 10:30PM ET,GS,37.92
PF/C,Julius Randle (13947092),Julius Randle,13947092,UTIL,9400,NY@GS 12/11/2019 10:30PM ET,NY,33.59
C,Willie Cauley-Stein (13947132),Willie Cauley-Stein,13947132,CPT,9300,NY@GS 12/11/2019 10:30PM ET,GS,22.75
SG/SF,Glenn Robinson III (13947133),Glenn Robinson III,13947133,CPT,9000,NY@GS 12/11/2019 10:30PM ET,GS,22.69
SF/PF,Marcus Morris (13947093),Marcus Morris,13947093,UTIL,8600,NY@GS 12/11/2019 10:30PM ET,NY,30.58
PG/SG,Alec Burks (13947094),Alec Burks,13947094,UTIL,8400,NY@GS 12/11/2019 10:30PM ET,GS,27.85
PG/SF,Draymond Green (13947095),Draymond Green,13947095,UTIL,8200,NY@GS 12/11/2019 10:30PM ET,GS,28.73
PG,Elfrid Payton (13947134),Elfrid Payton,13947134,CPT,8100,NY@GS 12/11/2019 10:30PM ET,NY,19.96
C,Mitchell Robinson (13947096),Mitchell Robinson,13947096,UTIL,8000,NY@GS 12/11/2019 10:30PM ET,NY,23.45
PG/SG,RJ Barrett (13947097),RJ Barrett,13947097,UTIL,7800,NY@GS 12/11/2019 10:30PM ET,NY,28.10
PG,Ky Bowman (13947135),Ky Bowman,13947135,CPT,7800,NY@GS 12/11/2019 10:30PM ET,GS,18.53
SF/PF,Eric Paschall (13947098),Eric Paschall,13947098,UTIL,7600,NY@GS 12/11/2019 10:30PM ET,GS,26.80
