Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Kawhi Leonard (14085652),Kawhi Leonard,14085652,CPT,15900,NY@LAC 01/05/2020 03:30PM ET,LAC,46.73
SF,Paul George (14085653),Paul George,14085653,CPT,14400,NY@LAC 01/05/2020 03:30PM ET,LAC,40.49
PG/SG,Lou Williams (14085654),Lou Williams,14085654,CPT,13200,NY@LAC 01/05/2020 03:30PM ET,LAC,33.45
PF/C,Julius Randle (14085655),Julius Randle,14085655,CPT,12600,NY@LAC 01/05/2020 03:30PM ET,NY,36.46
PF/C,Montrezl Harrell (14085656),Montrezl Harrell,14085656,CPT,12000,NY@LAC 01/05/2020 03:30PM ET,LAC,33.81
PG,Elfrid Payton (14085657),Elfrid Payton,14085657,CPT,11700,NY@LAC 01/05/2020 03:30PM ET,NY,24.71
SF/PF,Marcus Morris Sr. (14085658),Marcus Morris Sr.,14085658,CPT,10800,NY@LAC 01/05/2020 03:30PM ET,NY,30.83
SF/PF,Kawhi Leonard (14085618),Kawhi Leonard,14085618,UTIL,10600,NY@LAC 01/05/2020 03:30PM ET,LAC,46.73
C,Mitchell Robinson (14085659),Mitchell Robinson,14085659,CPT,10200,NY@LAC 01/05/2020 03:30PM ET,NY,25.31
SF,Paul George (14085619),Paul George,14085619,UTIL,9600,NY@LAC 01/05/2020 03:30PM ET,LAC,40.49
SF/PF,Moe Harkless (14085660),Moe Harkless,14085660,CPT,9600,NY@LAC 01/05/2020 03:30PM ET,LAC,15.44
PG/SG,RJ Barrett (14085661),RJ Barrett,14085661,CPT,9300,NY@LAC 01/05/2020 03:30PM ET,NY,26.42
SF/PF,JaMychal Green (14085662),JaMychal Green,14085662,CPT,9000,NY@LAC 01/05/2020 03:30PM ET,LAC,18.04
PG/SG,Lou Williams (14085620),Lou Williams,14085620,UTIL,8800,NY@LAC 01/05/2020 03:30PM ET,LAC,33.45
PF/C,Julius Randle (14085621),Julius Randle,14085621,UTIL,8400,NY@LAC 01/05/2020 03:30PM ET,NY,36.46
C,Ivica Zubac (14085663),Ivica Zubac,14085663,CPT,8100,NY@LAC 01/05/2020 03:30PM ET,LAC,20.43
PF/C,Montrezl Harrell (14085622),Montrezl Harrell,14085622,UTIL,8000,NY@LAC 01/05/2020 03:30PM ET,LAC,33.81
PG,Elfrid Payton (14085623),Elfrid Payton,14085623,UTIL,7800,NY@LAC 01/05/2020 03:30PM ET,NY,24.71
PG/SG,Patrick Beverley (14085664),Patrick Beverley,14085664,CPT,7500,NY@LAC 01/05/2020 03:30PM ET,LAC,24.80
SF/PF,Marcus Morris Sr. (14085624),Marcus Morris Sr.,14085624,UTIL,7200,NY@LAC 01/05/2020 03:30PM ET,NY,30.83
PF/C,Bobby Portis (14085665),Bobby Portis,14085665,CPT,7200,NY@LAC 01/05/2020 03:30PM ET,NY,21.14
C,Mitchell Robinson (14085625),Mitchell Robinson,14085625,UTIL,6800,NY@LAC 01/05/2020 03:30PM ET,NY,25.31
SF/PF,Moe Harkless (14085626),Moe Harkless,14085626,UTIL,6400,NY@LAC 01/05/2020 03:30PM ET,LAC,15.44
PG/SG,RJ Barrett (14085627),RJ Barrett,14085627,UTIL,6200,NY@LAC 01/05/2020 03:30PM ET,NY,26.42
SF/PF,JaMychal Green (14085628),JaMychal Green,14085628,UTIL,6000,NY@LAC 01/05/2020 03:30PM ET,LAC,18.04
SG/SF,Landry Shamet (14085666),Landry Shamet,14085666,CPT,6000,NY@LAC 01/05/2020 03:30PM ET,LAC,15.98
C,Ivica Zubac (14085629),Ivica Zubac,14085629,UTIL,5400,NY@LAC 01/05/2020 03:30PM ET,LAC,20.43
PG,Derrick Walton Jr. (14085667),Derrick Walton Jr.,14085667,CPT,5100,NY@LAC 01/05/2020 03:30PM ET,LAC,5.63
PG/SG,Patrick Beverley (14085630),Patrick Beverley,14085630,UTIL,5000,NY@LAC 01/05/2020 03:30PM ET,LAC,24.80
PF/C,Bobby Portis (14085631),Bobby Portis,14085631,UTIL,4800,NY@LAC 01/05/2020 03:30PM ET,NY,21.14
SG/SF,Landry Shamet (14085632),Landry Shamet,14085632,UTIL,4000,NY@LAC 01/05/2020 03:30PM ET,LAC,15.98
SG/SF,Reggie Bullock (14085668),Reggie Bullock,14085668,CPT,3900,NY@LAC 01/05/2020 03:30PM ET,NY,16.25
PG,Derrick Walton Jr. (14085633),Derrick Walton Jr.,14085633,UTIL,3400,NY@LAC 01/05/2020 03:30PM ET,LAC,5.63
PG/SG,Frank Ntilikina (14085669),Frank Ntilikina,14085669,CPT,3300,NY@LAC 01/05/2020 03:30PM ET,NY,15.96
SG/SF,Rodney McGruder (14085670),Rodney McGruder,14085670,CPT,3000,NY@LAC 01/05/2020 03:30PM ET,LAC,9.94
SF/PF,Kevin Knox (14085671),Kevin Knox,14085671,CPT,2700,NY@LAC 01/05/2020 03:30PM ET,NY,15.51
SG/SF,Reggie Bullock (14085634),Reggie Bullock,14085634,UTIL,2600,NY@LAC 01/05/2020 03:30PM ET,NY,16.25
SG,Jerome Robinson (14085672),Jerome Robinson,14085672,CPT,2400,NY@LAC 01/05/2020 03:30PM ET,LAC,7.85
PG/SG,Frank Ntilikina (14085635),Frank Ntilikina,14085635,UTIL,2200,NY@LAC 01/05/2020 03:30PM ET,NY,15.96
PF/C,Patrick Patterson (14085673),Patrick Patterson,14085673,CPT,2100,NY@LAC 01/05/2020 03:30PM ET,LAC,11.21
SG/SF,Rodney McGruder (14085636),Rodney McGruder,14085636,UTIL,2000,NY@LAC 01/05/2020 03:30PM ET,LAC,9.94
SF/PF,Kevin Knox (14085637),Kevin Knox,14085637,UTIL,1800,NY@LAC 01/05/2020 03:30PM ET,NY,15.51
PF/C,Mfiondu Kabengele (14085674),Mfiondu Kabengele,14085674,CPT,1800,NY@LAC 01/05/2020 03:30PM ET,LAC,4.7
SG,Jerome Robinson (14085638),Jerome Robinson,14085638,UTIL,1600,NY@LAC 01/05/2020 03:30PM ET,LAC,7.85
PF/C,Taj Gibson (14085675),Taj Gibson,14085675,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,NY,12.70
PG/SF,Amir Coffey (14085676),Amir Coffey,14085676,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,LAC,3.5
PG/SG,Terance Mann (14085677),Terance Mann,14085677,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,LAC,6.58
PF/C,Johnathan Motley (14085678),Johnathan Motley,14085678,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,LAC,3.36
SG/SF,Damyean Dotson (14085679),Damyean Dotson,14085679,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,NY,11.69
PG/SG,Allonzo Trier (14085680),Allonzo Trier,14085680,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,NY,11.41
SG/SF,Wayne Ellington (14085681),Wayne Ellington,14085681,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,NY,8.41
PG,Dennis Smith Jr. (14085682),Dennis Smith Jr.,14085682,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,NY,13.07
PF/C,Ivan Rabb (14085683),Ivan Rabb,14085683,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,NY,0
PG/SG,Kadeem Allen (14085684),Kadeem Allen,14085684,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,NY,7.25
SF/PF,Ignas Brazdeikis (14085685),Ignas Brazdeikis,14085685,CPT,1500,NY@LAC 01/05/2020 03:30PM ET,NY,3.09
PF/C,Patrick Patterson (14085639),Patrick Patterson,14085639,UTIL,1400,NY@LAC 01/05/2020 03:30PM ET,LAC,11.21
PF/C,Mfiondu Kabengele (14085640),Mfiondu Kabengele,14085640,UTIL,1200,NY@LAC 01/05/2020 03:30PM ET,LAC,4.7
PF/C,Taj Gibson (14085641),Taj Gibson,14085641,UTIL,1000,NY@LAC 01/05/2020 03:30PM ET,NY,12.70
PG/SF,Amir Coffey (14085642),Amir Coffey,14085642,UTIL,1000,NY@LAC 01/05/2020 03:30PM ET,LAC,3.5
PG/SG,Terance Mann (14085643),Terance Mann,14085643,UTIL,1000,NY@LAC 01/05/2020 03:30PM ET,LAC,6.58
PF/C,Johnathan Motley (14085644),Johnathan Motley,14085644,UTIL,1000,NY@LAC 01/05/2020 03:30PM ET,LAC,3.36
