Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Damian Lillard (13938177),Damian Lillard,13938177,CPT,17100,NY@POR 12/10/2019 10:00PM ET,POR,47
C,Hassan Whiteside (13938178),Hassan Whiteside,13938178,CPT,15900,NY@POR 12/10/2019 10:00PM ET,POR,38.31
C,Jusuf Nurkic (13938179),Jusuf Nurkic,13938179,CPT,15600,NY@POR 12/10/2019 10:00PM ET,POR,0
SG,CJ McCollum (13938180),CJ McCollum,13938180,CPT,14400,NY@POR 12/10/2019 10:00PM ET,POR,36.86
PF,Julius Randle (13938181),Julius Randle,13938181,CPT,13800,NY@POR 12/10/2019 10:00PM ET,NY,33.76
C,Mitchell Robinson (13938182),Mitchell Robinson,13938182,CPT,12600,NY@POR 12/10/2019 10:00PM ET,NY,23.54
SF,Carmelo Anthony (13938183),Carmelo Anthony,13938183,CPT,12000,NY@POR 12/10/2019 10:00PM ET,POR,27.8
SF,RJ Barrett (13938184),RJ Barrett,13938184,CPT,11700,NY@POR 12/10/2019 10:00PM ET,NY,28.92
PG,Damian Lillard (13938144),Damian Lillard,13938144,UTIL,11400,NY@POR 12/10/2019 10:00PM ET,POR,47
PF,Marcus Morris (13938185),Marcus Morris,13938185,CPT,10800,NY@POR 12/10/2019 10:00PM ET,NY,31.43
C,Hassan Whiteside (13938145),Hassan Whiteside,13938145,UTIL,10600,NY@POR 12/10/2019 10:00PM ET,POR,38.31
C,Jusuf Nurkic (13938146),Jusuf Nurkic,13938146,UTIL,10400,NY@POR 12/10/2019 10:00PM ET,POR,0
SG,Kent Bazemore (13938186),Kent Bazemore,13938186,CPT,9900,NY@POR 12/10/2019 10:00PM ET,POR,18.93
SG,CJ McCollum (13938147),CJ McCollum,13938147,UTIL,9600,NY@POR 12/10/2019 10:00PM ET,POR,36.86
PF,Julius Randle (13938148),Julius Randle,13938148,UTIL,9200,NY@POR 12/10/2019 10:00PM ET,NY,33.76
C,Mitchell Robinson (13938149),Mitchell Robinson,13938149,UTIL,8400,NY@POR 12/10/2019 10:00PM ET,NY,23.54
PG,Elfrid Payton (13938187),Elfrid Payton,13938187,CPT,8400,NY@POR 12/10/2019 10:00PM ET,NY,21.21
PF,Zach Collins (13938188),Zach Collins,13938188,CPT,8100,NY@POR 12/10/2019 10:00PM ET,POR,17.83
