Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,De'Aaron Fox (13962068),De'Aaron Fox,13962068,CPT,15900,NY@SAC 12/13/2019 10:00PM ET,SAC,35.22
SG/SF,Buddy Hield (13962069),Buddy Hield,13962069,CPT,14400,NY@SAC 12/13/2019 10:00PM ET,SAC,34.95
PF/C,Julius Randle (13962070),Julius Randle,13962070,CPT,13800,NY@SAC 12/13/2019 10:00PM ET,NY,34.2
SF/PF,Marcus Morris Sr. (13962071),Marcus Morris Sr.,13962071,CPT,13200,NY@SAC 12/13/2019 10:00PM ET,NY,31.97
PF/C,Marvin Bagley III (13962072),Marvin Bagley III,13962072,CPT,12900,NY@SAC 12/13/2019 10:00PM ET,SAC,25.75
PG/SG,RJ Barrett (13962073),RJ Barrett,13962073,CPT,12300,NY@SAC 12/13/2019 10:00PM ET,NY,28.78
C,Mitchell Robinson (13962074),Mitchell Robinson,13962074,CPT,12000,NY@SAC 12/13/2019 10:00PM ET,NY,23.66
PF/C,Richaun Holmes (13962075),Richaun Holmes,13962075,CPT,11400,NY@SAC 12/13/2019 10:00PM ET,SAC,29.51
SF/PF,Harrison Barnes (13962076),Harrison Barnes,13962076,CPT,11100,NY@SAC 12/13/2019 10:00PM ET,SAC,28.14
PG,De'Aaron Fox (13962034),De'Aaron Fox,13962034,UTIL,10600,NY@SAC 12/13/2019 10:00PM ET,SAC,35.22
PF,Nemanja Bjelica (13962077),Nemanja Bjelica,13962077,CPT,10500,NY@SAC 12/13/2019 10:00PM ET,SAC,27.24
SG/SF,Buddy Hield (13962035),Buddy Hield,13962035,UTIL,9600,NY@SAC 12/13/2019 10:00PM ET,SAC,34.95
SG/SF,Bogdan Bogdanovic (13962078),Bogdan Bogdanovic,13962078,CPT,9300,NY@SAC 12/13/2019 10:00PM ET,SAC,27.07
PF/C,Julius Randle (13962036),Julius Randle,13962036,UTIL,9200,NY@SAC 12/13/2019 10:00PM ET,NY,34.2
SF/PF,Marcus Morris Sr. (13962037),Marcus Morris Sr.,13962037,UTIL,8800,NY@SAC 12/13/2019 10:00PM ET,NY,31.97
PF/C,Marvin Bagley III (13962038),Marvin Bagley III,13962038,UTIL,8600,NY@SAC 12/13/2019 10:00PM ET,SAC,25.75
PG/SG,RJ Barrett (13962039),RJ Barrett,13962039,UTIL,8200,NY@SAC 12/13/2019 10:00PM ET,NY,28.78
PG,Elfrid Payton (13962079),Elfrid Payton,13962079,CPT,8100,NY@SAC 12/13/2019 10:00PM ET,NY,20.72
C,Mitchell Robinson (13962040),Mitchell Robinson,13962040,UTIL,8000,NY@SAC 12/13/2019 10:00PM ET,NY,23.66
