Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (14075184),LeBron James,14075184,PG/SF/F/G/UTIL,11200,NO@LAL 01/03/2020 10:30PM ET,LAL,56.06
PF/C,Anthony Davis (14075267),Anthony Davis,14075267,PF/C/F/UTIL,10300,NO@LAL 01/03/2020 10:30PM ET,LAL,51.65
PG/SG,Devin Booker (14075333),Devin Booker,14075333,PG/SG/G/UTIL,7900,NY@PHO 01/03/2020 09:00PM ET,PHO,40.82
SF/PF,Brandon Ingram (14075354),Brandon Ingram,14075354,SF/PF/F/UTIL,7800,NO@LAL 01/03/2020 10:30PM ET,NO,43.32
PF/C,Julius Randle (14075299),Julius Randle,14075299,PF/C/F/UTIL,7700,NY@PHO 01/03/2020 09:00PM ET,NY,36.36
PG/SG,Jrue Holiday (14075221),Jrue Holiday,14075221,PG/SG/G/UTIL,7400,NO@LAL 01/03/2020 10:30PM ET,NO,40.36
C,Deandre Ayton (14075390),Deandre Ayton,14075390,C/UTIL,7300,NY@PHO 01/03/2020 09:00PM ET,PHO,36.06
PG,Ricky Rubio (14075237),Ricky Rubio,14075237,PG/G/UTIL,7200,NY@PHO 01/03/2020 09:00PM ET,PHO,36.77
SF/PF,Kelly Oubre Jr. (14075313),Kelly Oubre Jr.,14075313,SF/PF/F/UTIL,6800,NY@PHO 01/03/2020 09:00PM ET,PHO,32.84
PG,Elfrid Payton (14075275),Elfrid Payton,14075275,PG/G/UTIL,6500,NY@PHO 01/03/2020 09:00PM ET,NY,24.44
PF/C,Zion Williamson (14075406),Zion Williamson,14075406,PF/C/F/UTIL,6400,NO@LAL 01/03/2020 10:30PM ET,NO,0
PF/C,Derrick Favors (14075233),Derrick Favors,14075233,PF/C/F/UTIL,6200,NO@LAL 01/03/2020 10:30PM ET,NO,26.85
PG,Lonzo Ball (14075376),Lonzo Ball,14075376,PG/G/UTIL,6000,NO@LAL 01/03/2020 10:30PM ET,NO,28.14
C,Mitchell Robinson (14075400),Mitchell Robinson,14075400,C/UTIL,5800,NY@PHO 01/03/2020 09:00PM ET,NY,25.38
SF/PF,Marcus Morris Sr. (14075225),Marcus Morris Sr.,14075225,SF/PF/F/UTIL,5600,NY@PHO 01/03/2020 09:00PM ET,NY,30.54
SF/PF,Kyle Kuzma (14075329),Kyle Kuzma,14075329,SF/PF/F/UTIL,5200,NO@LAL 01/03/2020 10:30PM ET,LAL,19.49
PG/SG,RJ Barrett (14075410),RJ Barrett,14075410,PG/SG/G/UTIL,5100,NY@PHO 01/03/2020 09:00PM ET,NY,26.54
PG/SG,Avery Bradley (14075246),Avery Bradley,14075246,PG/SG/G/UTIL,4500,NO@LAL 01/03/2020 10:30PM ET,LAL,15.01
PG,Rajon Rondo (14075195),Rajon Rondo,14075195,PG/G/UTIL,4300,NO@LAL 01/03/2020 10:30PM ET,LAL,21.56
C,Dwight Howard (14075193),Dwight Howard,14075193,C/UTIL,4200,NO@LAL 01/03/2020 10:30PM ET,LAL,19.55
C,Aron Baynes (14075203),Aron Baynes,14075203,C/UTIL,4200,NY@PHO 01/03/2020 09:00PM ET,PHO,24.94
PF/C,Bobby Portis (14075295),Bobby Portis,14075295,PF/C/F/UTIL,4100,NY@PHO 01/03/2020 09:00PM ET,NY,20.91
SG/SF,Kentavious Caldwell-Pope (14075262),Kentavious Caldwell-Pope,14075262,SG/SF/F/G/UTIL,3900,NO@LAL 01/03/2020 10:30PM ET,LAL,17.02
SG/SF,Josh Hart (14075290),Josh Hart,14075290,SG/SF/F/G/UTIL,3900,NO@LAL 01/03/2020 10:30PM ET,NO,23.64
SG/SF,E'Twaun Moore (14075216),E'Twaun Moore,14075216,SG/SF/F/G/UTIL,3800,NO@LAL 01/03/2020 10:30PM ET,NO,17.99
SG/SF,Mikal Bridges (14075337),Mikal Bridges,14075337,SG/SF/F/G/UTIL,3800,NY@PHO 01/03/2020 09:00PM ET,PHO,17.03
SG/SF,Danny Green (14075198),Danny Green,14075198,SG/SF/F/G/UTIL,3700,NO@LAL 01/03/2020 10:30PM ET,LAL,18.37
