Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14161483),James Harden,14161483,CPT,18300,OKC@HOU 01/20/2020 05:00PM ET,HOU,61.86
PG,Russell Westbrook (14161484),Russell Westbrook,14161484,CPT,16500,OKC@HOU 01/20/2020 05:00PM ET,HOU,49.05
C,Clint Capela (14161485),Clint Capela,14161485,CPT,14700,OKC@HOU 01/20/2020 05:00PM ET,HOU,40.10
PG/SG,Shai Gilgeous-Alexander (14161486),Shai Gilgeous-Alexander,14161486,CPT,13200,OKC@HOU 01/20/2020 05:00PM ET,OKC,34.98
PG,Chris Paul (14161487),Chris Paul,14161487,CPT,12600,OKC@HOU 01/20/2020 05:00PM ET,OKC,36.04
PG/SG,James Harden (14161451),James Harden,14161451,UTIL,12200,OKC@HOU 01/20/2020 05:00PM ET,HOU,61.86
SF/PF,Danilo Gallinari (14161488),Danilo Gallinari,14161488,CPT,12000,OKC@HOU 01/20/2020 05:00PM ET,OKC,31.90
C,Steven Adams (14161489),Steven Adams,14161489,CPT,11400,OKC@HOU 01/20/2020 05:00PM ET,OKC,31.53
PG,Russell Westbrook (14161452),Russell Westbrook,14161452,UTIL,11000,OKC@HOU 01/20/2020 05:00PM ET,HOU,49.05
PG/SG,Dennis Schroder (14161490),Dennis Schroder,14161490,CPT,10800,OKC@HOU 01/20/2020 05:00PM ET,OKC,29.98
C,Clint Capela (14161453),Clint Capela,14161453,UTIL,9800,OKC@HOU 01/20/2020 05:00PM ET,HOU,40.10
SG/SF,Eric Gordon (14161491),Eric Gordon,14161491,CPT,9600,OKC@HOU 01/20/2020 05:00PM ET,HOU,20.06
PG/SG,Shai Gilgeous-Alexander (14161454),Shai Gilgeous-Alexander,14161454,UTIL,8800,OKC@HOU 01/20/2020 05:00PM ET,OKC,34.98
C,Nerlens Noel (14161492),Nerlens Noel,14161492,CPT,8700,OKC@HOU 01/20/2020 05:00PM ET,OKC,21.15
PG,Chris Paul (14161455),Chris Paul,14161455,UTIL,8400,OKC@HOU 01/20/2020 05:00PM ET,OKC,36.04
SF/PF,Danilo Gallinari (14161456),Danilo Gallinari,14161456,UTIL,8000,OKC@HOU 01/20/2020 05:00PM ET,OKC,31.90
SG/SF,Ben McLemore (14161493),Ben McLemore,14161493,CPT,7800,OKC@HOU 01/20/2020 05:00PM ET,HOU,17.52
C,Steven Adams (14161457),Steven Adams,14161457,UTIL,7600,OKC@HOU 01/20/2020 05:00PM ET,OKC,31.53
PG/SG,Dennis Schroder (14161458),Dennis Schroder,14161458,UTIL,7200,OKC@HOU 01/20/2020 05:00PM ET,OKC,29.98
PF/C,P.J. Tucker (14161494),P.J. Tucker,14161494,CPT,6900,OKC@HOU 01/20/2020 05:00PM ET,HOU,22.35
SG/SF,Eric Gordon (14161459),Eric Gordon,14161459,UTIL,6400,OKC@HOU 01/20/2020 05:00PM ET,HOU,20.06
PF/C,Mike Muscala (14161495),Mike Muscala,14161495,CPT,6300,OKC@HOU 01/20/2020 05:00PM ET,OKC,9.57
C,Nerlens Noel (14161460),Nerlens Noel,14161460,UTIL,5800,OKC@HOU 01/20/2020 05:00PM ET,OKC,21.15
SF/PF,Danuel House Jr. (14161496),Danuel House Jr.,14161496,CPT,5700,OKC@HOU 01/20/2020 05:00PM ET,HOU,20.11
SG/SF,Hamidou Diallo (14161497),Hamidou Diallo,14161497,CPT,5400,OKC@HOU 01/20/2020 05:00PM ET,OKC,13.95
SG/SF,Ben McLemore (14161461),Ben McLemore,14161461,UTIL,5200,OKC@HOU 01/20/2020 05:00PM ET,HOU,17.52
PF,Darius Bazley (14161498),Darius Bazley,14161498,CPT,4800,OKC@HOU 01/20/2020 05:00PM ET,OKC,11.64
PF/C,P.J. Tucker (14161462),P.J. Tucker,14161462,UTIL,4600,OKC@HOU 01/20/2020 05:00PM ET,HOU,22.35
PF/C,Mike Muscala (14161463),Mike Muscala,14161463,UTIL,4200,OKC@HOU 01/20/2020 05:00PM ET,OKC,9.57
PF/C,Isaiah Hartenstein (14161499),Isaiah Hartenstein,14161499,CPT,4200,OKC@HOU 01/20/2020 05:00PM ET,HOU,14.57
SF/PF,Danuel House Jr. (14161464),Danuel House Jr.,14161464,UTIL,3800,OKC@HOU 01/20/2020 05:00PM ET,HOU,20.11
SG/SF,Hamidou Diallo (14161465),Hamidou Diallo,14161465,UTIL,3600,OKC@HOU 01/20/2020 05:00PM ET,OKC,13.95
PF,Darius Bazley (14161466),Darius Bazley,14161466,UTIL,3200,OKC@HOU 01/20/2020 05:00PM ET,OKC,11.64
PG/SG,Austin Rivers (14161500),Austin Rivers,14161500,CPT,3000,OKC@HOU 01/20/2020 05:00PM ET,HOU,14.80
PF/C,Isaiah Hartenstein (14161467),Isaiah Hartenstein,14161467,UTIL,2800,OKC@HOU 01/20/2020 05:00PM ET,HOU,14.57
SG/SF,Deonte Burton (14161501),Deonte Burton,14161501,CPT,2700,OKC@HOU 01/20/2020 05:00PM ET,OKC,5.14
SG,Luguentz Dort (14161502),Luguentz Dort,14161502,CPT,2400,OKC@HOU 01/20/2020 05:00PM ET,OKC,7.12
C,Justin Patton (14161503),Justin Patton,14161503,CPT,2100,OKC@HOU 01/20/2020 05:00PM ET,OKC,3.55
PG/SG,Austin Rivers (14161468),Austin Rivers,14161468,UTIL,2000,OKC@HOU 01/20/2020 05:00PM ET,HOU,14.80
SG/SF,Deonte Burton (14161469),Deonte Burton,14161469,UTIL,1800,OKC@HOU 01/20/2020 05:00PM ET,OKC,5.14
PG,Chris Clemons (14161504),Chris Clemons,14161504,CPT,1800,OKC@HOU 01/20/2020 05:00PM ET,HOU,8.85
SG,Luguentz Dort (14161470),Luguentz Dort,14161470,UTIL,1600,OKC@HOU 01/20/2020 05:00PM ET,OKC,7.12
SF,Abdel Nader (14161505),Abdel Nader,14161505,CPT,1500,OKC@HOU 01/20/2020 05:00PM ET,OKC,10.62
SF/PF,Thabo Sefolosha (14161506),Thabo Sefolosha,14161506,CPT,1500,OKC@HOU 01/20/2020 05:00PM ET,HOU,6.68
C,Tyson Chandler (14161507),Tyson Chandler,14161507,CPT,1500,OKC@HOU 01/20/2020 05:00PM ET,HOU,5.98
SG/SF,Terrance Ferguson (14161508),Terrance Ferguson,14161508,CPT,1500,OKC@HOU 01/20/2020 05:00PM ET,OKC,10.60
PG/SG,Michael Frazier (14161509),Michael Frazier,14161509,CPT,1500,OKC@HOU 01/20/2020 05:00PM ET,HOU,3.58
PF,Kevin Hervey (14161510),Kevin Hervey,14161510,CPT,1500,OKC@HOU 01/20/2020 05:00PM ET,OKC,1
SF/PF,William Howard (14161511),William Howard,14161511,CPT,1500,OKC@HOU 01/20/2020 05:00PM ET,HOU,0
C,Nene Hilario (14161512),Nene Hilario,14161512,CPT,1500,OKC@HOU 01/20/2020 05:00PM ET,HOU,0
SG/SF,Gerald Green (14161513),Gerald Green,14161513,CPT,1500,OKC@HOU 01/20/2020 05:00PM ET,HOU,0
SG,Andre Roberson (14161514),Andre Roberson,14161514,CPT,1500,OKC@HOU 01/20/2020 05:00PM ET,OKC,0
C,Justin Patton (14161471),Justin Patton,14161471,UTIL,1400,OKC@HOU 01/20/2020 05:00PM ET,OKC,3.55
PG,Chris Clemons (14161472),Chris Clemons,14161472,UTIL,1200,OKC@HOU 01/20/2020 05:00PM ET,HOU,8.85
SF,Abdel Nader (14161473),Abdel Nader,14161473,UTIL,1000,OKC@HOU 01/20/2020 05:00PM ET,OKC,10.62
SF/PF,Thabo Sefolosha (14161474),Thabo Sefolosha,14161474,UTIL,1000,OKC@HOU 01/20/2020 05:00PM ET,HOU,6.68
C,Tyson Chandler (14161475),Tyson Chandler,14161475,UTIL,1000,OKC@HOU 01/20/2020 05:00PM ET,HOU,5.98
