Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Kawhi Leonard (13784150),Kawhi Leonard,13784150,CPT,16800,OKC@LAC 11/18/2019 10:30PM ET,LAC,52.67
SF,Paul George (13784151),Paul George,13784151,CPT,15000,OKC@LAC 11/18/2019 10:30PM ET,LAC,51.62
SG,Lou Williams (13784152),Lou Williams,13784152,CPT,13800,OKC@LAC 11/18/2019 10:30PM ET,LAC,37.5
PG,Chris Paul (13784153),Chris Paul,13784153,CPT,12600,OKC@LAC 11/18/2019 10:30PM ET,OKC,32.48
SF,Danilo Gallinari (13784154),Danilo Gallinari,13784154,CPT,12000,OKC@LAC 11/18/2019 10:30PM ET,OKC,30.23
PG,Shai Gilgeous-Alexander (13784155),Shai Gilgeous-Alexander,13784155,CPT,11400,OKC@LAC 11/18/2019 10:30PM ET,OKC,34.58
SF,Kawhi Leonard (13784117),Kawhi Leonard,13784117,UTIL,11200,OKC@LAC 11/18/2019 10:30PM ET,LAC,52.67
C,Montrezl Harrell (13784156),Montrezl Harrell,13784156,CPT,10800,OKC@LAC 11/18/2019 10:30PM ET,LAC,34.06
SF,Paul George (13784118),Paul George,13784118,UTIL,10000,OKC@LAC 11/18/2019 10:30PM ET,LAC,51.62
PG,Dennis Schroder (13784157),Dennis Schroder,13784157,CPT,9900,OKC@LAC 11/18/2019 10:30PM ET,OKC,27.90
C,Steven Adams (13784158),Steven Adams,13784158,CPT,9300,OKC@LAC 11/18/2019 10:30PM ET,OKC,25.25
SG,Lou Williams (13784119),Lou Williams,13784119,UTIL,9200,OKC@LAC 11/18/2019 10:30PM ET,LAC,37.5
PG,Chris Paul (13784120),Chris Paul,13784120,UTIL,8400,OKC@LAC 11/18/2019 10:30PM ET,OKC,32.48
SF,Danilo Gallinari (13784121),Danilo Gallinari,13784121,UTIL,8000,OKC@LAC 11/18/2019 10:30PM ET,OKC,30.23
C,Ivica Zubac (13784159),Ivica Zubac,13784159,CPT,7800,OKC@LAC 11/18/2019 10:30PM ET,LAC,21.65
PG,Shai Gilgeous-Alexander (13784122),Shai Gilgeous-Alexander,13784122,UTIL,7600,OKC@LAC 11/18/2019 10:30PM ET,OKC,34.58
PF,JaMychal Green (13784160),JaMychal Green,13784160,CPT,7500,OKC@LAC 11/18/2019 10:30PM ET,LAC,20.23
C,Montrezl Harrell (13784123),Montrezl Harrell,13784123,UTIL,7200,OKC@LAC 11/18/2019 10:30PM ET,LAC,34.06
PG,Patrick Beverley (13784161),Patrick Beverley,13784161,CPT,7200,OKC@LAC 11/18/2019 10:30PM ET,LAC,22.77
SF,Moe Harkless (13784162),Moe Harkless,13784162,CPT,6900,OKC@LAC 11/18/2019 10:30PM ET,LAC,15.08
PG,Dennis Schroder (13784124),Dennis Schroder,13784124,UTIL,6600,OKC@LAC 11/18/2019 10:30PM ET,OKC,27.90
PF,Nerlens Noel (13784163),Nerlens Noel,13784163,CPT,6600,OKC@LAC 11/18/2019 10:30PM ET,OKC,18.96
SF,Terance Mann (13784164),Terance Mann,13784164,CPT,6300,OKC@LAC 11/18/2019 10:30PM ET,LAC,8.34
C,Steven Adams (13784125),Steven Adams,13784125,UTIL,6200,OKC@LAC 11/18/2019 10:30PM ET,OKC,25.25
SG,Jerome Robinson (13784165),Jerome Robinson,13784165,CPT,6000,OKC@LAC 11/18/2019 10:30PM ET,LAC,8.53
SF,Terrance Ferguson (13784166),Terrance Ferguson,13784166,CPT,5700,OKC@LAC 11/18/2019 10:30PM ET,OKC,11.14
SG,Hamidou Diallo (13784167),Hamidou Diallo,13784167,CPT,5400,OKC@LAC 11/18/2019 10:30PM ET,OKC,18.27
C,Ivica Zubac (13784126),Ivica Zubac,13784126,UTIL,5200,OKC@LAC 11/18/2019 10:30PM ET,LAC,21.65
PF,JaMychal Green (13784127),JaMychal Green,13784127,UTIL,5000,OKC@LAC 11/18/2019 10:30PM ET,LAC,20.23
PG,Patrick Beverley (13784128),Patrick Beverley,13784128,UTIL,4800,OKC@LAC 11/18/2019 10:30PM ET,LAC,22.77
SG,Rodney McGruder (13784168),Rodney McGruder,13784168,CPT,4800,OKC@LAC 11/18/2019 10:30PM ET,LAC,7.56
SF,Moe Harkless (13784129),Moe Harkless,13784129,UTIL,4600,OKC@LAC 11/18/2019 10:30PM ET,LAC,15.08
PG,Landry Shamet (13784169),Landry Shamet,13784169,CPT,4500,OKC@LAC 11/18/2019 10:30PM ET,LAC,14.98
PF,Nerlens Noel (13784130),Nerlens Noel,13784130,UTIL,4400,OKC@LAC 11/18/2019 10:30PM ET,OKC,18.96
SF,Terance Mann (13784131),Terance Mann,13784131,UTIL,4200,OKC@LAC 11/18/2019 10:30PM ET,LAC,8.34
SG,Jerome Robinson (13784132),Jerome Robinson,13784132,UTIL,4000,OKC@LAC 11/18/2019 10:30PM ET,LAC,8.53
SF,Terrance Ferguson (13784133),Terrance Ferguson,13784133,UTIL,3800,OKC@LAC 11/18/2019 10:30PM ET,OKC,11.14
