Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Karl-Anthony Towns (14125828),Karl-Anthony Towns,14125828,CPT,17400,OKC@MIN 01/13/2020 08:00PM ET,MIN,53.74
SG/SF,Andrew Wiggins (14125829),Andrew Wiggins,14125829,CPT,14400,OKC@MIN 01/13/2020 08:00PM ET,MIN,38.38
PG,Chris Paul (14125830),Chris Paul,14125830,CPT,13500,OKC@MIN 01/13/2020 08:00PM ET,OKC,36.14
SF/PF,Danilo Gallinari (14125831),Danilo Gallinari,14125831,CPT,12900,OKC@MIN 01/13/2020 08:00PM ET,OKC,31.23
C,Steven Adams (14125832),Steven Adams,14125832,CPT,12300,OKC@MIN 01/13/2020 08:00PM ET,OKC,32.23
PG/SG,Shai Gilgeous-Alexander (14125833),Shai Gilgeous-Alexander,14125833,CPT,12000,OKC@MIN 01/13/2020 08:00PM ET,OKC,33.63
C,Karl-Anthony Towns (14125795),Karl-Anthony Towns,14125795,UTIL,11600,OKC@MIN 01/13/2020 08:00PM ET,MIN,53.74
C,Gorgui Dieng (14125834),Gorgui Dieng,14125834,CPT,11400,OKC@MIN 01/13/2020 08:00PM ET,MIN,21.38
SF/PF,Robert Covington (14125835),Robert Covington,14125835,CPT,10500,OKC@MIN 01/13/2020 08:00PM ET,MIN,27.24
PG/SG,Dennis Schroder (14125836),Dennis Schroder,14125836,CPT,9900,OKC@MIN 01/13/2020 08:00PM ET,OKC,29.83
SG/SF,Andrew Wiggins (14125796),Andrew Wiggins,14125796,UTIL,9600,OKC@MIN 01/13/2020 08:00PM ET,MIN,38.38
PG/SG,Shabazz Napier (14125837),Shabazz Napier,14125837,CPT,9300,OKC@MIN 01/13/2020 08:00PM ET,MIN,20.78
PG,Chris Paul (14125797),Chris Paul,14125797,UTIL,9000,OKC@MIN 01/13/2020 08:00PM ET,OKC,36.14
PG,Jeff Teague (14125838),Jeff Teague,14125838,CPT,8700,OKC@MIN 01/13/2020 08:00PM ET,MIN,27.87
SF/PF,Danilo Gallinari (14125798),Danilo Gallinari,14125798,UTIL,8600,OKC@MIN 01/13/2020 08:00PM ET,OKC,31.23
C,Steven Adams (14125799),Steven Adams,14125799,UTIL,8200,OKC@MIN 01/13/2020 08:00PM ET,OKC,32.23
PG/SG,Shai Gilgeous-Alexander (14125800),Shai Gilgeous-Alexander,14125800,UTIL,8000,OKC@MIN 01/13/2020 08:00PM ET,OKC,33.63
PG/SG,Jarrett Culver (14125839),Jarrett Culver,14125839,CPT,7800,OKC@MIN 01/13/2020 08:00PM ET,MIN,19.87
C,Gorgui Dieng (14125801),Gorgui Dieng,14125801,UTIL,7600,OKC@MIN 01/13/2020 08:00PM ET,MIN,21.38
