Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Kyle Lowry (14053981),Kyle Lowry,14053981,CPT,15000,OKC@TOR 12/29/2019 06:00PM ET,TOR,42
PF/C,Pascal Siakam (14053982),Pascal Siakam,14053982,CPT,14400,OKC@TOR 12/29/2019 06:00PM ET,TOR,44.77
PG/SG,Fred VanVleet (14053983),Fred VanVleet,14053983,CPT,13800,OKC@TOR 12/29/2019 06:00PM ET,TOR,38.11
PG,Chris Paul (14053984),Chris Paul,14053984,CPT,12600,OKC@TOR 12/29/2019 06:00PM ET,OKC,35.36
PF/C,Serge Ibaka (14053985),Serge Ibaka,14053985,CPT,11700,OKC@TOR 12/29/2019 06:00PM ET,TOR,27.86
PG/SG,Shai Gilgeous-Alexander (14053986),Shai Gilgeous-Alexander,14053986,CPT,11100,OKC@TOR 12/29/2019 06:00PM ET,OKC,32.57
C,Steven Adams (14053987),Steven Adams,14053987,CPT,10800,OKC@TOR 12/29/2019 06:00PM ET,OKC,31.62
PG/SG,Dennis Schroder (14053988),Dennis Schroder,14053988,CPT,10500,OKC@TOR 12/29/2019 06:00PM ET,OKC,30.20
SF/PF,Danilo Gallinari (14053989),Danilo Gallinari,14053989,CPT,10200,OKC@TOR 12/29/2019 06:00PM ET,OKC,30.82
PG,Kyle Lowry (14053948),Kyle Lowry,14053948,UTIL,10000,OKC@TOR 12/29/2019 06:00PM ET,TOR,42
PF/C,Chris Boucher (14053990),Chris Boucher,14053990,CPT,9900,OKC@TOR 12/29/2019 06:00PM ET,TOR,14.84
PF/C,Pascal Siakam (14053949),Pascal Siakam,14053949,UTIL,9600,OKC@TOR 12/29/2019 06:00PM ET,TOR,44.77
SG/SF,Norman Powell (14053991),Norman Powell,14053991,CPT,9600,OKC@TOR 12/29/2019 06:00PM ET,TOR,24.97
PG/SG,Fred VanVleet (14053950),Fred VanVleet,14053950,UTIL,9200,OKC@TOR 12/29/2019 06:00PM ET,TOR,38.11
PG,Chris Paul (14053951),Chris Paul,14053951,UTIL,8400,OKC@TOR 12/29/2019 06:00PM ET,OKC,35.36
SF/PF,Rondae Hollis-Jefferson (14053992),Rondae Hollis-Jefferson,14053992,CPT,8400,OKC@TOR 12/29/2019 06:00PM ET,TOR,19.5
SF/PF,OG Anunoby (14053993),OG Anunoby,14053993,CPT,8100,OKC@TOR 12/29/2019 06:00PM ET,TOR,24.71
PF/C,Serge Ibaka (14053952),Serge Ibaka,14053952,UTIL,7800,OKC@TOR 12/29/2019 06:00PM ET,TOR,27.86
C,Marc Gasol (14053994),Marc Gasol,14053994,CPT,7500,OKC@TOR 12/29/2019 06:00PM ET,TOR,23.93
PG/SG,Shai Gilgeous-Alexander (14053953),Shai Gilgeous-Alexander,14053953,UTIL,7400,OKC@TOR 12/29/2019 06:00PM ET,OKC,32.57
C,Steven Adams (14053954),Steven Adams,14053954,UTIL,7200,OKC@TOR 12/29/2019 06:00PM ET,OKC,31.62
PG/SG,Dennis Schroder (14053955),Dennis Schroder,14053955,UTIL,7000,OKC@TOR 12/29/2019 06:00PM ET,OKC,30.20
SF/PF,Danilo Gallinari (14053956),Danilo Gallinari,14053956,UTIL,6800,OKC@TOR 12/29/2019 06:00PM ET,OKC,30.82
PF/C,Chris Boucher (14053957),Chris Boucher,14053957,UTIL,6600,OKC@TOR 12/29/2019 06:00PM ET,TOR,14.84
C,Nerlens Noel (14053995),Nerlens Noel,14053995,CPT,6600,OKC@TOR 12/29/2019 06:00PM ET,OKC,20.18
SG/SF,Norman Powell (14053958),Norman Powell,14053958,UTIL,6400,OKC@TOR 12/29/2019 06:00PM ET,TOR,24.97
SG/SF,Hamidou Diallo (14053996),Hamidou Diallo,14053996,CPT,5700,OKC@TOR 12/29/2019 06:00PM ET,OKC,18.08
SF/PF,Rondae Hollis-Jefferson (14053959),Rondae Hollis-Jefferson,14053959,UTIL,5600,OKC@TOR 12/29/2019 06:00PM ET,TOR,19.5
SF/PF,OG Anunoby (14053960),OG Anunoby,14053960,UTIL,5400,OKC@TOR 12/29/2019 06:00PM ET,TOR,24.71
SF/PF,Darius Bazley (14053997),Darius Bazley,14053997,CPT,5100,OKC@TOR 12/29/2019 06:00PM ET,OKC,11.02
C,Marc Gasol (14053961),Marc Gasol,14053961,UTIL,5000,OKC@TOR 12/29/2019 06:00PM ET,TOR,23.93
PG/SG,Terence Davis (14053998),Terence Davis,14053998,CPT,4800,OKC@TOR 12/29/2019 06:00PM ET,TOR,14.44
SG/SF,Terrance Ferguson (14053999),Terrance Ferguson,14053999,CPT,4500,OKC@TOR 12/29/2019 06:00PM ET,OKC,11.07
C,Nerlens Noel (14053962),Nerlens Noel,14053962,UTIL,4400,OKC@TOR 12/29/2019 06:00PM ET,OKC,20.18
PG/SF,Patrick McCaw (14054000),Patrick McCaw,14054000,CPT,4200,OKC@TOR 12/29/2019 06:00PM ET,TOR,13.75
SG/SF,Hamidou Diallo (14053963),Hamidou Diallo,14053963,UTIL,3800,OKC@TOR 12/29/2019 06:00PM ET,OKC,18.08
SF,Abdel Nader (14054001),Abdel Nader,14054001,CPT,3600,OKC@TOR 12/29/2019 06:00PM ET,OKC,11.90
SF/PF,Darius Bazley (14053964),Darius Bazley,14053964,UTIL,3400,OKC@TOR 12/29/2019 06:00PM ET,OKC,11.02
SG/SF,Malcolm Miller (14054002),Malcolm Miller,14054002,CPT,3300,OKC@TOR 12/29/2019 06:00PM ET,TOR,3.28
PG/SG,Terence Davis (14053965),Terence Davis,14053965,UTIL,3200,OKC@TOR 12/29/2019 06:00PM ET,TOR,14.44
SG/SF,Terrance Ferguson (14053966),Terrance Ferguson,14053966,UTIL,3000,OKC@TOR 12/29/2019 06:00PM ET,OKC,11.07
PG/SF,Patrick McCaw (14053967),Patrick McCaw,14053967,UTIL,2800,OKC@TOR 12/29/2019 06:00PM ET,TOR,13.75
SG/SF,Deonte Burton (14054003),Deonte Burton,14054003,CPT,2700,OKC@TOR 12/29/2019 06:00PM ET,OKC,5.35
SF,Abdel Nader (14053968),Abdel Nader,14053968,UTIL,2400,OKC@TOR 12/29/2019 06:00PM ET,OKC,11.90
PG,Luguentz Dort (14054004),Luguentz Dort,14054004,CPT,2400,OKC@TOR 12/29/2019 06:00PM ET,OKC,6.54
SG/SF,Malcolm Miller (14053969),Malcolm Miller,14053969,UTIL,2200,OKC@TOR 12/29/2019 06:00PM ET,TOR,3.28
SG/SF,Andre Roberson (14054005),Andre Roberson,14054005,CPT,2100,OKC@TOR 12/29/2019 06:00PM ET,OKC,0
SG/SF,Deonte Burton (14053970),Deonte Burton,14053970,UTIL,1800,OKC@TOR 12/29/2019 06:00PM ET,OKC,5.35
SF/PF,Stanley Johnson (14054006),Stanley Johnson,14054006,CPT,1800,OKC@TOR 12/29/2019 06:00PM ET,TOR,3.75
PG,Luguentz Dort (14053971),Luguentz Dort,14053971,UTIL,1600,OKC@TOR 12/29/2019 06:00PM ET,OKC,6.54
PF/C,Mike Muscala (14054007),Mike Muscala,14054007,CPT,1500,OKC@TOR 12/29/2019 06:00PM ET,OKC,7.35
C,Justin Patton (14054008),Justin Patton,14054008,CPT,1500,OKC@TOR 12/29/2019 06:00PM ET,OKC,2
PF/C,Dewan Hernandez (14054009),Dewan Hernandez,14054009,CPT,1500,OKC@TOR 12/29/2019 06:00PM ET,TOR,3.56
SG,Matt Thomas (14054010),Matt Thomas,14054010,CPT,1500,OKC@TOR 12/29/2019 06:00PM ET,TOR,7.69
SF/PF,Kevin Hervey (14054011),Kevin Hervey,14054011,CPT,1500,OKC@TOR 12/29/2019 06:00PM ET,OKC,0
SF/PF,Oshae Brissett (14054012),Oshae Brissett,14054012,CPT,1500,OKC@TOR 12/29/2019 06:00PM ET,TOR,3.32
PG,Shamorie Ponds (14054013),Shamorie Ponds,14054013,CPT,1500,OKC@TOR 12/29/2019 06:00PM ET,TOR,3.42
SG/SF,Andre Roberson (14053972),Andre Roberson,14053972,UTIL,1400,OKC@TOR 12/29/2019 06:00PM ET,OKC,0
SF/PF,Stanley Johnson (14053973),Stanley Johnson,14053973,UTIL,1200,OKC@TOR 12/29/2019 06:00PM ET,TOR,3.75
PF/C,Mike Muscala (14053974),Mike Muscala,14053974,UTIL,1000,OKC@TOR 12/29/2019 06:00PM ET,OKC,7.35
C,Justin Patton (14053975),Justin Patton,14053975,UTIL,1000,OKC@TOR 12/29/2019 06:00PM ET,OKC,2
PF/C,Dewan Hernandez (14053976),Dewan Hernandez,14053976,UTIL,1000,OKC@TOR 12/29/2019 06:00PM ET,TOR,3.56
SG,Matt Thomas (14053977),Matt Thomas,14053977,UTIL,1000,OKC@TOR 12/29/2019 06:00PM ET,TOR,7.69
SF/PF,Kevin Hervey (14053978),Kevin Hervey,14053978,UTIL,1000,OKC@TOR 12/29/2019 06:00PM ET,OKC,0
SF/PF,Oshae Brissett (14053979),Oshae Brissett,14053979,UTIL,1000,OKC@TOR 12/29/2019 06:00PM ET,TOR,3.32
PG,Shamorie Ponds (14053980),Shamorie Ponds,14053980,UTIL,1000,OKC@TOR 12/29/2019 06:00PM ET,TOR,3.42
