Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Kawhi Leonard (14141008),Kawhi Leonard,14141008,CPT,19500,ORL@LAC 01/16/2020 10:30PM ET,LAC,47.70
SG/SF,Paul George (14141009),Paul George,14141009,CPT,17400,ORL@LAC 01/16/2020 10:30PM ET,LAC,40.64
C,Nikola Vucevic (14141010),Nikola Vucevic,14141010,CPT,16500,ORL@LAC 01/16/2020 10:30PM ET,ORL,42.59
PG/SG,Lou Williams (14141011),Lou Williams,14141011,CPT,14100,ORL@LAC 01/16/2020 10:30PM ET,LAC,34.01
C,Montrezl Harrell (14141012),Montrezl Harrell,14141012,CPT,13500,ORL@LAC 01/16/2020 10:30PM ET,LAC,33.84
SF,Kawhi Leonard (14140974),Kawhi Leonard,14140974,UTIL,13000,ORL@LAC 01/16/2020 10:30PM ET,LAC,47.70
SG/SF,Evan Fournier (14141013),Evan Fournier,14141013,CPT,12900,ORL@LAC 01/16/2020 10:30PM ET,ORL,30.09
SF/PF,Aaron Gordon (14141014),Aaron Gordon,14141014,CPT,12600,ORL@LAC 01/16/2020 10:30PM ET,ORL,29.66
SF/PF,Jonathan Isaac (14141015),Jonathan Isaac,14141015,CPT,12300,ORL@LAC 01/16/2020 10:30PM ET,ORL,30.70
PG,Patrick Beverley (14141016),Patrick Beverley,14141016,CPT,12000,ORL@LAC 01/16/2020 10:30PM ET,LAC,25.86
PG/SG,Markelle Fultz (14141017),Markelle Fultz,14141017,CPT,11700,ORL@LAC 01/16/2020 10:30PM ET,ORL,25.09
SG/SF,Paul George (14140975),Paul George,14140975,UTIL,11600,ORL@LAC 01/16/2020 10:30PM ET,LAC,40.64
SG/SF,Terrence Ross (14141018),Terrence Ross,14141018,CPT,11100,ORL@LAC 01/16/2020 10:30PM ET,ORL,21.5
C,Nikola Vucevic (14140976),Nikola Vucevic,14140976,UTIL,11000,ORL@LAC 01/16/2020 10:30PM ET,ORL,42.59
C,Ivica Zubac (14141019),Ivica Zubac,14141019,CPT,10200,ORL@LAC 01/16/2020 10:30PM ET,LAC,20.35
PG/SG,Lou Williams (14140977),Lou Williams,14140977,UTIL,9400,ORL@LAC 01/16/2020 10:30PM ET,LAC,34.01
C,Montrezl Harrell (14140978),Montrezl Harrell,14140978,UTIL,9000,ORL@LAC 01/16/2020 10:30PM ET,LAC,33.84
