Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (14136600),LeBron James,14136600,CPT,20100,ORL@LAL 01/15/2020 10:30PM ET,LAL,56.05
PF/C,Anthony Davis (14136601),Anthony Davis,14136601,CPT,19200,ORL@LAL 01/15/2020 10:30PM ET,LAL,51.98
C,Nikola Vucevic (14136602),Nikola Vucevic,14136602,CPT,16200,ORL@LAL 01/15/2020 10:30PM ET,ORL,43.03
PG/SF,LeBron James (14136566),LeBron James,14136566,UTIL,13400,ORL@LAL 01/15/2020 10:30PM ET,LAL,56.05
PF/C,Anthony Davis (14136567),Anthony Davis,14136567,UTIL,12800,ORL@LAL 01/15/2020 10:30PM ET,LAL,51.98
SG/SF,Evan Fournier (14136603),Evan Fournier,14136603,CPT,12600,ORL@LAL 01/15/2020 10:30PM ET,ORL,30.09
SF/PF,Jonathan Isaac (14136604),Jonathan Isaac,14136604,CPT,12000,ORL@LAL 01/15/2020 10:30PM ET,ORL,30.70
SF/PF,Aaron Gordon (14136605),Aaron Gordon,14136605,CPT,11700,ORL@LAL 01/15/2020 10:30PM ET,ORL,29.49
SF/PF,Kyle Kuzma (14136606),Kyle Kuzma,14136606,CPT,11400,ORL@LAL 01/15/2020 10:30PM ET,LAL,20.72
PG/SG,Markelle Fultz (14136607),Markelle Fultz,14136607,CPT,11100,ORL@LAL 01/15/2020 10:30PM ET,ORL,24.31
C,Nikola Vucevic (14136568),Nikola Vucevic,14136568,UTIL,10800,ORL@LAL 01/15/2020 10:30PM ET,ORL,43.03
C,Dwight Howard (14136608),Dwight Howard,14136608,CPT,10800,ORL@LAL 01/15/2020 10:30PM ET,LAL,21.03
C,JaVale McGee (14136609),JaVale McGee,14136609,CPT,9600,ORL@LAL 01/15/2020 10:30PM ET,LAL,19.37
PG,D.J. Augustin (14136610),D.J. Augustin,14136610,CPT,8700,ORL@LAL 01/15/2020 10:30PM ET,ORL,22.11
SG/SF,Evan Fournier (14136569),Evan Fournier,14136569,UTIL,8400,ORL@LAL 01/15/2020 10:30PM ET,ORL,30.09
SG/SF,Danny Green (14136611),Danny Green,14136611,CPT,8400,ORL@LAL 01/15/2020 10:30PM ET,LAL,19.13
SG/SF,Terrence Ross (14136612),Terrence Ross,14136612,CPT,8100,ORL@LAL 01/15/2020 10:30PM ET,ORL,21.37
SF/PF,Jonathan Isaac (14136570),Jonathan Isaac,14136570,UTIL,8000,ORL@LAL 01/15/2020 10:30PM ET,ORL,30.70
SF/PF,Aaron Gordon (14136571),Aaron Gordon,14136571,UTIL,7800,ORL@LAL 01/15/2020 10:30PM ET,ORL,29.49
SF/PF,Kyle Kuzma (14136572),Kyle Kuzma,14136572,UTIL,7600,ORL@LAL 01/15/2020 10:30PM ET,LAL,20.72
PG,Rajon Rondo (14136613),Rajon Rondo,14136613,CPT,7500,ORL@LAL 01/15/2020 10:30PM ET,LAL,22.06
PG/SG,Markelle Fultz (14136573),Markelle Fultz,14136573,UTIL,7400,ORL@LAL 01/15/2020 10:30PM ET,ORL,24.31
C,Dwight Howard (14136574),Dwight Howard,14136574,UTIL,7200,ORL@LAL 01/15/2020 10:30PM ET,LAL,21.03
PG/SG,Alex Caruso (14136614),Alex Caruso,14136614,CPT,7200,ORL@LAL 01/15/2020 10:30PM ET,LAL,13.51
PG/SG,Avery Bradley (14136615),Avery Bradley,14136615,CPT,6600,ORL@LAL 01/15/2020 10:30PM ET,LAL,14.5
C,JaVale McGee (14136575),JaVale McGee,14136575,UTIL,6400,ORL@LAL 01/15/2020 10:30PM ET,LAL,19.37
PF/C,Khem Birch (14136616),Khem Birch,14136616,CPT,6300,ORL@LAL 01/15/2020 10:30PM ET,ORL,14.30
SG/SF,Kentavious Caldwell-Pope (14136617),Kentavious Caldwell-Pope,14136617,CPT,6000,ORL@LAL 01/15/2020 10:30PM ET,LAL,16.78
PG,D.J. Augustin (14136576),D.J. Augustin,14136576,UTIL,5800,ORL@LAL 01/15/2020 10:30PM ET,ORL,22.11
SG/SF,Danny Green (14136577),Danny Green,14136577,UTIL,5600,ORL@LAL 01/15/2020 10:30PM ET,LAL,19.13
SG/SF,Terrence Ross (14136578),Terrence Ross,14136578,UTIL,5400,ORL@LAL 01/15/2020 10:30PM ET,ORL,21.37
PG,Rajon Rondo (14136579),Rajon Rondo,14136579,UTIL,5000,ORL@LAL 01/15/2020 10:30PM ET,LAL,22.06
PG/SG,Alex Caruso (14136580),Alex Caruso,14136580,UTIL,4800,ORL@LAL 01/15/2020 10:30PM ET,LAL,13.51
SG/SF,Wes Iwundu (14136618),Wes Iwundu,14136618,CPT,4800,ORL@LAL 01/15/2020 10:30PM ET,ORL,10.64
PG/SG,Avery Bradley (14136581),Avery Bradley,14136581,UTIL,4400,ORL@LAL 01/15/2020 10:30PM ET,LAL,14.5
PF/C,Khem Birch (14136582),Khem Birch,14136582,UTIL,4200,ORL@LAL 01/15/2020 10:30PM ET,ORL,14.30
SG/SF,Kentavious Caldwell-Pope (14136583),Kentavious Caldwell-Pope,14136583,UTIL,4000,ORL@LAL 01/15/2020 10:30PM ET,LAL,16.78
PF,Devontae Cacok (14136619),Devontae Cacok,14136619,CPT,3600,ORL@LAL 01/15/2020 10:30PM ET,LAL,0
SG/SF,Wes Iwundu (14136584),Wes Iwundu,14136584,UTIL,3200,ORL@LAL 01/15/2020 10:30PM ET,ORL,10.64
C,Mo Bamba (14136620),Mo Bamba,14136620,CPT,2700,ORL@LAL 01/15/2020 10:30PM ET,ORL,16.19
PF,Devontae Cacok (14136585),Devontae Cacok,14136585,UTIL,2400,ORL@LAL 01/15/2020 10:30PM ET,LAL,0
PG,Quinn Cook (14136621),Quinn Cook,14136621,CPT,2100,ORL@LAL 01/15/2020 10:30PM ET,LAL,9.15
SG,Troy Daniels (14136622),Troy Daniels,14136622,CPT,2100,ORL@LAL 01/15/2020 10:30PM ET,LAL,7.32
C,Mo Bamba (14136586),Mo Bamba,14136586,UTIL,1800,ORL@LAL 01/15/2020 10:30PM ET,ORL,16.19
SF/PF,Al-Farouq Aminu (14136623),Al-Farouq Aminu,14136623,CPT,1800,ORL@LAL 01/15/2020 10:30PM ET,ORL,14.94
SG/SF,Melvin Frazier Jr. (14136624),Melvin Frazier Jr.,14136624,CPT,1800,ORL@LAL 01/15/2020 10:30PM ET,ORL,3.23
SF/PF,Jared Dudley (14136625),Jared Dudley,14136625,CPT,1800,ORL@LAL 01/15/2020 10:30PM ET,LAL,4.73
PF/C,Amile Jefferson (14136626),Amile Jefferson,14136626,CPT,1500,ORL@LAL 01/15/2020 10:30PM ET,ORL,3.5
SF,Gary Clark (14136627),Gary Clark,14136627,CPT,1500,ORL@LAL 01/15/2020 10:30PM ET,ORL,9.11
PG/SG,Michael Carter-Williams (14136628),Michael Carter-Williams,14136628,CPT,1500,ORL@LAL 01/15/2020 10:30PM ET,ORL,14.84
SG/SF,Talen Horton-Tucker (14136629),Talen Horton-Tucker,14136629,CPT,1500,ORL@LAL 01/15/2020 10:30PM ET,LAL,2.5
SG/SF,B.J. Johnson (14136630),B.J. Johnson,14136630,CPT,1500,ORL@LAL 01/15/2020 10:30PM ET,ORL,1
SF/PF,Kostas Antetokounmpo (14136631),Kostas Antetokounmpo,14136631,CPT,1500,ORL@LAL 01/15/2020 10:30PM ET,LAL,0.92
PF,DeMarcus Cousins (14136632),DeMarcus Cousins,14136632,CPT,1500,ORL@LAL 01/15/2020 10:30PM ET,LAL,0
SF/PF,Vic Law (14136633),Vic Law,14136633,CPT,1500,ORL@LAL 01/15/2020 10:30PM ET,ORL,0
PG,Quinn Cook (14136587),Quinn Cook,14136587,UTIL,1400,ORL@LAL 01/15/2020 10:30PM ET,LAL,9.15
SG,Troy Daniels (14136588),Troy Daniels,14136588,UTIL,1400,ORL@LAL 01/15/2020 10:30PM ET,LAL,7.32
SF/PF,Al-Farouq Aminu (14136589),Al-Farouq Aminu,14136589,UTIL,1200,ORL@LAL 01/15/2020 10:30PM ET,ORL,14.94
SG/SF,Melvin Frazier Jr. (14136590),Melvin Frazier Jr.,14136590,UTIL,1200,ORL@LAL 01/15/2020 10:30PM ET,ORL,3.23
SF/PF,Jared Dudley (14136591),Jared Dudley,14136591,UTIL,1200,ORL@LAL 01/15/2020 10:30PM ET,LAL,4.73
PF/C,Amile Jefferson (14136592),Amile Jefferson,14136592,UTIL,1000,ORL@LAL 01/15/2020 10:30PM ET,ORL,3.5
SF,Gary Clark (14136593),Gary Clark,14136593,UTIL,1000,ORL@LAL 01/15/2020 10:30PM ET,ORL,9.11
PG/SG,Michael Carter-Williams (14136594),Michael Carter-Williams,14136594,UTIL,1000,ORL@LAL 01/15/2020 10:30PM ET,ORL,14.84
SG/SF,Talen Horton-Tucker (14136595),Talen Horton-Tucker,14136595,UTIL,1000,ORL@LAL 01/15/2020 10:30PM ET,LAL,2.5
SG/SF,B.J. Johnson (14136596),B.J. Johnson,14136596,UTIL,1000,ORL@LAL 01/15/2020 10:30PM ET,ORL,1
SF/PF,Kostas Antetokounmpo (14136597),Kostas Antetokounmpo,14136597,UTIL,1000,ORL@LAL 01/15/2020 10:30PM ET,LAL,0.92
PF,DeMarcus Cousins (14136598),DeMarcus Cousins,14136598,UTIL,1000,ORL@LAL 01/15/2020 10:30PM ET,LAL,0
SF/PF,Vic Law (14136599),Vic Law,14136599,UTIL,1000,ORL@LAL 01/15/2020 10:30PM ET,ORL,0
