Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Bam Adebayo (14190733),Bam Adebayo,14190733,CPT,15000,ORL@MIA 01/27/2020 07:30PM ET,MIA,40.08
C,Nikola Vucevic (14190734),Nikola Vucevic,14190734,CPT,14700,ORL@MIA 01/27/2020 07:30PM ET,ORL,42.38
SG/SF,Jimmy Butler (14190735),Jimmy Butler,14190735,CPT,13800,ORL@MIA 01/27/2020 07:30PM ET,MIA,43.22
SG/SF,Evan Fournier (14190736),Evan Fournier,14190736,CPT,12600,ORL@MIA 01/27/2020 07:30PM ET,ORL,29.94
SF/PF,Jonathan Isaac (14190737),Jonathan Isaac,14190737,CPT,11400,ORL@MIA 01/27/2020 07:30PM ET,ORL,30.70
SF/PF,Aaron Gordon (14190738),Aaron Gordon,14190738,CPT,10800,ORL@MIA 01/27/2020 07:30PM ET,ORL,29.20
PG,Goran Dragic (14190739),Goran Dragic,14190739,CPT,10500,ORL@MIA 01/27/2020 07:30PM ET,MIA,28.54
PG/SG,Kendrick Nunn (14190740),Kendrick Nunn,14190740,CPT,10200,ORL@MIA 01/27/2020 07:30PM ET,MIA,27.33
C,Bam Adebayo (14190699),Bam Adebayo,14190699,UTIL,10000,ORL@MIA 01/27/2020 07:30PM ET,MIA,40.08
PG/SG,Markelle Fultz (14190741),Markelle Fultz,14190741,CPT,9900,ORL@MIA 01/27/2020 07:30PM ET,ORL,25.23
C,Nikola Vucevic (14190700),Nikola Vucevic,14190700,UTIL,9800,ORL@MIA 01/27/2020 07:30PM ET,ORL,42.38
SG/SF,Duncan Robinson (14190742),Duncan Robinson,14190742,CPT,9600,ORL@MIA 01/27/2020 07:30PM ET,MIA,20.61
SG/SF,Terrence Ross (14190743),Terrence Ross,14190743,CPT,9300,ORL@MIA 01/27/2020 07:30PM ET,ORL,22.13
SG/SF,Jimmy Butler (14190701),Jimmy Butler,14190701,UTIL,9200,ORL@MIA 01/27/2020 07:30PM ET,MIA,43.22
SG,Tyler Herro (14190744),Tyler Herro,14190744,CPT,9000,ORL@MIA 01/27/2020 07:30PM ET,MIA,23.33
SG/SF,Evan Fournier (14190702),Evan Fournier,14190702,UTIL,8400,ORL@MIA 01/27/2020 07:30PM ET,ORL,29.94
C,Kelly Olynyk (14190745),Kelly Olynyk,14190745,CPT,8100,ORL@MIA 01/27/2020 07:30PM ET,MIA,17.48
SF/PF,Jonathan Isaac (14190703),Jonathan Isaac,14190703,UTIL,7600,ORL@MIA 01/27/2020 07:30PM ET,ORL,30.70
SF/PF,Aaron Gordon (14190704),Aaron Gordon,14190704,UTIL,7200,ORL@MIA 01/27/2020 07:30PM ET,ORL,29.20
PG,D.J. Augustin (14190746),D.J. Augustin,14190746,CPT,7200,ORL@MIA 01/27/2020 07:30PM ET,ORL,22.11
PG,Goran Dragic (14190705),Goran Dragic,14190705,UTIL,7000,ORL@MIA 01/27/2020 07:30PM ET,MIA,28.54
PG/SG,Kendrick Nunn (14190706),Kendrick Nunn,14190706,UTIL,6800,ORL@MIA 01/27/2020 07:30PM ET,MIA,27.33
PG/SG,Markelle Fultz (14190707),Markelle Fultz,14190707,UTIL,6600,ORL@MIA 01/27/2020 07:30PM ET,ORL,25.23
PG/SF,Justise Winslow (14190747),Justise Winslow,14190747,CPT,6600,ORL@MIA 01/27/2020 07:30PM ET,MIA,27.25
SG/SF,Duncan Robinson (14190708),Duncan Robinson,14190708,UTIL,6400,ORL@MIA 01/27/2020 07:30PM ET,MIA,20.61
SF/PF,Derrick Jones Jr. (14190748),Derrick Jones Jr.,14190748,CPT,6300,ORL@MIA 01/27/2020 07:30PM ET,MIA,18.32
SG/SF,Terrence Ross (14190709),Terrence Ross,14190709,UTIL,6200,ORL@MIA 01/27/2020 07:30PM ET,ORL,22.13
SG,Tyler Herro (14190710),Tyler Herro,14190710,UTIL,6000,ORL@MIA 01/27/2020 07:30PM ET,MIA,23.33
PF/C,James Johnson (14190749),James Johnson,14190749,CPT,5700,ORL@MIA 01/27/2020 07:30PM ET,MIA,13.58
C,Kelly Olynyk (14190711),Kelly Olynyk,14190711,UTIL,5400,ORL@MIA 01/27/2020 07:30PM ET,MIA,17.48
PG,D.J. Augustin (14190712),D.J. Augustin,14190712,UTIL,4800,ORL@MIA 01/27/2020 07:30PM ET,ORL,22.11
SG/SF,Dion Waiters (14190750),Dion Waiters,14190750,CPT,4800,ORL@MIA 01/27/2020 07:30PM ET,MIA,25.5
PG/SF,Justise Winslow (14190713),Justise Winslow,14190713,UTIL,4400,ORL@MIA 01/27/2020 07:30PM ET,MIA,27.25
SF/PF,Derrick Jones Jr. (14190714),Derrick Jones Jr.,14190714,UTIL,4200,ORL@MIA 01/27/2020 07:30PM ET,MIA,18.32
PF,Meyers Leonard (14190751),Meyers Leonard,14190751,CPT,4200,ORL@MIA 01/27/2020 07:30PM ET,MIA,15.28
PF/C,James Johnson (14190715),James Johnson,14190715,UTIL,3800,ORL@MIA 01/27/2020 07:30PM ET,MIA,13.58
PG/SG,Michael Carter-Williams (14190752),Michael Carter-Williams,14190752,CPT,3600,ORL@MIA 01/27/2020 07:30PM ET,ORL,16
SG/SF,Dion Waiters (14190716),Dion Waiters,14190716,UTIL,3200,ORL@MIA 01/27/2020 07:30PM ET,MIA,25.5
PF/C,Khem Birch (14190753),Khem Birch,14190753,CPT,3000,ORL@MIA 01/27/2020 07:30PM ET,ORL,13.67
PF,Meyers Leonard (14190717),Meyers Leonard,14190717,UTIL,2800,ORL@MIA 01/27/2020 07:30PM ET,MIA,15.28
