Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (14161417),Joel Embiid,14161417,CPT,16200,PHI@BKN 01/20/2020 03:00PM ET,PHI,48.26
PG/SF,Ben Simmons (14161418),Ben Simmons,14161418,CPT,15600,PHI@BKN 01/20/2020 03:00PM ET,PHI,42.64
PG,Kyrie Irving (14161419),Kyrie Irving,14161419,CPT,14100,PHI@BKN 01/20/2020 03:00PM ET,BKN,48.03
SF/PF,Tobias Harris (14161420),Tobias Harris,14161420,CPT,13200,PHI@BKN 01/20/2020 03:00PM ET,PHI,35.28
PF/C,Al Horford (14161421),Al Horford,14161421,CPT,12600,PHI@BKN 01/20/2020 03:00PM ET,PHI,30.71
PG/SG,Spencer Dinwiddie (14161422),Spencer Dinwiddie,14161422,CPT,12000,PHI@BKN 01/20/2020 03:00PM ET,BKN,37.12
SG/SF,Josh Richardson (14161423),Josh Richardson,14161423,CPT,11100,PHI@BKN 01/20/2020 03:00PM ET,PHI,27.88
C,Joel Embiid (14161383),Joel Embiid,14161383,UTIL,10800,PHI@BKN 01/20/2020 03:00PM ET,PHI,48.26
C,Jarrett Allen (14161424),Jarrett Allen,14161424,CPT,10500,PHI@BKN 01/20/2020 03:00PM ET,BKN,29.57
PG/SF,Ben Simmons (14161384),Ben Simmons,14161384,UTIL,10400,PHI@BKN 01/20/2020 03:00PM ET,PHI,42.64
PF,Taurean Prince (14161425),Taurean Prince,14161425,CPT,9900,PHI@BKN 01/20/2020 03:00PM ET,BKN,26.52
PG,Kyrie Irving (14161385),Kyrie Irving,14161385,UTIL,9400,PHI@BKN 01/20/2020 03:00PM ET,BKN,48.03
SF/PF,Tobias Harris (14161386),Tobias Harris,14161386,UTIL,8800,PHI@BKN 01/20/2020 03:00PM ET,PHI,35.28
PG/SF,Caris LeVert (14161426),Caris LeVert,14161426,CPT,8700,PHI@BKN 01/20/2020 03:00PM ET,BKN,25.66
PF/C,Al Horford (14161387),Al Horford,14161387,UTIL,8400,PHI@BKN 01/20/2020 03:00PM ET,PHI,30.71
SG/SF,Matisse Thybulle (14161427),Matisse Thybulle,14161427,CPT,8100,PHI@BKN 01/20/2020 03:00PM ET,PHI,13.09
PG/SG,Spencer Dinwiddie (14161388),Spencer Dinwiddie,14161388,UTIL,8000,PHI@BKN 01/20/2020 03:00PM ET,BKN,37.12
PF,Mike Scott (14161428),Mike Scott,14161428,CPT,7500,PHI@BKN 01/20/2020 03:00PM ET,PHI,11.88
SG/SF,Josh Richardson (14161389),Josh Richardson,14161389,UTIL,7400,PHI@BKN 01/20/2020 03:00PM ET,PHI,27.88
C,Jarrett Allen (14161390),Jarrett Allen,14161390,UTIL,7000,PHI@BKN 01/20/2020 03:00PM ET,BKN,29.57
C,DeAndre Jordan (14161429),DeAndre Jordan,14161429,CPT,6900,PHI@BKN 01/20/2020 03:00PM ET,BKN,25.43
PF,Taurean Prince (14161391),Taurean Prince,14161391,UTIL,6600,PHI@BKN 01/20/2020 03:00PM ET,BKN,26.52
SG/SF,Joe Harris (14161430),Joe Harris,14161430,CPT,6600,PHI@BKN 01/20/2020 03:00PM ET,BKN,24.95
PF,Wilson Chandler (14161431),Wilson Chandler,14161431,CPT,6000,PHI@BKN 01/20/2020 03:00PM ET,BKN,15.86
PG/SF,Caris LeVert (14161392),Caris LeVert,14161392,UTIL,5800,PHI@BKN 01/20/2020 03:00PM ET,BKN,25.66
SG,Furkan Korkmaz (14161432),Furkan Korkmaz,14161432,CPT,5700,PHI@BKN 01/20/2020 03:00PM ET,PHI,14.58
SG/SF,Matisse Thybulle (14161393),Matisse Thybulle,14161393,UTIL,5400,PHI@BKN 01/20/2020 03:00PM ET,PHI,13.09
C,Nicolas Claxton (14161433),Nicolas Claxton,14161433,CPT,5400,PHI@BKN 01/20/2020 03:00PM ET,BKN,9.86
PF,Mike Scott (14161394),Mike Scott,14161394,UTIL,5000,PHI@BKN 01/20/2020 03:00PM ET,PHI,11.88
PG/SG,Garrett Temple (14161434),Garrett Temple,14161434,CPT,4800,PHI@BKN 01/20/2020 03:00PM ET,BKN,21.74
C,DeAndre Jordan (14161395),DeAndre Jordan,14161395,UTIL,4600,PHI@BKN 01/20/2020 03:00PM ET,BKN,25.43
C,Kyle O'Quinn (14161435),Kyle O'Quinn,14161435,CPT,4500,PHI@BKN 01/20/2020 03:00PM ET,PHI,12.22
SG/SF,Joe Harris (14161396),Joe Harris,14161396,UTIL,4400,PHI@BKN 01/20/2020 03:00PM ET,BKN,24.95
PF,Wilson Chandler (14161397),Wilson Chandler,14161397,UTIL,4000,PHI@BKN 01/20/2020 03:00PM ET,BKN,15.86
SF/PF,Rodions Kurucs (14161436),Rodions Kurucs,14161436,CPT,3900,PHI@BKN 01/20/2020 03:00PM ET,BKN,9.62
SG,Furkan Korkmaz (14161398),Furkan Korkmaz,14161398,UTIL,3800,PHI@BKN 01/20/2020 03:00PM ET,PHI,14.58
C,Nicolas Claxton (14161399),Nicolas Claxton,14161399,UTIL,3600,PHI@BKN 01/20/2020 03:00PM ET,BKN,9.86
SG/SF,Timothe Luwawu-Cabarrot (14161437),Timothe Luwawu-Cabarrot,14161437,CPT,3300,PHI@BKN 01/20/2020 03:00PM ET,BKN,9.97
PG/SG,Garrett Temple (14161400),Garrett Temple,14161400,UTIL,3200,PHI@BKN 01/20/2020 03:00PM ET,BKN,21.74
C,Kyle O'Quinn (14161401),Kyle O'Quinn,14161401,UTIL,3000,PHI@BKN 01/20/2020 03:00PM ET,PHI,12.22
PF,Dzanan Musa (14161438),Dzanan Musa,14161438,CPT,2700,PHI@BKN 01/20/2020 03:00PM ET,BKN,9.48
SF/PF,Rodions Kurucs (14161402),Rodions Kurucs,14161402,UTIL,2600,PHI@BKN 01/20/2020 03:00PM ET,BKN,9.62
C,Norvel Pelle (14161439),Norvel Pelle,14161439,CPT,2400,PHI@BKN 01/20/2020 03:00PM ET,PHI,10.64
SG/SF,Timothe Luwawu-Cabarrot (14161403),Timothe Luwawu-Cabarrot,14161403,UTIL,2200,PHI@BKN 01/20/2020 03:00PM ET,BKN,9.97
SF/PF,James Ennis III (14161440),James Ennis III,14161440,CPT,2100,PHI@BKN 01/20/2020 03:00PM ET,PHI,13.68
PF,Dzanan Musa (14161404),Dzanan Musa,14161404,UTIL,1800,PHI@BKN 01/20/2020 03:00PM ET,BKN,9.48
PG,Raul Neto (14161441),Raul Neto,14161441,CPT,1800,PHI@BKN 01/20/2020 03:00PM ET,PHI,8.24
C,Norvel Pelle (14161405),Norvel Pelle,14161405,UTIL,1600,PHI@BKN 01/20/2020 03:00PM ET,PHI,10.64
PG/SG,Theo Pinson (14161442),Theo Pinson,14161442,CPT,1500,PHI@BKN 01/20/2020 03:00PM ET,BKN,10.51
PG/SG,Shake Milton (14161443),Shake Milton,14161443,CPT,1500,PHI@BKN 01/20/2020 03:00PM ET,PHI,6.60
PG/SG,Chris Chiozza (14161444),Chris Chiozza,14161444,CPT,1500,PHI@BKN 01/20/2020 03:00PM ET,BKN,10.32
PG/SG,Trey Burke (14161445),Trey Burke,14161445,CPT,1500,PHI@BKN 01/20/2020 03:00PM ET,PHI,12.69
PF/C,Jonah Bolden (14161446),Jonah Bolden,14161446,CPT,1500,PHI@BKN 01/20/2020 03:00PM ET,PHI,1.75
PG,Jeremiah Martin (14161447),Jeremiah Martin,14161447,CPT,1500,PHI@BKN 01/20/2020 03:00PM ET,BKN,0
SG/SF,Zhaire Smith (14161448),Zhaire Smith,14161448,CPT,1500,PHI@BKN 01/20/2020 03:00PM ET,PHI,0
