Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (14118811),Luka Doncic,14118811,CPT,22200,PHI@DAL 01/11/2020 08:30PM ET,DAL,58.82
C,Joel Embiid (14118812),Joel Embiid,14118812,CPT,17100,PHI@DAL 01/11/2020 08:30PM ET,PHI,48.26
PG/SF,Ben Simmons (14118813),Ben Simmons,14118813,CPT,15000,PHI@DAL 01/11/2020 08:30PM ET,PHI,42.14
PG/SF,Luka Doncic (14118777),Luka Doncic,14118777,UTIL,14800,PHI@DAL 01/11/2020 08:30PM ET,DAL,58.82
PF/C,Kristaps Porzingis (14118814),Kristaps Porzingis,14118814,CPT,14100,PHI@DAL 01/11/2020 08:30PM ET,DAL,37.39
SF/PF,Tobias Harris (14118815),Tobias Harris,14118815,CPT,13800,PHI@DAL 01/11/2020 08:30PM ET,PHI,35.04
PF/C,Al Horford (14118816),Al Horford,14118816,CPT,12900,PHI@DAL 01/11/2020 08:30PM ET,PHI,30.36
SG/SF,Josh Richardson (14118817),Josh Richardson,14118817,CPT,11700,PHI@DAL 01/11/2020 08:30PM ET,PHI,28.21
C,Joel Embiid (14118778),Joel Embiid,14118778,UTIL,11400,PHI@DAL 01/11/2020 08:30PM ET,PHI,48.26
PF/C,Maxi Kleber (14118818),Maxi Kleber,14118818,CPT,10500,PHI@DAL 01/11/2020 08:30PM ET,DAL,19.83
PG/SF,Ben Simmons (14118779),Ben Simmons,14118779,UTIL,10000,PHI@DAL 01/11/2020 08:30PM ET,PHI,42.14
C,Dwight Powell (14118819),Dwight Powell,14118819,CPT,9600,PHI@DAL 01/11/2020 08:30PM ET,DAL,20.66
PF/C,Kristaps Porzingis (14118780),Kristaps Porzingis,14118780,UTIL,9400,PHI@DAL 01/11/2020 08:30PM ET,DAL,37.39
PG/SG,Delon Wright (14118820),Delon Wright,14118820,CPT,9300,PHI@DAL 01/11/2020 08:30PM ET,DAL,20.11
SF/PF,Tobias Harris (14118781),Tobias Harris,14118781,UTIL,9200,PHI@DAL 01/11/2020 08:30PM ET,PHI,35.04
