Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14075654),James Harden,14075654,CPT,18000,PHI@HOU 01/03/2020 08:00PM ET,HOU,62.72
C,Joel Embiid (14075655),Joel Embiid,14075655,CPT,15900,PHI@HOU 01/03/2020 08:00PM ET,PHI,48.63
PG,Russell Westbrook (14075656),Russell Westbrook,14075656,CPT,15600,PHI@HOU 01/03/2020 08:00PM ET,HOU,48.33
PG/SF,Ben Simmons (14075657),Ben Simmons,14075657,CPT,14100,PHI@HOU 01/03/2020 08:00PM ET,PHI,41.02
C,Clint Capela (14075658),Clint Capela,14075658,CPT,12900,PHI@HOU 01/03/2020 08:00PM ET,HOU,39.41
PG/SG,James Harden (14075620),James Harden,14075620,UTIL,12000,PHI@HOU 01/03/2020 08:00PM ET,HOU,62.72
SF/PF,Tobias Harris (14075659),Tobias Harris,14075659,CPT,11700,PHI@HOU 01/03/2020 08:00PM ET,PHI,35.21
SG/SF,Josh Richardson (14075660),Josh Richardson,14075660,CPT,10800,PHI@HOU 01/03/2020 08:00PM ET,PHI,27.76
C,Joel Embiid (14075621),Joel Embiid,14075621,UTIL,10600,PHI@HOU 01/03/2020 08:00PM ET,PHI,48.63
PG,Russell Westbrook (14075622),Russell Westbrook,14075622,UTIL,10400,PHI@HOU 01/03/2020 08:00PM ET,HOU,48.33
PF/C,Al Horford (14075661),Al Horford,14075661,CPT,10200,PHI@HOU 01/03/2020 08:00PM ET,PHI,30.52
PG/SF,Ben Simmons (14075623),Ben Simmons,14075623,UTIL,9400,PHI@HOU 01/03/2020 08:00PM ET,PHI,41.02
SF/PF,Danuel House Jr. (14075662),Danuel House Jr.,14075662,CPT,9000,PHI@HOU 01/03/2020 08:00PM ET,HOU,22.07
C,Clint Capela (14075624),Clint Capela,14075624,UTIL,8600,PHI@HOU 01/03/2020 08:00PM ET,HOU,39.41
SF/PF,Tobias Harris (14075625),Tobias Harris,14075625,UTIL,7800,PHI@HOU 01/03/2020 08:00PM ET,PHI,35.21
PF/C,Isaiah Hartenstein (14075663),Isaiah Hartenstein,14075663,CPT,7800,PHI@HOU 01/03/2020 08:00PM ET,HOU,15.38
SG/SF,Josh Richardson (14075626),Josh Richardson,14075626,UTIL,7200,PHI@HOU 01/03/2020 08:00PM ET,PHI,27.76
PF/C,Al Horford (14075627),Al Horford,14075627,UTIL,6800,PHI@HOU 01/03/2020 08:00PM ET,PHI,30.52
SF/PF,P.J. Tucker (14075664),P.J. Tucker,14075664,CPT,6600,PHI@HOU 01/03/2020 08:00PM ET,HOU,23.97
SF/PF,Danuel House Jr. (14075628),Danuel House Jr.,14075628,UTIL,6000,PHI@HOU 01/03/2020 08:00PM ET,HOU,22.07
PF/C,Kyle O'Quinn (14075665),Kyle O'Quinn,14075665,CPT,6000,PHI@HOU 01/03/2020 08:00PM ET,PHI,11.67
SG/SF,Eric Gordon (14075666),Eric Gordon,14075666,CPT,5700,PHI@HOU 01/03/2020 08:00PM ET,HOU,17.61
SG/SF,Ben McLemore (14075667),Ben McLemore,14075667,CPT,5400,PHI@HOU 01/03/2020 08:00PM ET,HOU,17.24
PF/C,Isaiah Hartenstein (14075629),Isaiah Hartenstein,14075629,UTIL,5200,PHI@HOU 01/03/2020 08:00PM ET,HOU,15.38
SG/SF,Furkan Korkmaz (14075668),Furkan Korkmaz,14075668,CPT,5100,PHI@HOU 01/03/2020 08:00PM ET,PHI,14.24
PG/SG,Austin Rivers (14075669),Austin Rivers,14075669,CPT,4800,PHI@HOU 01/03/2020 08:00PM ET,HOU,15.33
PG/SG,Trey Burke (14075670),Trey Burke,14075670,CPT,4500,PHI@HOU 01/03/2020 08:00PM ET,PHI,13.52
SF/PF,P.J. Tucker (14075630),P.J. Tucker,14075630,UTIL,4400,PHI@HOU 01/03/2020 08:00PM ET,HOU,23.97
PF/C,Kyle O'Quinn (14075631),Kyle O'Quinn,14075631,UTIL,4000,PHI@HOU 01/03/2020 08:00PM ET,PHI,11.67
PG/SG,Shake Milton (14075671),Shake Milton,14075671,CPT,3900,PHI@HOU 01/03/2020 08:00PM ET,PHI,6.89
SG/SF,Eric Gordon (14075632),Eric Gordon,14075632,UTIL,3800,PHI@HOU 01/03/2020 08:00PM ET,HOU,17.61
SG/SF,Ben McLemore (14075633),Ben McLemore,14075633,UTIL,3600,PHI@HOU 01/03/2020 08:00PM ET,HOU,17.24
SG/SF,Furkan Korkmaz (14075634),Furkan Korkmaz,14075634,UTIL,3400,PHI@HOU 01/03/2020 08:00PM ET,PHI,14.24
SF/PF,James Ennis III (14075672),James Ennis III,14075672,CPT,3300,PHI@HOU 01/03/2020 08:00PM ET,PHI,14.17
PG/SG,Austin Rivers (14075635),Austin Rivers,14075635,UTIL,3200,PHI@HOU 01/03/2020 08:00PM ET,HOU,15.33
PG/SG,Trey Burke (14075636),Trey Burke,14075636,UTIL,3000,PHI@HOU 01/03/2020 08:00PM ET,PHI,13.52
PF/C,Gary Clark (14075673),Gary Clark,14075673,CPT,3000,PHI@HOU 01/03/2020 08:00PM ET,HOU,9.11
PG,Chris Clemons (14075674),Chris Clemons,14075674,CPT,2700,PHI@HOU 01/03/2020 08:00PM ET,HOU,8.46
PG/SG,Shake Milton (14075637),Shake Milton,14075637,UTIL,2600,PHI@HOU 01/03/2020 08:00PM ET,PHI,6.89
SG/SF,Matisse Thybulle (14075675),Matisse Thybulle,14075675,CPT,2400,PHI@HOU 01/03/2020 08:00PM ET,PHI,12.4
SF/PF,James Ennis III (14075638),James Ennis III,14075638,UTIL,2200,PHI@HOU 01/03/2020 08:00PM ET,PHI,14.17
C,Tyson Chandler (14075676),Tyson Chandler,14075676,CPT,2100,PHI@HOU 01/03/2020 08:00PM ET,HOU,6.53
PF/C,Gary Clark (14075639),Gary Clark,14075639,UTIL,2000,PHI@HOU 01/03/2020 08:00PM ET,HOU,9.11
PG,Chris Clemons (14075640),Chris Clemons,14075640,UTIL,1800,PHI@HOU 01/03/2020 08:00PM ET,HOU,8.46
C,Norvel Pelle (14075677),Norvel Pelle,14075677,CPT,1800,PHI@HOU 01/03/2020 08:00PM ET,PHI,8.75
PG,Raul Neto (14075678),Raul Neto,14075678,CPT,1800,PHI@HOU 01/03/2020 08:00PM ET,PHI,8.47
SG/SF,Matisse Thybulle (14075641),Matisse Thybulle,14075641,UTIL,1600,PHI@HOU 01/03/2020 08:00PM ET,PHI,12.4
SF/PF,Mike Scott (14075679),Mike Scott,14075679,CPT,1500,PHI@HOU 01/03/2020 08:00PM ET,PHI,12.08
SF/PF,Thabo Sefolosha (14075680),Thabo Sefolosha,14075680,CPT,1500,PHI@HOU 01/03/2020 08:00PM ET,HOU,6.48
PF/C,Jonah Bolden (14075681),Jonah Bolden,14075681,CPT,1500,PHI@HOU 01/03/2020 08:00PM ET,PHI,1.75
SG/SF,Zhaire Smith (14075682),Zhaire Smith,14075682,CPT,1500,PHI@HOU 01/03/2020 08:00PM ET,PHI,0
SF/PF,William Howard (14075683),William Howard,14075683,CPT,1500,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
SG/SF,Marial Shayok (14075684),Marial Shayok,14075684,CPT,1500,PHI@HOU 01/03/2020 08:00PM ET,PHI,0
C,Nene Hilario (14075685),Nene Hilario,14075685,CPT,1500,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
SG/SF,Gerald Green (14075686),Gerald Green,14075686,CPT,1500,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
PG/SG,Michael Frazier (14075687),Michael Frazier,14075687,CPT,1500,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
C,Tyson Chandler (14075642),Tyson Chandler,14075642,UTIL,1400,PHI@HOU 01/03/2020 08:00PM ET,HOU,6.53
C,Norvel Pelle (14075643),Norvel Pelle,14075643,UTIL,1200,PHI@HOU 01/03/2020 08:00PM ET,PHI,8.75
PG,Raul Neto (14075644),Raul Neto,14075644,UTIL,1200,PHI@HOU 01/03/2020 08:00PM ET,PHI,8.47
SF/PF,Mike Scott (14075645),Mike Scott,14075645,UTIL,1000,PHI@HOU 01/03/2020 08:00PM ET,PHI,12.08
SF/PF,Thabo Sefolosha (14075646),Thabo Sefolosha,14075646,UTIL,1000,PHI@HOU 01/03/2020 08:00PM ET,HOU,6.48
PF/C,Jonah Bolden (14075647),Jonah Bolden,14075647,UTIL,1000,PHI@HOU 01/03/2020 08:00PM ET,PHI,1.75
SG/SF,Zhaire Smith (14075648),Zhaire Smith,14075648,UTIL,1000,PHI@HOU 01/03/2020 08:00PM ET,PHI,0
SF/PF,William Howard (14075649),William Howard,14075649,UTIL,1000,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
SG/SF,Marial Shayok (14075650),Marial Shayok,14075650,UTIL,1000,PHI@HOU 01/03/2020 08:00PM ET,PHI,0
C,Nene Hilario (14075651),Nene Hilario,14075651,UTIL,1000,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
SG/SF,Gerald Green (14075652),Gerald Green,14075652,UTIL,1000,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
PG/SG,Michael Frazier (14075653),Michael Frazier,14075653,UTIL,1000,PHI@HOU 01/03/2020 08:00PM ET,HOU,0
