Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (14125761),Joel Embiid,14125761,CPT,14700,PHI@IND 01/13/2020 07:00PM ET,PHI,48.26
PF/C,Domantas Sabonis (14125762),Domantas Sabonis,14125762,CPT,14100,PHI@IND 01/13/2020 07:00PM ET,IND,43.73
PG/SF,Ben Simmons (14125763),Ben Simmons,14125763,CPT,13800,PHI@IND 01/13/2020 07:00PM ET,PHI,42.16
C,Myles Turner (14125764),Myles Turner,14125764,CPT,12600,PHI@IND 01/13/2020 07:00PM ET,IND,27.94
PF/C,Al Horford (14125765),Al Horford,14125765,CPT,11700,PHI@IND 01/13/2020 07:00PM ET,PHI,30.57
SF/PF,Tobias Harris (14125767),Tobias Harris,14125767,CPT,11400,PHI@IND 01/13/2020 07:00PM ET,PHI,35.08
PG/SG,Victor Oladipo (14125766),Victor Oladipo,14125766,CPT,11100,PHI@IND 01/13/2020 07:00PM ET,IND,0
SG/SF,Josh Richardson (14125768),Josh Richardson,14125768,CPT,10800,PHI@IND 01/13/2020 07:00PM ET,PHI,27.89
PG/SG,Malcolm Brogdon (14125769),Malcolm Brogdon,14125769,CPT,10500,PHI@IND 01/13/2020 07:00PM ET,IND,36.06
SF/PF,T.J. Warren (14125770),T.J. Warren,14125770,CPT,9900,PHI@IND 01/13/2020 07:00PM ET,IND,27.49
C,Joel Embiid (14125727),Joel Embiid,14125727,UTIL,9800,PHI@IND 01/13/2020 07:00PM ET,PHI,48.26
PF/C,Domantas Sabonis (14125728),Domantas Sabonis,14125728,UTIL,9400,PHI@IND 01/13/2020 07:00PM ET,IND,43.73
PG/SF,Ben Simmons (14125729),Ben Simmons,14125729,UTIL,9200,PHI@IND 01/13/2020 07:00PM ET,PHI,42.16
PG/SG,Aaron Holiday (14125771),Aaron Holiday,14125771,CPT,9000,PHI@IND 01/13/2020 07:00PM ET,IND,21.75
C,Myles Turner (14125730),Myles Turner,14125730,UTIL,8400,PHI@IND 01/13/2020 07:00PM ET,IND,27.94
SG/SF,Jeremy Lamb (14125772),Jeremy Lamb,14125772,CPT,8100,PHI@IND 01/13/2020 07:00PM ET,IND,26.90
PF/C,Al Horford (14125731),Al Horford,14125731,UTIL,7800,PHI@IND 01/13/2020 07:00PM ET,PHI,30.57
