Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (14049687),Joel Embiid,14049687,CPT,16800,PHI@MIA 12/28/2019 08:00PM ET,PHI,48.41
PG/SF,Ben Simmons (14049688),Ben Simmons,14049688,CPT,15300,PHI@MIA 12/28/2019 08:00PM ET,PHI,40.94
C,Bam Adebayo (14049689),Bam Adebayo,14049689,CPT,15000,PHI@MIA 12/28/2019 08:00PM ET,MIA,41.31
SG/SF,Jimmy Butler (14049690),Jimmy Butler,14049690,CPT,14400,PHI@MIA 12/28/2019 08:00PM ET,MIA,43.48
SF/PF,Tobias Harris (14049691),Tobias Harris,14049691,CPT,12600,PHI@MIA 12/28/2019 08:00PM ET,PHI,36.19
PF/C,Al Horford (14049692),Al Horford,14049692,CPT,11400,PHI@MIA 12/28/2019 08:00PM ET,PHI,31.61
C,Joel Embiid (14049654),Joel Embiid,14049654,UTIL,11200,PHI@MIA 12/28/2019 08:00PM ET,PHI,48.41
SG/SF,Josh Richardson (14049693),Josh Richardson,14049693,CPT,10800,PHI@MIA 12/28/2019 08:00PM ET,PHI,27.42
PG/SF,Ben Simmons (14049655),Ben Simmons,14049655,UTIL,10200,PHI@MIA 12/28/2019 08:00PM ET,PHI,40.94
PG/SF,Justise Winslow (14049694),Justise Winslow,14049694,CPT,10200,PHI@MIA 12/28/2019 08:00PM ET,MIA,29.22
C,Bam Adebayo (14049656),Bam Adebayo,14049656,UTIL,10000,PHI@MIA 12/28/2019 08:00PM ET,MIA,41.31
PG,Goran Dragic (14049695),Goran Dragic,14049695,CPT,9900,PHI@MIA 12/28/2019 08:00PM ET,MIA,29.14
SG/SF,Jimmy Butler (14049657),Jimmy Butler,14049657,UTIL,9600,PHI@MIA 12/28/2019 08:00PM ET,MIA,43.48
PG/SG,Kendrick Nunn (14049696),Kendrick Nunn,14049696,CPT,9600,PHI@MIA 12/28/2019 08:00PM ET,MIA,27.56
SF/PF,Tobias Harris (14049658),Tobias Harris,14049658,UTIL,8400,PHI@MIA 12/28/2019 08:00PM ET,PHI,36.19
SG,Tyler Herro (14049697),Tyler Herro,14049697,CPT,8400,PHI@MIA 12/28/2019 08:00PM ET,MIA,24.17
PF/C,Al Horford (14049659),Al Horford,14049659,UTIL,7600,PHI@MIA 12/28/2019 08:00PM ET,PHI,31.61
SF/PF,Derrick Jones Jr. (14049698),Derrick Jones Jr.,14049698,CPT,7500,PHI@MIA 12/28/2019 08:00PM ET,MIA,16.81
SG/SF,Josh Richardson (14049660),Josh Richardson,14049660,UTIL,7200,PHI@MIA 12/28/2019 08:00PM ET,PHI,27.42
SG/SF,Furkan Korkmaz (14049699),Furkan Korkmaz,14049699,CPT,6900,PHI@MIA 12/28/2019 08:00PM ET,PHI,14.30
PG/SF,Justise Winslow (14049661),Justise Winslow,14049661,UTIL,6800,PHI@MIA 12/28/2019 08:00PM ET,MIA,29.22
PG,Goran Dragic (14049662),Goran Dragic,14049662,UTIL,6600,PHI@MIA 12/28/2019 08:00PM ET,MIA,29.14
PG/SG,Kendrick Nunn (14049663),Kendrick Nunn,14049663,UTIL,6400,PHI@MIA 12/28/2019 08:00PM ET,MIA,27.56
SG/SF,Duncan Robinson (14049700),Duncan Robinson,14049700,CPT,6300,PHI@MIA 12/28/2019 08:00PM ET,MIA,20.43
PF/C,Meyers Leonard (14049701),Meyers Leonard,14049701,CPT,6000,PHI@MIA 12/28/2019 08:00PM ET,MIA,14.31
SG,Tyler Herro (14049664),Tyler Herro,14049664,UTIL,5600,PHI@MIA 12/28/2019 08:00PM ET,MIA,24.17
SF/PF,Derrick Jones Jr. (14049665),Derrick Jones Jr.,14049665,UTIL,5000,PHI@MIA 12/28/2019 08:00PM ET,MIA,16.81
SG/SF,Furkan Korkmaz (14049666),Furkan Korkmaz,14049666,UTIL,4600,PHI@MIA 12/28/2019 08:00PM ET,PHI,14.30
PF/C,Kelly Olynyk (14049702),Kelly Olynyk,14049702,CPT,4500,PHI@MIA 12/28/2019 08:00PM ET,MIA,19.14
SG/SF,Duncan Robinson (14049667),Duncan Robinson,14049667,UTIL,4200,PHI@MIA 12/28/2019 08:00PM ET,MIA,20.43
SG/SF,Dion Waiters (14049703),Dion Waiters,14049703,CPT,4200,PHI@MIA 12/28/2019 08:00PM ET,MIA,0
PF/C,Meyers Leonard (14049668),Meyers Leonard,14049668,UTIL,4000,PHI@MIA 12/28/2019 08:00PM ET,MIA,14.31
PG/SG,Trey Burke (14049704),Trey Burke,14049704,CPT,3300,PHI@MIA 12/28/2019 08:00PM ET,PHI,13.08
PF/C,Kelly Olynyk (14049669),Kelly Olynyk,14049669,UTIL,3000,PHI@MIA 12/28/2019 08:00PM ET,MIA,19.14
SF/PF,James Ennis III (14049705),James Ennis III,14049705,CPT,3000,PHI@MIA 12/28/2019 08:00PM ET,PHI,14.07
SG/SF,Dion Waiters (14049670),Dion Waiters,14049670,UTIL,2800,PHI@MIA 12/28/2019 08:00PM ET,MIA,0
SG/SF,Matisse Thybulle (14049706),Matisse Thybulle,14049706,CPT,2400,PHI@MIA 12/28/2019 08:00PM ET,PHI,12.4
PG/SG,Trey Burke (14049671),Trey Burke,14049671,UTIL,2200,PHI@MIA 12/28/2019 08:00PM ET,PHI,13.08
C,Chris Silva (14049707),Chris Silva,14049707,CPT,2100,PHI@MIA 12/28/2019 08:00PM ET,MIA,10.23
SF/PF,James Ennis III (14049672),James Ennis III,14049672,UTIL,2000,PHI@MIA 12/28/2019 08:00PM ET,PHI,14.07
SF/PF,Mike Scott (14049708),Mike Scott,14049708,CPT,1800,PHI@MIA 12/28/2019 08:00PM ET,PHI,12.32
SG/SF,Matisse Thybulle (14049673),Matisse Thybulle,14049673,UTIL,1600,PHI@MIA 12/28/2019 08:00PM ET,PHI,12.4
PG/SG,Shake Milton (14049709),Shake Milton,14049709,CPT,1500,PHI@MIA 12/28/2019 08:00PM ET,PHI,5.55
SF/PF,James Johnson (14049710),James Johnson,14049710,CPT,1500,PHI@MIA 12/28/2019 08:00PM ET,MIA,8.12
PG,Raul Neto (14049711),Raul Neto,14049711,CPT,1500,PHI@MIA 12/28/2019 08:00PM ET,PHI,8.46
