Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Joel Embiid (14169327),Joel Embiid,14169327,CPT,17100,PHI@TOR 01/22/2020 07:00PM ET,PHI,48.26
PG/SF,Ben Simmons (14169328),Ben Simmons,14169328,CPT,16800,PHI@TOR 01/22/2020 07:00PM ET,PHI,43.60
SF/PF,Tobias Harris (14169329),Tobias Harris,14169329,CPT,13500,PHI@TOR 01/22/2020 07:00PM ET,PHI,35.12
PF/C,Pascal Siakam (14169330),Pascal Siakam,14169330,CPT,12900,PHI@TOR 01/22/2020 07:00PM ET,TOR,42.39
PF/C,Al Horford (14169331),Al Horford,14169331,CPT,12600,PHI@TOR 01/22/2020 07:00PM ET,PHI,30.78
PG/SG,Fred VanVleet (14169332),Fred VanVleet,14169332,CPT,12300,PHI@TOR 01/22/2020 07:00PM ET,TOR,38.31
PG,Kyle Lowry (14169333),Kyle Lowry,14169333,CPT,12000,PHI@TOR 01/22/2020 07:00PM ET,TOR,40.90
C,Joel Embiid (14169293),Joel Embiid,14169293,UTIL,11400,PHI@TOR 01/22/2020 07:00PM ET,PHI,48.26
PG/SF,Ben Simmons (14169294),Ben Simmons,14169294,UTIL,11200,PHI@TOR 01/22/2020 07:00PM ET,PHI,43.60
SG/SF,Josh Richardson (14169334),Josh Richardson,14169334,CPT,11100,PHI@TOR 01/22/2020 07:00PM ET,PHI,27.82
SG/SF,Norman Powell (14169335),Norman Powell,14169335,CPT,10500,PHI@TOR 01/22/2020 07:00PM ET,TOR,26.57
C,Serge Ibaka (14169336),Serge Ibaka,14169336,CPT,9300,PHI@TOR 01/22/2020 07:00PM ET,TOR,29.78
SF/PF,Tobias Harris (14169295),Tobias Harris,14169295,UTIL,9000,PHI@TOR 01/22/2020 07:00PM ET,PHI,35.12
C,Marc Gasol (14169337),Marc Gasol,14169337,CPT,8700,PHI@TOR 01/22/2020 07:00PM ET,TOR,24.63
PF/C,Pascal Siakam (14169296),Pascal Siakam,14169296,UTIL,8600,PHI@TOR 01/22/2020 07:00PM ET,TOR,42.39
PF/C,Al Horford (14169297),Al Horford,14169297,UTIL,8400,PHI@TOR 01/22/2020 07:00PM ET,PHI,30.78
PG/SG,Fred VanVleet (14169298),Fred VanVleet,14169298,UTIL,8200,PHI@TOR 01/22/2020 07:00PM ET,TOR,38.31
SG/SF,Matisse Thybulle (14169338),Matisse Thybulle,14169338,CPT,8100,PHI@TOR 01/22/2020 07:00PM ET,PHI,13.32
PG,Kyle Lowry (14169299),Kyle Lowry,14169299,UTIL,8000,PHI@TOR 01/22/2020 07:00PM ET,TOR,40.90
SG/SF,Josh Richardson (14169300),Josh Richardson,14169300,UTIL,7400,PHI@TOR 01/22/2020 07:00PM ET,PHI,27.82
SF/PF,OG Anunoby (14169339),OG Anunoby,14169339,CPT,7200,PHI@TOR 01/22/2020 07:00PM ET,TOR,24.32
SG/SF,Norman Powell (14169301),Norman Powell,14169301,UTIL,7000,PHI@TOR 01/22/2020 07:00PM ET,TOR,26.57
PG/SG,Terence Davis (14169340),Terence Davis,14169340,CPT,6600,PHI@TOR 01/22/2020 07:00PM ET,TOR,16.19
SF/PF,Rondae Hollis-Jefferson (14169341),Rondae Hollis-Jefferson,14169341,CPT,6300,PHI@TOR 01/22/2020 07:00PM ET,TOR,19.72
C,Serge Ibaka (14169302),Serge Ibaka,14169302,UTIL,6200,PHI@TOR 01/22/2020 07:00PM ET,TOR,29.78
PF,Mike Scott (14169342),Mike Scott,14169342,CPT,6000,PHI@TOR 01/22/2020 07:00PM ET,PHI,12.02
C,Marc Gasol (14169303),Marc Gasol,14169303,UTIL,5800,PHI@TOR 01/22/2020 07:00PM ET,TOR,24.63
SG,Furkan Korkmaz (14169343),Furkan Korkmaz,14169343,CPT,5700,PHI@TOR 01/22/2020 07:00PM ET,PHI,14.66
SG/SF,Matisse Thybulle (14169304),Matisse Thybulle,14169304,UTIL,5400,PHI@TOR 01/22/2020 07:00PM ET,PHI,13.32
SF/PF,OG Anunoby (14169305),OG Anunoby,14169305,UTIL,4800,PHI@TOR 01/22/2020 07:00PM ET,TOR,24.32
C,Kyle O'Quinn (14169344),Kyle O'Quinn,14169344,CPT,4500,PHI@TOR 01/22/2020 07:00PM ET,PHI,11.94
PG/SG,Terence Davis (14169306),Terence Davis,14169306,UTIL,4400,PHI@TOR 01/22/2020 07:00PM ET,TOR,16.19
SF/PF,Rondae Hollis-Jefferson (14169307),Rondae Hollis-Jefferson,14169307,UTIL,4200,PHI@TOR 01/22/2020 07:00PM ET,TOR,19.72
PF,Mike Scott (14169308),Mike Scott,14169308,UTIL,4000,PHI@TOR 01/22/2020 07:00PM ET,PHI,12.02
SG,Furkan Korkmaz (14169309),Furkan Korkmaz,14169309,UTIL,3800,PHI@TOR 01/22/2020 07:00PM ET,PHI,14.66
PG,Raul Neto (14169345),Raul Neto,14169345,CPT,3300,PHI@TOR 01/22/2020 07:00PM ET,PHI,8.35
C,Kyle O'Quinn (14169310),Kyle O'Quinn,14169310,UTIL,3000,PHI@TOR 01/22/2020 07:00PM ET,PHI,11.94
PG/SF,Patrick McCaw (14169346),Patrick McCaw,14169346,CPT,3000,PHI@TOR 01/22/2020 07:00PM ET,TOR,15.08
PG,Raul Neto (14169311),Raul Neto,14169311,UTIL,2200,PHI@TOR 01/22/2020 07:00PM ET,PHI,8.35
C,Norvel Pelle (14169347),Norvel Pelle,14169347,CPT,2100,PHI@TOR 01/22/2020 07:00PM ET,PHI,10.64
PG/SF,Patrick McCaw (14169312),Patrick McCaw,14169312,UTIL,2000,PHI@TOR 01/22/2020 07:00PM ET,TOR,15.08
SG,Paul Watson (14169348),Paul Watson,14169348,CPT,1800,PHI@TOR 01/22/2020 07:00PM ET,TOR,4.5
SF/PF,James Ennis III (14169349),James Ennis III,14169349,CPT,1800,PHI@TOR 01/22/2020 07:00PM ET,PHI,13.52
C,Chris Boucher (14169350),Chris Boucher,14169350,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,TOR,14.91
PG/SG,Shake Milton (14169351),Shake Milton,14169351,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,PHI,6.60
PF/C,Jonah Bolden (14169352),Jonah Bolden,14169352,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,PHI,2.08
SG/SF,Malcolm Miller (14169353),Malcolm Miller,14169353,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,TOR,2.98
SF/PF,Stanley Johnson (14169354),Stanley Johnson,14169354,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,TOR,3.52
SG,Matt Thomas (14169355),Matt Thomas,14169355,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,TOR,8.02
PF/C,Dewan Hernandez (14169356),Dewan Hernandez,14169356,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,TOR,3.56
PG/SG,Trey Burke (14169357),Trey Burke,14169357,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,PHI,12.69
SF,Oshae Brissett (14169358),Oshae Brissett,14169358,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,TOR,5.27
SG/SF,Zhaire Smith (14169359),Zhaire Smith,14169359,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,PHI,0
SG,Marial Shayok (14169360),Marial Shayok,14169360,CPT,1500,PHI@TOR 01/22/2020 07:00PM ET,PHI,0
C,Norvel Pelle (14169313),Norvel Pelle,14169313,UTIL,1400,PHI@TOR 01/22/2020 07:00PM ET,PHI,10.64
SG,Paul Watson (14169314),Paul Watson,14169314,UTIL,1200,PHI@TOR 01/22/2020 07:00PM ET,TOR,4.5
SF/PF,James Ennis III (14169315),James Ennis III,14169315,UTIL,1200,PHI@TOR 01/22/2020 07:00PM ET,PHI,13.52
C,Chris Boucher (14169316),Chris Boucher,14169316,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,TOR,14.91
PG/SG,Shake Milton (14169317),Shake Milton,14169317,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,PHI,6.60
PF/C,Jonah Bolden (14169318),Jonah Bolden,14169318,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,PHI,2.08
SG/SF,Malcolm Miller (14169319),Malcolm Miller,14169319,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,TOR,2.98
SF/PF,Stanley Johnson (14169320),Stanley Johnson,14169320,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,TOR,3.52
SG,Matt Thomas (14169321),Matt Thomas,14169321,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,TOR,8.02
PF/C,Dewan Hernandez (14169322),Dewan Hernandez,14169322,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,TOR,3.56
PG/SG,Trey Burke (14169323),Trey Burke,14169323,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,PHI,12.69
SF,Oshae Brissett (14169324),Oshae Brissett,14169324,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,TOR,5.27
SG/SF,Zhaire Smith (14169325),Zhaire Smith,14169325,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,PHI,0
SG,Marial Shayok (14169326),Marial Shayok,14169326,UTIL,1000,PHI@TOR 01/22/2020 07:00PM ET,PHI,0
