Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (14197175),Luka Doncic,14197175,CPT,21000,PHO@DAL 01/28/2020 08:30PM ET,DAL,57.87
PG/SG,Devin Booker (14197176),Devin Booker,14197176,CPT,15300,PHO@DAL 01/28/2020 08:30PM ET,PHO,42.77
PF/C,Deandre Ayton (14197177),Deandre Ayton,14197177,CPT,14700,PHO@DAL 01/28/2020 08:30PM ET,PHO,39.52
PG,Luka Doncic (14197141),Luka Doncic,14197141,UTIL,14000,PHO@DAL 01/28/2020 08:30PM ET,DAL,57.87
PF/C,Kristaps Porzingis (14197178),Kristaps Porzingis,14197178,CPT,13200,PHO@DAL 01/28/2020 08:30PM ET,DAL,36.59
SF/PF,Kelly Oubre Jr. (14197179),Kelly Oubre Jr.,14197179,CPT,12900,PHO@DAL 01/28/2020 08:30PM ET,PHO,33.61
PG,Ricky Rubio (14197180),Ricky Rubio,14197180,CPT,11700,PHO@DAL 01/28/2020 08:30PM ET,PHO,35.14
SG/SF,Tim Hardaway Jr. (14197181),Tim Hardaway Jr.,14197181,CPT,10500,PHO@DAL 01/28/2020 08:30PM ET,DAL,22.69
PG/SG,Devin Booker (14197142),Devin Booker,14197142,UTIL,10200,PHO@DAL 01/28/2020 08:30PM ET,PHO,42.77
PF/C,Deandre Ayton (14197143),Deandre Ayton,14197143,UTIL,9800,PHO@DAL 01/28/2020 08:30PM ET,PHO,39.52
C,Willie Cauley-Stein (14197182),Willie Cauley-Stein,14197182,CPT,9300,PHO@DAL 01/28/2020 08:30PM ET,DAL,22.13
PF/C,Kristaps Porzingis (14197144),Kristaps Porzingis,14197144,UTIL,8800,PHO@DAL 01/28/2020 08:30PM ET,DAL,36.59
SF/PF,Kelly Oubre Jr. (14197145),Kelly Oubre Jr.,14197145,UTIL,8600,PHO@DAL 01/28/2020 08:30PM ET,PHO,33.61
SF/PF,Dorian Finney-Smith (14197183),Dorian Finney-Smith,14197183,CPT,8400,PHO@DAL 01/28/2020 08:30PM ET,DAL,20.81
PG,Ricky Rubio (14197146),Ricky Rubio,14197146,UTIL,7800,PHO@DAL 01/28/2020 08:30PM ET,PHO,35.14
SG,Seth Curry (14197184),Seth Curry,14197184,CPT,7800,PHO@DAL 01/28/2020 08:30PM ET,DAL,17.89
PF/C,Maxi Kleber (14197185),Maxi Kleber,14197185,CPT,7200,PHO@DAL 01/28/2020 08:30PM ET,DAL,20.4
SG/SF,Tim Hardaway Jr. (14197147),Tim Hardaway Jr.,14197147,UTIL,7000,PHO@DAL 01/28/2020 08:30PM ET,DAL,22.69
