Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Stephen Curry (14037587),Stephen Curry,14037587,CPT,14400,PHO@GS 12/27/2019 10:30PM ET,GS,39.38
PG/SG,D'Angelo Russell (14037588),D'Angelo Russell,14037588,CPT,14100,PHO@GS 12/27/2019 10:30PM ET,GS,37.94
C,Deandre Ayton (14037589),Deandre Ayton,14037589,CPT,13200,PHO@GS 12/27/2019 10:30PM ET,PHO,41.62
PG,Ricky Rubio (14037590),Ricky Rubio,14037590,CPT,12600,PHO@GS 12/27/2019 10:30PM ET,PHO,37.07
PG/SG,Devin Booker (14037591),Devin Booker,14037591,CPT,12300,PHO@GS 12/27/2019 10:30PM ET,PHO,39.69
PG/SF,Draymond Green (14037592),Draymond Green,14037592,CPT,11700,PHO@GS 12/27/2019 10:30PM ET,GS,30.08
SF/PF,Kelly Oubre Jr. (14037593),Kelly Oubre Jr.,14037593,CPT,11400,PHO@GS 12/27/2019 10:30PM ET,PHO,31.77
PG/SG,Alec Burks (14037594),Alec Burks,14037594,CPT,10500,PHO@GS 12/27/2019 10:30PM ET,GS,29.10
SG/SF,Damion Lee (14037595),Damion Lee,14037595,CPT,9900,PHO@GS 12/27/2019 10:30PM ET,GS,22.65
PG,Stephen Curry (14037555),Stephen Curry,14037555,UTIL,9600,PHO@GS 12/27/2019 10:30PM ET,GS,39.38
PG/SG,D'Angelo Russell (14037556),D'Angelo Russell,14037556,UTIL,9400,PHO@GS 12/27/2019 10:30PM ET,GS,37.94
SF/PF,Dario Saric (14037596),Dario Saric,14037596,CPT,9300,PHO@GS 12/27/2019 10:30PM ET,PHO,26.59
C,Deandre Ayton (14037557),Deandre Ayton,14037557,UTIL,8800,PHO@GS 12/27/2019 10:30PM ET,PHO,41.62
PG,Ricky Rubio (14037558),Ricky Rubio,14037558,UTIL,8400,PHO@GS 12/27/2019 10:30PM ET,PHO,37.07
C,Aron Baynes (14037597),Aron Baynes,14037597,CPT,8400,PHO@GS 12/27/2019 10:30PM ET,PHO,25.31
PG/SG,Devin Booker (14037559),Devin Booker,14037559,UTIL,8200,PHO@GS 12/27/2019 10:30PM ET,PHO,39.69
PG/SF,Draymond Green (14037560),Draymond Green,14037560,UTIL,7800,PHO@GS 12/27/2019 10:30PM ET,GS,30.08
SF/PF,Kelly Oubre Jr. (14037561),Kelly Oubre Jr.,14037561,UTIL,7600,PHO@GS 12/27/2019 10:30PM ET,PHO,31.77
C,Willie Cauley-Stein (14037598),Willie Cauley-Stein,14037598,CPT,7500,PHO@GS 12/27/2019 10:30PM ET,GS,23.40
SG/SF,Glenn Robinson III (14037599),Glenn Robinson III,14037599,CPT,7200,PHO@GS 12/27/2019 10:30PM ET,GS,22.64
PG/SG,Alec Burks (14037562),Alec Burks,14037562,UTIL,7000,PHO@GS 12/27/2019 10:30PM ET,GS,29.10
SG/SF,Damion Lee (14037563),Damion Lee,14037563,UTIL,6600,PHO@GS 12/27/2019 10:30PM ET,GS,22.65
PF/C,Frank Kaminsky (14037600),Frank Kaminsky,14037600,CPT,6300,PHO@GS 12/27/2019 10:30PM ET,PHO,23.12
SF/PF,Dario Saric (14037564),Dario Saric,14037564,UTIL,6200,PHO@GS 12/27/2019 10:30PM ET,PHO,26.59
SG/SF,Mikal Bridges (14037601),Mikal Bridges,14037601,CPT,6000,PHO@GS 12/27/2019 10:30PM ET,PHO,16.83
