Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Kawhi Leonard (13978647),Kawhi Leonard,13978647,CPT,15000,PHO@LAC 12/17/2019 10:30PM ET,LAC,47.92
SF/PF,Paul George (13978648),Paul George,13978648,CPT,14400,PHO@LAC 12/17/2019 10:30PM ET,LAC,42.10
PG/SG,Devin Booker (13978649),Devin Booker,13978649,CPT,13500,PHO@LAC 12/17/2019 10:30PM ET,PHO,40.90
PG,Ricky Rubio (13978650),Ricky Rubio,13978650,CPT,12300,PHO@LAC 12/17/2019 10:30PM ET,PHO,37.32
C,Deandre Ayton (13978651),Deandre Ayton,13978651,CPT,12000,PHO@LAC 12/17/2019 10:30PM ET,PHO,43.25
PF/C,Montrezl Harrell (13978652),Montrezl Harrell,13978652,CPT,11700,PHO@LAC 12/17/2019 10:30PM ET,LAC,34.87
PG/SG,Lou Williams (13978653),Lou Williams,13978653,CPT,11400,PHO@LAC 12/17/2019 10:30PM ET,LAC,34.14
SF/PF,Kelly Oubre Jr. (13978654),Kelly Oubre Jr.,13978654,CPT,11100,PHO@LAC 12/17/2019 10:30PM ET,PHO,31.96
SF/PF,Dario Saric (13978655),Dario Saric,13978655,CPT,10500,PHO@LAC 12/17/2019 10:30PM ET,PHO,27.15
SG/SF,Kawhi Leonard (13978614),Kawhi Leonard,13978614,UTIL,10000,PHO@LAC 12/17/2019 10:30PM ET,LAC,47.92
SF/PF,Paul George (13978615),Paul George,13978615,UTIL,9600,PHO@LAC 12/17/2019 10:30PM ET,LAC,42.10
PF/C,Frank Kaminsky (13978656),Frank Kaminsky,13978656,CPT,9600,PHO@LAC 12/17/2019 10:30PM ET,PHO,23.71
PG/SG,Devin Booker (13978616),Devin Booker,13978616,UTIL,9000,PHO@LAC 12/17/2019 10:30PM ET,PHO,40.90
PG/SG,Patrick Beverley (13978657),Patrick Beverley,13978657,CPT,9000,PHO@LAC 12/17/2019 10:30PM ET,LAC,24.62
PG,Ricky Rubio (13978617),Ricky Rubio,13978617,UTIL,8200,PHO@LAC 12/17/2019 10:30PM ET,PHO,37.32
C,Deandre Ayton (13978618),Deandre Ayton,13978618,UTIL,8000,PHO@LAC 12/17/2019 10:30PM ET,PHO,43.25
PF/C,Montrezl Harrell (13978619),Montrezl Harrell,13978619,UTIL,7800,PHO@LAC 12/17/2019 10:30PM ET,LAC,34.87
C,Aron Baynes (13978658),Aron Baynes,13978658,CPT,7800,PHO@LAC 12/17/2019 10:30PM ET,PHO,27.24
PG/SG,Lou Williams (13978620),Lou Williams,13978620,UTIL,7600,PHO@LAC 12/17/2019 10:30PM ET,LAC,34.14
SF/PF,Kelly Oubre Jr. (13978621),Kelly Oubre Jr.,13978621,UTIL,7400,PHO@LAC 12/17/2019 10:30PM ET,PHO,31.96
SG/SF,Mikal Bridges (13978659),Mikal Bridges,13978659,CPT,7200,PHO@LAC 12/17/2019 10:30PM ET,PHO,17.42
SF/PF,Dario Saric (13978622),Dario Saric,13978622,UTIL,7000,PHO@LAC 12/17/2019 10:30PM ET,PHO,27.15
SF/PF,Moe Harkless (13978660),Moe Harkless,13978660,CPT,6900,PHO@LAC 12/17/2019 10:30PM ET,LAC,15.55
C,Ivica Zubac (13978661),Ivica Zubac,13978661,CPT,6600,PHO@LAC 12/17/2019 10:30PM ET,LAC,19.88
PF/C,Frank Kaminsky (13978623),Frank Kaminsky,13978623,UTIL,6400,PHO@LAC 12/17/2019 10:30PM ET,PHO,23.71
SF/PF,Cameron Johnson (13978662),Cameron Johnson,13978662,CPT,6300,PHO@LAC 12/17/2019 10:30PM ET,PHO,17.25
PG/SG,Patrick Beverley (13978624),Patrick Beverley,13978624,UTIL,6000,PHO@LAC 12/17/2019 10:30PM ET,LAC,24.62
PG,Derrick Walton Jr. (13978663),Derrick Walton Jr.,13978663,CPT,5700,PHO@LAC 12/17/2019 10:30PM ET,LAC,5.44
PF/C,Patrick Patterson (13978664),Patrick Patterson,13978664,CPT,5400,PHO@LAC 12/17/2019 10:30PM ET,LAC,11.49
C,Aron Baynes (13978625),Aron Baynes,13978625,UTIL,5200,PHO@LAC 12/17/2019 10:30PM ET,PHO,27.24
SF/PF,JaMychal Green (13978665),JaMychal Green,13978665,CPT,5100,PHO@LAC 12/17/2019 10:30PM ET,LAC,18.56
SG/SF,Mikal Bridges (13978626),Mikal Bridges,13978626,UTIL,4800,PHO@LAC 12/17/2019 10:30PM ET,PHO,17.42
SF/PF,Moe Harkless (13978627),Moe Harkless,13978627,UTIL,4600,PHO@LAC 12/17/2019 10:30PM ET,LAC,15.55
SG/SF,Rodney McGruder (13978666),Rodney McGruder,13978666,CPT,4500,PHO@LAC 12/17/2019 10:30PM ET,LAC,9.46
C,Ivica Zubac (13978628),Ivica Zubac,13978628,UTIL,4400,PHO@LAC 12/17/2019 10:30PM ET,LAC,19.88
SF/PF,Cameron Johnson (13978629),Cameron Johnson,13978629,UTIL,4200,PHO@LAC 12/17/2019 10:30PM ET,PHO,17.25
SG/SF,Landry Shamet (13978667),Landry Shamet,13978667,CPT,4200,PHO@LAC 12/17/2019 10:30PM ET,LAC,15.16
SG,Jerome Robinson (13978668),Jerome Robinson,13978668,CPT,3900,PHO@LAC 12/17/2019 10:30PM ET,LAC,8.37
PG,Derrick Walton Jr. (13978630),Derrick Walton Jr.,13978630,UTIL,3800,PHO@LAC 12/17/2019 10:30PM ET,LAC,5.44
PF/C,Patrick Patterson (13978631),Patrick Patterson,13978631,UTIL,3600,PHO@LAC 12/17/2019 10:30PM ET,LAC,11.49
SF/PF,JaMychal Green (13978632),JaMychal Green,13978632,UTIL,3400,PHO@LAC 12/17/2019 10:30PM ET,LAC,18.56
SG/SF,Rodney McGruder (13978633),Rodney McGruder,13978633,UTIL,3000,PHO@LAC 12/17/2019 10:30PM ET,LAC,9.46
SG/SF,Terance Mann (13978669),Terance Mann,13978669,CPT,3000,PHO@LAC 12/17/2019 10:30PM ET,LAC,6.58
SG/SF,Landry Shamet (13978634),Landry Shamet,13978634,UTIL,2800,PHO@LAC 12/17/2019 10:30PM ET,LAC,15.16
PF/C,Cheick Diallo (13978670),Cheick Diallo,13978670,CPT,2700,PHO@LAC 12/17/2019 10:30PM ET,PHO,10.97
SG,Jerome Robinson (13978635),Jerome Robinson,13978635,UTIL,2600,PHO@LAC 12/17/2019 10:30PM ET,LAC,8.37
SG/SF,Terance Mann (13978636),Terance Mann,13978636,UTIL,2000,PHO@LAC 12/17/2019 10:30PM ET,LAC,6.58
PF/C,Cheick Diallo (13978637),Cheick Diallo,13978637,UTIL,1800,PHO@LAC 12/17/2019 10:30PM ET,PHO,10.97
PG/SG,Elie Okobo (13978671),Elie Okobo,13978671,CPT,1800,PHO@LAC 12/17/2019 10:30PM ET,PHO,9.54
PG/SG,Tyler Johnson (13978672),Tyler Johnson,13978672,CPT,1800,PHO@LAC 12/17/2019 10:30PM ET,PHO,13.08
PG/SG,Ty Jerome (13978673),Ty Jerome,13978673,CPT,1500,PHO@LAC 12/17/2019 10:30PM ET,PHO,10.92
PF/C,Mfiondu Kabengele (13978674),Mfiondu Kabengele,13978674,CPT,1500,PHO@LAC 12/17/2019 10:30PM ET,LAC,4.47
PF/C,Johnathan Motley (13978675),Johnathan Motley,13978675,CPT,1500,PHO@LAC 12/17/2019 10:30PM ET,LAC,3.17
PG/SG,Jevon Carter (13978676),Jevon Carter,13978676,CPT,1500,PHO@LAC 12/17/2019 10:30PM ET,PHO,10.60
PG/SF,Amir Coffey (13978677),Amir Coffey,13978677,CPT,1500,PHO@LAC 12/17/2019 10:30PM ET,LAC,0
PG/SG,Jalen Lecque (13978678),Jalen Lecque,13978678,CPT,1500,PHO@LAC 12/17/2019 10:30PM ET,PHO,0
PG,Jared Harper (13978679),Jared Harper,13978679,CPT,1500,PHO@LAC 12/17/2019 10:30PM ET,PHO,0
PG/SG,Elie Okobo (13978638),Elie Okobo,13978638,UTIL,1200,PHO@LAC 12/17/2019 10:30PM ET,PHO,9.54
PG/SG,Tyler Johnson (13978639),Tyler Johnson,13978639,UTIL,1200,PHO@LAC 12/17/2019 10:30PM ET,PHO,13.08
PG/SG,Ty Jerome (13978640),Ty Jerome,13978640,UTIL,1000,PHO@LAC 12/17/2019 10:30PM ET,PHO,10.92
PF/C,Mfiondu Kabengele (13978641),Mfiondu Kabengele,13978641,UTIL,1000,PHO@LAC 12/17/2019 10:30PM ET,LAC,4.47
PF/C,Johnathan Motley (13978642),Johnathan Motley,13978642,UTIL,1000,PHO@LAC 12/17/2019 10:30PM ET,LAC,3.17
PG/SG,Jevon Carter (13978643),Jevon Carter,13978643,UTIL,1000,PHO@LAC 12/17/2019 10:30PM ET,PHO,10.60
PG/SF,Amir Coffey (13978644),Amir Coffey,13978644,UTIL,1000,PHO@LAC 12/17/2019 10:30PM ET,LAC,0
PG/SG,Jalen Lecque (13978645),Jalen Lecque,13978645,UTIL,1000,PHO@LAC 12/17/2019 10:30PM ET,PHO,0
PG,Jared Harper (13978646),Jared Harper,13978646,UTIL,1000,PHO@LAC 12/17/2019 10:30PM ET,PHO,0
