Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,LeBron James (14065300),LeBron James,14065300,CPT,18600,PHO@LAL 01/01/2020 10:30PM ET,LAL,55.51
PF/C,Anthony Davis (14065301),Anthony Davis,14065301,CPT,17700,PHO@LAL 01/01/2020 10:30PM ET,LAL,51.86
PG/SG,Devin Booker (14065302),Devin Booker,14065302,CPT,13800,PHO@LAL 01/01/2020 10:30PM ET,PHO,40.69
PG,Ricky Rubio (14065303),Ricky Rubio,14065303,CPT,13500,PHO@LAL 01/01/2020 10:30PM ET,PHO,37.12
PG/SF,LeBron James (14065267),LeBron James,14065267,UTIL,12400,PHO@LAL 01/01/2020 10:30PM ET,LAL,55.51
C,Deandre Ayton (14065304),Deandre Ayton,14065304,CPT,12300,PHO@LAL 01/01/2020 10:30PM ET,PHO,34.42
SF/PF,Kelly Oubre Jr. (14065305),Kelly Oubre Jr.,14065305,CPT,12000,PHO@LAL 01/01/2020 10:30PM ET,PHO,32.47
PF/C,Anthony Davis (14065268),Anthony Davis,14065268,UTIL,11800,PHO@LAL 01/01/2020 10:30PM ET,LAL,51.86
C,Aron Baynes (14065306),Aron Baynes,14065306,CPT,10500,PHO@LAL 01/01/2020 10:30PM ET,PHO,25.34
SF/PF,Kyle Kuzma (14065307),Kyle Kuzma,14065307,CPT,9300,PHO@LAL 01/01/2020 10:30PM ET,LAL,19.09
PG/SG,Devin Booker (14065269),Devin Booker,14065269,UTIL,9200,PHO@LAL 01/01/2020 10:30PM ET,PHO,40.69
PG,Ricky Rubio (14065270),Ricky Rubio,14065270,UTIL,9000,PHO@LAL 01/01/2020 10:30PM ET,PHO,37.12
C,Deandre Ayton (14065271),Deandre Ayton,14065271,UTIL,8200,PHO@LAL 01/01/2020 10:30PM ET,PHO,34.42
SG/SF,Kentavious Caldwell-Pope (14065308),Kentavious Caldwell-Pope,14065308,CPT,8100,PHO@LAL 01/01/2020 10:30PM ET,LAL,17.17
SF/PF,Kelly Oubre Jr. (14065272),Kelly Oubre Jr.,14065272,UTIL,8000,PHO@LAL 01/01/2020 10:30PM ET,PHO,32.47
PG,Rajon Rondo (14065309),Rajon Rondo,14065309,CPT,7200,PHO@LAL 01/01/2020 10:30PM ET,LAL,22.54
C,Aron Baynes (14065273),Aron Baynes,14065273,UTIL,7000,PHO@LAL 01/01/2020 10:30PM ET,PHO,25.34
SF/PF,Dario Saric (14065310),Dario Saric,14065310,CPT,6900,PHO@LAL 01/01/2020 10:30PM ET,PHO,25.33
C,JaVale McGee (14065311),JaVale McGee,14065311,CPT,6600,PHO@LAL 01/01/2020 10:30PM ET,LAL,18.93
C,Dwight Howard (14065312),Dwight Howard,14065312,CPT,6300,PHO@LAL 01/01/2020 10:30PM ET,LAL,19.69
SF/PF,Kyle Kuzma (14065274),Kyle Kuzma,14065274,UTIL,6200,PHO@LAL 01/01/2020 10:30PM ET,LAL,19.09
SG/SF,Danny Green (14065313),Danny Green,14065313,CPT,6000,PHO@LAL 01/01/2020 10:30PM ET,LAL,18.48
PF/C,Frank Kaminsky (14065314),Frank Kaminsky,14065314,CPT,5700,PHO@LAL 01/01/2020 10:30PM ET,PHO,22.08
SG/SF,Kentavious Caldwell-Pope (14065275),Kentavious Caldwell-Pope,14065275,UTIL,5400,PHO@LAL 01/01/2020 10:30PM ET,LAL,17.17
SG/SF,Mikal Bridges (14065315),Mikal Bridges,14065315,CPT,5100,PHO@LAL 01/01/2020 10:30PM ET,PHO,17.05
PG,Rajon Rondo (14065276),Rajon Rondo,14065276,UTIL,4800,PHO@LAL 01/01/2020 10:30PM ET,LAL,22.54
SF/PF,Dario Saric (14065277),Dario Saric,14065277,UTIL,4600,PHO@LAL 01/01/2020 10:30PM ET,PHO,25.33
C,JaVale McGee (14065278),JaVale McGee,14065278,UTIL,4400,PHO@LAL 01/01/2020 10:30PM ET,LAL,18.93
C,Dwight Howard (14065279),Dwight Howard,14065279,UTIL,4200,PHO@LAL 01/01/2020 10:30PM ET,LAL,19.69
SG/SF,Danny Green (14065280),Danny Green,14065280,UTIL,4000,PHO@LAL 01/01/2020 10:30PM ET,LAL,18.48
