Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Devin Booker (14141212),Devin Booker,14141212,CPT,17100,PHO@NY 01/16/2020 07:30PM ET,PHO,41.84
PF/C,Julius Randle (14141213),Julius Randle,14141213,CPT,16200,PHO@NY 01/16/2020 07:30PM ET,NY,36.96
PF/C,Deandre Ayton (14141214),Deandre Ayton,14141214,CPT,15000,PHO@NY 01/16/2020 07:30PM ET,PHO,36.72
SF/PF,Kelly Oubre Jr. (14141215),Kelly Oubre Jr.,14141215,CPT,14700,PHO@NY 01/16/2020 07:30PM ET,PHO,33.5
PG,Ricky Rubio (14141216),Ricky Rubio,14141216,CPT,14100,PHO@NY 01/16/2020 07:30PM ET,PHO,35.98
SF/PF,Marcus Morris Sr. (14141217),Marcus Morris Sr.,14141217,CPT,12900,PHO@NY 01/16/2020 07:30PM ET,NY,31.51
SG,RJ Barrett (14141218),RJ Barrett,14141218,CPT,12000,PHO@NY 01/16/2020 07:30PM ET,NY,27.09
PG/SG,Devin Booker (14141178),Devin Booker,14141178,UTIL,11400,PHO@NY 01/16/2020 07:30PM ET,PHO,41.84
PG,Elfrid Payton (14141219),Elfrid Payton,14141219,CPT,11100,PHO@NY 01/16/2020 07:30PM ET,NY,24.97
PF/C,Julius Randle (14141179),Julius Randle,14141179,UTIL,10800,PHO@NY 01/16/2020 07:30PM ET,NY,36.96
PF/C,Deandre Ayton (14141180),Deandre Ayton,14141180,UTIL,10000,PHO@NY 01/16/2020 07:30PM ET,PHO,36.72
C,Mitchell Robinson (14141220),Mitchell Robinson,14141220,CPT,9900,PHO@NY 01/16/2020 07:30PM ET,NY,23.74
SF/PF,Kelly Oubre Jr. (14141181),Kelly Oubre Jr.,14141181,UTIL,9800,PHO@NY 01/16/2020 07:30PM ET,PHO,33.5
PG,Ricky Rubio (14141182),Ricky Rubio,14141182,UTIL,9400,PHO@NY 01/16/2020 07:30PM ET,PHO,35.98
SG/SF,Mikal Bridges (14141221),Mikal Bridges,14141221,CPT,8700,PHO@NY 01/16/2020 07:30PM ET,PHO,17.27
SF/PF,Marcus Morris Sr. (14141183),Marcus Morris Sr.,14141183,UTIL,8600,PHO@NY 01/16/2020 07:30PM ET,NY,31.51
PF/C,Bobby Portis (14141222),Bobby Portis,14141222,CPT,8100,PHO@NY 01/16/2020 07:30PM ET,NY,21.20
SG,RJ Barrett (14141184),RJ Barrett,14141184,UTIL,8000,PHO@NY 01/16/2020 07:30PM ET,NY,27.09
SG/SF,Reggie Bullock (14141223),Reggie Bullock,14141223,CPT,7800,PHO@NY 01/16/2020 07:30PM ET,NY,18
C,Aron Baynes (14141224),Aron Baynes,14141224,CPT,7500,PHO@NY 01/16/2020 07:30PM ET,PHO,24.20
PG,Elfrid Payton (14141185),Elfrid Payton,14141185,UTIL,7400,PHO@NY 01/16/2020 07:30PM ET,NY,24.97
PG,Elie Okobo (14141225),Elie Okobo,14141225,CPT,6900,PHO@NY 01/16/2020 07:30PM ET,PHO,10.61
C,Mitchell Robinson (14141186),Mitchell Robinson,14141186,UTIL,6600,PHO@NY 01/16/2020 07:30PM ET,NY,23.74
SF/PF,Kevin Knox II (14141226),Kevin Knox II,14141226,CPT,6600,PHO@NY 01/16/2020 07:30PM ET,NY,15.27
