Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Devin Booker (14049753),Devin Booker,14049753,CPT,15600,PHO@SAC 12/28/2019 09:00PM ET,PHO,39.86
PG,Ricky Rubio (14049754),Ricky Rubio,14049754,CPT,15300,PHO@SAC 12/28/2019 09:00PM ET,PHO,36.41
C,Deandre Ayton (14049755),Deandre Ayton,14049755,CPT,15000,PHO@SAC 12/28/2019 09:00PM ET,PHO,41.62
PG,De'Aaron Fox (14049756),De'Aaron Fox,14049756,CPT,14400,PHO@SAC 12/28/2019 09:00PM ET,SAC,34.14
PF/C,Richaun Holmes (14049757),Richaun Holmes,14049757,CPT,13800,PHO@SAC 12/28/2019 09:00PM ET,SAC,30.14
SG/SF,Buddy Hield (14049758),Buddy Hield,14049758,CPT,13200,PHO@SAC 12/28/2019 09:00PM ET,SAC,33.66
SF/PF,Kelly Oubre Jr. (14049759),Kelly Oubre Jr.,14049759,CPT,12600,PHO@SAC 12/28/2019 09:00PM ET,PHO,31.25
SG/SF,Bogdan Bogdanovic (14049760),Bogdan Bogdanovic,14049760,CPT,12300,PHO@SAC 12/28/2019 09:00PM ET,SAC,27.30
PF/C,Marvin Bagley III (14049761),Marvin Bagley III,14049761,CPT,11700,PHO@SAC 12/28/2019 09:00PM ET,SAC,25.72
PF,Nemanja Bjelica (14049762),Nemanja Bjelica,14049762,CPT,11100,PHO@SAC 12/28/2019 09:00PM ET,SAC,26
SF/PF,Harrison Barnes (14049763),Harrison Barnes,14049763,CPT,10800,PHO@SAC 12/28/2019 09:00PM ET,SAC,27.14
PG/SG,Devin Booker (14049720),Devin Booker,14049720,UTIL,10400,PHO@SAC 12/28/2019 09:00PM ET,PHO,39.86
PG,Ricky Rubio (14049721),Ricky Rubio,14049721,UTIL,10200,PHO@SAC 12/28/2019 09:00PM ET,PHO,36.41
C,Aron Baynes (14049764),Aron Baynes,14049764,CPT,10200,PHO@SAC 12/28/2019 09:00PM ET,PHO,25.20
C,Deandre Ayton (14049722),Deandre Ayton,14049722,UTIL,10000,PHO@SAC 12/28/2019 09:00PM ET,PHO,41.62
PG,De'Aaron Fox (14049723),De'Aaron Fox,14049723,UTIL,9600,PHO@SAC 12/28/2019 09:00PM ET,SAC,34.14
PF/C,Richaun Holmes (14049724),Richaun Holmes,14049724,UTIL,9200,PHO@SAC 12/28/2019 09:00PM ET,SAC,30.14
SF/PF,Dario Saric (14049765),Dario Saric,14049765,CPT,9000,PHO@SAC 12/28/2019 09:00PM ET,PHO,26.62
SG/SF,Buddy Hield (14049725),Buddy Hield,14049725,UTIL,8800,PHO@SAC 12/28/2019 09:00PM ET,SAC,33.66
SF/PF,Kelly Oubre Jr. (14049726),Kelly Oubre Jr.,14049726,UTIL,8400,PHO@SAC 12/28/2019 09:00PM ET,PHO,31.25
SG/SF,Bogdan Bogdanovic (14049727),Bogdan Bogdanovic,14049727,UTIL,8200,PHO@SAC 12/28/2019 09:00PM ET,SAC,27.30
SF/PF,Trevor Ariza (14049766),Trevor Ariza,14049766,CPT,8100,PHO@SAC 12/28/2019 09:00PM ET,SAC,16.01
PF/C,Marvin Bagley III (14049728),Marvin Bagley III,14049728,UTIL,7800,PHO@SAC 12/28/2019 09:00PM ET,SAC,25.72
PF,Nemanja Bjelica (14049729),Nemanja Bjelica,14049729,UTIL,7400,PHO@SAC 12/28/2019 09:00PM ET,SAC,26
SF/PF,Harrison Barnes (14049730),Harrison Barnes,14049730,UTIL,7200,PHO@SAC 12/28/2019 09:00PM ET,SAC,27.14
PF/C,Frank Kaminsky (14049767),Frank Kaminsky,14049767,CPT,7200,PHO@SAC 12/28/2019 09:00PM ET,PHO,22.79
PG/SG,Cory Joseph (14049768),Cory Joseph,14049768,CPT,6900,PHO@SAC 12/28/2019 09:00PM ET,SAC,17.67
C,Aron Baynes (14049731),Aron Baynes,14049731,UTIL,6800,PHO@SAC 12/28/2019 09:00PM ET,PHO,25.20
SF/PF,Dario Saric (14049732),Dario Saric,14049732,UTIL,6000,PHO@SAC 12/28/2019 09:00PM ET,PHO,26.62
SG/SF,Mikal Bridges (14049769),Mikal Bridges,14049769,CPT,5700,PHO@SAC 12/28/2019 09:00PM ET,PHO,16.76
SF/PF,Trevor Ariza (14049733),Trevor Ariza,14049733,UTIL,5400,PHO@SAC 12/28/2019 09:00PM ET,SAC,16.01
PF/C,Frank Kaminsky (14049734),Frank Kaminsky,14049734,UTIL,4800,PHO@SAC 12/28/2019 09:00PM ET,PHO,22.79
PG/SG,Cory Joseph (14049735),Cory Joseph,14049735,UTIL,4600,PHO@SAC 12/28/2019 09:00PM ET,SAC,17.67
SF/PF,Cameron Johnson (14049770),Cameron Johnson,14049770,CPT,4500,PHO@SAC 12/28/2019 09:00PM ET,PHO,17.20
SG/SF,Mikal Bridges (14049736),Mikal Bridges,14049736,UTIL,3800,PHO@SAC 12/28/2019 09:00PM ET,PHO,16.76
PG/SG,Elie Okobo (14049771),Elie Okobo,14049771,CPT,3300,PHO@SAC 12/28/2019 09:00PM ET,PHO,11.09
SF/PF,Cameron Johnson (14049737),Cameron Johnson,14049737,UTIL,3000,PHO@SAC 12/28/2019 09:00PM ET,PHO,17.20
PG/SG,Elie Okobo (14049738),Elie Okobo,14049738,UTIL,2200,PHO@SAC 12/28/2019 09:00PM ET,PHO,11.09
PG/SG,Jevon Carter (14049772),Jevon Carter,14049772,CPT,2100,PHO@SAC 12/28/2019 09:00PM ET,PHO,11.52
PF/C,Cheick Diallo (14049773),Cheick Diallo,14049773,CPT,1800,PHO@SAC 12/28/2019 09:00PM ET,PHO,10.04
SF/PF,Wenyen Gabriel (14049774),Wenyen Gabriel,14049774,CPT,1800,PHO@SAC 12/28/2019 09:00PM ET,SAC,5.36
PG/SG,Tyler Johnson (14049775),Tyler Johnson,14049775,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,PHO,12.76
SG/SF,DaQuan Jeffries (14049776),DaQuan Jeffries,14049776,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,SAC,2.38
PG/SG,Yogi Ferrell (14049777),Yogi Ferrell,14049777,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,SAC,10.67
C,Dewayne Dedmon (14049778),Dewayne Dedmon,14049778,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,SAC,11.46
PG/SG,Ty Jerome (14049779),Ty Jerome,14049779,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,PHO,11.68
PF/C,Harry Giles (14049780),Harry Giles,14049780,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,SAC,6.82
PF/C,Caleb Swanigan (14049781),Caleb Swanigan,14049781,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,SAC,2.65
SG/SF,Justin James (14049782),Justin James,14049782,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,SAC,9.33
PG/SG,Jalen Lecque (14049783),Jalen Lecque,14049783,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,PHO,0
PG/SG,Kyle Guy (14049784),Kyle Guy,14049784,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,SAC,0
PG,Jared Harper (14049785),Jared Harper,14049785,CPT,1500,PHO@SAC 12/28/2019 09:00PM ET,PHO,0
PG/SG,Jevon Carter (14049739),Jevon Carter,14049739,UTIL,1400,PHO@SAC 12/28/2019 09:00PM ET,PHO,11.52
PF/C,Cheick Diallo (14049740),Cheick Diallo,14049740,UTIL,1200,PHO@SAC 12/28/2019 09:00PM ET,PHO,10.04
SF/PF,Wenyen Gabriel (14049741),Wenyen Gabriel,14049741,UTIL,1200,PHO@SAC 12/28/2019 09:00PM ET,SAC,5.36
PG/SG,Tyler Johnson (14049742),Tyler Johnson,14049742,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,PHO,12.76
SG/SF,DaQuan Jeffries (14049743),DaQuan Jeffries,14049743,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,SAC,2.38
PG/SG,Yogi Ferrell (14049744),Yogi Ferrell,14049744,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,SAC,10.67
C,Dewayne Dedmon (14049745),Dewayne Dedmon,14049745,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,SAC,11.46
PG/SG,Ty Jerome (14049746),Ty Jerome,14049746,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,PHO,11.68
PF/C,Harry Giles (14049747),Harry Giles,14049747,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,SAC,6.82
PF/C,Caleb Swanigan (14049748),Caleb Swanigan,14049748,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,SAC,2.65
SG/SF,Justin James (14049749),Justin James,14049749,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,SAC,9.33
PG/SG,Jalen Lecque (14049750),Jalen Lecque,14049750,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,PHO,0
PG/SG,Kyle Guy (14049751),Kyle Guy,14049751,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,SAC,0
PG,Jared Harper (14049752),Jared Harper,14049752,UTIL,1000,PHO@SAC 12/28/2019 09:00PM ET,PHO,0
