Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (14146192),Luka Doncic,14146192,CPT,20700,POR@DAL 01/17/2020 09:30PM ET,DAL,58.16
PG,Damian Lillard (14146193),Damian Lillard,14146193,CPT,15000,POR@DAL 01/17/2020 09:30PM ET,POR,46.62
C,Hassan Whiteside (14146194),Hassan Whiteside,14146194,CPT,14400,POR@DAL 01/17/2020 09:30PM ET,POR,41.68
PG,Luka Doncic (14146159),Luka Doncic,14146159,UTIL,13800,POR@DAL 01/17/2020 09:30PM ET,DAL,58.16
PF/C,Kristaps Porzingis (14146195),Kristaps Porzingis,14146195,CPT,13500,POR@DAL 01/17/2020 09:30PM ET,DAL,37.39
PG/SG,CJ McCollum (14146196),CJ McCollum,14146196,CPT,12000,POR@DAL 01/17/2020 09:30PM ET,POR,36.23
SF/PF,Carmelo Anthony (14146197),Carmelo Anthony,14146197,CPT,11100,POR@DAL 01/17/2020 09:30PM ET,POR,29.5
PG,Damian Lillard (14146160),Damian Lillard,14146160,UTIL,10000,POR@DAL 01/17/2020 09:30PM ET,POR,46.62
C,Jusuf Nurkic (14146198),Jusuf Nurkic,14146198,CPT,9900,POR@DAL 01/17/2020 09:30PM ET,POR,0
C,Hassan Whiteside (14146161),Hassan Whiteside,14146161,UTIL,9600,POR@DAL 01/17/2020 09:30PM ET,POR,41.68
SG/SF,Tim Hardaway Jr. (14146199),Tim Hardaway Jr.,14146199,CPT,9600,POR@DAL 01/17/2020 09:30PM ET,DAL,22.60
C,Dwight Powell (14146200),Dwight Powell,14146200,CPT,9300,POR@DAL 01/17/2020 09:30PM ET,DAL,21.66
PF/C,Kristaps Porzingis (14146162),Kristaps Porzingis,14146162,UTIL,9000,POR@DAL 01/17/2020 09:30PM ET,DAL,37.39
PF/C,Maxi Kleber (14146201),Maxi Kleber,14146201,CPT,9000,POR@DAL 01/17/2020 09:30PM ET,DAL,20.25
SF/PF,Dorian Finney-Smith (14146202),Dorian Finney-Smith,14146202,CPT,8700,POR@DAL 01/17/2020 09:30PM ET,DAL,20.71
PG/SG,CJ McCollum (14146163),CJ McCollum,14146163,UTIL,8000,POR@DAL 01/17/2020 09:30PM ET,POR,36.23
SG/SF,Kent Bazemore (14146203),Kent Bazemore,14146203,CPT,7800,POR@DAL 01/17/2020 09:30PM ET,POR,18.41
PG/SG,Delon Wright (14146204),Delon Wright,14146204,CPT,7500,POR@DAL 01/17/2020 09:30PM ET,DAL,20.08
SF/PF,Carmelo Anthony (14146164),Carmelo Anthony,14146164,UTIL,7400,POR@DAL 01/17/2020 09:30PM ET,POR,29.5
C,Jusuf Nurkic (14146165),Jusuf Nurkic,14146165,UTIL,6600,POR@DAL 01/17/2020 09:30PM ET,POR,0
SG/SF,Tim Hardaway Jr. (14146166),Tim Hardaway Jr.,14146166,UTIL,6400,POR@DAL 01/17/2020 09:30PM ET,DAL,22.60
PG/SG,J.J. Barea (14146205),J.J. Barea,14146205,CPT,6300,POR@DAL 01/17/2020 09:30PM ET,DAL,17.17
C,Dwight Powell (14146167),Dwight Powell,14146167,UTIL,6200,POR@DAL 01/17/2020 09:30PM ET,DAL,21.66
PF/C,Maxi Kleber (14146168),Maxi Kleber,14146168,UTIL,6000,POR@DAL 01/17/2020 09:30PM ET,DAL,20.25
SF/PF,Dorian Finney-Smith (14146169),Dorian Finney-Smith,14146169,UTIL,5800,POR@DAL 01/17/2020 09:30PM ET,DAL,20.71
SG,Seth Curry (14146206),Seth Curry,14146206,CPT,5700,POR@DAL 01/17/2020 09:30PM ET,DAL,17.28
SG/SF,Kent Bazemore (14146170),Kent Bazemore,14146170,UTIL,5200,POR@DAL 01/17/2020 09:30PM ET,POR,18.41
PG/SG,Delon Wright (14146171),Delon Wright,14146171,UTIL,5000,POR@DAL 01/17/2020 09:30PM ET,DAL,20.08
PF/C,Anthony Tolliver (14146207),Anthony Tolliver,14146207,CPT,4800,POR@DAL 01/17/2020 09:30PM ET,POR,10.70
