Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (13952620),Nikola Jokic,13952620,CPT,17100,POR@DEN 12/12/2019 10:30PM ET,DEN,41.51
PG,Damian Lillard (13952621),Damian Lillard,13952621,CPT,16500,POR@DEN 12/12/2019 10:30PM ET,POR,46.91
C,Hassan Whiteside (13952622),Hassan Whiteside,13952622,CPT,15600,POR@DEN 12/12/2019 10:30PM ET,POR,38.83
C,Jusuf Nurkic (13952623),Jusuf Nurkic,13952623,CPT,15300,POR@DEN 12/12/2019 10:30PM ET,POR,0
PG/SG,CJ McCollum (13952624),CJ McCollum,13952624,CPT,14100,POR@DEN 12/12/2019 10:30PM ET,POR,36.35
PG/SG,Jamal Murray (13952625),Jamal Murray,13952625,CPT,13500,POR@DEN 12/12/2019 10:30PM ET,DEN,32.84
PG/SF,Will Barton (13952626),Will Barton,13952626,CPT,12900,POR@DEN 12/12/2019 10:30PM ET,DEN,31.71
SF/PF,Carmelo Anthony (13952627),Carmelo Anthony,13952627,CPT,12000,POR@DEN 12/12/2019 10:30PM ET,POR,27.73
C,Nikola Jokic (13952588),Nikola Jokic,13952588,UTIL,11400,POR@DEN 12/12/2019 10:30PM ET,DEN,41.51
PG,Damian Lillard (13952589),Damian Lillard,13952589,UTIL,11000,POR@DEN 12/12/2019 10:30PM ET,POR,46.91
PF/C,Paul Millsap (13952628),Paul Millsap,13952628,CPT,10800,POR@DEN 12/12/2019 10:30PM ET,DEN,25.69
C,Hassan Whiteside (13952590),Hassan Whiteside,13952590,UTIL,10400,POR@DEN 12/12/2019 10:30PM ET,POR,38.83
C,Jusuf Nurkic (13952591),Jusuf Nurkic,13952591,UTIL,10200,POR@DEN 12/12/2019 10:30PM ET,POR,0
SG/SF,Kent Bazemore (13952629),Kent Bazemore,13952629,CPT,9600,POR@DEN 12/12/2019 10:30PM ET,POR,18.54
PG/SG,CJ McCollum (13952592),CJ McCollum,13952592,UTIL,9400,POR@DEN 12/12/2019 10:30PM ET,POR,36.35
PG/SG,Jamal Murray (13952593),Jamal Murray,13952593,UTIL,9000,POR@DEN 12/12/2019 10:30PM ET,DEN,32.84
SG,Gary Harris (13952630),Gary Harris,13952630,CPT,8700,POR@DEN 12/12/2019 10:30PM ET,DEN,20.81
PG/SF,Will Barton (13952594),Will Barton,13952594,UTIL,8600,POR@DEN 12/12/2019 10:30PM ET,DEN,31.71
PF/C,Zach Collins (13952631),Zach Collins,13952631,CPT,8100,POR@DEN 12/12/2019 10:30PM ET,POR,17.83
SF/PF,Carmelo Anthony (13952595),Carmelo Anthony,13952595,UTIL,8000,POR@DEN 12/12/2019 10:30PM ET,POR,27.73
PG/SG,Anfernee Simons (13952632),Anfernee Simons,13952632,CPT,7500,POR@DEN 12/12/2019 10:30PM ET,POR,16.52
PF/C,Paul Millsap (13952596),Paul Millsap,13952596,UTIL,7200,POR@DEN 12/12/2019 10:30PM ET,DEN,25.69
PG,Monte Morris (13952633),Monte Morris,13952633,CPT,7200,POR@DEN 12/12/2019 10:30PM ET,DEN,15.86
PF/C,Jerami Grant (13952634),Jerami Grant,13952634,CPT,6900,POR@DEN 12/12/2019 10:30PM ET,DEN,17.32
PF/C,Mason Plumlee (13952635),Mason Plumlee,13952635,CPT,6600,POR@DEN 12/12/2019 10:30PM ET,DEN,19.47
SG/SF,Kent Bazemore (13952597),Kent Bazemore,13952597,UTIL,6400,POR@DEN 12/12/2019 10:30PM ET,POR,18.54
