Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (14136734),James Harden,14136734,CPT,19800,POR@HOU 01/15/2020 09:30PM ET,HOU,62.77
PG,Russell Westbrook (14136735),Russell Westbrook,14136735,CPT,15600,POR@HOU 01/15/2020 09:30PM ET,HOU,48.08
PG,Damian Lillard (14136736),Damian Lillard,14136736,CPT,14700,POR@HOU 01/15/2020 09:30PM ET,POR,46.58
C,Hassan Whiteside (14136737),Hassan Whiteside,14136737,CPT,13500,POR@HOU 01/15/2020 09:30PM ET,POR,41.58
PG/SG,James Harden (14136702),James Harden,14136702,UTIL,13200,POR@HOU 01/15/2020 09:30PM ET,HOU,62.77
C,Clint Capela (14136738),Clint Capela,14136738,CPT,13200,POR@HOU 01/15/2020 09:30PM ET,HOU,40.16
PG/SG,CJ McCollum (14136739),CJ McCollum,14136739,CPT,12300,POR@HOU 01/15/2020 09:30PM ET,POR,36.12
SF/PF,Carmelo Anthony (14136740),Carmelo Anthony,14136740,CPT,11100,POR@HOU 01/15/2020 09:30PM ET,POR,29.25
PG,Russell Westbrook (14136703),Russell Westbrook,14136703,UTIL,10400,POR@HOU 01/15/2020 09:30PM ET,HOU,48.08
C,Jusuf Nurkic (14136741),Jusuf Nurkic,14136741,CPT,9900,POR@HOU 01/15/2020 09:30PM ET,POR,0
PG,Damian Lillard (14136704),Damian Lillard,14136704,UTIL,9800,POR@HOU 01/15/2020 09:30PM ET,POR,46.58
C,Hassan Whiteside (14136705),Hassan Whiteside,14136705,UTIL,9000,POR@HOU 01/15/2020 09:30PM ET,POR,41.58
C,Clint Capela (14136706),Clint Capela,14136706,UTIL,8800,POR@HOU 01/15/2020 09:30PM ET,HOU,40.16
SG/SF,Eric Gordon (14136742),Eric Gordon,14136742,CPT,8700,POR@HOU 01/15/2020 09:30PM ET,HOU,19.52
PG/SG,CJ McCollum (14136707),CJ McCollum,14136707,UTIL,8200,POR@HOU 01/15/2020 09:30PM ET,POR,36.12
PF/C,P.J. Tucker (14136743),P.J. Tucker,14136743,CPT,7500,POR@HOU 01/15/2020 09:30PM ET,HOU,22.78
SF/PF,Carmelo Anthony (14136708),Carmelo Anthony,14136708,UTIL,7400,POR@HOU 01/15/2020 09:30PM ET,POR,29.25
SF/PF,Danuel House Jr. (14136744),Danuel House Jr.,14136744,CPT,7200,POR@HOU 01/15/2020 09:30PM ET,HOU,20.47
PF/C,Isaiah Hartenstein (14136745),Isaiah Hartenstein,14136745,CPT,6900,POR@HOU 01/15/2020 09:30PM ET,HOU,15.43
C,Jusuf Nurkic (14136709),Jusuf Nurkic,14136709,UTIL,6600,POR@HOU 01/15/2020 09:30PM ET,POR,0
SG/SF,Ben McLemore (14136746),Ben McLemore,14136746,CPT,6600,POR@HOU 01/15/2020 09:30PM ET,HOU,17.38
SG/SF,Kent Bazemore (14136747),Kent Bazemore,14136747,CPT,6300,POR@HOU 01/15/2020 09:30PM ET,POR,18.07
SG/SF,Eric Gordon (14136710),Eric Gordon,14136710,UTIL,5800,POR@HOU 01/15/2020 09:30PM ET,HOU,19.52
PF/C,Anthony Tolliver (14136748),Anthony Tolliver,14136748,CPT,5700,POR@HOU 01/15/2020 09:30PM ET,POR,10.64
PG/SG,Austin Rivers (14136749),Austin Rivers,14136749,CPT,5400,POR@HOU 01/15/2020 09:30PM ET,HOU,15.06
PG/SG,Anfernee Simons (14136750),Anfernee Simons,14136750,CPT,5100,POR@HOU 01/15/2020 09:30PM ET,POR,15.72
PF/C,P.J. Tucker (14136711),P.J. Tucker,14136711,UTIL,5000,POR@HOU 01/15/2020 09:30PM ET,HOU,22.78
SF/PF,Danuel House Jr. (14136712),Danuel House Jr.,14136712,UTIL,4800,POR@HOU 01/15/2020 09:30PM ET,HOU,20.47
PF/C,Zach Collins (14136751),Zach Collins,14136751,CPT,4800,POR@HOU 01/15/2020 09:30PM ET,POR,17.83
PF/C,Isaiah Hartenstein (14136713),Isaiah Hartenstein,14136713,UTIL,4600,POR@HOU 01/15/2020 09:30PM ET,HOU,15.43
SG/SF,Ben McLemore (14136714),Ben McLemore,14136714,UTIL,4400,POR@HOU 01/15/2020 09:30PM ET,HOU,17.38
SG/SF,Kent Bazemore (14136715),Kent Bazemore,14136715,UTIL,4200,POR@HOU 01/15/2020 09:30PM ET,POR,18.07
PG,Chris Clemons (14136752),Chris Clemons,14136752,CPT,3900,POR@HOU 01/15/2020 09:30PM ET,HOU,8.85
PF/C,Anthony Tolliver (14136716),Anthony Tolliver,14136716,UTIL,3800,POR@HOU 01/15/2020 09:30PM ET,POR,10.64
PG/SG,Austin Rivers (14136717),Austin Rivers,14136717,UTIL,3600,POR@HOU 01/15/2020 09:30PM ET,HOU,15.06
PG/SG,Anfernee Simons (14136718),Anfernee Simons,14136718,UTIL,3400,POR@HOU 01/15/2020 09:30PM ET,POR,15.72
PF/C,Zach Collins (14136719),Zach Collins,14136719,UTIL,3200,POR@HOU 01/15/2020 09:30PM ET,POR,17.83
SF/PF,Thabo Sefolosha (14136753),Thabo Sefolosha,14136753,CPT,3000,POR@HOU 01/15/2020 09:30PM ET,HOU,6.82
PG,Chris Clemons (14136720),Chris Clemons,14136720,UTIL,2600,POR@HOU 01/15/2020 09:30PM ET,HOU,8.85
SF/PF,Thabo Sefolosha (14136721),Thabo Sefolosha,14136721,UTIL,2000,POR@HOU 01/15/2020 09:30PM ET,HOU,6.82
SG,Gary Trent Jr. (14136754),Gary Trent Jr.,14136754,CPT,1800,POR@HOU 01/15/2020 09:30PM ET,POR,8.25
PG/SG,Michael Frazier (14136755),Michael Frazier,14136755,CPT,1800,POR@HOU 01/15/2020 09:30PM ET,HOU,5.38
SF/PF,Mario Hezonja (14136757),Mario Hezonja,14136757,CPT,1800,POR@HOU 01/15/2020 09:30PM ET,POR,12.07
SG/SF,Rodney Hood (14136756),Rodney Hood,14136756,CPT,1500,POR@HOU 01/15/2020 09:30PM ET,POR,19.90
SF/PF,Jaylen Hoard (14136758),Jaylen Hoard,14136758,CPT,1500,POR@HOU 01/15/2020 09:30PM ET,POR,5.55
C,Moses Brown (14136759),Moses Brown,14136759,CPT,1500,POR@HOU 01/15/2020 09:30PM ET,POR,3.92
C,Tyson Chandler (14136760),Tyson Chandler,14136760,CPT,1500,POR@HOU 01/15/2020 09:30PM ET,HOU,6.09
PF/C,Skal Labissiere (14136761),Skal Labissiere,14136761,CPT,1500,POR@HOU 01/15/2020 09:30PM ET,POR,15.97
SF/PF,Nassir Little (14136762),Nassir Little,14136762,CPT,1500,POR@HOU 01/15/2020 09:30PM ET,POR,8.53
SF/PF,William Howard (14136763),William Howard,14136763,CPT,1500,POR@HOU 01/15/2020 09:30PM ET,HOU,0
C,Nene Hilario (14136764),Nene Hilario,14136764,CPT,1500,POR@HOU 01/15/2020 09:30PM ET,HOU,0
SG/SF,Gerald Green (14136765),Gerald Green,14136765,CPT,1500,POR@HOU 01/15/2020 09:30PM ET,HOU,0
