Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Damian Lillard (14065234),Damian Lillard,14065234,CPT,17100,POR@NY 01/01/2020 07:30PM ET,POR,47
C,Hassan Whiteside (14065235),Hassan Whiteside,14065235,CPT,15900,POR@NY 01/01/2020 07:30PM ET,POR,40.89
PF/C,Julius Randle (14065236),Julius Randle,14065236,CPT,15300,POR@NY 01/01/2020 07:30PM ET,NY,36
C,Jusuf Nurkic (14065237),Jusuf Nurkic,14065237,CPT,14100,POR@NY 01/01/2020 07:30PM ET,POR,0
PG/SG,CJ McCollum (14065238),CJ McCollum,14065238,CPT,13500,POR@NY 01/01/2020 07:30PM ET,POR,36.74
C,Mitchell Robinson (14065239),Mitchell Robinson,14065239,CPT,12600,POR@NY 01/01/2020 07:30PM ET,NY,25.01
PG,Elfrid Payton (14065240),Elfrid Payton,14065240,CPT,11700,POR@NY 01/01/2020 07:30PM ET,NY,24.41
PG,Damian Lillard (14065201),Damian Lillard,14065201,UTIL,11400,POR@NY 01/01/2020 07:30PM ET,POR,47
SF/PF,Carmelo Anthony (14065241),Carmelo Anthony,14065241,CPT,11100,POR@NY 01/01/2020 07:30PM ET,POR,28.83
SF/PF,Marcus Morris Sr. (14065242),Marcus Morris Sr.,14065242,CPT,10800,POR@NY 01/01/2020 07:30PM ET,NY,30.48
C,Hassan Whiteside (14065202),Hassan Whiteside,14065202,UTIL,10600,POR@NY 01/01/2020 07:30PM ET,POR,40.89
PG/SG,RJ Barrett (14065243),RJ Barrett,14065243,CPT,10500,POR@NY 01/01/2020 07:30PM ET,NY,27.02
PF/C,Julius Randle (14065203),Julius Randle,14065203,UTIL,10200,POR@NY 01/01/2020 07:30PM ET,NY,36
C,Jusuf Nurkic (14065204),Jusuf Nurkic,14065204,UTIL,9400,POR@NY 01/01/2020 07:30PM ET,POR,0
PF/C,Bobby Portis (14065244),Bobby Portis,14065244,CPT,9300,POR@NY 01/01/2020 07:30PM ET,NY,20.73
PG/SG,CJ McCollum (14065205),CJ McCollum,14065205,UTIL,9000,POR@NY 01/01/2020 07:30PM ET,POR,36.74
