Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Damian Lillard (13973807),Damian Lillard,13973807,CPT,15000,POR@PHO 12/16/2019 09:00PM ET,POR,46.44
PG/SG,Devin Booker (13973808),Devin Booker,13973808,CPT,13800,POR@PHO 12/16/2019 09:00PM ET,PHO,40.90
C,Hassan Whiteside (13973809),Hassan Whiteside,13973809,CPT,13500,POR@PHO 12/16/2019 09:00PM ET,POR,39.74
PG,Ricky Rubio (13973810),Ricky Rubio,13973810,CPT,12900,POR@PHO 12/16/2019 09:00PM ET,PHO,36.7
C,Jusuf Nurkic (13973811),Jusuf Nurkic,13973811,CPT,12600,POR@PHO 12/16/2019 09:00PM ET,POR,0
C,Deandre Ayton (13973812),Deandre Ayton,13973812,CPT,12000,POR@PHO 12/16/2019 09:00PM ET,PHO,43.25
SF/PF,Kelly Oubre Jr. (13973813),Kelly Oubre Jr.,13973813,CPT,11400,POR@PHO 12/16/2019 09:00PM ET,PHO,31.84
SF/PF,Dario Saric (13973814),Dario Saric,13973814,CPT,11100,POR@PHO 12/16/2019 09:00PM ET,PHO,27.11
PG/SG,CJ McCollum (13973815),CJ McCollum,13973815,CPT,10800,POR@PHO 12/16/2019 09:00PM ET,POR,35.74
SF/PF,Carmelo Anthony (13973816),Carmelo Anthony,13973816,CPT,10200,POR@PHO 12/16/2019 09:00PM ET,POR,28.81
PG,Damian Lillard (13973775),Damian Lillard,13973775,UTIL,10000,POR@PHO 12/16/2019 09:00PM ET,POR,46.44
PG/SG,Devin Booker (13973776),Devin Booker,13973776,UTIL,9200,POR@PHO 12/16/2019 09:00PM ET,PHO,40.90
C,Hassan Whiteside (13973777),Hassan Whiteside,13973777,UTIL,9000,POR@PHO 12/16/2019 09:00PM ET,POR,39.74
PG,Ricky Rubio (13973778),Ricky Rubio,13973778,UTIL,8600,POR@PHO 12/16/2019 09:00PM ET,PHO,36.7
C,Jusuf Nurkic (13973779),Jusuf Nurkic,13973779,UTIL,8400,POR@PHO 12/16/2019 09:00PM ET,POR,0
PF/C,Frank Kaminsky (13973817),Frank Kaminsky,13973817,CPT,8400,POR@PHO 12/16/2019 09:00PM ET,PHO,23.35
C,Deandre Ayton (13973780),Deandre Ayton,13973780,UTIL,8000,POR@PHO 12/16/2019 09:00PM ET,PHO,43.25
SF/PF,Kelly Oubre Jr. (13973781),Kelly Oubre Jr.,13973781,UTIL,7600,POR@PHO 12/16/2019 09:00PM ET,PHO,31.84
SG/SF,Mikal Bridges (13973821),Mikal Bridges,13973821,CPT,7500,POR@PHO 12/16/2019 09:00PM ET,PHO,16.88
SF/PF,Dario Saric (13973782),Dario Saric,13973782,UTIL,7400,POR@PHO 12/16/2019 09:00PM ET,PHO,27.11
PG/SG,CJ McCollum (13973783),CJ McCollum,13973783,UTIL,7200,POR@PHO 12/16/2019 09:00PM ET,POR,35.74
