Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Rudy Gobert (14033863),Rudy Gobert,14033863,CPT,15600,POR@UTA 12/26/2019 10:30PM ET,UTA,40.45
PG,Damian Lillard (14033864),Damian Lillard,14033864,CPT,15000,POR@UTA 12/26/2019 10:30PM ET,POR,46.39
PG/SG,Donovan Mitchell (14033865),Donovan Mitchell,14033865,CPT,13800,POR@UTA 12/26/2019 10:30PM ET,UTA,39.4
C,Jusuf Nurkic (14033866),Jusuf Nurkic,14033866,CPT,13200,POR@UTA 12/26/2019 10:30PM ET,POR,0
C,Hassan Whiteside (14033867),Hassan Whiteside,14033867,CPT,12900,POR@UTA 12/26/2019 10:30PM ET,POR,41
SF/PF,Bojan Bogdanovic (14033868),Bojan Bogdanovic,14033868,CPT,12000,POR@UTA 12/26/2019 10:30PM ET,UTA,31.72
PG/SG,CJ McCollum (14033869),CJ McCollum,14033869,CPT,11400,POR@UTA 12/26/2019 10:30PM ET,POR,37.02
SG/SF,Joe Ingles (14033870),Joe Ingles,14033870,CPT,10800,POR@UTA 12/26/2019 10:30PM ET,UTA,23.49
C,Rudy Gobert (14033831),Rudy Gobert,14033831,UTIL,10400,POR@UTA 12/26/2019 10:30PM ET,UTA,40.45
PG,Damian Lillard (14033832),Damian Lillard,14033832,UTIL,10000,POR@UTA 12/26/2019 10:30PM ET,POR,46.39
SF/PF,Carmelo Anthony (14033871),Carmelo Anthony,14033871,CPT,9900,POR@UTA 12/26/2019 10:30PM ET,POR,30.25
PG/SG,Donovan Mitchell (14033833),Donovan Mitchell,14033833,UTIL,9200,POR@UTA 12/26/2019 10:30PM ET,UTA,39.4
C,Jusuf Nurkic (14033834),Jusuf Nurkic,14033834,UTIL,8800,POR@UTA 12/26/2019 10:30PM ET,POR,0
PG,Mike Conley (14033872),Mike Conley,14033872,CPT,8700,POR@UTA 12/26/2019 10:30PM ET,UTA,26.40
C,Hassan Whiteside (14033835),Hassan Whiteside,14033835,UTIL,8600,POR@UTA 12/26/2019 10:30PM ET,POR,41
SF/PF,Bojan Bogdanovic (14033836),Bojan Bogdanovic,14033836,UTIL,8000,POR@UTA 12/26/2019 10:30PM ET,UTA,31.72
PG/SG,CJ McCollum (14033837),CJ McCollum,14033837,UTIL,7600,POR@UTA 12/26/2019 10:30PM ET,POR,37.02
SG/SF,Joe Ingles (14033838),Joe Ingles,14033838,UTIL,7200,POR@UTA 12/26/2019 10:30PM ET,UTA,23.49
SG/SF,Kent Bazemore (14033873),Kent Bazemore,14033873,CPT,7200,POR@UTA 12/26/2019 10:30PM ET,POR,18.52
SF,Royce O'Neale (14033874),Royce O'Neale,14033874,CPT,6900,POR@UTA 12/26/2019 10:30PM ET,UTA,18.79
SF/PF,Carmelo Anthony (14033839),Carmelo Anthony,14033839,UTIL,6600,POR@UTA 12/26/2019 10:30PM ET,POR,30.25
PF/C,Zach Collins (14033875),Zach Collins,14033875,CPT,6600,POR@UTA 12/26/2019 10:30PM ET,POR,17.83
PG,Jordan Clarkson (14033876),Jordan Clarkson,14033876,CPT,6300,POR@UTA 12/26/2019 10:30PM ET,UTA,23.25
PG,Mike Conley (14033840),Mike Conley,14033840,UTIL,5800,POR@UTA 12/26/2019 10:30PM ET,UTA,26.40
PG,Emmanuel Mudiay (14033877),Emmanuel Mudiay,14033877,CPT,5700,POR@UTA 12/26/2019 10:30PM ET,UTA,14.77
PF/C,Skal Labissiere (14033878),Skal Labissiere,14033878,CPT,5400,POR@UTA 12/26/2019 10:30PM ET,POR,16.24
SG/SF,Kent Bazemore (14033841),Kent Bazemore,14033841,UTIL,4800,POR@UTA 12/26/2019 10:30PM ET,POR,18.52
PG/SG,Anfernee Simons (14033879),Anfernee Simons,14033879,CPT,4800,POR@UTA 12/26/2019 10:30PM ET,POR,15.43
SF,Royce O'Neale (14033842),Royce O'Neale,14033842,UTIL,4600,POR@UTA 12/26/2019 10:30PM ET,UTA,18.79
PF/C,Zach Collins (14033843),Zach Collins,14033843,UTIL,4400,POR@UTA 12/26/2019 10:30PM ET,POR,17.83
