Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (13927383),Luka Doncic,13927383,CPT,20700,SAC@DAL 12/08/2019 07:00PM ET,DAL,60.60
SG,Buddy Hield (13927384),Buddy Hield,13927384,CPT,15300,SAC@DAL 12/08/2019 07:00PM ET,SAC,33.95
PF,Richaun Holmes (13927385),Richaun Holmes,13927385,CPT,14400,SAC@DAL 12/08/2019 07:00PM ET,SAC,29.49
PG,Luka Doncic (13927349),Luka Doncic,13927349,UTIL,13800,SAC@DAL 12/08/2019 07:00PM ET,DAL,60.60
PF,Marvin Bagley III (13927386),Marvin Bagley III,13927386,CPT,13200,SAC@DAL 12/08/2019 07:00PM ET,SAC,31.5
PF,Kristaps Porzingis (13927387),Kristaps Porzingis,13927387,CPT,12600,SAC@DAL 12/08/2019 07:00PM ET,DAL,35.49
SF,Harrison Barnes (13927388),Harrison Barnes,13927388,CPT,11400,SAC@DAL 12/08/2019 07:00PM ET,SAC,28.34
PF,Nemanja Bjelica (13927389),Nemanja Bjelica,13927389,CPT,10800,SAC@DAL 12/08/2019 07:00PM ET,SAC,26.24
SG,Buddy Hield (13927350),Buddy Hield,13927350,UTIL,10200,SAC@DAL 12/08/2019 07:00PM ET,SAC,33.95
SG,Bogdan Bogdanovic (13927390),Bogdan Bogdanovic,13927390,CPT,9900,SAC@DAL 12/08/2019 07:00PM ET,SAC,28.20
PF,Richaun Holmes (13927351),Richaun Holmes,13927351,UTIL,9600,SAC@DAL 12/08/2019 07:00PM ET,SAC,29.49
PF,Marvin Bagley III (13927352),Marvin Bagley III,13927352,UTIL,8800,SAC@DAL 12/08/2019 07:00PM ET,SAC,31.5
SG,Tim Hardaway Jr. (13927391),Tim Hardaway Jr.,13927391,CPT,8700,SAC@DAL 12/08/2019 07:00PM ET,DAL,20.09
PF,Kristaps Porzingis (13927353),Kristaps Porzingis,13927353,UTIL,8400,SAC@DAL 12/08/2019 07:00PM ET,DAL,35.49
PF,Dwight Powell (13927392),Dwight Powell,13927392,CPT,8100,SAC@DAL 12/08/2019 07:00PM ET,DAL,18.12
SF,Harrison Barnes (13927354),Harrison Barnes,13927354,UTIL,7600,SAC@DAL 12/08/2019 07:00PM ET,SAC,28.34
PG,Cory Joseph (13927393),Cory Joseph,13927393,CPT,7500,SAC@DAL 12/08/2019 07:00PM ET,SAC,16.98
